Mot;Occurrence
n;581
y;346
pense;85
même;132
pas;1794
mais;443
non;186
chérie;20
i;241
dans;397
la;1220
merde;9
viens;73
vite;23
voilà;37
le;1267
truc;48
votre;106
cliente;3
est;2020
passé;83
de;2307
inside;1
the;9
actors;1
studio;7
à;1189
outside;1
of;4
coco;1
ville;24
en;741
suçant;1
copain;8
d;748
une;861
autre;92
on;555
agents;2
nounou;2
il;862
lui;191
faut;34
un;1256
nouvel;5
agent;30
moi;475
ella;120
sydney;92
a;935
des;408
ennuis;12
elle;483
m;418
envoie;6
sms;8
j;1164
vais;155
que;1764
t;528
arrêtes;3
c;1158
ça;863
je;2893
appelle;44
après;113
hé;6
oh;84
es;330
mon;474
chauffeur;1
tiens;19
taxi;2
verre;36
allez;60
où;158
homard;2
ils;126
ont;46
faim;10
me;479
ici;136
stanley;1
moment;56
mec;59
rentre;10
avec;512
avait;74
l;894
air;49
pétée;1
impossible;20
marcello;20
là;221
seul;28
savoir;57
quoi;308
faire;288
quand;172
comme;259
va;229
voir;109
et;1069
si;455
essaierai;1
venir;24
carol;1
vous;777
serez;4
très;85
retour;20
sur;269
dance;1
floor;1
promis;7
merci;149
docteur;28
femme;34
réanimée;1
par;113
oxygène;1
fluides;1
changement;5
ischémique;1
ecg;2
cathéter;1
bien;337
joué;10
yung;19
occupe;16
âllo;1
lauren;48
ton;263
avis;13
tout;377
tu;2063
peux;231
passer;31
résidence;19
sale;3
état;7
travaille;17
nuit;93
pharmacie;2
écoute;36
se;214
réveille;5
ou;95
ses;60
yeux;26
ne;935
dilatent;1
perds;6
temps;114
appeler;27
les;622
urgences;5
syd;38
venu;16
pensais;76
te;416
trouver;36
évanouie;3
vas;97
vraiment;223
dernier;19
endroit;30
voulais;69
être;360
savais;36
qui;422
s;282
ai;946
fait;326
quelque;102
chose;146
mal;42
hab;1
casse;1
david;97
pitié;5
reste;38
tes;100
mensonges;2
attends;35
désolée;75
dommage;6
aies;14
connu;6
emménagé;4
était;281
famille;19
sonne;2
stupide;18
qu;660
revenant;1
aurai;26
nouvelle;38
monde;53
abandonne;2
crois;93
avoir;177
rêves;11
enervé;1
as;471
tous;80
droits;1
ce;862
vrai;50
vie;132
fais;143
partie;32
pourquoi;170
alors;96
sentiments;5
sont;109
aussi;99
vrais;6
miens;2
dit;185
choses;62
avais;106
jamais;150
dites;10
pourraient;3
attirer;5
menaces;3
veux;275
plaît;33
bon;117
laisse;41
lève;4
tôt;13
aider;58
apprendre;12
marseillaise;1
mes;132
cp;5
plus;333
probable;1
halo;1
sorti;14
seulement;20
dois;137
finir;13
éditer;2
mariage;34
huey;1
epouzilla;1
envahir;1
tokyo;1
écrasé;1
puis;29
filmer;8
anniv;3
malibuski;1
plan;17
soir;116
oui;131
sûr;75
sais;313
quel;46
programme;6
director;1
cut;1
reservoir;4
dogs;6
sera;53
au;273
ciné;1
new;14
beverly;8
réédition;1
aime;74
tarantino;4
obligée;2
aller;103
aucun;16
trèfle;2
vert;5
dieu;92
hier;40
sort;6
ensemble;44
depuis;73
question;27
piège;3
cinq;12
ans;42
aujourd;52
hui;52
retiennes;1
dates;1
hasard;1
an;9
juré;3
seigneur;2
anneaux;1
oublier;12
légitime;3
répondre;4
grande;15
réflexion;1
réalisé;5
chaque;22
jour;55
notre;74
anniversaire;29
jonah;138
allumer;1
télé;4
pleine;7
discussion;4
cette;193
pourrie;1
joyeux;6
riley;121
richmond;13
ah;12
dernière;47
épouser;6
melrose;11
p;5
font;11
color;2
cc00cc;2
lace;1
1x01;2
pi;3
lot;2
place;28
pilot;1
sous;29
titres;1
dark_chii;16
sososeries;2
wolf971;16
www;8
forom;6
com;8
aurais;66
dû;54
peut;176
pu;47
sauver;11
ta;140
faute;13
auggie;90
police;35
poignardée;3
entrée;3
lutte;1
escaliers;1
piscine;18
pauvre;7
sec;2
moins;35
pouvait;10
parfois;4
chier;2
poignarder;2
karma;1
nul;7
force;2
autres;29
leur;35
dos;7
finit;5
arriver;22
vient;41
emballée;1
montrer;15
peu;133
respect;6
rester;32
devrait;26
fête;49
chez;57
gary;9
sarling;10
job;16
eu;92
proprio;10
été;87
tuée;15
suis;533
sûre;30
comprendront;1
parle;28
classe;23
hollywood;23
pourra;8
donner;26
son;135
film;50
producteur;6
trois;19
oscars;1
sa;102
fille;55
pot;3
colle;1
inquiète;32
pour;889
ok;91
pire;15
violet;32
hein;34
vis;4
désolé;68
vu;105
cadavre;2
auparavant;4
connaissais;8
ouais;26
rencontrée;3
église;1
st;5
patrick;3
religieux;1
réunion;10
cave;3
aa;1
accord;78
grillé;3
car;42
portais;5
convaincu;8
devenir;22
chef;28
étiez;22
six;6
heures;26
avant;91
mort;42
aviez;16
relation;14
parlerai;3
sans;62
avocat;11
intelligent;3
seasoned;1
vet;2
possession;2
cocaïne;3
agressions;1
club;7
golf;8
mâchoire;1
coloc;3
rend;8
fou;14
internat;1
cons;1
rendent;1
idem;1
cool;6
bons;9
avocats;2
sortent;3
toujours;115
affaire;16
papa;21
argent;80
aimé;13
étonnerait;1
écoutez;7
touchée;1
libre;11
apparemment;13
pars;8
loin;21
relations;10
lapd;2
énorme;15
tué;17
étais;124
h;14
croire;22
fricotait;1
donne;28
couiner;1
sors;17
allons;24
avez;84
beaux;3
garçons;6
devaient;1
lâcher;3
père;93
mère;61
chanceuse;4
du;269
fils;21
manhattan;3
dès;19
su;21
grosse;13
envie;10
burrito;2
el;16
cholo;1
toute;68
manière;16
durant;5
secondes;6
cardiologue;3
attaque;4
mineure;2
exactement;25
revoir;12
tension;3
verrez;1
nutritioniste;1
presque;18
parfait;34
vois;40
retourner;12
york;12
maman;10
tant;25
hôpital;28
irai;5
nulle;5
part;32
vos;45
tests;2
devra;1
éjecter;1
demain;39
génial;25
excusez;22
rien;149
honte;2
pays;9
entier;5
virer;7
devrais;49
juster;1
payer;39
cours;13
cher;6
trouverais;3
moyen;15
arrête;28
bizarre;15
journée;38
choix;10
hammock;2
ma;268
jusqu;33
récré;2
minutes;10
plein;18
allais;28
merdé;2
demander;24
weekly;3
comics;2
run;1
ferai;11
pardonner;4
fenêtres;1
lavés;1
pneus;1
gonflés;1
mettrai;1
ces;64
sapins;1
senteur;1
rétroviseur;1
vanille;1
préféré;6
biz;1
garder;23
suspens;1
mystère;1
posé;10
assez;29
existentielle;1
matin;37
laisses;8
gros;28
brouillard;1
arrivé;32
juste;183
réflechir;1
environ;2
devoir;15
maison;32
soit;60
reparler;1
serai;18
train;18
sortir;30
absolument;10
reparlera;2
auras;15
arrangera;2
donc;97
allé;9
allait;22
bu;15
endormi;3
bourré;2
fois;86
conscient;1
manquer;7
info;5
renforcer;1
alibi;13
implaccable;1
dire;197
pourrais;36
griller;1
lunatique;1
irresponsable;1
toi;371
ami;38
tueur;7
menti;11
aux;52
flics;19
coeur;32
maniaque;1
compulsive;1
négligeante;1
entres;1
souvent;7
effraction;5
comment;126
osé;2
bois;5
vodka;4
canapé;5
couchais;3
devais;17
croyais;17
amie;41
soeur;8
cet;44
appart;10
premier;27
porterais;2
encore;75
survêtements;1
juicy;1
french;1
manicure;1
teinture;2
horrible;3
serviteur;1
ferais;22
fin;28
mois;25
vires;1
demande;24
ceux;9
vivaient;1
censée;2
peur;33
probablement;18
fini;37
quitteras;1
venue;17
pathétique;3
rêveuse;1
changes;2
appelé;36
folle;6
monte;7
quoique;1
menteuse;3
serait;42
comptais;1
vivais;5
oublié;17
comprends;23
créer;3
fausse;4
voudrais;17
changé;13
trompé;3
flippé;3
tournait;1
autour;12
venger;1
mieux;67
valorisé;1
facile;22
occupé;9
nié;1
existence;1
pendant;24
commence;15
regarde;51
montre;19
patek;5
prada;9
gagner;6
vends;3
drogue;7
traquille;1
