Mot;Occurrence
i;5053
see;150
your;708
dirty;1
face;24
high;18
behind;17
collar;2
what;858
is;737
done;69
in;915
vain;1
truth;24
hard;33
to;2430
swallow;2
so;531
you;4424
pray;2
god;117
justify;1
the;2395
way;198
live;40
and;1218
take;141
time;201
m;926
mine;31
because;111
when;192
arrive;1
bring;33
fire;11
make;161
come;218
alive;8
can;476
higher;2
this;788
forgot;7
must;42
now;247
remind;6
let;206
it;1608
rock;13
son;18
s;1970
disgraced;1
he;497
who;254
knew;31
his;169
father;42
don;525
t;1274
even;116
think;248
about;408
of;1129
course;52
not;598
baby;19
world;39
got;254
here;328
thing;134
client;40
has;82
gone;19
from;234
inside;14
actors;1
studio;7
outside;13
coco;1
de;8
ville;1
doing;106
blow;8
with;613
somebody;22
else;36
boyfriend;25
we;591
re;632
agents;1
sitters;2
she;450
needs;30
a;2035
new;100
publicist;37
me;1035
ella;184
sydney;109
trouble;28
keeps;4
text;12
bombing;3
go;256
lose;16
that;1461
leash;2
dude;18
like;472
ll;293
call;97
later;22
hello;28
excuse;46
my;980
ride;8
cab;2
wants;43
another;48
shot;25
on;662
guys;74
where;135
lobster;3
people;105
are;504
hungry;7
need;186
right;400
chef;22
auggie;120
stanley;1
pick;12
up;365
good;214
bro;6
back;182
penthouse;8
seemed;8
totally;54
trashed;1
marcello;25
tonight;72
only;98
one;314
knows;20
how;288
deal;43
her;333
look;258
get;404
there;316
really;219
find;76
out;438
carol;1
promise;33
gonna;119
be;558
dance;6
floor;9
no;463
thank;116
doctor;53
do;481
female;1
resuscitated;1
fluid;1
oxygen;2
clearly;10
ischemic;1
changes;3
lead;9
sending;6
down;105
cath;1
lab;3
well;249
yung;23
lauren;112
hey;178
everything;77
okay;352
stop;57
by;122
off;140
pretty;68
bad;53
shape;3
oh;357
working;41
graveyard;3
shift;9
at;338
pharmacy;1
after;114
but;453
listen;29
david;160
if;368
wake;11
or;112
eyes;22
dilate;1
waste;8
calling;23
syd;48
came;44
thought;117
was;602
going;314
have;609
peeling;1
fine;72
know;695
last;118
place;80
want;339
didn;185
something;134
happened;90
ve;216
please;68
all;478
lies;2
expect;11
sorry;159
wish;20
d;172
known;10
first;74
moved;12
were;193
family;24
sounds;32
stupid;17
could;175
start;38
over;113
everyone;25
abandoned;3
feel;65
for;668
happen;38
angry;3
every;70
had;201
together;50
real;75
life;130
doesn;64
include;2
why;211
feelings;7
just;684
as;189
told;96
things;71
never;152
anyone;49
before;94
probably;47
into;132
bit;24
threatening;2
stay;28
leave;37
getting;69
occasion;2
downtown;7
help;84
teach;14
pledge;4
allegiance;4
graders;6
more;133
likely;2
latest;4
halo;2
sale;7
finish;8
editing;4
huey;1
wedding;26
today;71
bridezilla;1
invade;1
tokyo;1
squashes;1
then;135
birthday;33
shoot;29
malibuski;1
any;79
plans;11
evening;6
uh;122
yeah;296
absolutely;10
agenda;2
um;99
director;23
cut;19
reservoir;4
dogs;7
beverly;9
brand;3
print;5
much;134
hate;20
tarantino;4
said;81
green;5
clovers;2
clover;1
yesterday;14
too;106
been;160
many;27
years;39
trick;3
question;18
answer;14
five;37
remember;29
arbitrary;1
dates;5
anniversaries;1
year;25
swear;21
lord;2
rings;2
forget;27
fair;5
quiet;3
contemplation;1
realized;7
day;106
our;103
anniversary;1
jonah;248
seriously;43
cruising;1
movie;33
channels;1
middle;10
conversation;6
tv;4
fragged;1
born;5
doorway;5
went;38
rain;4
suddenly;7
changed;13
they;175
spreading;1
blankets;1
beach;8
yours;29
saw;50
blind;5
met;26
am;130
happy;42
riley;206
richmond;17
will;106
marry;9
should;97
maybe;91
saved;3
blame;8
yourself;44
did;233
police;35
say;137
stabbed;6
struggle;2
stairs;2
collapsed;1
pool;18
believe;46
girl;82
poor;8
lived;8
seconds;7
mean;151
sometimes;10
rub;2
wrong;34
someone;76
actually;137
stick;10
knife;15
karma;1
sucks;6
stab;1
enough;39
eventually;5
own;37
zipped;1
body;16
bag;6
showing;11
shred;3
respect;9
shouldn;16
alone;15
spend;15
him;239
gary;9
sarling;12
party;69
job;72
landlord;11
murdered;7
sure;110
powers;1
understand;21
dealing;3
room;29
full;19
hollywood;28
opportunity;7
hand;27
film;28
three;27
oscar;3
winning;2
producer;6
wait;77
daughter;14
18th;1
isn;53
little;151
tacky;1
worry;37
through;66
lot;80
worse;6
trust;43
violet;58
seen;31
dead;25
four;12
ago;29
church;2
st;2
patrick;3
religious;1
meeting;27
basement;1
aa;1
busted;3
wearing;22
also;17
convinced;9
entered;1
apartment;34
six;15
hours;25
found;52
gather;1
intimate;3
victim;3
saying;27
word;29
until;23
lawyer;9
smart;8
seasoned;2
vet;2
possession;2
cocaine;1
couple;29
assaults;1
drove;4
golf;7
club;6
roommate;8
jaw;1
guess;84
boarding;3
school;46
huh;42
douche;1
bags;1
nice;43
having;42
hotshot;3
lawyers;2
daddy;7
money;76
pops;2
kill;27
touch;4
looks;31
free;14
far;16
o;5
j;1
pull;12
strings;2
lapd;4
huge;20
tell;154
them;87
couldn;40
killed;25
morning;49
everybody;19
hooked;5
gives;5
tweet;2
aren;21
most;41
beautiful;21
bet;20
boys;14
running;20
circles;1
around;64
luckiest;1
mom;51
flew;4
manhattan;3
minute;24
heard;38
craving;3
burrito;2
el;36
cholo;1
anyway;30
two;71
cardiologist;4
past;14
mentioned;6
minor;3
heart;41
attack;7
exactly;60
run;27
stress;7
test;12
meet;43
nutritionist;1
echocardiogram;1
close;22
perfect;50
york;14
big;59
hospital;33
anywhere;9
may;23
fact;20
kick;12
tomorrow;38
great;77
dad;68
nothing;90
ashamed;1
whole;36
country;11
being;70
laid;2
cover;13
tuition;13
myself;30
figure;15
fault;10
love;112
seeing;20
weird;12
choice;9
mr;25
hammock;2
covering;4
class;11
recess;1
less;9
than;97
minutes;17
gas;5
bricked;1
ask;40
favor;16
weekly;4
comics;1
next;40
talking;57
windows;1
washed;3
tire;4
pressure;8
checked;11
throw;21
those;56
pine;1
tree;4
air;7
freshener;1
goes;14
rearview;1
mirror;2
vanilla;1
favorite;18
trying;65
build;2
suspense;2
mystery;6
asked;19
monumental;1
kind;99
leaving;10
hanging;11
sort;17
able;10
mull;1
long;52
since;55
giving;16
supposed;31
homework;1
assignment;2
yes;54
talk;82
halfway;1
door;25
means;32
whenever;5
convenient;1
holding;11
would;183
night;176
hit;21
bottle;9
passed;10
miss;29
makes;25
us;94
fyi;1
order;14
airtight;2
alibi;11
building;29
same;42
highly;3
volatile;1
utterly;1
irresponsible;1
friend;60
killer;11
million;16
lied;8
cops;17
goodness;7
mm;25
hmm;33
neat;1
freak;4
wouldn;40
sloppy;1
geez;6
break;29
enter;2
considering;6
sitting;8
couch;9
drinking;11
vodka;4
needed;11
sleeping;16
sister;8
wasn;55
still;82
juicy;2
sweat;4
suits;2
french;4
tips;5
dye;1
indentured;1
servant;1
rest;14
expected;3
end;41
month;10
evicting;1
used;30
scared;16
l;29
arrived;2
pathetic;4
wannabe;3
second;37
thoughts;3
called;52
hell;38
car;31
whatever;50
woman;31
pathological;1
liar;7
ever;95
planning;5
telling;25
part;32
choose;5
helping;10
fake;7
death;12
either;22
person;48
haven;16
cheated;3
wife;13
admit;12
freaked;1
better;87
made;51
worth;23
hasn;11
easy;23
mother;16
died;35
entire;21
took;31
cause;58
spent;14
denying;1
existed;1
patek;3
watch;31
prada;8
somewhere;16
selling;11
drugs;5
again;57
phone;29
ring;14
asking;20
anything;85
coming;40
lips;4
sugar;3
reporter;3
beat;7
phrased;1
delicately;1
some;186
debutante;1
newsworthy;1
event;4
promised;4
ink;1
thinking;40
might;45
strategy;3
give;76
crap;13
artist;6
an;171
hourly;2
basis;4
says;20
against;9
laws;1
physics;1
hugely;11
talented;14
filmmaker;14
manager;6
agent;21
point;12
view;2
charming;5
human;9
won;48
resist;2
rich;9
lots;8
care;55
clever;2
funny;18
clothes;10
diamonds;3
paging;2
dr;40
ready;37
released;1
thanks;50
bedside;2
manner;2
doctors;5
dinner;22
completely;28
unnecessary;1
eat;8
tells;6
away;53
cafeteria;2
cuisine;1
idea;57
ruby;5
finally;22
legal;4
cute;13
looking;51
old;19
split;2
discovered;4
contemplate;1
tying;1
other;67
ooh;11
travis;5
guy;101
coal;29
farmer;3
market;7
settle;5
fall;9
without;41
declaring;1
exclusive;1
monogamy;2
bawling;1
newborn;1
yet;29
ruminate;1
millisecond;1
doubt;9
busy;11
talked;13
lost;26
while;17
h;2
missed;16
payments;8
university;4
pay;32
semester;7
honey;14
loan;4
scrape;2
sweet;32
awesome;17
rent;13
worked;10
wanted;83
apparently;10
lifetime;9
timing;3
though;21
forever;10
making;21
count;6
besides;8
matter;31
outfit;5
heels;6
wear;11
created;2
neighbors;6
shoe;3
size;6
raid;3
closet;5
official;6
crowd;4
tricks;2
office;30
fly;3
assisting;1
turn;22
ain;2
wanna;3
neck;2
sexy;8
ah;11
toothpick;1
introduce;4
hi;43
miller;38
videographer;3
films;5
ex;13
sick;15
frames;1
per;1
swap;3
lenses;1
dream;22
camera;17
happens;12
copy;2
short;16
living;31
reverse;23
wondering;11
kidding;26
hire;8
document;2
pimping;1
student;7
wow;33
san;5
juan;1
puerto;1
rico;1
festival;4
crazy;20
finished;7
proposing;1
standing;9
edge;4
cliff;2
fun;27
romantic;8
box;3
legos;1
plays;5
inspiration;4
watches;1
saturday;6
cartoons;1
play;20
laser;1
tag;1
waited;1
become;11
grown;5
feels;11
himself;7
man;80
bail;8
weren;23
blacked;2
aug;4
pissed;5
