Mot;Occurrence
commentary;1
suarez;7
uh;187
the;1738
patient;68
suffers;2
from;104
depression;3
anxiety;5
and;824
disorganized;3
thinking;35
artis;4
mr;59
sawyer;1
s;1498
all;240
over;70
map;1
he;712
also;28
has;71
a;1347
very;72
good;137
grasp;1
of;748
medical;20
psychological;4
terminology;2
straight;10
out;191
dsm;3
iv;3
leading;5
you;2276
to;1429
conclude;1
factitious;1
disorder;27
do;332
suspect;3
maliering;1
there;255
no;416
indication;1
symptoms;14
manufactured;1
for;403
material;4
gain;2
correct;4
both;27
this;422
time;133
is;502
something;95
else;38
dr;136
belle;21
our;64
new;57
director;12
psychiatric;18
services;17
arrives;1
today;39
but;262
make;77
mistake;6
as;151
senior;2
staff;12
attending;5
with;360
overall;1
responsibility;7
your;377
supervision;2
training;7
ultimately;1
whether;9
find;51
place;37
at;188
hospital;64
or;138
not;387
depends;3
entirely;4
upon;1
me;467
any;90
sign;9
head;28
honcho;2
nada;2
i;3016
don;252
t;702
even;77
know;356
what;633
m;419
looking;28
country;6
mouse;1
adrift;1
in;645
big;20
city;3
ran;6
clinic;25
vermont;5
carl;49
wasn;27
plowing;1
back;134
god;34
was;435
nora;29
say;80
give;53
him;281
benefit;1
doubt;3
maybe;81
gallagher;95
add;2
like;190
zero;2
experience;7
running;12
high;19
volume;1
facility;13
re;404
taking;20
well;260
after;60
screwed;4
job;25
suppose;8
it;1056
could;101
have;422
always;27
gone;21
should;66
while;23
pulse;3
refuse;1
get;196
hysterical;1
about;255
last;44
name;33
martin;9
first;60
vincent;35
we;512
matched;1
up;186
missing;8
person;22
report;15
stark;1
naked;4
d;131
screaming;8
his;270
freaking;3
off;110
standing;6
middle;6
highway;1
okay;200
pal;2
behave;1
yourself;22
huh;40
docs;1
here;274
are;251
gonna;156
fix;4
just;298
fine;47
see;144
code;5
white;3
security;11
floor;6
who;111
can;369
be;320
only;43
one;155
look;106
flesh;5
human;8
hold;22
right;240
ere;2
ll;214
never;84
keep;35
away;30
hey;124
real;44
too;89
alone;14
down;106
on;400
put;57
hands;17
behind;8
them;94
fight;16
em;4
together;21
ve;165
got;189
except;6
outnumbered;1
might;50
better;47
choose;4
battles;2
bide;1
live;19
another;35
day;71
trust;11
scratch;3
haldol;3
doctor;79
let;102
take;99
seclusion;1
clean;5
excuse;22
hell;36
jack;135
guess;27
meeting;16
tomorrow;37
morning;32
introduce;1
everyone;10
that;789
yours;14
so;329
suddenly;5
occurs;1
clothes;5
hardworking;1
folks;2
admitting;3
cheap;2
thrill;2
admit;4
did;141
trick;2
acted;2
respect;5
think;183
getting;25
butt;1
work;69
helped;4
achieve;2
couldn;23
tried;31
before;51
sides;1
