Mot,Occurrence
i,4456
you,4314
the,2539
to,2425
a,2385
je,2240
vous,2050
de,1863
est,1861
it,1831
s,1816
pas,1546
t,1502
le,1436
il,1309
que,1298
la,1278
me,1257
of,1219
ne,1162
is,1145
tu,1141
that,1102
à,1049
un,1010
what,931
c,917
he,892
l,874
m,863
ce,860
have,851
and,844
n,803
on,800
be,792
en,774
my,773
not,771
d,762
arthur,747
et,744
j,729
for,725
your,706
this,688
qu,679
ai,641
do,637
we,617
are,614
pour,612
les,608
ça,607
will,604
can,595
in,589
merlin,560
was,537
no,532
as,519
know,505
une,485
re,478
if,442
don,442
si,436
him,433
camelot,428
elle,425
but,422
there,398
qui,398
moi,398
she,375
uther,372
all,363
y,356
bien,351
des,344
mon,339
être,334
with,331
ve,327
her,326
mais,325
plus,322
ll,319
suis,319
nous,316
must,313
tout,305
they,296
so,295
his,283
how,280
rien,276
votre,274
one,269
son,266
morgana,259
gaius,253
dans,247
sire,247
would,246
like,240
magic,237
du,237
faire,234
avez,229
te,229
just,229
here,229
sais,226
fait,220
magie,220
about,219
did,218
who,216
peut,216
then,215
lui,213
va,212
ma,208
think,206
has,205
toi,201
right,198
au,197
était,194
get,194
been,193
going,192
se,192
time,190
comment,186
why,186
ils,185
from,184
non,184
quoi,184
only,183
go,180
see,180
father,180
want,180
now,179
out,179
more,179
es,179
well,178
need,177
an,177
let,175
êtes,175
could,175
were,175
at,172
comme,169
come,167
père,166
jamais,161
dit,160
où,160
sa,159
never,158
pourquoi,158
là,157
gwen,157
tell,156
yes,155
life,155
help,155
am,154
roi,154
sur,153
king,153
way,153
sont,153
nothing,153
avec,152
some,151
dois,149
sorry,149
up,149
vie,149
cette,148
oui,148
where,146
peux,146
doit,145
by,145
good,143
été,138
something,138
chose,138
say,137
had,137
when,137
people,136
boy,135
anything,134
alors,134
find,132
ici,132
them,131
par,129
take,128
sure,127
lady,127
should,126
die,125
sûr,124
make,124
too,124
ton,122
us,120
dire,120
please,119
believe,118
thank,114
vais,112
or,112
vu,112
won,112
any,112
ã,111
look,111
didn,111
avoir,110
faut,110
back,110
même,110
got,109
mort,108
than,108
dame,107
our,106
mes,106
really,105
very,105
veux,103
said,103
très,103
fais,102
great,102
quelque,101
doing,100
kill,99
sera,99
bon,97
man,96
quand,96
personne,94
ont,93
prince,93
before,93
ses,92
does,91
royaume,91
temps,90
chance,89
encore,89
trop,89
monde,88
ces,87
may,86
vos,86
lord,86
autre,86
day,85
ta,85
because,85
besoin,85
tous,85
voir,84
thought,84
lancelot,83
cannot,83
give,82
soit,81
kingdom,81
désolé,81
done,80
aussi,80
vraiment,79
these,79
allez,78
mean,78
stop,78
avant,78
fils,77
ever,77
ou,76
love,76
catrina,75
understand,75
donc,75
keep,74
much,74
merci,74
again,73
fight,73
long,73
servant,72
grand,72
tuer,71
better,70
such,70
jeune,70
hope,70
course,70
faites,70
peu,69
wrong,69
pouvoir,69
avais,69
mal,69
after,69
toujours,69
anyone,69
place,68
dead,68
déjà,68
name,68
someone,67
knights,67
mourir,67
kind,67
enough,66
quel,66
last,66
pu,65
morgause,65
notre,65
garçon,65
aux,65
seen,65
death,64
sans,64
doesn,64
wish,64
seul,64
true,64
homme,64
destiny,64
pendragon,64
things,63
told,63
saw,62
yourself,62
juste,61
dû,61
raison,60
thing,60
found,60
sorcier,60
men,59
save,59
isn,58
happened,58
night,58
jour,58
face,58
many,58
peur,58
dis,58
mother,57
avait,57
aider,57
even,57
young,56
mieux,56
maybe,56
always,56
knew,55
quelqu,55
fois,55
down,54
tes,54
mère,54
chevalier,54
sorcerer,54
made,54
knight,54
valiant,53
troll,53
their,53
deux,53
pense,53
wasn,53
serait,53
perhaps,53
over,53
oh,53
old,52
work,52
aurais,52
font,52
dragon,52
tant,52
else,51
seule,51
water,51
yeah,50
killed,50
everything,50
hear,50
bonne,50
depuis,50
destin,50
serviteur,50
vivian,50
eau,50
still,50
myself,49
aller,49
dont,49
sophia,49
power,49
trouver,49
might,49
ask,49
same,48
amour,48
passé,48
nom,48
leave,48
alone,48
wouldn,48
put,48
hommes,47
savoir,47
prie,47
aredian,47
trust,47
those,47
use,47
into,47
speak,47
crois,46
étais,46
aide,46
sauver,46
vas,46
maintenant,46
bring,46
moment,46
own,46
ignore,45
parler,45
other,45
combat,45
friend,45
potion,45
après,45
voulez,44
heart,44
nuit,44
first,44
aucun,44
idiot,44
eu,43
food,43
vrai,43
promise,43
peuple,43
matter,43
pouvez,43
most,43
mind,43
devez,42
secret,42
care,42
haven,42
yet,42
without,42
honour,42
girl,41
truth,41
looking,41
cet,41
air,41
land,41
leur,41
demain,40
vite,40
veut,40
fille,40
feel,40
everyone,40
used,40
word,40
remember,40
sir,40
fine,40
every,40
contre,40
sait,40
assez,40
entre,39
aurait,39
gens,39
sous,39
another,39
comprends,39
wait,39
wanted,39
worry,39
dites,39
bayard,38
espère,38
choice,38
years,38
against,38
épée,38
away,38
came,38
impossible,38
end,38
happen,38
once,37
protect,37
ealdor,37
chevaliers,37
test,37
guinevere,37
cela,37
importe,37
quelle,37
two,36
choix,36
honneur,36
shall,36
today,36
rest,36
coming,36
coeur,36
chambers,36
point,36
saved,36
fear,36
prendre,36
laissez,36
already,36
trouve,36
