Mot;Occurrence
ï;1
i;512
aucun;44
jeune;70
homme;64
aussi;80
prometteur;2
soit;81
il;1309
ne;1162
peut;216
connaã;1
tre;1
sa;159
destinã;1
e;9
entrevoir;1
son;193
rã;7
le;1436
dans;247
la;1278
grande;14
histoire;8
qui;398
est;1861
sur;153
point;14
de;1860
commencer;4
comme;169
tout;305
monde;88
doit;145
vivre;14
et;744
apprendre;20
en;774
sera;99
ainsi;31
pour;611
sorcier;60
arrive;31
aux;65
portes;5
camelot;203
un;1010
garã;1
on;479
temps;90
voulu;7
donnera;3
naissance;10
ã;111
une;485
lã;17
gende;1
nom;47
merlin;170
que;1298
ceci;14
serve;5
leã;2
cet;41
thomas;1
james;1
collins;1
reconnu;4
coupable;15
d;600
utiliser;15
secrã;1
tement;1
enchantements;4
magie;220
conformã;1
ment;5
lois;15
moi;398
uther;172
pendragon;30
dã;13
crã;2
te;229
telles;4
pratiques;1
sont;153
passibles;1
peine;15
mort;108
je;2240
suis;319
fier;18
ãªtre;16
roi;154
juste;61
bon;97
mais;325
crime;10
sorcellerie;16
peux;146
prononcer;2
qu;679
seule;51
sentence;2
mon;339
arrivã;1
ce;860
pays;2
royaume;91
tait;5
embourbã;1
chaos;1
avec;152
l;874
aide;46
du;237
peuple;43
s;287
barrassã;1
clare;1
but;6
festival;1
cã;4
brer;1
vingtiã;1
me;390
anniversaire;1
capture;1
grand;72
dragon;33
libã;3
ration;1
flã;2
au;197
fãªte;3
commence;15
n;803
y;355
a;898
seul;64
pas;1546
c;917
vous;2050
votre;274
haine;7
ignorance;1
m;363
avez;229
pris;25
fils;77
promets;13
avant;78
fin;16
ces;87
brations;1
partagerez;2
mes;106
larmes;3
å;2
dent;3
emparez;2
elle;425
oã¹;7
pourrais;21
trouver;49
gaã;1
us;1
mã;11
decin;1
cour;23
gaius;96
as;277
tu;1141
fait;220
dis;58
j;729
ignore;40
passã;3
si;436
quelqu;55
avait;57
vu;112
ai;641
rien;276
voir;84
sais;226
appris;11
faire;234
nulle;5
part;16
connais;29
donc;75
non;184
tudiã;4
ponds;1
jamais;161
mens;8
puis;21
dire;120
vã;1
ritã;2
nã;6
impossible;33
es;179
cette;148
lettre;1
lunettes;1
hunith;5
oui;148
censã;2
arriver;13
mercredi;2
accord;14
va;212
poser;4
ton;122
sac;4
bas;14
direz;2
dois;149
merci;74
cher;5
viens;30
vers;9
toi;201
car;33
perdue;5
plus;322
toute;30
re;15
vouã;1
penser;10
enfant;29
spã;4
cial;4
donnerai;4
ma;208
vie;149
inverse;2
notre;65
village;13
petit;27
diffã;1
rent;1
des;344
gens;39
ici;132
restait;1
peur;58
pourrait;27
lui;213
besoin;85
main;7
tenir;10
voix;8
guide;2
aider;57
donner;17
sens;15
ses;92
dons;6
prie;47
comprenez;7
amour;48
prenez;11
soin;4
dieu;12
protã;1
ge;2
morgana;113
se;192
passe;21
t;315
pourquoi;158
joignez;1
crois;46
capitation;1
occasion;6
festive;1
pauvre;9
justice;7
rendue;1
usã;1
blessã;1
personne;94
tais;5
ans;10
idã;2
combien;21
punirez;1
les;608
cause;17
jusqu;32
ils;185
comprennent;2
place;28
soyez;16
quand;96
accueillerai;1
dame;107
helen;6
veux;103
participer;3
tuteur;2
fais;102
demande;24
respectes;2
respecte;3
moins;34
meilleure;10
chanteuse;1
serez;28
dur;12
erez;1
ennemis;13
gregory;1
bien;350
devrait;28
demain;40
serai;22
dehors;8
tiens;28
eau;50
lavã;1
hier;16
soir;20
solã;3
prends;32
jeuner;1
comment;186
jetã;1
sort;29
esprit;12
alors;134
quelque;101
chose;133
faut;110
aies;10
problã;1
trouve;36
travail;23
primerose;1
pyrã;1
thre;1
percival;1
sieur;1
olwen;1
myope;1
taupe;1
avaler;1
coup;16
allez;78
vas;46
rappeler;3
pratique;4
forme;6
enchantement;11
fatale;2
voici;11
dicament;1
dit;160
boire;14
sã;7
r;4
ira;22
cible;4
sire;93
plein;6
soleil;3
blouissant;1
vais;112
mettre;11
autre;86
tã;4
apprendra;3
arrãªte;1
continuer;5
bouger;2
cours;9
veut;40
entraã;4
ner;1
mobile;1
assez;40
quoi;184
amusã;1
ami;31
pourtant;9
appelã;1
eu;43
idiot;27
stupide;12
marcher;4
tes;54
genoux;5
laisse;24
ferais;11
ta;85
jetterai;1
prison;3
arthur;329
beaucoup;26
venir;15
chanter;3
bration;1
plaisir;19
voyage;8
vaut;13
attendre;11
cas;33
cesse;4
surprendre;2
profil;2
comportes;1
chance;46
ussi;1
tirer;7
quelques;15
ficelles;1
rer;2
souviendrai;1
prix;24
payer;12
guinevere;14
appelle;18
souvent;7
gwen;63
servante;25
traite;2
courageux;9
ou;76
contente;1
sorti;5
auriez;18
battu;6
battre;22
croyez;26
parce;29
air;37
trã;1
musclã;1
genre;21
ãªtes;2
fort;16
partie;9
vrais;2
durs;2
cuire;2
prãªts;2
sauver;46
ressemblez;2
incognito;1
gã;2
nial;1
avoir;110
tenu;5
tãªte;1
vraiment;79
tyran;3
trouvã;1
tiez;3
hã;2
ros;2
excusez;6
fans;1
attendent;8
gumes;1
encore;89
colã;1
aprã;1
demandã;2
prendre;36
propos;9
avais;69
auparavant;3
requiert;2
incantations;1
sorts;4
annã;2
tudier;1
mentaire;1
instinctif;1
servir;27
question;18
posã;1
interdit;7
servait;1
mal;69
ordre;15
naturel;4
bouleversã;1
donnã;2
mission;1
truire;1
cela;37
mãªme;5
dragons;3
tous;85
choisit;2
