Mot;Occurrence
no;532
young;56
man;96
matter;43
how;280
great;102
can;595
know;505
his;283
destiny;64
he;892
cannot;83
glimpse;2
part;18
in;589
the;2526
story;9
that;1102
is;1145
about;219
to;2425
unfold;1
like;240
everyone;40
must;313
live;35
and;840
learn;17
so;295
it;1831
will;602
be;792
for;725
warlock;20
arriving;1
at;172
gates;7
of;1215
camelot;225
a;1487
boy;135
time;190
father;179
legend;10
name;68
merlin;390
1x01;1
call;13
dragon;19
www;18
ragbear;1
com;5
let;175
this;688
serve;17
as;242
lesson;9
all;363
thomas;1
james;1
collins;1
adjudged;1
guilty;15
conspiring;1
use;43
enchantments;7
magic;237
pursuant;1
laws;11
i;3944
uther;200
pendragon;34
have;851
decreed;1
such;70
practices;1
are;614
banned;4
on;321
penalty;1
death;64
pride;6
myself;49
fair;14
just;229
king;153
but;416
crime;10
sorcery;27
there;398
one;269
sentence;7
pass;20
when;137
came;38
land;41
kingdom;81
was;537
mired;1
chaos;2
with;331
people;136
s;1529
help;155
driven;4
from;184
realm;6
declare;2
festival;1
celebrate;3
years;38
since;25
captured;2
freed;1
evil;25
celebrations;4
begin;9
only;183
not;771
you;4314
your;706
hatred;5
ignorance;1
took;23
my;773
son;73
promise;43
before;93
these;79
over;53
share;14
tears;4
an;177
eye;17
tooth;3
seize;7
her;326
where;146
would;246
find;132
gaius;157
court;23
physician;24
hello;22
whoa;2
what;931
did;218
do;637
um;13
tell;156
me;867
well;178
uh;9
idea;28
happened;58
if;442
anyone;69
had;137
seen;65
nothing;153
want;180
learnt;4
nowhere;6
don;424
t;1187
study;6
answer;11
ve;326
never;158
studied;2
or;96
been;193
taught;12
lying;16
say;137
truth;41
born;17
impossible;5
who;216
oh;50
letter;1
glasses;1
m;500
hunith;5
yes;155
re;463
meant;20
here;229
till;8
wednesday;2
ah;9
right;198
then;215
better;70
put;48
bag;4
look;111
won;112
anything;134
though;18
should;126
thank;114
dear;3
turn;27
feel;40
lost;25
alone;48
trust;47
every;40
mother;57
fate;8
think;206
child;22
special;11
yet;42
give;82
life;155
were;175
ours;3
small;9
village;9
clearly;4
odds;4
remain;11
fear;36
become;22
him;433
needs;30
hand;18
hold;26
voice;6
guide;3
someone;67
might;49
purpose;7
gifts;10
beg;15
understand;75
love;76
keep;74
safe;33
may;86
god;10
save;59
both;22
morgana;146
why;186
joining;1
us;119
chopping;1
head;27
off;35
cause;16
celebration;2
