Mot,Occurrence
i,6264
you,3039
a,2630
the,1940
s,1903
je,1738
est,1680
de,1641
to,1522
vous,1404
t,1391
it,1303
pas,1278
le,1145
que,1066
me,1058
that,1017
un,1009
on,1007
c,982
il,970
la,913
à,867
l,867
and,860
m,814
of,787
j,751
tu,747
d,739
what,719
et,698
was,663
ça,646
in,645
he,624
is,623
en,623
ce,622
this,608
les,588
ai,586
ne,586
know,584
une,565
qu,550
we,532
pour,520
she,503
elle,500
no,478
re,473
for,468
not,456
have,433
n,433
mick,425
vampire,423
but,410
so,406
can,400
don,398
my,397
mais,397
her,394
yeah,380
do,372
des,367
just,360
with,351
your,350
are,347
there,346
like,345
moi,341
qui,340
be,340
y,339
get,333
était,333
okay,324
as,316
about,316
him,306
beth,302
all,301
dans,290
out,286
du,283
oh,282
how,274
si,271
here,271
well,268
they,261
être,259
suis,256
non,254
avec,249
right,245
think,233
if,232
fait,231
up,231
bien,230
gonna,228
mon,225
now,213
ve,212
one,211
sur,209
at,208
did,205
tout,203
ll,203
au,201
go,197
plus,197
got,197
vampires,191
son,190
coraline,188
ils,184
from,183
tierney,182
sais,182
back,182
who,176
peut,174
avez,172
want,172
va,172
when,171
look,170
were,168
hey,167
his,163
veux,163
blood,162
lui,161
comme,160
why,157
quoi,155
sang,155
peux,155
nous,153
oui,151
uh,151
êtes,149
ici,147
josef,146
te,146
an,146
come,145
really,144
dit,142
didn,142
votre,141
faire,141
see,140
had,140
been,138
se,138
time,137
où,136
comment,135
tell,134
some,134
something,133
or,133
sont,132
police,130
would,128
rien,128
pourquoi,126
john,126
let,123
toi,123
là,122
cette,121
where,119
good,119
way,118
st,117
quand,117
chose,116
never,115
need,115
maybe,115
sa,114
font,113
could,113
alors,111
dire,110
then,109
ans,105
même,104
crois,104
us,103
guy,102
take,101
ont,101
has,101
toujours,100
avoir,100
accord,100
them,99
es,98
off,98
going,97
merci,97
people,95
mean,95
ou,95
ma,95
été,94
buzzwire,93
étais,93
vraiment,93
ton,93
sure,93
human,93
jamais,93
should,92
into,91
kill,91
years,91
par,91
call,89
ouais,89
ces,88
josh,87
find,87
man,87
thing,87
say,86
said,85
will,84
mort,84
by,84
only,83
still,83
quelqu,82
vais,82
thought,82
deux,82
even,81
lee,81
jay,81
dois,81
avait,80
dominic,78
voir,78
vu,78
little,78
dead,78
long,78
new,77
more,77
shepherd,76
make,76
femme,75
com,74
sûr,74
maureen,74
lot,74
down,74
type,73
too,73
night,73
two,73
over,72
work,72
maintenant,72
love,72
mes,72
sorry,72
savoir,72
other,71
much,71
nothing,70
kind,70
bon,70
help,70
quelque,70
www,70
any,69
depuis,69
morgan,69
juste,68
tous,68
vie,68
after,67
autre,67
doing,67
jacob,67
tuer,67
yes,66
très,66
anything,66
someone,66
aller,66
temps,65
ses,65
last,65
our,65
stop,64
fais,64
beaucoup,63
doesn,63
vas,62
peu,62
aussi,62
wasn,62
found,61
before,61
always,61
après,61
encore,60
story,60
doit,60
give,60
salut,60
allez,60
again,59
fois,59
keep,59
personne,58
these,58
feel,58
notre,57
veut,57
girl,57
happened,56
because,56
killed,56
nuit,56
emma,56
gotta,56
god,56
thank,56
turner,56
besoin,55
first,55
eu,55
turn,54
passé,54
parler,54
talk,54
gens,54
isn,54
does,54
color,53
friend,53
life,53
dieu,53
please,52
being,52
fille,52
haggans,52
everything,52
very,52
ami,51
than,51
aurais,51
saw,50
wife,50
told,50
around,50
avant,50
wait,50
moonlight,50
mr,49
those,49
humain,49
done,49
ever,49
seul,49
am,49
sans,48
foster,48
away,47
made,47
looking,47
chez,47
their,47
part,47
savez,46
turned,46
trouvé,46
took,46
parce,46
voulez,46
murder,46
knew,46
argent,46
wouldn,46
place,46
accident,45
every,45
désolé,45
movie,45
ex,45
stay,45
histoire,45
déjà,44
name,44
dean,44
office,44
abbott,44
actually,44
huh,44
donc,44
else,43
dû,43
better,43
listen,43
p,43
morte,43
might,43
wanna,43
faites,43
old,43
pris,42
things,42
leur,42
ta,42
own,42
somebody,42
case,42
avais,42
trop,42
aime,41
death,41
tejada,41
heard,41
connais,41
mieux,41
thanks,40
vos,40
wanted,40
since,40
nom,40
seule,40
came,40
moment,40
voulais,40
alone,39
meurtre,39
monde,39
photos,39
hank,39
leave,39
believe,38
day,38
crime,38
guys,38
peur,38
lola,38
gone,38
pense,38
ago,38
bureau,38
écoute,38
ray,38
getting,38
car,38
choses,38
minutes,37
kostan,37
understand,37
parfait,37
bad,37
family,37
vrai,37
ok,36
must,36
left,36
mal,36
home,36
couple,36
without,36
film,36
autres,36
jusqu,36
dis,36
petit,35
live,35
yourself,35
trouver,35
aider,35
tonight,35
put,35
world,35
close,35
exactly,35
aux,35
won,35
guess,35
talbot,35
pouvez,35
room,34
amie,34
killer,34
um,34
fine,34
famille,34
photo,34
ignore,34
met,34
cure,34
whole,34
used,33
logan,33
both,33
simone,33
humains,33
wrong,33
pretty,33
looks,33
same,33
party,33
hear,33
woman,33
care,33
corps,33
procureur,33
grand,33
prison,32
façon,32
anyone,32
myself,31
together,31
reste,31
big,31
hi,31
forever,31
nouveau,31
trying,31
raison,31
détective,31
club,31
soir,31
main,31
tueur,31
remember,31
quel,31
appelle,30
taylor,30
quelques,30
probably,30
dites,30
course,30
tué,30
coming,30
tried,30
pu,30
through,30
called,30
silver,30
jackson,30
assez,30
sens,30
audrey,29
until,29
private,29
moins,29
entre,29
chance,29
morgue,29
hit,29
public,29
try,28
fire,28
fils,28
sera,28
kelly,28
faut,28
bbs,28
job,28
ydy,28
ffff00,28
plutôt,28
ask,28
died,28
toutes,28
great,28
e,28
h,28
cause,28
robert,28
aucun,28
voiture,28
heures,28
père,27
talking,27
leni,27
haven,27
partir,27
celui,27
viens,27
serait,27
dernière,27
ensemble,27
once,27
secret,27
most,27
aucune,27
cops,27
year,27
body,27
croyez,27
check,27
quelle,27
cas,27
parlé,27
étiez,27
three,27
humans,27
aurait,27
voilà,27
pourrait,27
jour,26
few,26
each,26
soit,26
sait,26
rester,26
désolée,26
money,26
working,26
étaient,26
question,26
humaine,26
passe,26
which,26
laissez,26
années,26
vois,26
anyway,26
scott,25
already,25
matter,25
kent,25
hot,25
air,25
vamp,25
tard,25
possible,25
devez,25
allons,25
maison,25
whitley,25
venir,25
enough,25
phone,25
minute,25
voulait,24
affaire,24
chaque,24
business,24
boyfriend,24
questions,24
aura,24
morrow,24
sécurité,24
ah,24
friends,24
puis,24
prie,24
living,24
arrive,24
tes,24
amis,24
important,24
hours,24
arrivé,24
date,24
real,24
different,24
saying,24
another,23
tuée,23
dr,23
went,23
became,23
town,23
hurt,23
wants,23
nice,23
devenu,23
cet,23
safe,23
lance,23
pensez,23
heure,23
while,23
eh,23
prendre,23
b,23
best,23
everyone,23
yet,22
mois,22
house,22
hold,22
die,22
pensais,22
prêt,22
meet,22
asked,22
ready,22
excuse,22
days,22
daughter,22
news,22
shot,22
head,22
savais,22
run,22
importe,22
york,22
laisse,22
perez,22
feu,22
problème,22
carl,22
point,21
dirait,21
thinking,21
petite,21
partie,21
though,21
entendu,21
marche,21
pay,21
parents,21
face,21
worry,21
essayé,21
devriez,21
bonne,21
vivre,21
devrais,21
makes,21
jours,21
truth,21
longtemps,21
sous,21
sara,21
almost,21
trust,21
person,20
ville,20
hello,20
sortir,20
deal,20
idea,20
vient,20
between,20
couldn,20
finally,20
dehors,20
flics,20
drogue,20
truc,20
toute,20
start,20
elles,20
alive,20
number,20
everybody,20
tina,20
past,20
compris,20
occuper,19
telling,19
mourir,19
gars,19
problem,19
studio,19
sex,19
comprends,19
connaissez,19
end,19
next,19
plaît,19
hard,19
pendant,19
scene,19
remède,19
seen,19
guillermo,19
yeux,19
eux,19
compte,19
o,19
devrait,19
privé,19
clear,19
hôpital,19
épisode,19
sentir,19
vite,19
supposed,19
tant,19
later,19
paparazzi,19
gets,19
appelé,19
tête,19
knows,19
seem,19
lost,18
danger,18
dont,18
verdolino,18
enfant,18
regarde,18
appeler,18
button,18
jason,18
dmbmh,18
ait,18
rendez,18
hmm,18
eyes,18
cool,18
présente,18
drink,18
brought,18
mec,18
contre,18
father,18
sounds,18
use,18
attends,18
worked,18
cours,18
second,18
vérité,18
allais,18
retour,18
ur,18
break,18
suppose,18
aide,18
demande,18
word,17
hospital,17
ben,17
entrer,17
attendez,17
million,17
investigator,17
secrets,17
plan,17
book,17
travail,17
wow,17
croire,17
bonnie,17
lieu,17
donne,17
weird,17
règles,17
least,17
trois,17
save,17
forget,17
transformé,17
stuff,17
propre,17
careful,17
involved,17
fin,17
anybody,17
hope,17
choix,17
fun,17
eat,17
homme,17
laisser,17
drunk,17
arrêter,17
confiance,17
doctor,17
boulot,17
afraid,17
meilleur,17
thinks,17
pollock,17
suicide,17
arrête,17
relation,17
service,16
says,16
either,16
spalding,16
écoutez,16
mm,16
porte,16
known,16
show,16
women,16
week,16
move,16
hired,16
julia,16
lindsey,16
combien,16
camera,16
message,16
puisse,16
ressemble,16
devais,16
impossible,16
mottola,16
lilah,16
whatever,16
having,16
saison,16
protéger,16
tellement,16
picture,16
christian,16
chambre,16
sleep,16
many,16
also,16
drug,16
cameras,16
reporter,16
whoa,16
mind,16
dessus,16
months,16
stories,16
boy,16
inside,16
aren,16
traduction,16
manager,16
parle,16
exact,15
monstre,15
celle,15
address,15
sent,15
client,15
lucky,15
transformer,15
seulement,15
sort,15
attention,15
suspect,15
ain,15
sire,15
internet,15
surprise,15
under,15
em,15
soon,15
easy,15
crazy,15
amour,15
child,15
adn,15
park,15
sync,15
nos,15
derrière,15
welcome,15
trouve,15
livre,15
sometimes,15
semble,15
pick,15
happy,15
reason,15
route,15
waiting,15
behind,15
passer,15
penses,15
sexy,15
six,15
demandé,15
miss,15
times,15
evidence,15
suite,14
bit,14
numéro,14
cynthia,14
hein,14
vieux,14
croyais,14
chérie,14
may,14
play,14
smell,14
rules,14
bas,14
pouvais,14
lying,14
revoir,14
morts,14
eye,14
celebrity,14
proche,14
adresse,14
jill,14
girls,14
faute,14
rendre,14
drake,14
hearst,14
able,14
surveillance,14
nobody,14
groupe,14
vivant,14
équipe,14
hide,14
cacher,14
answer,14
ambulance,14
enquête,14
watch,14
works,14
parlez,14
needs,14
contact,14
cell,14
bring,14
change,14
semaine,14
normal,14
appel,14
against,14
means,14
calls,14
image,14
simple,14
donner,13
mettre,13
hand,13
eileen,13
lors,13
voici,13
disent,13
fayed,13
open,13
fou,13
hands,13
savait,13
paying,13
filles,13
page,13
loin,13
mauvais,13
rapport,13
professor,13
perfect,13
happen,13
morning,13
première,13
freezer,13
loved,13
dirais,13
chercher,13
vers,13
making,13
goes,13
v,13
parfois,13
voice,13
late,13
such,13
noir,13
matin,13
relecture,13
missing,13
présent,13
felt,13
justice,13
incendie,13
chloe,13
sleeping,13
donné,13
dinner,13
laissé,13
mortal,13
set,13
traces,13
baby,13
security,13
favorite,13
excusez,13
presents,13
today,13
stupid,13
college,13
venu,13
pensé,13
cela,13
special,13
previously,13
saved,13
meant,13
genre,13
girlfriend,13
trace,13
boire,12
sir,12
mortel,12
retrouver,12
côté,12
street,12
soirée,12
faisait,12
hate,12
choice,12
cut,12
capable,12
hollywood,12
fed,12
ni,12
jean,12
payé,12
positive,12
engagé,12
portable,12
sériessub,12
endroit,12
étrange,12
sorte,12
appris,12
high,12
relationship,12
transforme,12
figured,12
essaye,12
souviens,12
recherche,12
moyen,12
fini,12
named,12
mis,12
bobby,12
anymore,12
sauver,12
appels,12
quite,12
prends,12
pieu,12
regardez,12
dangerous,12
dating,12
monster,12
war,12
38b0de,12
protection,12
thinkin,12
kidnapped,12
dès,12
shut,12
lunch,12
feels,12
monsieur,12
jack,12
souvent,12
heart,12
kid,12
read,12
touch,12
âge,12
needed,12
cover,12
gave,12
become,12
seriessub,12
mine,11
walk,11
changed,11
hour,11
sauvé,11
vamps,11
murdered,11
drive,11
découvert,11
door,11
kate,11
vincent,11
taken,11
file,11
dangereux,11
voyons,11
risque,11
buddy,11
kidding,11
harlow,11
avons,11
leurs,11
given,11
professeur,11
monaghan,11
affaires,11
finir,11
meeting,11
devient,11
definitely,11
scène,11
sign,11
ken,11
yours,11
bought,11
allait,11
outside,11
age,11
content,11
stake,11
idée,11
hiding,11
los,11
demain,11
glad,11
missed,11
sighs,11
1re,11
arrêtez,11
information,11
disait,11
bye,11
mère,11
inquiète,11
importance,11
shouldn,11
mail,11
disais,11
serious,11
téléphone,11
tiens,11
restez,11
killing,11
recherches,11
fête,11
nouvelle,11
appelez,11
mails,11
enfin,11
order,11
thief,11
happens,11
journaliste,11
paid,11
fuite,11
expert,11
instant,11
prenez,11
looked,11
bar,11
mandat,11
entendre,11
sample,10
fresh,10
prend,10
marcher,10
upstairs,10
escort,10
personnes,10
luis,10
system,10
saviez,10
mlle,10
curse,10
mom,10
moved,10
speak,10
effet,10
kept,10
track,10
food,10
watching,10
investors,10
disparu,10
follow,10
facile,10
started,10
mets,10
giving,10
connu,10
figure,10
perdu,10
pulse,10
valis,10
married,10
lives,10
attendre,10
rest,10
regarder,10
donovan,10
pouls,10
lien,10
guerre,10
garçon,10
pranic,10
énergie,10
catch,10
honey,10
procès,10
raté,10
habitude,10
visage,10
propos,10
continue,10
sois,10
spent,10
fort,10
fleur,10
weren,10
movies,10
tue,10
proudly,10
ceux,10
précédemment,10
damn,10
chaud,10
boss,10
travaille,10
young,10
bed,10
cou,10
completely,10
ones,10
espère,10
side,10
devant,10
outta,10
redevenir,10
abord,10
free,10
straight,10
pourra,10
garde,10
wound,10
partout,10
seems,10
west,10
ladies,10
lumière,10
usually,10
dernier,10
éloignez,10
taking,10
voleur,10
rappelle,10
worried,10
cash,10
femmes,10
hotel,10
report,10
century,10
su,10
cherish,10
site,10
apartment,10
bébé,10
victims,10
energy,10
types,10
mature,9
venue,9
hasn,9
sortie,9
scoffs,9
appareils,9
jeune,9
vérifié,9
pensait,9
five,9
kinda,9
gift,9
droit,9
semaines,9
anders,9
goût,9
agit,9
voudrais,9
parti,9
peuvent,9
tac,9
calling,9
somehow,9
seeing,9
keeping,9
el,9
dark,9
relations,9
colère,9
angry,9
noble,9
sound,9
odeur,9
none,9
weeks,9
centre,9
4096d1,9
feeling,9
bleeding,9
pote,9
sommes,9
oublié,9
stalking,9
connection,9
seriously,9
pourrais,9
explain,9
top,9
test,9
marché,9
beau,9
city,9
using,9
checked,9
force,9
amazing,9
fasse,9
rider,9
squad,9
partez,9
victimes,9
others,9
finit,9
davis,9
reculez,9
lusitania,9
team,9
