Mot;Occurrence
i;2296
mick;191
st;55
john;60
merci;97
de;1638
vous;1404
joindre;2
à;867
nous;153
ce;622
soir;31
je;1738
en;620
prie;24
alors;111
décrivez;1
la;910
vie;68
d;562
un;1008
vampire;194
est;1680
effrayante;2
c;967
une;565
mauvaise;7
blague;3
mais;397
vérité;18
buvez;3
du;280
sang;155
pourquoi;126
m;315
offrez;1
plaisante;1
j;747
ai;586
fournisseur;1
sorte;12
dealer;2
ouais;89
n;415
avez;172
jamais;93
mordu;6
personne;58
moins;29
qu;550
on;514
me;320
le;1145
demande;18
dormez;3
dans;290
cercueil;1
conte;1
vieilles;2
femmes;10
dors;4
frigo;5
et;698
puisqu;2
parle;16
l;840
ail;3
excellent;4
sur;209
pizza;1
il;970
repousse;2
mes;72
rendez;18
parfois;13
jetez;2
eau;9
bénite;1
moi;341
mouille;1
crucifix;1
ok;32
si;271
aimez;6
genre;13
choses;38
peux;155
vraiment;93
pas;1278
transformer;15
chauve;3
souris;4
serait;27
cool;6
non;253
lumière;10
jour;25
elle;500
conseillée;1
plus;195
suis;256
au;201
soleil;8
bien;229
sens;30
ne;584
enflammez;1
éviter;6
comment;134
tuer;67
avec;249
pieu;12
bois;7
crois;104
tuera;7
lance;13
flamme;1
ferait;6
ou;94
perdant;1
tête;19
veux;163
dire;110
propre;17
autrement;3
guérissons;1
semblez;4
être;259
type;60
les;587
vampires;111
sont;132
des;367
tueurs;5
plupart;7
ont;101
frontières;1
règles;17
chasse;4
enfants;7
innocents;4
y;335
a;991
prédateurs;1
dont;18
doit;60
s;243
occuper;19
pour;520
ça;646
que;1066
êtes;149
devenu;23
détective;31
privé;19
façon;32
utiliser;8
pouvoirs;3
conseils;2
aspirants;1
écartez;3
ma;94
route;14
voulais;40
savoir;72
avais;42
occasion;5
expliquer;8
rêve;2
voici;13
réalité;5
seul;49
gardez;4
vos;40
secrets;7
cachés;2
ah;11
oui;151
quoi;155
dîner;8
ressemble;16
sais;182
ils;184
disent;13
esprit;7
ouvert;2
essayent;1
accepter;3
gens;54
différents;4
réagissent;2
mal;36
lorsqu;2
découvrent;1
immortel;8
autre;67
chose;112
laquelle;4
devez;25
vivre;21
quand;117
éternels;1
passé;54
rattrape;1
toujours;100
comme;160
toutes;28
histoires;3
détectives;2
celle;15
ci;6
débute;2
par;91
fille;52
prometteuse;2
interrompt;1
tragiquement;1
tueur;31
cavale;1
fait;231
plutôt;28
deux;82
filles;13
déjà;44
morte;43
ici;147
beth;139
turner;26
buzzwire;42
coupez;2
étais;93
vrai;37
amanpour;1
dirait;21
était;333
ta;41
1re;11
émission;1
web;3
prendre;23
photo;23
corps;33
flics;20
laisseront;2
pars;7
sans;48
mon;225
dieu;53
dit;142
garce;1
info;1
nuit;56
lieutenant;2
carl;10
pouvez;35
rien;128
tout;203
allez;60
première;13
qui;340
donné;13
emplacement;1
tireur;2
autoroute;3
étudiante;5
université;5
hearst;6
leur;42
mascotte;1
tatouée;1
partie;21
cachée;3
son;164
anatomie;1
devant;10
derrière;15
ces;88
types;6
éloignez;10
caméras;5
suite;14
aurez;6
vécu;6
autant;8
penserez;1
peut;174
surprendre;3
avant;50
cette;121
voie;6
marcher;10
pieds;3
nus;2
fontaine;2
glaciale;1
heures;28
matin;13
meurtre;39
melrose;1
southland;1
tuée;23
quelque;70
connais;41
flic;6
journaliste;11
rencontrés;3
très;66
familiers;1
souvent;12
question;17
préférez;2
terrorise;4
existent;5
dites;30
www;31
sériessub;12
com;33
présente;18
moonlight;24
saison;16
épisode;19
traduction;16
dmbmh;18
emmené;4
pris;42
cherche;7
sa;114
voiture;28
pied;6
permis;4
stationnement;3
tu;747
vérifier;5
badge;1
t;310
fais;64
appellerai;5
visiteurs;3
ton;90
histoire;45
après;61
seulement;15
idée;11
géniale;1
as;190
inventée;1
venu;13
mets;10
peu;62
science;2
expert;7
faire;141
péter;2
truc;20
paraisse;2
réel;3
parmi;3
penses;15
quelle;27
prochaine;3
étape;2
steve;5
eu;55
adresse;14
pense;38
tour;6
vas;62
maman;3
veut;57
nouvelles;6
fraîches;1
changer;9
jeu;8
ait;18
commencé;3
ceci;1
aussi;62
valable;2
silencieux;2
partenaire;2
sud;2
américain;2
position;4
claire;1
court;2
actions;2
shanghai;1
affaire;24
réglée;2
salut;60
débarrasse;1
lui;161
meilleur;17
ami;51
josef;67
vieux;14
va;171
ans;105
preuve;9
vivante;4
paranoïa;1
