Mot;Occurrence
i;3968
mick;234
st;62
john;66
thank;56
you;3039
for;468
joining;1
us;103
tonight;34
re;470
welcome;15
so;406
what;719
s;1660
it;1302
like;344
being;52
a;1639
vampire;229
sucks;3
bad;37
joke;2
know;584
but;409
the;1934
truth;21
drink;18
blood;162
why;157
offering;1
m;499
just;359
kidding;11
yeah;380
have;433
guy;102
mean;95
dealer;2
never;115
bite;7
anybody;17
no;478
unless;8
they;261
really;144
ask;28
do;372
sleep;16
in;645
coffin;3
that;1016
an;139
old;43
wives;1
tale;1
freezer;13
and;860
while;23
we;532
on;493
subject;7
garlic;3
is;623
tasty;2
pizza;1
does;54
repel;1
repels;1
my;397
dates;1
sometimes;15
toss;2
holy;2
water;4
me;738
get;333
wet;4
crucifixes;1
okay;324
if;232
kind;70
of;784
thing;87
oh;224
definitely;11
can;400
t;1081
turn;54
into;91
bat;3
d;177
be;340
cool;12
though;21
wouldn;46
about;316
daylight;5
not;456
good;118
longer;5
sun;8
worse;7
feel;58
don;398
burst;1
flames;1
help;70
how;274
kill;91
wooden;3
stake;11
guessing;4
won;35
flamethrower;1
will;84
or;130
lose;6
our;65
head;22
literally;3
other;71
heal;5
seem;19
very;52
nice;23
fellow;1
vampires;80
people;95
most;27
boundaries;2
rules;14
hunt;6
women;16
children;7
innocents;2
there;346
predators;1
out;285
who;176
need;115
to;1521
dealt;1
with;351
became;23
private;29
investigator;17
way;118
use;18
special;13
abilities;2
any;69
advice;4
wannabes;1
stay;45
often;1
wondered;2
would;128
had;140
opportunity;1
explain;9
myself;31
fantasy;2
here;271
reality;3
alone;39
keep;59
your;350
secrets;10
hidden;5
dinner;13
party;33
looks;33
everyone;23
says;16
open;13
minded;2
tries;1
accept;2
are;347
different;24
from;183
them;99
react;1
well;268
when;171
find;87
undead;5
ve;212
got;197
deal;20
live;35
forever;30
past;19
always;61
catches;1
up;231
all;301
detective;5
stories;16
this;608
one;211
starts;7
girl;49
promising;2
life;53
cut;12
tragically;1
short;3
killer;33
loose;4
technically;3
two;73
girls;12
already;25
dead;78
beth;163
turner;30
buzzwire;51
was;663
total;1
amanpour;1
ever;49
first;55
webcast;1
gotta;56
shot;22
body;27
cops;27
let;123
anyone;32
close;34
leaving;5
without;36
money;26
god;56
did;205
say;86
yes;66
become;12
news;18
whore;1
overnight;3
lieutenant;2
carl;12
tell;134
see;140
nothing;70
come;145
scene;19
fed;12
location;6
freeway;3
shooter;2
right;245
fine;34
think;233
she;503
hearst;8
college;13
student;5
their;47
mascot;1
tattooed;1
discreet;2
part;25
her;394
anatomy;1
front;7
back;181
these;58
guys;38
cameras;16
now;213
move;16
been;138
around;50
as;126
long;67
surprise;7
anymore;12
before;61
saw;50
walking;4
barefoot;2
through;30
freezing;2
fountain;2
