Mot,Occurrence
i,36363
de,8201
a,8170
je,7368
the,6527
you,6482
to,5986
est,5447
le,5003
s,4961
pas,4942
que,4806
t,4708
on,4390
et,4313
un,4310
la,4269
j,3943
it,3915
c,3789
and,3782
à,3757
me,3637
tu,3195
il,3174
that,3048
les,2933
l,2897
m,2762
ai,2681
une,2678
pour,2659
d,2568
of,2522
en,2487
was,2440
ce,2341
qu,2283
in,2272
ça,2191
my,2148
vous,2090
randy,1995
we,1914
earl,1851
mais,1851
des,1828
ne,1784
était,1678
for,1659
he,1624
dans,1528
what,1475
but,1415
is,1409
this,1395
n,1377
joy,1369
qui,1349
mon,1337
si,1327
as,1301
plus,1278
moi,1259
with,1231
avec,1231
your,1226
re,1201
out,1180
just,1175
elle,1165
like,1149
du,1148
do,1135
have,1110
so,1104
be,1099
fait,1093
y,1082
faire,1079
got,1069
bien,1054
ma,1051
don,1038
not,1036
get,1027
can,1022
oh,1017
suis,1017
au,992
sur,988
être,964
comme,937
tout,934
all,928
know,918
up,911
se,909
te,899
they,891
about,844
if,824
avait,823
quand,817
she,804
there,802
nous,802
no,777
one,777
are,773
ils,769
son,757
had,746
non,745
him,743
when,713
her,708
sais,687
là,671
lui,660
his,651
going,632
back,626
go,625
at,625
quoi,621
va,620
cette,618
veux,617
toi,614
how,599
here,598
ll,597
même,570
avoir,570
vais,568
peut,556
gonna,554
liste,551
good,545
little,540
darnell,535
right,534
now,522
es,522
want,520
were,512
avais,510
think,508
ton,505
time,504
peux,503
karma,500
juste,494
from,487
who,485
could,485
didn,483
alors,474
did,473
sa,471
hey,471
man,464
make,459
aussi,453
étais,451
off,448
ve,447
dit,445
où,444
par,439
sont,438
some,431
pourquoi,429
see,428
look,425
dire,423
people,421
mes,416
well,412
chose,412
parce,410
an,407
ta,405
jamais,404
bon,403
ou,401
something,398
deux,392
come,391
let,388
ces,386
fois,381
would,380
catalina,378
ont,377
or,374
cause,369
comment,368
ici,368
fais,362
even,360
then,354
oui,353
camden,353
yeah,350
vie,348
rien,348
dois,347
thing,345
list,340
too,340
toujours,338
them,334
by,332
our,321
take,320
car,319
why,316
been,315
us,315
encore,313
donc,311
guy,310
need,308
temps,304
vraiment,304
only,304
peu,303
maintenant,301
voir,301
tell,297
tous,297
never,297
autre,296
monde,295
way,295
really,295
votre,293
gens,290
two,289
down,288
more,285
été,282
where,282
made,281
hickey,279
femme,278
things,277
après,276
prison,276
dieu,276
désolé,276
ses,275
aller,271
aime,270
okay,269
doing,268
allez,267
avant,266
merci,265
voiture,263
quelque,263
put,263
god,261
wasn,260
day,259
petit,259
ouais,258
mal,258
trop,257
très,257
quelqu,257
will,255
crab,253
over,253
life,249
sorry,248
besoin,245
crois,245
sans,245
leur,245
notre,245
give,243
say,243
still,243
again,242
those,242
chubby,240
baby,240
pendant,239
argent,238
aux,235
help,234
love,232
truc,232
their,231
vu,230
into,230
père,228
because,228
choses,225
faut,222
find,222
avez,221
bad,220
cool,218
after,217
mr,217
billie,216
should,214
vas,213
chance,211
first,211
big,210
déjà,210
ok,209
ca,209
mère,208
air,208
sure,207
jour,205
bonne,205
said,203
eu,202
tes,202
hé,199
guys,199
other,199
frère,198
depuis,197
knew,197
getting,196
while,194
thought,192
gars,192
place,190
brother,189
maybe,188
mec,187
being,187
before,186
voulais,186
mieux,186
night,185
stuff,184
better,183
always,182
than,180
vrai,179
lot,179
real,177
mean,177
ernie,177
new,176
great,174
aurais,174
regarde,173
aider,173
wait,172
damn,172
dis,169
parler,169
part,169
ans,169
trouver,169
personne,168
hell,167
stop,167
much,166
ever,166
frank,166
years,166
voilà,166
pense,166
crazy,166
work,165
wanted,165
feel,165
grand,164
doit,164
long,163
kids,162
keep,162
show,162
trying,161
veut,161
uh,161
kind,161
chez,160
took,159
salut,159
prendre,158
quelques,158
these,158
nice,158
went,157
enfants,157
since,156
name,156
pris,155
around,155
next,153
êtes,153
nuit,152
accord,152
kenny,152
peur,151
trucs,151
trouvé,150
toutes,149
bébé,149
used,149
volé,148
dû,148
raison,147
type,147
homme,147
toute,146
viens,146
own,145
every,145
attends,144
assez,144
away,143
savais,143
nos,143
anything,143
old,143
elles,142
voulait,142
pretty,142
sûr,142
talk,142
merde,141
any,141
parents,141
has,141
everything,141
mettre,141
tête,140
remember,140
money,140
seul,140
soit,140
sous,137
aurait,137
someone,136
passer,136
doesn,135
am,135
home,134
shack,133
mort,133
told,133
maman,132
nouveau,130
last,130
maison,130
allait,130
passé,129
plan,129
done,128
fille,128
found,128
euh,128
beaucoup,128
couldn,127
autres,127
laisse,127
dessus,126
dad,126
fils,126
appelle,126
once,124
moins,124
étaient,124
guess,123
face,123
girl,123
vois,123
mis,122
wouldn,122
dodge,121
papa,121
which,120
problème,120
won,120
world,120
looking,119
started,119
wife,118
vos,118
might,118
talking,118
cet,118
left,117
hot,117
police,116
pu,116
tv,116
kill,115
together,115
nom,114
reste,114
buddy,114
laisser,114
point,114
devais,113
serait,112
sortir,112
numéro,112
quel,112
saw,112
call,112
seulement,112
savoir,112
fine,111
try,111
dead,111
entre,111
boulot,110
everybody,110
jours,110
mom,110
pourrait,109
voler,109
job,109
another,109
rayer,109
best,108
hein,108
please,108
faites,107
faisait,107
moment,106
petite,106
lady,106
nothing,106
happened,105
coming,105
passe,105
enough,105
com,105
parle,105
tuer,104
tried,104
friends,104
aide,104
amis,104
coup,103
through,103
arrive,103
thank,102
côté,102
finally,101
celui,101
arrête,100
whole,100
ralph,100
mind,100
minutes,100
sera,99
hear,99
jarick,99
head,99
trailer,99
care,99
chercher,98
porte,98
house,98
trois,98
mois,98
thanks,98
gros,98
vite,98
devrait,97
turner,97
pourrais,97
prends,97
devrais,97
hard,96
jusqu,96
actually,96
called,96
having,96
also,95
seule,95
wrong,95
bus,95
genre,95
chaque,95
few,95
super,94
idée,94
seen,94
came,94
else,94
amour,94
believe,94
inside,93
compris,93
johnny,93
ami,93
problem,93
without,92
change,92
stupid,92
hands,91
making,91
pensais,91
yeux,91
pouvait,91
live,91
same,91
histoire,90
rendre,90
leave,90
parfois,90
hit,90
does,90
o,90
woman,89
three,89
font,89
vient,89
heure,89
essayé,88
happy,88
friend,88
room,88
ecoute,88
donne,87
gave,87
boys,87
journée,87
sweet,87
days,86
tellement,86
bitch,86
motel,86
allais,86
already,86
puis,86
everyone,86
dedans,86
ah,85
idiot,85
télé,85
pote,85
stole,85
fun,85
sens,84
kid,84
dont,84
anyway,84
excuse,84
week,83
pick,83
most,83
donner,83
nouvelle,83
school,83
important,83
free,83
rester,83
acheter,83
dog,82
droit,82
endroit,82
fini,82
yes,82
stay,82
chemin,82
femmes,82
vivre,82
manger,82
probably,82
looks,82
very,82
both,82
end,81
faute,81
contre,81
finalement,81
sang,81
appris,81
main,81
train,81
avaient,81
anymore,80
tant,80
camion,80
sometimes,80
high,80
dernière,80
vont,80
années,79
until,79
today,79
mains,79
voulez,79
premier,79
decided,79
isn,79
six,78
use,78
vieux,78
black,78
cross,78
felt,78
half,78
eat,78
watch,77
pouvez,77
croire,77
pouvoir,77
supposed,77
somebody,77
hui,77
dehors,77
leurs,77
aujourd,77
enfin,77
hate,77
semaine,76
pouvais,76
huh,76
chaz,76
side,75
pierre,75
première,75
dirait,75
plein,75
souviens,75
importe,75
ray,75
year,74
liberty,74
cops,74
mariage,74
turns,74
tard,74
fallait,74
mince,74
paul,74
person,73
perdu,73
essayer,73
listen,73
loky,73
happen,73
savez,73
allé,73
devoir,73
hold,72
famille,72
devenir,72
idea,72
hand,72
check,72
bas,72
though,72
realized,71
ensemble,71
cul,71
front,71
propre,71
arrêter,71
eh,71
truck,71
donné,70
enfant,70
noël,70
turned,70
ben,70
cut,70
devant,70
fête,70
cas,70
course,70
celle,70
combien,70
façon,70
each,70
payer,69
party,69
chien,69
soir,69
facile,69
dur,69
morning,69
machine,68
monsieur,68
thinking,68
worry,68
start,68
club,68
gets,68
yourself,68
crap,68
bonjour,67
miss,67
myself,67
mauvais,67
food,67
town,67
mine,67
living,66
chambre,66
garder,66
transcript,66
must,66
cat,66
fin,66
taking,66
ville,66
lit,66
married,66
malheureusement,66
couple,66
b,66
move,66
derrière,65
em,65
father,65
ensuite,65
partie,65
run,65
compte,65
bag,65
number,65
shirt,65
team,65
demande,64
changer,64
eyes,64
buy,64
story,64
génial,64
plutôt,64
décidé,64
coma,64
espère,64
wow,64
dès,64
ait,64
gotta,64
hair,64
gang,63
tortue,63
hope,63
makes,63
gagné,63
regarder,63
moyen,63
saying,63
ago,63
sait,63
bar,63
connais,63
entendu,62
devait,62
walk,62
eux,62
surprise,62
ass,62
sois,62
corps,61
break,61
partir,61
ask,61
park,61
noir,61
sauf,61
pire,61
pensé,61
shot,60
allons,60
lost,60
longtemps,60
école,60
excusez,60
turn,60
tomber,60
laissé,60
sent,60
says,60
sac,59
bière,59
aura,59
gay,59
www,59
écoute,59
hours,59
prêt,59
brought,59
heures,59
funny,59
estrada,59
question,59
tour,59
jouer,58
nobody,58
commencé,58
crime,58
reason,58
hello,58
matter,58
turtle,58
die,58
heard,58
america,58
ex,58
près,58
bed,58
marche,58
needed,58
cheveux,58
fut,58
gone,58
glen,58
arriver,58
outside,57
venu,57
toilettes,57
voyez,57
jerry,57
caravane,57
réalisé,57
sex,57
ready,57
essaie,57
stupide,57
open,56
wants,56
venir,56
may,56
dormir,56
scared,56
belle,56
working,56
choix,56
haven,56
quelle,56
arrière,56
e,56
penser,56
family,56
possible,56
second,55
anniversaire,55
sleep,55
flics,55
soon,55
bring,55
savait,55
fous,55
feeling,55
