Mot;Occurrence
i;7564
vous;950
connaissez;4
ce;933
gars;45
qui;625
avoue;11
un;1949
crime;16
qu;937
il;1465
n;435
a;1193
pas;2226
commis;5
pour;1168
que;1766
son;352
ex;16
femme;121
évite;5
la;1962
prison;77
celui;40
laisse;53
frère;119
tout;449
seul;78
et;1926
ses;137
amis;63
sans;139
aucune;23
raison;72
de;3466
sauter;11
c;1795
est;2521
moi;604
pendant;111
deux;199
ans;100
mon;627
nom;50
détenu;11
j;1781
avais;245
survécu;9
à;1709
ma;451
1e;16
nuit;56
mais;915
peur;64
me;717
réservaient;1
les;1413
jours;58
suivants;4
je;3141
pensais;36
ça;1094
irait;4
puisque;18
pote;32
ralph;10
était;769
avec;543
allez;110
sors;16
là;300
saison;12
épisodes;4
my;6
name;4
is;6
inmate;1
sous;87
titres;35
par;209
loky;37
jarick;40
transcript;11
swsub;5
com;22
seriessub;9
sub;8
way;8
fr;9
si;630
tu;1317
lis;3
ceci;6
as;392
compris;56
suis;428
parti;24
fallait;33
sorte;5
d;955
ici;133
t;990
aurais;101
bien;433
emmené;5
ai;1154
eu;76
faim;15
hier;19
soir;35
mangé;16
l;1416
autre;117
melon;3
désolé;114
ton;226
ps;1
fait;498
trou;22
dans;724
le;2405
te;452
sens;45
rock;7
and;6
roll;3
s;482
rendu;19
liberté;13
m;682
avait;422
laissé;32
une;1163
tête;60
en;1248
beaucoup;49
explications;1
donner;23
tentative;1
évasion;7
cellule;8
bouclage;5
puisqu;9
y;490
fus;4
transféré;1
passé;60
privée;4
ami;46
enfance;6
soirée;22
pyjama;2
des;825
meurtriers;1
violeurs;1
déjà;113
été;120
garde;35
vue;14
jamais;177
vie;137
carcérale;2
faut;129
habituer;2
journée;33
peut;211
être;373
divisée;1
plusieurs;9
activités;1
réveilles;3
assures;1
rien;218
arrivé;23
tes;104
joyaux;1
démerdes;1
déjeûner;1
vas;93
manger;38
steak;3
trois;39
passes;4
reste;60
du;545
temps;131
essayer;20
occuper;26
sept;10
cinq;8
six;17
neuf;14
joli;17
enfin;49
dormir;31
plus;621
dur;35
parce;144
retrouves;1
seule;33
chose;107
casse;8
routine;1
quand;361
tente;6
tuer;49
chance;69
es;268
victime;6
toute;54
façon;24
puni;2
fouillé;5
profondément;3
surprise;14
sale;19
endroit;33
heureusement;22
visites;2
où;216
voyais;7
mes;183
certains;18
moins;54
rends;13
compte;30
leur;132
fais;163
endurer;2
cette;258
tenue;2
aime;102
changer;31
au;465
boulot;58
nouvelle;40
vole;15
pantalon;14
revend;1
cher;13
toi;314
randy;415
encore;160
prêt;25
continue;13
darnell;157
tiens;16
détenus;5
comme;402
profitent;1
séjour;6
chercher;57
dieu;152
voilà;89
livres;4
ont;173
utiles;3
propre;20
quête;1
bible;11
torah;2
margaret;2
joy;309
elle;487
se;463
sent;12
coupable;14
voulait;71
venir;20
mains;43
vides;1
abandonne;3
truc;112
pourquoi;171
vitrail;1
earl;326
arrive;50
restituer;1
côté;47
angélique;1
pourtant;6
volé;49
verre;10
église;6
serait;47
on;1368
demandé;16
avis;20
sacrifié;1
éviter;13
devoir;32
pisser;10
devant;31
meuf;1
nommée;1
trudy;1
suffisant;1
déteste;31
vais;234
nettoyer;11
viendra;5
dès;31
enquête;7
sur;391
vol;14
essoufflera;1
trop;133
chaud;13
instant;9
risque;5
durer;1
luthériens;1
fini;40
tour;32
première;26
question;23
dentifrice;1
derrière;32
miroir;5
salle;10
bains;8
ouvre;10
gauche;13
cachette;2
secrète;6
sont;218
terminées;1
merci;111
non;217
parlé;20
pu;59
poser;4
questions;9
comment;141
programme;16
réveil;5
quel;56
numéro;24
appart;3
manques;4
dû;95
préoccuper;1
sort;17
étais;216
assez;51
préoccupé;1
mien;11
bleu;12
monde;127
juge;3
teste;1
arrêt;15
savais;54
devais;62
passer;60
minable;5
entendu;25
meilleur;25
moyen;17
respecté;3
taper;8
type;84
balèze;4
approchais;1
dégonflé;1
gangs;11
séparés;2
chaussettes;9
père;97
couleur;13
blanc;17
latinos;1
asiats;1
ou;205
blacks;2
albinos;2
récupère;5
partie;30
cour;10
ombre;6
donc;66
gang;14
correspondait;2
aryens;1
impliquait;2
oublier;12
appris;35
ne;503
sois;41
naturel;1
pense;46
guerre;13
sécession;3
début;21
vois;52
dois;149
raser;4
coeur;16
cheveux;29
fera;23
aurait;73
pensé;20
race;2
supérieure;2
ait;22
progrès;1
allais;39
abandonner;8
vu;110
pouvait;36
accueillir;3
vieux;50
ils;380
savaient;5
survivre;11
peux;179
miser;1
tapis;7
noix;6
place;36
sûr;78
petit;115
assieds;5
charlie;3
pete;1
whisky;5
mike;1
philadelphia;1
john;7
maigre;3
nuque;1
fripée;2
idiot;34
fort;24
rassurait;1
greta;18
garbo;1
judy;3
garland;1
mae;2
west;1
facile;32
emmène;9
bar;21
drive;2
in;6
tue;16
emmènerait;2
jouez;2
aimes;19
filles;24
adore;27
parler;61
meurtre;9
peu;98
flippant;6
sachant;6
elles;69
mortes;1
crash;2
avion;8
êtes;67
depuis;110
avaient;43
accepté;9
voler;39
nos;79
grand;73
dadais;1
sang;48
chope;2
pistache;1
amour;51
impressionnant;4
moments;9
version;6
hétéro;1
couvertures;1
séropositifs;1
touche;9
varicelle;2
tapais;3
fidèle;3
réalité;15
dit;189
aimais;10
veux;242
sente;4
découpé;1
vestes;1
gosses;24
faire;394
sera;51
quittes;10
culpabiliser;2
bravo;4
salopard;7
attends;54
yéti;2
dis;81
lui;333
arrêter;27
appeler;21
demander;12
heure;43
cet;54
sais;287
régler;8
savant;2
quoi;327
ta;161
avoir;252
argent;74
distributeur;9
accès;2
banque;7
ferme;25
h;46
indique;1
minuit;4
pièce;9
va;311
tenir;15
balade;1
pulls;1
odeur;7
manque;13
ouais;70
mal;113
dormi;3
trouille;6
oppossum;1
soit;50
garderais;1
oeil;16
oh;96
venant;2
coincé;15
doigt;21
autoradio;1
supporterai;1
disais;15
vouloir;16
aider;74
occasion;5
ok;91
bon;214
jeter;6
envie;27
soda;8
pourrait;43
drôle;26
maintenant;80
sécurité;13
pouvais;34
mienne;12
sonny;7
jouais;2
jeu;20
canette;2
sert;11
fuir;9
mère;82
gare;3
votre;130
maison;49
jour;81
disparu;16
demandait;3
premières;4
semaines;15
puis;45
lancé;5
flic;19
aussi;200
arme;15
roulé;3
sa;224
voiture;85
coffre;7
bonne;90
voulais;77
voies;2
trouvé;61
invisible;5
apprendre;15
gros;58
types;11
banc;1
terrifiant;2
pouvaient;4
servir;8
jouer;29
aux;100
cartes;4
fout;12
eau;24
chaude;10
pieds;12
fripés;1
cacher;10
douches;4
besoin;91
mâcher;1
indigestions;1
cracher;5
bouffe;16
garder;25
bouton;18
mettre;46
alarme;6
suffisait;3
dire;150
rimait;1
passe;49
minutes;18
doit;96
comptes;4
attendez;20
parlait;5
endormir;5
virements;1
tailler;3
crayon;1
insinuation;1
hein;38
aura;27
parle;50
voyage;11
chevaux;2
hippocampes;2
espace;19
copine;16
attend;11
dehors;46
commencé;12
sortir;63
avocate;1
sourde;1
décidé;26
voir;154
autres;69
gens;116
gagne;6
après;138
grave;34
nouveau;44
chocolat;15
sérieux;23
rester;40
juste;134
failli;4
tomber;25
piège;4
redevable;9
donne;38
snickers;1
devras;9
twix;4
trouver;72
merde;52
même;290
font;19
dingue;16
donné;29
crois;105
caché;9
sortiras;4
vivant;8
glen;23
shipy;1
connais;41
connu;13
scout;11
camden;97
devait;39
porter;14
uniforme;10
réunion;5
fier;7
portait;3
scouts;3
normaux;2
quitté;2
milice;1
locale;3
utilisait;3
attirer;4
aliens;4
alors;240
propres;7
criminel;7
amateur;3
servais;2
complices;1
explique;8
perdu;37
clés;10
entre;65
récupérer;24
télé;38
magnéto;1
tous;127
trucs;49
valeur;3
courte;4
échelle;3
ouvrirais;2
porte;51
notre;120
devise;2
foulard;3
liste;189
cent;5
quelque;52
souvient;4
savoir;56
habitude;15
ressemble;14
départ;7
prépare;6
hickey;65
aurai;20
arracher;4
oreilles;5
foutre;6
cul;28
entendes;1
dedans;22
veulent;15
calmes;2
mettent;4
boîte;14
réunir;4
criminels;12
espérer;4
soient;6
dociles;1
trouverai;2
traquerai;1
ferai;19
peau;9
mince;50
débile;11
balancé;5
comprendre;15
rappelles;4
devrais;35
démolir;1
remarquer;2
faute;40
sait;30
oui;101
plaît;15
écoute;34
calme;32
approcher;4
karma;141
projets;1
différents;5
crever;4
putain;5
gueule;11
blessant;1
mort;50
oncle;11
roger;5
cochon;14
plutôt;33
sympa;25
devenait;4
fou;16
pareil;22
marionnette;3
porterai;1
battrai;1
mec;39
lames;1
rasoir;2
essayais;7
essayait;17
sauver;21
fous;30
écraser;5
camion;13
regarde;77
problème;46
préviens;2
devient;11
dangereux;6
train;12
surveillé;1
magnifique;6
insectes;7
réagir;4
décide;4
prends;61
appelé;18
canard;4
orange;5
air;68
difficile;12
pris;74
mini;6
prendrait;2
arrête;46
dépendant;1
fromage;7
fondu;2
empêcha;1
fut;45
promesse;3
envers;13
préviendrai;1
impression;16
frogger;1
final;6
endurance;1
surêment;1
fumait;1
squelette;2
ours;9
dessin;2
animé;2
mange;10
poisson;10
frapperai;1
âme;11
foutrai;2
balai;4
bouche;23
renverserai;1
amènerai;1
chez;66
coiffeur;3
balayerai;1
gras;3
arracherai;3
utiliserai;1
survêt;1
roulerai;1
éclats;2
remettrai;1
mettrai;6
inverse;5
regarderai;1
rigolerai;1
finalement;22
fumeurs;3
essoufflent;1
bocal;4
enverrai;1
pape;2
saumon;1
abord;22
impressionné;1
manières;1
originales;1
celle;31
servait;1
boule;7
blanche;8
singes;2
jouaient;3
billard;6
tromper;4
souviens;48
vaguement;1
passant;4
fenêtre;3
chien;43
étaient;73
battus;2
choper;3
histoire;47
arrêté;25
effraction;3
vandalisme;1
cassé;11
dent;7
mordant;1
tibia;1
inculpé;1
agression;1
agent;21
stupide;19
envoyé;17
centre;24
mois;49
battu;2
bagarre;4
blague;8
réussie;1
retour;30
braquage;3
épicerie;7
jet;6
pierre;11
maire;6
réfléchissant;2
responsable;13
choix;39
personnels;3
tordrai;1
testicules;1
ballon;6
repensant;4
réparer;15
exemple;7
connaissances;6
pourraient;4
fabrique;2
pointeur;8
couteau;4
pic;1
glace;17
hache;2
mixeur;1
surprends;1
général;8
enfreindre;2
règles;13
inquiet;2
allait;56
arriver;36
série;8
riptide;1
jure;8
craquer;3
quelle;30
singe;13
bj;3
réponds;6
sinon;17
nous;346
raconter;6
conduisaient;1
remorque;1
pousse;8
single;1
fan;10
équipe;18
alabama;1
coach;3
bryant;1
content;19
promis;13
remercie;7
ces;176
quelques;71
réalisé;9
seulement;44
dérangé;2
araignée;2
écartelé;1
petite;35
débat;1
vainement;1
spider;1
ball;4
fardeau;4
pourrais;26
baby;9
sitter;7
changé;23
sortira;8
pissé;5
enfants;70
faisait;54
noir;24
trompé;5
cause;23
imbécile;32
chaussette;8
droite;7
rassure;1
remédier;1
commençant;4
discussion;6
étouffes;1
cloison;1
nasale;1
déviée;1
mash;1
sorti;18
