Mot;Occurrence
well;411
that;3041
was;2440
me;2486
everytime;4
something;398
good;544
happened;105
to;5980
bad;217
always;182
waiting;36
around;155
the;6493
corner;12
karma;221
s;4255
when;713
i;25481
realized;71
had;746
change;66
so;1103
made;281
a;6176
list;339
of;2509
everything;141
ve;446
ever;166
done;128
and;3766
one;774
by;327
m;1736
gonna;554
make;456
up;908
for;1651
all;921
my;2136
mistakes;5
just;1174
trying;161
be;1099
better;183
person;73
name;150
is;1399
earl;1110
joy;857
darnell;322
recently;11
learned;46
few;95
tips;5
on;2420
how;599
fight;51
watching;40
dr;10
phil;6
tv;99
you;6473
are;772
making;91
feel;164
very;82
angry;21
because;228
needs;23
aren;35
t;3373
being;187
met;37
your;1223
don;1017
sense;24
unfortunately;49
episode;22
couldn;127
undo;4
years;166
springer;3
dummy;39
damn;172
it;3903
do;1130
what;1472
tell;296
throw;52
surprise;45
party;69
birthday;44
next;153
month;35
but;1390
won;118
surprised;22
can;1022
act;25
look;420
not;1035
only;303
two;289
them;333
arguing;11
fun;81
watch;77
also;95
gave;87
chance;101
number;64
never;297
took;159
side;75
we;1910
were;512
married;66
wasn;260
at;623
backing;1
wife;118
in;2262
arguments;3
with;1221
strangers;7
twelve;3
ball;28
pot;24
okay;240
again;242
pop;22
those;242
boobie;1
implants;1
yours;32
fly;22
this;1395
bar;36
like;1145
loose;13
ballon;3
an;376
accident;14
think;508
they;888
re;1199
real;177
oh;744
her;708
definitely;17
didn;483
take;319
came;91
family;56
why;316
no;771
monkey;20
grab;13
chip;6
out;1177
actually;96
takes;23
quite;22
bit;32
skill;2
try;111
tip;10
salsa;1
his;651
even;360
things;277
argue;8
back;622
dang;5
got;1066
crab;159
juice;8
eye;47
cause;331
cracked;4
wrong;95
way;283
should;214
crack;10
away;143
from;485
now;521
time;503
been;314
whole;100
life;249
somebody;77
sick;27
year;74
sure;205
want;520
she;804
point;73
hear;99
coming;105
husband;47
left;117
imagine;35
kind;161
fine;108
ll;595
about;842
called;96
am;133
bind;3
here;595
talking;118
complicated;12
started;119
obsessed;2
some;431
show;153
britney;4
kevin;30
chaotic;1
swear;29
american;48
royalty;1
snap;38
big;207
ass;62
disappearing;5
into;230
entertaining;2
center;5
yeah;340
crystal;6
federline;2
get;1027
us;314
furniture;6
mean;177
week;76
ago;63
finally;101
saved;22
enough;105
money;138
ran;20
problem;93
idea;72
come;390
push;19
almost;39
there;801
did;473
went;157
return;26
yet;48
another;109
receipt;4
has;140
gum;28
know;916
fruit;12
stripe;3
pull;45
off;448
still;243
see;428
thing;344
half;78
item;35
sorry;248
system;6
without;92
hell;167
after;214
minutes;67
throwing;11
chew;4
have;1110
best;107
situation;21
much;166
glare;1
contest;11
white;47
lady;104
judge;15
black;76
hey;339
living;66
room;88
god;261
please;108
need;308
third;30
umbrella;2
maybe;188
unplug;3
cord;7
before;186
son;266
bitch;86
leaving;24
returned;5
somehow;9
or;360
yes;81
will;254
