Mot,Occurrence
i,39311
a,28418
the,25626
you,24283
de,19342
s,18865
to,17428
est,14720
l,13847
je,13461
le,13154
it,12848
pas,11297
t,10929
on,10794
la,10647
il,10421
un,10306
that,10255
que,9407
of,9255
vous,9142
à,8631
he,8507
and,8308
in,8129
c,7533
d,7468
was,7332
tu,7256
me,7218
et,7149
is,6739
les,6534
une,6297
we,6164
en,6081
what,6042
ce,6027
j,5970
ne,5875
m,5865
n,5457
ai,5268
qu,5078
this,5053
not,5035
ça,4990
for,4903
pour,4869
have,4713
des,4320
no,4279
gibbs,4132
know,4069
your,3977
with,3951
my,3923
re,3916
do,3649
du,3640
dans,3543
him,3499
be,3498
as,3467
she,3463
his,3403
elle,3352
qui,3285
mcgee,3194
they,3129
don,3115
got,3104
sur,3081
but,3028
can,2995
y,2967
are,2965
était,2950
just,2911
there,2904
here,2741
out,2719
her,2701
all,2675
avec,2672
one,2656
like,2646
at,2607
get,2586
well,2566
so,2534
agent,2510
mais,2508
about,2501
bien,2479
yeah,2467
up,2453
être,2408
nous,2407
non,2384
au,2351
son,2327
tony,2321
from,2300
if,2236
right,2233
si,2231
fait,2207
moi,2188
did,2168
an,2128
how,2120
plus,2086
ils,2002
think,1997
suis,1889
who,1881
were,1842
mon,1815
abby,1793
didn,1790
ll,1788
ve,1782
when,1781
why,1736
ncis,1730
boss,1708
been,1704
été,1684
now,1666
tout,1654
would,1634
lui,1630
avez,1629
dinozzo,1628
quoi,1619
going,1618
oh,1603
had,1583
go,1579
là,1563
back,1558
want,1542
peut,1518
good,1515
or,1503
time,1497
comme,1476
where,1465
faire,1447
sais,1446
ziva,1432
va,1422
oui,1408
se,1405
quand,1404
dit,1390
okay,1383
see,1376
could,1374
où,1371
tell,1349
two,1343
par,1329
ici,1325
them,1321
pourquoi,1321
sont,1306
need,1289
ont,1286
our,1263
te,1250
votre,1242
dire,1232
ouais,1218
chose,1213
sa,1213
something,1185
deux,1178
us,1168
then,1135
by,1124
yes,1120
never,1109
find,1106
ou,1099
let,1092
juste,1079
cette,1075
down,1072
look,1063
patron,1057
ma,1054
found,1051
take,1038
off,1038
way,1025
some,1023
veux,1020
rien,1016
any,1014
more,1000
really,994
come,994
avoir,992
toi,989
mort,980
team,977
jethro,975
peux,972
only,959
marine,953
quelque,950
comment,945
même,942
jamais,936
avait,936
gonna,936
has,928
will,927
say,920
last,896
ducky,894
dead,893
vraiment,874
guy,872
call,859
hey,852
too,844
man,841
little,834
make,824
très,824
over,823
said,811
maybe,804
trouvé,799
car,792
ses,791
es,784
anything,782
still,778
alors,774
lieutenant,774
should,766
autre,762
vais,757
besoin,757
lt,753
êtes,747
ton,746
notre,745
am,744
sorry,742
before,739
sure,735
people,734
quelqu,733
bon,730
aussi,726
maintenant,725
ces,722
com,719
voir,714
because,713
their,712
first,709
pense,702
work,697
temps,697
into,694
vu,693
toujours,692
après,683
merci,682
fois,678
tous,678
someone,677
very,673
mean,672
avant,671
donc,665
three,664
doesn,661
name,657
encore,653
ago,652
allez,649
than,647
left,641
after,640
eu,639
even,637
kate,636
does,632
talk,632
these,630
thought,629
officer,627
peu,621
long,621
phone,619
thing,619
doing,615
corps,614
depuis,611
killed,600
night,596
director,593
wasn,592
crime,588
told,587
much,586
years,585
déjà,580
uh,577
tué,577
nothing,573
put,571
help,570
mr,568
fais,564
other,563
parler,558
made,558
ans,557
give,551
crois,550
case,548
through,546
étais,540
www,537
femme,535
looking,534
body,533
which,531
kill,529
voiture,527
lot,526
part,525
cause,521
question,520
palmer,520
personne,518
place,511
sir,510
thank,509
sûr,507
believe,506
might,502
same,499
dois,498
home,493
mes,492
day,489
aux,488
homme,486
cela,484
sans,483
duck,482
trying,480
kind,479
ever,477
death,475
bad,470
guys,467
nom,465
those,464
leur,463
again,457
used,457
veut,455
old,454
wrong,453
minutes,453
pu,453
avais,450
monsieur,449
parce,449
went,446
every,446
point,445
o,445
special,444
ok,443
directeur,441
trop,440
dû,439
beaucoup,433
soit,432
better,431
abs,431
keep,428
avons,426
david,425
room,425
moment,425
savoir,423
around,421
dis,420
yet,419
actually,418
always,416
knew,415
working,415
passé,414
vie,413
already,412
called,410
done,410
air,410
blood,409
trois,408
guess,407
ta,407
ask,406
doit,406
dr,402
agents,402
murder,402
must,400
wouldn,400
wanted,398
took,398
désolé,397
life,397
aurait,396
being,394
vas,392
everything,392
looks,392
six,392
eh,391
petty,390
chez,387
money,387
accord,385
sous,384
please,384
wait,381
else,380
police,379
fille,379
another,378
stop,376
savez,376
getting,375
may,375
aurais,373
capitaine,372
morning,371
nice,371
until,368
job,367
came,366
second,366
cell,365
problème,364
fbi,364
saw,363
leave,363
quel,363
shot,360
navy,359
probably,359
pourrait,357
trouver,357
mois,357
thanks,356
away,356
nuit,356
sait,356
days,355
base,355
sang,354
four,352
vrai,352
chance,352
enough,352
probie,351
vos,351
gars,351
aller,350
wife,350
new,348
talking,347
bonne,347
type,346
raison,345
moins,344
pris,343
entre,342
love,341
girl,341
hell,340
père,340
happened,339
number,338
jusqu,337
tuer,334
since,333
heard,333
things,332
next,332
five,331
affaire,331
mal,330
prendre,330
killer,330
head,329
big,328
check,328
dernière,327
e,327
travail,326
isn,325
quartier,324
both,324
jours,323
autres,322
celui,322
idea,319
security,319
run,318
maître,318
dessus,317
course,317
own,316
arme,316
toutes,315
hours,315
k,315
hit,315
house,315
months,315
missing,315
won,314
coming,314
woman,314
arrive,312
argent,312
captain,312
problem,311
anyone,311
use,310
most,309
seul,309
quelques,309
euh,309
mieux,309
evidence,308
voulez,307
pretty,307
few,304
ah,303
spécial,301
service,297
vois,296
pendant,296
petit,295
meurtre,295
accident,294
aime,294
gens,293
seen,291
father,290
doctor,288
questions,287
exactly,287
week,285
regarde,284
means,284
best,284
assez,283
étaient,283
appelle,282
hard,279
contact,279
elles,278
show,278
remember,277
try,277
marines,276
sergeant,276
great,275
heure,275
real,275
year,274
sergent,273
family,272
aucun,271
mère,271
while,268
under,268
tête,268
scene,268
cet,266
died,266
tes,265
aider,265
combien,265
haven,264
aucune,263
also,262
téléphone,262
photos,262
jour,262
bas,261
mind,261
couldn,261
truc,260
god,260
puis,260
hear,259
mother,259
computer,259
idée,257
bureau,257
gun,257
face,256
fini,256
friend,255
suspect,255
sécurité,255
équipe,254
couple,253
almost,253
cas,253
men,253
bizut,252
appelé,252
reste,252
start,251
tueur,250
sent,250
heures,250
passe,249
ten,249
inside,249
seulement,248
end,248
serait,248
coup,247
lost,247
possible,246
numéro,246
monde,245
stay,244
without,244
met,243
mossad,242
mallard,241
sera,241
many,239
photo,239
maison,238
records,238
grand,238
toute,238
says,237
choses,237
taylor,236
fine,235
commander,235
today,235
voilà,234
office,233
prison,232
dieu,231
ari,231
vance,229
entendu,228
recherche,227
viens,226
trace,226
hold,226
pouvez,226
faites,225
makes,225
vient,225
leon,224
parle,224
feel,223
enquête,223
victim,223
pensais,223
match,221
clear,221
trouve,221
plan,221
hommes,220
traces,220
boulot,219
quelle,219
hand,219
far,219
dirait,218
ami,218
empreintes,218
matin,217
door,217
seule,217
ait,216
portable,216
husband,216
train,216
least,216
tried,215
once,215
mail,215
secret,215
behind,214
reason,213
porte,213
voulait,212
understand,211
times,211
dna,211
première,211
nos,210
voulais,210
huh,209
code,208
running,208
arrivé,208
contre,208
major,208
rapport,208
supposed,208
care,207
somebody,207
leurs,207
victime,207
meet,207
penses,207
parlé,206
test,206
famille,205
genre,205
word,205
set,205
open,205
message,205
boy,204
allons,204
devrait,204
passer,204
petite,203
partie,203
report,203
wants,203
hands,202
taking,202
close,202
corporal,201
partir,201
sens,201
gets,201
connais,201
yourself,200
knows,200
drive,200
excuse,199
chaque,199
late,199
brother,198
together,198
norfolk,198
weapon,198
savais,197
laisse,197
eux,197
alone,196
thinking,196
mis,196
street,195
hour,195
saying,195
perdu,193
washington,193
scène,193
importe,193
bring,193
half,192
mec,192
donne,192
trust,192
read,191
either,191
croire,191
balle,191
officier,191
hé,190
colonel,190
change,190
travaille,189
peur,189
plutôt,189
investigation,189
between,189
against,189
information,188
answer,188
cool,188
main,187
miss,186
hein,186
hui,186
aujourd,186
laissé,186
high,185
arnett,185
adn,185
calls,184
semaine,184
demandé,184
hope,183
move,183
important,183
presque,182
soir,182
appel,182
docteur,182
affaires,182
aide,182
minute,181
hier,181
pourrais,181
building,181
essayé,181
gone,180
demande,180
derrière,180
salut,180
synchro,180
devrais,180
daughter,180
able,179
kid,179
compris,178
tard,178
listen,178
em,177
everyone,177
tant,177
lf,177
fils,177
side,176
parti,176
file,176
deal,176
live,175
frère,175
whole,175
business,175
gave,175
mettre,175
route,175
compte,175
rivkin,175
lee,174
break,174
person,174
sort,174
attends,174
top,173
dur,173
bar,172
quatre,172
mari,172
dossier,172
plaît,172
michael,172
having,172
damn,172
area,172
telling,171
friends,171
vers,171
pensez,171
femmes,171
pensé,171
women,171
mission,171
stuff,170
suppose,170
faut,170
happen,170
dernier,170
ship,170
asked,169
system,169
sommes,169
surveillance,168
venir,168
dites,168
jimmy,168
record,168
himself,168
front,168
eyes,167
semble,167
clean,166
ready,166
chef,166
suicide,166
prints,165
personnes,165
mike,165
figure,164
côté,164
cut,163
prends,163
access,163
ca,163
john,163
hi,163
années,163
gaillots,162
news,162
soon,162
turn,162
endroit,162
whatever,162
matter,162
su,162
federal,161
près,161
client,161
myself,161
easy,161
shoot,160
bomb,160
sortir,160
outside,160
known,160
address,160
making,159
started,159
todd,159
smith,158
video,158
étiez,158
dont,158
