Mot;Occurrence
hé;190
harry;13
stop;159
qu;5078
est;14719
ce;6027
il;10418
y;2935
a;16925
donne;192
moi;2188
la;10586
lampe;14
torche;3
agent;1625
gibbs;2725
ouais;1218
lieutenant;462
commandant;120
willis;3
sécurité;255
de;19313
base;238
c;7441
le;13151
jour;261
où;1371
hutchins;3
joue;63
au;2349
golf;21
virus;45
intestinal;6
ah;215
agents;254
spéciaux;19
todd;94
mcgee;2121
et;7146
dinozzo;1082
depuis;611
combien;265
temps;697
ces;722
bâtiments;9
ne;5872
sont;1306
plus;2058
habité;3
été;1684
fermée;15
entièrement;14
ans;557
les;6533
projets;15
étaient;283
convertir;3
en;6074
un;10294
parc;75
réductions;5
budget;17
l;13804
ont;1286
obligé;25
à;8629
fermer;16
devenaient;4
danger;52
pour;4867
santé;29
nous;2407
avons;426
mandaté;1
une;6297
entreprise;29
privée;27
démolir;3
quand;1404
présente;37
te;1250
puis;260
pourquoi;1321
me;3814
dernier;170
tu;7256
racontes;2
n;5426
importe;193
quoi;1618
non;2360
mélange;25
ordre;60
d;6473
ancienneté;4
ça;4990
semble;167
bizarre;78
tout;1654
bien;2478
je;13460
pense;702
pas;11297
fasse;58
attention;123
bizut;252
prêterais;1
trop;440
importance;18
dis;419
parce;449
que;9401
ait;216
quelque;950
chose;1204
voir;714
avec;2672
âge;44
dû;439
mon;1808
avis;143
serait;248
niveau;59
intelligence;29
des;4317
compétences;19
générales;1
ai;5268
rien;1016
dit;1390
penses;207
dés;2
su;119
avait;936
travail;326
arrêté;86
sécurisé;18
trou;27
vieux;115
bunker;14
savons;68
petit;295
peu;621
gauche;125
ton;745
autre;762
désolé;397
boss;720
nerveux;35
bon;730
là;1563
tunnel;11
mène;25
maison;238
par;1328
ici;1325
kate;351
vous;9139
venez;70
attend;64
ducky;609
parti;176
clou;3
planté;11
angle;51
droite;71
peut;1518
être;2408
gaucher;10
avez;1629
déjà;579
vu;691
comme;1476
avant;671
seulement;248
dans;3542
films;41
notre;745
mariée;25
neuf;70
pieds;60
bas;261
douze;6
loin;109
plaisantez;11
ceci;117
rappelle;123
mes;492
études;11
université;41
médicale;14
edimbourg;3
pris;343
aller;350
ecole;2
morgue;41
était;2950
petite;203
avions;41
collègue;20
qui;3284
souffrait;7
claustrophobie;2
constamment;6
essoufflé;1
oui;1408
décidé;52
surmonter;5
sa;1213
crainte;5
eh;379
s;7815
fermé;26
tiroirs;3
ventilation;17
sûr;507
demandé;184
déranger;14
pendant;296
heures;250
très;824
impressionnés;1
son;2203
cran;6
travaillé;52
malheureusement;59
mort;980
infarctus;2
si;2231
vois;296
gens;293
peuvent;82
effrayés;4
mourir;96
duck;297
vraiment;874
dégoûtant;13
stephen;3
king;58
aimerai;4
oh;1078
ma;965
chère;25
sortons;5
cet;266
endroit;162
allons;204
approprié;10
promets;23
gentil;58
docteur;182
merci;680
mr;239
palmer;337
maintenant;725
donniez;2
sac;72
transport;27
camion;71
sais;1445
prochaine;79
fois;678
rappellerez;1
guide;14
bonne;347
femme;535
dix;130
étapes;5
plaire;4
votre;1242
mari;172
j;5951
ais;6
lu;58
livre;42
rouge;78
lis;13
pensais;223
lisais;3
mai;20
elle;3352
dur;173
dire;1232
jethro;689
pauvre;77
du;3637
mettre;175
mois;357
années;163
deux;1178
logements;3
abandonnés;3
cinq;141
alors;774
dernière;327
locataire;6
contrôle;73
cette;1075
carlton;5
halpin;1
enfants;100
janvier;3
transféré;23
navale;19
san;30
diego;20
aussi;726
pouvons;42
jamais;936
revenu;54
tous;678
matériel;32
utilisé;136
construction;12
aurait;396
pu;453
acheté;41
quel;363
magasin;27
coin;67
beaucoup;431
meubles;10
pièce;100
authentiques;5
goût;31
divers;6
fabricants;1
fabrication;4
récente;8
devrait;204
avoir;992
visité;4
magasins;3
antiquités;5
ou;1099
brocantes;1
possibilité;17
ils;2002
aient;23
donnés;5
famille;205
m;3497
attendais;49
cela;484
toujours;692
pièces;50
données;120
membres;43
fait;2207
scénario;3
facilement;19
remontable;1
question;357
toi;989
encore;653
revue;10
classique;27
jeunes;23
femmes;171
aujourd;186
hui;186
planifies;1
changement;31
sexe;34
intéressé;16
meilleure;86
façon;142
savoir;423
elles;278
savez;376
propos;144
connaitre;8
pensez;171
ci;119
attendait;16
difficile;89
attirée;8
confident;4
enlevé;31
étranger;40
résultat;40
cas;253
tant;177
pareil;29
magnéto;2
marche;131
voulais;210
mette;8
voulez;307
allumer;7
aide;177
précis;39
rapport;205
enregistre;12
parliez;12
suis;1889
sur;3081
victime;207
caucasienne;2
cause;257
asphyxie;9
spécifique;14
signes;26
évidents;3
traumatisme;24
sexuel;10
mais;2508
déshydratation;1
momification;2
tissus;23
impossible;106
violée;17
exact;64
veux;1020
tou;1
toutes;315
histoires;19
lues;3
types;57
habitude;90
enfermer;8
filles;68
cave;20
faire;1446
conversation;63
réellement;19
portait;32
anneau;5
alliance;5
aucun;271
doute;128
enlevée;29
violemment;4
quelles;27
as;2437
abby;1220
fibres;30
vêtements;47
tapis;17
poussière;13
morceaux;27
insectes;9
draps;5
sales;14
même;942
brochure;6
intitulée;1
epouse;1
truc;260
demande;180
robe;16
peux;972
imaginer;19
virginale;1
fabriquée;1
morte;146
occupe;112
échantillon;36
adn;185
empreintes;218
partout;70
grâce;44
demi;65
momie;4
trouver;357
correspondance;48
équipe;254
cracks;2
vérifie;75
afis;35
siennes;9
crains;9
trouvé;799
traces;174
nettoyant;2
prudent;19
enchaîne;3
garçons;20
carolyn;7
figgis;5
quartier;324
maître;318
troisième;62
classe;94
portée;27
disparue;26
ressorti;3
dossier;168
patron;1052
affaire;331
pacci;5
on;6856
grand;207
partie;203
travailler;108
matin;217
pouf;1
témoins;42
piste;90
froide;23
ben;54
chaude;11
nouveau;156
évalue;3
an;809
environ;108
veut;455
restée;10
ca;163
élimine;5
derniers;81
locataires;2
parle;224
tueur;250
pathologie;3
évidente;3
probablement;150
maltraité;1
enfant;69
père;340
frappait;2
mère;271
battait;6
sait;356
essaie;121
créer;29
relation;58
parfaite;26
vrai;352
nom;465
jeu;91
celle;153
vécue;2
autant;90
espérait;5
étais;540
sûre;89
comprendrais;6
donc;665
coupé;42
arrivée;61
air;308
laissée;30
chambre;157
hermétique;3
problème;364
genre;205
dirigé;8
arrêtera;7
perfection;4
poupée;15
quelqu;733
dehors;114
part;343
recrée;1
photos;184
als;2
indices;31
légaux;3
pertinents;2
envoyés;20
analyse;81
reconstruite;1
partant;7
intérieur;125
exactement;153
représentent;4
époque;34
idéalisée;1
règles;43
entre;342
hommes;220
simples;12
homme;486
âgé;7
jeune;122
tony;1548
choses;237
certaines;48
autres;322
reproductions;1
pur;12
main;171
original;31
important;119
aménagé;1
selon;76
idée;257
rêve;25
plutôt;189
souvenir;30
expérience;46
idéale;5
grandi;28
voulait;212
proche;67
possible;173
éprouvé;3
difficulté;5
laisser;157
derrière;180
lui;1630
comment;941
partir;201
logique;19
soit;432
seule;217
garde;148
aiderait;12
pouvais;74
observer;16
reconstitution;5
vie;412
met;118
mignon;34
interroge;22
fond;39
ses;791
analyses;27
besoin;757
hais;15
chanson;25
croyais;89
avais;450
billets;28
semaine;184
changé;71
vendus;4
ebay;4
écouter;38
agit;55
musique;29
ta;406
après;682
place;253
crois;550
inquiet;24
prennes;3
se;1400
pourrait;357
es;778
bras;61
droit;104
euh;309
directement;40
entendu;228
trucs;66
chouettes;3
hum;63
ok;429
hier;181
retard;58
tête;268
reconstitue;1
observe;13
accord;385
jusqu;337
aux;488
toilettes;58
entrée;65
passée;24
t;5135
souffert;13
abandonner;11
réaliser;12
trouvera;19
espoir;17
asseoir;29
fixer;6
propre;124
reflet;10
marques;29
tenu;17
debout;18
mm;60
concordent;1
viennent;57
chaussures;45
rond;8
large;31
genoux;13
assez;283
marquer;4
permanente;3
priant;3
polopinus;1
ingens;1
communément;3
connu;48
sous;384
coléoptère;2
noir;70
coléoptères;1
jeux;22
ailes;7
paire;21
rigides;1
souples;1
arrière;89
voler;57
va;1419
utile;40
ménager;3
effets;32
donner;126
coup;246
puce;18
espèce;18
particulière;7
trouve;221
sud;69
georgie;2
nord;85
floride;9
virginie;78
marché;109
dessus;317
morceau;36
logé;5
chaussure;16
tombé;43
nid;4
amour;50
malade;44
silence;25
agneaux;3
méchante;7
créature;5
venir;168
laquelle;71
trois;408
bases;15
navales;5
aéronavale;5
jacksonville;7
mayport;1
marins;32
kings;1
bay;4
insecte;6
type;289
raison;345
vacances;39
sauf;112
personne;518
manquant;10
norfolk;112
manque;104
correspond;96
profil;31
ncis;1104
jane;33
melankovic;6
transmis;9
rempli;15
concernant;22
barbara;4
swain;11
seconde;116
manquante;8
presque;182
quatre;172
celui;322
apparence;9
similaire;5
situation;67
également;43
disparues;15
surface;32
terre;90
marchera;3
témoin;88
indice;27
enquêtes;11
avancent;1
prends;163
places;34
prochain;32
vol;152
pensons;28
léger;13
seahawk;16
recherchent;4
anomalies;4
thermiques;3
sol;84
prendre;330
altitude;5
font;94
m²;3
long;273
faim;13
ennuie;12
eu;639
manger;62
avion;113
mangé;26
bourratif;1
poulet;12
singapore;5
sauce;11
champignons;3
redbook;1
ladies;17
home;159
journal;21
section;30
nourriture;33
çà;6
timothy;64
dirait;218
nouvelle;96
signature;26
thermique;3
chaud;48
signe;75
whoa;67
tirez;29
svp;22
3ème;12
darrell;3
baum;1
travaille;189
aviation;9
jure;52
faisait;131
pousser;13
usage;7
personnel;101
plantes;5
pesne;1
devait;137
partager;23
vendait;9
belle;88
marge;5
bénéficiaire;2
cherche;144
commencé;106
taille;44
montre;99
stups;5
baltimore;44
copains;12
partageait;4
nos;210
expériences;7
top;88
occasionnel;4
uh;302
jeunesse;8
innocente;6
experimenta;1
spencer;2
aimerait;14
monsieur;448
laisse;197
deviner;34
fumé;7
aimé;55
maisons;15
analysées;1
signatures;3
enregistré;38
direction;37
tomber;83
nana;11
momifiée;2
intéressant;66
fibre;26
indique;50
produit;23
nylon;3
disponible;15
accumulée;1
meurtrier;43
tenez;33
mieux;309
prétendu;5
coton;5
blanc;32
chaussettes;7
soie;4
pourpre;1
écharpe;9
style;39
portent;8
écharpes;1
abbs;51
merveilleux;10
magicien;5
ailleurs;38
recupérer;1
auras;44
fini;256
voici;122
dossiers;74
demandés;4
transferts;5
posez;23
hey;374
remercions;2
bureau;236
trouvez;69
cacahuetes;1
sans;483
espère;133
voudriez;12
soeur;47
ainsi;95
grossir;1
magazine;12
féminin;6
anorexique;1
personnes;165
disparus;9
compagne;2
debra;14
marshall;7
mécanicienne;1
moteur;15
jeep;5
viens;226
restes;66
chouette;16
aidez;20
fais;564
première;211
interrogatoire;66
madame;151
retrouvée;23
attendez;126
vivante;18
chance;269
retrouver;70
longue;59
disparition;30
parlé;206
camarade;7
6h00;1
travaillait;69
administration;8
sommes;169
rencontré;87
comportait;2
manière;57
étrange;58
autour;66
disputes;4
possibles;15
monde;245
aimait;41
agréables;1
ennemis;34
ajouter;12
particulier;33
chez;387
copain;29
essayait;42
accrocher;7
marier;16
pire;79
excepté;20
rencontrait;7
abrutis;5
pensait;54
allait;122
mentionné;13
sujet;97
confiait;1
aviez;98
leurs;207
noms;61
toute;238
cpo;1
alan;12
drewe;1
gauché;1
traitant;3
cloison;5
sèche;16
pouvait;85
construire;14
capitaine;372
buckner;1
droitier;4
dirige;28
bataillon;5
problèmes;97
psycho;6
fiches;6
dernièrement;12
répondre;48
enthousiasme;2
avances;2
amoureuses;1
devoir;126
épouse;25
assurer;39
besoins;4
physiques;6
soient;34
satisfaits;1
enfermé;12
tué;577
mêmes;40
pensée;10
croire;191
dites;168
sexiste;2
macho;10
faîtes;6
enquête;223
répond;22
trouves;29
parler;558
état;136
esprit;57
suspect;149
respect;44
terrain;91
période;28
essai;16
confus;9
parfois;92
juste;1079
réalité;38
contradiction;3
entière;23
um;85
thérapeute;7
militaire;90
signifie;80
voyait;15
thérapeutes;1
civils;11
chers;9
doivent;33
psy;14
second;146
divorce;21
prêtre;2
aumôniers;3
enregistrer;7
discutez;2
confidentiel;26
arrivé;208
arriver;106
discutions;2
satisfaisaient;1
plan;130
physique;22
sentimentale;1
essayé;181
comprendre;53
mutuellement;2
exclusif;2
concept;14
lequel;37
bars;21
impression;63
restaient;2
