Mot;Occurrence
what;2937
s;8238
this;2434
guy;470
doing;314
oh;189
my;1928
god;113
he;4434
out;1349
of;4680
control;46
turn;92
him;1829
over;363
help;295
me;2495
not;2547
breathing;18
open;94
his;1793
vest;4
been;846
shot;196
call;430
i;19854
need;672
some;561
team;352
undercovers;10
ncis;514
los;28
angeles;28
1x05;1
killshot;1
m;1756
still;388
looking;304
for;2450
a;8829
place;194
could;662
live;89
on;2948
boat;47
tried;125
that;5049
when;841
moved;51
back;744
from;1191
long;258
beach;33
come;528
was;3760
dry;22
dock;8
g;31
it;6631
hadn;23
t;4173
sailed;3
years;334
talking;170
about;1226
real;135
in;4107
marina;22
ocean;16
breezes;1
morning;208
jogs;1
the;12784
you;11906
know;1982
someone;391
with;1919
renko;7
has;507
knows;118
nothing;297
boats;9
footer;1
ask;186
kensi;25
up;1196
so;1330
finished;37
filming;1
your;1913
cell;185
phone;305
dom;14
how;958
did;1107
wasn;259
texting;2
cause;198
kept;53
checking;52
if;1115
dead;487
giveaway;1
took;203
our;631
undercover;35
course;117
pass;32
fully;12
qualified;3
agent;588
don;1441
worry;25
things;183
have;2307
to;8944
learn;27
knife;60
closely;8
pressed;4
against;101
ear;14
by;542
bad;214
who;981
is;3505
convinced;13
are;1529
cop;52
no;1930
but;1528
seriously;17
happened;180
other;303
replaced;8
had;831
problem;163
weather;9
too;442
windy;3
hot;45
and;4186
desert;22
air;67
type;36
thing;306
allergies;3
they;1432
re;1760
working;223
office;113
gonna;431
be;1633
ready;88
hetty;20
want;780
her;1272
armed;31
psychologist;5
ve;830
trained;19
profile;19
suspects;19
brief;12
guys;263
operationally;1
college;25
more;446
get;1231
masters;3
doctorate;2
comes;59
clueless;2
hi;76
ll;753
send;73
them;582
right;1058
ops;19
room;199
all;1378
summoned;2
do;1698
think;899
she;1650
heard;185
probably;156
man;444
jet;40
ski;8
daniel;37
su;43
two;629
weeks;74
ago;362
company;83
received;36
funding;4
defense;50
research;36
projects;9
agency;45
better;204
known;88
mercifully;1
as;813
darpa;12
mr;226
died;138
way;484
hospital;57
there;1400
great;134
consternation;1
pentagon;38
secnav;43
promised;8
swift;2
action;14
determine;15
killed;371
why;838
afraid;47
north;43
koreans;8
defected;3
five;154
file;109
let;538
require;7
epic;1
swell;2
afternoon;22
living;49
dangerously;1
eric;54
thank;244
would;803
wait;191
before;366
coming;177
after;348
contract;27
made;302
visible;4
an;1035
electronics;11
engineer;10
single;56
just;1463
bought;39
house;181
koreatown;1
one;1266
brother;93
jimmy;44
engineering;9
applied;4
sciences;1
lightweight;2
squad;27
based;53
communication;8
system;90
marine;238
interesting;48
rented;16
same;263
at;1282
time;734
every;228
monday;15
thursday;6
saturday;11
creature;3
habit;8
somebody;133
knew;231
were;905
waiting;75
comic;5
book;46
reading;25
graphic;1
novel;4
may;160
commentary;2
humanity;3
struggle;21
differentiate;1
between;91
wrong;208
social;21
fabric;6
society;4
torn;4
asunder;1
technological;1
change;78
explained;8
pictures;23
thought;301
find;492
something;609
stimulating;1
read;82
break;77
personally;27
these;302
dominic;2
settling;1
anxious;10
prove;44
himself;93
aren;55
does;311
three;299
agents;110
didn;809
muster;2
best;135
doesn;310
alone;94
according;64
home;246
address;78
start;117
worked;71
garage;37
lapd;13
yet;163
then;600
save;40
paperwork;23
upstairs;15
clear;90
door;108
locked;24
got;1727
bloody;15
lamp;11
body;251
victim;139
sally;9
morris;5
business;113
partner;41
susal;1
technologies;2
money;214
bankrolled;1
stake;6
small;65
changed;39
maybe;424
rival;2
or;670
jealous;21
lover;14
check;170
see;655
either;77
preliminary;13
autopsy;56
report;109
off;503
fax;2
bullet;63
hit;171
high;92
chest;16
traveling;12
left;305
missed;56
heart;64
quarter;9
inch;9
life;215
jacket;14
acted;4
like;1299
compression;4
bandage;1
slowed;4
bleeding;12
enough;168
path;14
downward;5
trajectory;7
shooter;42
firing;10
above;10
moving;53
target;53
talent;4
trailer;9
park;45
rv;1
those;236
triple;8
pop;6
outs;1
mansion;3
wheels;4
move;92
can;1410
drive;91
away;197
places;17
along;43
coast;27
where;722
camp;37
idea;145
kind;209
sail;6
came;200
around;208
through;285
entrance;6
speed;18
limit;4
miles;33
hour;79
while;131
going;852
slow;27
must;212
accelerated;1
make;389
nobody;51
anything;397
gunshot;36
videotape;3
silencer;2
goes;69
d;679
clean;88
line;67
sight;20
good;697
concealment;1
mast;1
rocking;5
bobbing;1
damn;64
east;41
breakwater;1
security;181
camera;66
overlooking;3
access;91
hard;132
narrowed;6
down;575
shooting;36
gives;31
into;359
position;33
settle;15
carried;15
rifle;8
tackle;5
box;34
cooler;1
another;195
fishing;11
walked;17
past;72
strike;9
hat;6
opposite;9
direction;14
towards;16
parking;19
lot;271
watch;80
taking;105
scope;2
hurry;27
minutes;104
arrives;9
look;515
resolution;6
now;757
we;2917
wearing;31
accessing;5
drives;12
car;327
zoom;11
enhance;2
woman;146
mean;330
looks;202
asian;7
name;336
lee;59
wuan;9
kai;63
whole;89
pile;8
trouble;58
flew;21
week;113
fake;29
passport;25
flagged;4
ice;30
gone;91
server;14
list;51
photos;60
lead;74
appearance;7
korean;9
fanatical;2
nationalist;2
far;107
tell;620
hasn;50
decades;5
assassin;7
exile;1
eastern;7
europe;16
somewhere;35
underestimate;4
will;452
give;280
second;166
chance;69
local;57
analyst;5
technical;4
aspects;4
meeting;48
safe;90
frank;16
davis;15
halfway;7
isn;138
technology;26
started;84
classified;40
project;19
army;25
software;9
secrets;29
under;134
wraps;3
kill;244
anybody;77
thinks;44
shared;12
else;185
explains;23
murder;249
people;356
might;255
married;72
family;155
refusing;2
protection;31
insists;4
staying;33
holed;1
couple;121
units;11
front;74
fight;58
win;23
met;99
yeah;1062
won;119
lady;28
charge;48
leon;119
xiao;1
hong;1
pao;1
tea;27
henrietta;1
emilio;15
pucci;1
scarf;6
always;172
wanted;223
threatening;5
buy;39
ten;117
eleven;1
getting;157
settled;5
new;168
bring;96
outside;70
matters;12
inside;104
taken;67
set;107
inchon;1
olivier;1
used;225
most;139
wonderful;10
chats;3
responsible;28
uniform;8
played;22
general;19
macarthur;2
war;61
funny;54
given;40
current;23
circumstances;13
many;118
sure;335
first;354
prague;3
tokyo;3
seven;55
later;76
times;102
since;169
sierra;3
leone;1
paris;28
york;12
city;40
count;29
should;352
green;27
lucky;56
nemesis;1
only;433
buries;2
ensure;2
happen;73
least;100
until;141
work;359
discovers;1
turning;16
tries;8
whacks;1
really;442
odd;19
weapon;91
pro;19
hand;102
crime;163
scene;145
analysis;20
tomorrow;57
earliest;3
lab;81
ms;56
sciuto;48
hope;88
haven;125
called;224
experiment;10
sort;67
light;41
well;1107
dark;35
actually;194
though;73
technically;16
darkness;2
absence;5
guess;228
lightlessness;1
luck;63
spatter;12
love;153
expert;13
sending;28
l;35
yes;487
am;375
say;401
hello;77
yourself;115
files;51
happy;62
whatever;77
joke;12
here;1394
mood;9
sometimes;58
grinds;1
teeth;27
listen;80
hear;114
their;342
pertinent;3
juicy;4
details;33
blood;205
bedroom;9
hallway;10
everything;222
soon;90
cool;57
abby;391
day;253
chasing;9
trying;226
clearer;2
image;17
killer;212
drove;24
searching;12
nearby;6
traffic;35
cameras;45
license;27
plate;13
able;96
figure;74
keep;228
director;298
being;207
recorded;12
absolutely;33
figured;50
wired;14
us;582
share;39
briefing;5
leave;168
shoot;81
very;343
secretive;3
put;290
fact;48
grown;11
police;76
state;47
sharing;15
information;85
risk;21
result;14
certain;26
key;41
developing;9
embarrassing;9
wouldn;184
terms;8
told;311
financier;1
businesswoman;1
