Mot,Occurrence
i,22464
you,19277
je,14191
a,13903
de,12852
est,10476
the,10356
to,10336
s,9620
que,9505
tu,9094
pas,8880
t,8225
vous,7692
it,7185
me,7153
la,6568
on,6388
le,6342
et,6297
un,6243
and,6114
à,5959
c,5900
ne,5865
that,5717
m,5634
ce,4967
of,4893
il,4813
j,4811
d,4811
l,4723
une,4587
pour,4417
en,4307
ai,4236
les,4150
n,4082
in,3892
ça,3813
qu,3790
what,3751
we,3655
is,3570
my,3570
your,3323
this,3189
for,3159
re,3091
have,3014
as,2870
elle,2748
moi,2705
just,2626
don,2608
be,2569
with,2516
can,2496
know,2478
do,2474
suis,2430
not,2424
des,2419
he,2373
was,2325
qui,2296
she,2249
si,2231
avec,2164
mon,2143
like,2139
sean,2135
are,2110
plus,2108
mais,2072
te,2033
her,2025
nous,2006
dans,2004
so,1995
fait,1990
bien,1960
no,1959
all,1920
faire,1845
but,1813
être,1806
about,1805
tout,1712
christian,1696
get,1658
du,1657
non,1656
veux,1629
y,1609
toi,1526
if,1499
comme,1457
here,1450
want,1440
out,1436
ll,1422
ma,1401
au,1392
at,1387
oh,1368
right,1359
sais,1354
up,1311
how,1293
va,1290
they,1290
think,1289
ve,1289
one,1254
there,1239
sur,1230
dr,1211
ok,1209
es,1183
était,1167
se,1165
him,1152
peux,1149
lui,1149
well,1140
now,1136
quand,1134
son,1100
gonna,1089
matt,1086
look,1082
votre,1075
when,1072
an,1037
go,1023
julia,1014
peut,1009
quoi,988
who,979
why,969
did,963
need,953
come,951
dit,941
ton,939
avez,899
là,895
ils,886
pourquoi,886
good,884
got,883
avoir,875
been,872
from,870
cette,862
yeah,861
oui,858
dire,842
could,840
had,839
see,836
going,828
some,826
his,820
time,818
or,809
rien,809
would,796
jamais,784
ici,766
were,764
didn,763
vais,759
take,758
ta,756
troy,751
sont,750
vraiment,748
même,737
us,732
mcnamara,731
juste,729
let,729
chose,725
really,725
tell,722
little,719
besoin,708
fais,705
back,699
comment,696
vie,696
ou,689
more,686
très,680
par,677
voir,674
never,669
make,669
because,667
alors,655
peu,641
êtes,640
bon,633
mes,619
then,617
our,617
way,616
aussi,615
life,610
will,607
sorry,606
them,605
something,604
été,603
mean,600
love,597
sa,584
ces,574
toujours,571
kimber,570
too,563
merci,562
autre,560
doing,558
give,548
off,547
by,547
tous,542
où,540
maintenant,539
should,537
fois,536
temps,531
deux,521
femme,519
only,517
over,515
feel,512
am,511
any,509
étais,508
parce,507
_,502
après,501
ont,500
hey,492
quelque,490
ans,489
crois,484
notre,483
thought,482
avant,475
say,474
very,470
faut,466
has,461
eu,459
sans,459
avais,452
dois,452
much,452
than,448
chez,445
maybe,445
dieu,443
mal,442
man,441
where,440
thing,438
tes,437
even,429
down,427
work,425
help,424
new,421
face,420
allez,420
ca,420
surgery,419
people,418
sure,417
liz,416
sous,416
aime,409
accord,407
after,407
trop,405
before,405
ses,404
avait,403
encore,402
first,401
into,399
vas,394
said,392
père,389
mieux,387
god,385
pense,385
ã,385
other,383
fille,377
still,377
quelqu,375
voulais,374
mère,372
aller,371
please,371
again,371
depuis,368
these,367
opération,367
thank,364
told,363
sûr,360
uh,358
désolé,357
baby,355
prendre,353
doesn,350
better,350
yes,348
yourself,345
parler,344
put,340
soit,339
personne,337
dis,336
anything,336
doctor,333
years,333
ever,331
always,331
being,328
leur,325
annie,324
shit,323
déjà,323
veut,320
call,319
those,319
two,316
vrai,316
wanted,315
fils,310
through,308
fine,307
gens,306
nothing,306
done,306
their,306
place,305
aurais,305
isn,304
moins,303
talk,300
aux,300
vos,300
day,299
great,299
chance,297
stop,296
enfants,295
vu,295
toute,293
last,291
someone,291
donc,291
dû,290
font,290
keep,290
part,289
everything,286
famille,286
voulez,284
aider,284
around,283
kind,282
made,278
own,270
moment,270
homme,270
petit,269
wanna,267
argent,266
long,265
away,265
family,262
money,261
bébé,260
enough,260
seule,260
pensais,259
together,259
hell,259
won,258
mother,257
faites,257
every,256
sera,256
night,253
viens,253
problème,252
find,251
titres,251
chérie,250
salut,249
okay,249
air,248
monde,247
pendant,246
woman,246
savez,246
ouais,245
doit,245
car,245
toutes,245
guess,243
vois,243
best,243
assez,243
cause,243
bonne,243
old,242
pouvez,242
wait,241
autres,240
beaucoup,239
having,237
show,235
getting,235
real,235
business,235
raison,235
actually,234
home,234
nos,233
mme,233
point,232
yellow,230
elles,230
things,230
sens,230
job,230
mois,230
care,229
nip,229
father,229
avons,228
anymore,228
docteur,228
ensemble,227
both,227
visage,226
seul,226
choses,226
patient,226
another,225
hard,224
quel,224
big,223
merde,223
happened,223
understand,222
wilber,222
dites,221
leave,220
entre,220
petite,220
hein,219
passé,219
savoir,219
believe,219
girl,218
mr,218
guys,218
regarde,217
désolée,217
lot,215
came,215
huh,215
pu,214
trying,214
peur,214
nouveau,213
serait,213
comprends,213
bad,212
arrive,212
maman,212
appelle,211
nice,211
might,210
since,210
does,208
maison,208
femmes,207
change,206
wrong,206
sommes,205
myself,205
which,204
sex,203
stay,203
devrais,202
synchro,202
super,201
pris,200
plastic,200
jour,200
chirurgien,199
wife,199
papa,199
combien,199
pretty,197
passer,196
surgeon,196
wouldn,196
venir,195
without,195
puis,194
quelques,194
laisse,193
mari,193
house,193
week,193
guy,192
else,192
passe,192
looking,191
truc,189
pain,189
travail,189
reste,189
enfant,188
course,187
start,187
mom,186
soir,185
kids,185
whole,185
cas,185
ass,184
talking,183
aurait,183
try,183
tant,182
next,182
couldn,182
once,181
mettre,180
jesus,180
coming,180
dad,179
changer,179
pourrait,179
mrs,179
ask,179
miami,178
cet,178
semaine,178
corps,177
sois,176
beautiful,176
plaît,176
arrête,175
same,175
façon,175
must,174
remember,174
pourrais,174
left,174
wasn,173
sang,172
married,172
amour,172
year,172
parents,171
dont,171
genre,171
ava,171
minutes,171
husband,171
police,170
mort,170
room,169
tuck,169
honey,169
used,169
thanks,169
laisser,168
traduction,167
went,167
patients,167
belle,166
name,165
haven,164
mariage,164
excuse,164
michelle,164
savais,163
happy,163
donner,163
already,163
partie,161
friend,161
rester,161
grand,161
tellement,160
such,159
called,159
com,159
transcript,159
médecin,159
idea,158
couple,158
least,158
première,157
ready,156
allons,156
gina,156
demandé,155
partir,155
daughter,155
trouver,155
devrait,155
voilà,155
dernière,155
parle,154
prends,153
