Mot;Occurrence
the;6642
carver;38
oh;710
no;1358
that;3846
s;5198
what;2427
they;873
re;1957
calling;39
him;670
isn;187
t;3935
clever;2
my;2215
looks;78
were;507
his;466
bait;2
repair;13
another;134
one;813
of;3198
masterpieces;3
again;248
and;4025
next;115
time;541
i;12904
ll;847
kill;74
you;12646
we;2461
found;94
this;2132
to;6762
carved;9
face;217
a;5922
teenage;4
girl;146
it;4671
dare;14
her;1312
parents;38
asked;70
for;2008
me;2883
specifically;8
don;1725
know;1736
he;1509
threatened;5
if;951
correct;14
work;271
make;429
sure;257
lock;6
door;45
beauty;41
is;2351
curse;9
on;1681
world;93
excuse;76
sir;11
ok;719
come;634
are;1371
ready;112
doctor;220
yeah;580
all;1274
right;965
give;373
us;493
minute;48
people;271
back;484
up;869
christian;542
was;1514
complicated;10
but;1146
family;159
so;1313
beautiful;126
not;1593
just;1822
outside;41
wish;48
could;544
have;2035
known;47
only;353
straight;50
man;292
ever;219
met;62
who;639
arrogant;5
enough;168
think;824
convert;1
sometimes;51
hated;5
guy;130
most;95
loved;43
first;272
memory;6
asking;36
mother;144
brother;45
finally;59
got;581
when;672
name;109
troy;240
flawed;1
lived;17
want;1002
go;664
see;566
blinding;1
smile;8
tell;495
how;832
hard;149
gonna;763
be;1702
future;30
without;133
talk;192
wake;29
many;81
times;58
had;528
dream;30
every;165
couple;83
nights;4
since;132
attack;27
do;1628
about;1187
get;1072
m;2207
stuck;18
even;280
in;2494
dreams;16
at;924
own;167
goddamn;80
funeral;6
can;1616
move;67
limbo;2
some;588
swank;2
month;34
beach;26
house;116
rental;4
kimber;198
coming;107
by;365
with;1555
hot;64
meal;9
night;142
won;135
there;792
took;106
before;253
shower;18
bathroom;24
over;337
went;99
started;60
living;41
life;354
wash;4
away;165
happened;132
scrub;7
room;99
sean;712
like;1421
feel;309
things;157
out;904
keep;187
terrorizing;2
until;87
catch;40
owns;2
now;737
remember;109
eulogy;1
your;2049
nightmare;8
believe;139
jungian;1
analysis;3
character;8
voice;14
part;81
trying;141
help;270
yourself;225
through;175
wanted;197
gravesite;1
which;129
means;56
need;624
raped;14
very;337
boy;87
hey;294
too;353
much;307
change;113
um;147
maybe;303
revisiting;1
relationship;51
wasn;100
such;103
good;597
idea;120
why;621
anything;219
from;558
having;147
fun;61
point;66
julia;278
ve;808
been;544
crazy;52
each;89
other;225
years;216
step;32
past;41
getting;150
phase;9
slow;18
down;266
married;115
still;258
decision;20
shit;212
or;537
off;364
pot;5
preferred;2
fake;10
british;1
accent;2
least;102
sounded;4
more;443
polite;2
dr;398
detective;15
kit;28
mcgraw;13
miami;56
dade;6
vice;5
familiar;11
because;442
fourth;3
message;11
left;115
number;45
call;224
subpoena;1
blade;37
christ;27
everywhere;11
she;1469
let;471
long;161
patient;93
form;21
said;247
noticed;10
silicone;4
leaking;2
milk;7
ducts;2
ago;82
guess;163
felt;63
ignoring;6
problem;83
way;430
deal;86
under;88
hours;54
already;105
remove;22
implant;12
tomorrow;57
morning;72
mrs;93
meyer;2
featherlift;1
rescheduled;1
twice;18
take;497
care;153
meyers;1
shows;13
surgeon;138
job;143
here;1022
feels;46
insisted;5
music;24
thinking;93
directed;1
reviews;2
awesome;13
rollins;1
shank;1
gave;95
cocks;2
cock;17
sorry;396
movie;19
really;499
impressed;10
available;11
look;739
bad;143
tried;71
pretend;16
miss;56
tired;33
masturbating;4
myself;133
sleep;81
marry;33
divorce;23
both;144
rush;10
separated;8
almost;60
year;113
doing;342
seems;36
totally;29
blue;12
expected;8
say;306
moment;36
weren;55
open;50
always;215
count;26
should;351
delay;1
rest;56
thought;307
better;231
civility;1
necessarily;1
signing;5
response;4
didn;461
leave;133
couch;24
knee;1
will;393
fantasized;2
hearing;10
ask;103
then;393
set;53
date;24
kills;5
hear;104
words;15
love;373
day;195
working;55
fact;61
though;54
fundamental;1
piece;42
marriage;34
doesn;227
anymore;145
please;260
sign;43
papers;14
person;87
settle;11
depressed;11
die;49
giving;47
sleeping;32
attacked;21
yes;222
drugged;3
paralyzed;7
cut;74
read;36
report;16
given;38
statement;5
arrived;10
jack;8
ripper;1
london;10
mayor;1
plummeting;1
tourist;3
rates;4
maniac;2
loose;12
brought;41
hook;6
elusive;2
marlin;1
local;6
yahoos;1
seem;37
specialty;4
sexual;23
predators;4
catching;3
them;364
case;73
would;545
appreciate;25
cooperation;1
conversationally;1
inclined;2
after;237
drinks;3
drink;52
recovering;6
alcoholics;2
experience;25
gives;21
usually;23
overcompensate;1
others;17
keeps;17
evading;1
bullshit;81
ons;3
either;60
tragically;1
insecure;3
hung;7
toddler;3
assure;9
ms;62
neither;21
did;640
rape;18
officer;11
scene;22
noted;1
wet;9
hair;55
police;60
cleaned;7
dressed;16
wounds;4
careless;4
selfish;8
as;600
fiber;3
evidence;26
stop;188
going;549
pain;111
experienced;13
am;355
violated;2
yet;87
making;57
perpetrator;2
slashed;1
penetrated;2
done;206
exactly;79
welcome;33
expecting;10
surgery;262
being;207
interviewed;4
ease;5
support;39
whatever;92
patronize;2
officially;7
unmanageable;1
appointments;6
week;91
mention;8
overtime;2
putting;27
may;71
where;276
business;128
quentin;64
costa;18
atlanta;4
pick;45
slack;2
replace;9
hasn;22
wrong;128
decades;2
build;12
turn;102
into;244
divorced;13
partner;70
decides;1
something;385
gotta;67
has;272
happen;65
presented;2
em;43
loves;21
prove;16
wants;68
talking;124
partnership;10
saying;87
never;423
blaming;6
pro;14
bono;10
victims;25
haven;101
dealt;6
able;55
fischman;1
holding;23
line;51
says;44
an;629
emergency;14
congratulations;26
victim;28
awaits;1
running;27
save;52
pump;5
fresh;23
air;15
inside;73
mask;10
menthol;1
thanks;110
find;153
worse;35
smell;9
doors;6
responded;2
possible;38
heart;69
ought;5
run;57
rubber;3
hose;2
break;66
two;153
anyone;72
tow;1
mark;10
sits;2
solitary;1
bread;5
water;49
funny;40
d;561
clip;1
head;85
used;121
bunch;15
animals;7
cage;4
woman;149
directly;5
hospital;29
moving;35
special;33
wide;6
body;93
ambulance;3
front;31
budged;1
inch;4
screaming;12
holy;16
hell;155
skin;88
trade;5
boone;5
mcnamara;248
hello;62
damon;1
guiding;1
light;31
thing;282
thank;242
momma;23
everybody;49
does;138
feeling;48
today;94
fine;194
told;230
denny;13
worried;28
breathing;7
looking;128
guys;171
privacy;5
sciatica;1
fire;26
hmo;2
lie;34
stayed;8
tivo;4
stories;4
lean;1
forward;11
second;82
anti;4
inflammatory;2
medications;3
taken;45
ain;20
husband;99
few;97
gotten;21
pretty;143
big;153
food;24
comes;38
around;200
weeks;58
cashes;1
disability;2
checks;3
brings;9
lifeline;1
personal;27
needs;74
rather;28
examine;9
might;135
hurt;85
little;492
great;203
exposed;8
grafted;1
itself;8
lying;33
waste;19
humid;1
bacteria;4
live;89
synthetic;2
fibers;3
coupled;2
moisture;1
bodily;2
fluids;11
extreme;7
weight;24
caused;11
literally;7
fuse;3
compression;1
nerve;13
endings;5
keeping;18
passing;7
fast;21
sudden;12
sepsis;6
severe;6
deep;28
vein;2
thrombosis;2
any;348
dozen;7
clots;2
legs;32
travel;11
toward;3
lungs;2
wall;10
relax;36
listen;85
kind;203
tarp;1
doin;18
poles;1
ass;129
lift;43
prepped;4
table;40
field;11
stall;2
staring;10
extremely;7
anxious;5
whose;13
bare;4
behind;34
ceiling;1
page;7
start;122
fly;18
finish;26
driving;9
holds;2
hand;66
car;54
ride;17
meet;88
stabilized;5
roll;10
traffic;6
minutes;62
paged;1
hour;56
half;70
uh;345
formally;2
accept;28
last;179
lawyers;9
drafting;1
contracts;4
agreed;30
someone;176
new;251
alone;80
well;825
awkward;6
put;211
market;19
easy;51
bounce;2
bought;20
baby;191
wicked;3
keloid;2
pops;3
gratis;1
than;282
lives;39
lot;144
easier;21
bring;78
delightful;4
additional;1
income;6
sell;21
between;62
god;236
quitting;1
county;3
memorial;3
use;92
extra;22
pair;9
hands;59
liz;136
helping;19
paid;29
visit;12
claims;3
offered;13
our;409
lawyer;32
drew;2
contract;14
consulting;4
professionally;4
personally;9
taking;77
end;63
argument;1
wanna;116
game;17
glove;4
resuscitation;2
event;10
during;32
require;5
artificial;2
assistance;2
check;60
injections;5
anesthetic;6
numb;5
areas;6
shouldn;50
once;109
drugs;21
kick;22
position;11
insert;4
tube;4
