Mot,Occurrence
i,38492
you,35184
je,24769
tu,19587
a,19499
que,17773
est,17531
de,17358
s,17355
to,16410
the,15713
t,14704
pas,14338
it,14067
et,11605
and,11537
me,11226
that,10952
c,10211
on,10194
le,10165
m,9211
à,9069
ce,8944
ne,8793
la,8762
ça,8390
j,8351
un,8135
il,7235
pour,6981
l,6716
ai,6667
what,6615
qu,6589
d,6567
of,6433
en,6327
n,5964
know,5862
une,5753
in,5474
is,5453
this,5450
for,5426
okay,5423
just,5385
as,5309
we,5284
my,5174
vous,5093
re,5012
mais,4776
les,4729
so,4692
your,4687
not,4647
oh,4592
be,4568
have,4503
but,4447
bien,4378
suis,4319
was,4158
do,4132
moi,4109
with,4063
don,4033
te,4031
si,3975
sais,3966
toi,3674
he,3658
avec,3568
être,3548
elle,3533
no,3496
qui,3492
yeah,3481
can,3415
brooke,3402
about,3310
nathan,3275
like,3226
are,3119
all,3102
non,3077
fait,3067
y,3022
lucas,3021
she,2993
well,2979
mon,2907
tout,2900
right,2863
dans,2846
if,2841
gonna,2829
veux,2798
plus,2775
haley,2764
des,2752
out,2740
juste,2669
va,2648
es,2638
hey,2599
get,2580
était,2577
peyton,2572
faire,2518
want,2506
up,2496
ouais,2491
alors,2436
ll,2436
here,2419
go,2391
au,2361
how,2302
quoi,2284
there,2257
think,2254
dit,2238
her,2182
vraiment,2143
got,2120
one,2113
comme,2090
good,2064
dire,2057
at,2049
really,2031
là,2016
du,1993
now,1981
ma,1934
peut,1879
ton,1857
come,1828
se,1806
ve,1794
peux,1768
him,1751
see,1738
look,1708
did,1678
quand,1676
sur,1672
they,1653
back,1641
when,1627
dan,1596
cette,1563
time,1509
lui,1489
why,1480
chose,1478
love,1477
sorry,1468
scott,1464
nous,1458
let,1452
pourquoi,1443
mean,1438
parce,1409
ta,1406
oui,1405
vais,1397
didn,1391
been,1391
eh,1376
who,1363
merci,1340
avoir,1310
aussi,1307
going,1302
were,1299
or,1295
comment,1277
keith,1276
ils,1274
could,1271
too,1250
would,1243
bon,1230
son,1222
tell,1222
même,1216
maintenant,1204
jamais,1202
toujours,1191
need,1187
because,1186
ici,1182
some,1164
étais,1162
say,1161
ou,1154
from,1145
luke,1139
maybe,1137
rien,1131
then,1125
quelque,1122
crois,1102
had,1086
fais,1085
aime,1078
aller,1077
should,1076
something,1056
way,1040
said,1038
take,1035
où,1029
never,1026
peu,1025
salut,1021
little,1016
man,1013
besoin,1003
mom,1002
great,1000
over,998
vie,990
temps,989
make,984
voir,975
dois,958
uh,952
très,944
sont,940
thing,936
jamie,934
été,930
us,918
night,914
um,913
avais,909
mère,899
vas,894
an,884
will,884
soir,879
mouth,872
pense,861
doing,853
mec,848
sure,846
life,846
autre,840
ok,836
allez,833
by,821
his,816
fois,800
hill,797
désolée,790
tree,786
still,783
even,782
accord,772
thought,771
more,766
deux,757
where,756
tous,751
dis,750
talk,750
day,747
quelqu,746
par,741
encore,730
am,729
parler,720
our,719
first,715
guys,715
much,714
girl,710
ces,706
told,704
thank,696
things,692
thanks,692
eu,692
mes,691
guess,690
sûr,684
voulais,679
chance,677
père,676
last,676
kind,668
choses,667
vrai,663
off,662
home,657
them,655
ont,654
deb,653
help,650
ever,649
wanted,646
again,645
fille,642
tonight,640
point,639
désolé,637
actually,631
call,626
cause,625
karen,624
guy,621
avait,621
two,620
school,617
monde,617
always,617
than,612
game,611
personne,608
avez,607
better,602
hi,600
votre,600
away,597
beaucoup,596
give,595
viens,594
après,594
anything,587
down,585
moment,585
avant,584
jour,582
new,582
work,581
people,579
part,579
nice,579
maman,576
aurais,573
devrais,573
dad,572
font,571
fine,570
vu,568
soit,567
passé,565
sa,560
only,560
veut,559
has,558
lot,553
faut,553
davis,552
tes,550
bonne,546
rachel,545
doesn,543
everything,543
feel,542
trop,542
other,542
ravens,541
yes,534
long,528
place,527
pourrait,527
coach,524
nuit,520
bad,519
suppose,519
quel,515
vois,513
nate,512
cool,512
pretty,511
after,509
notre,505
dieu,502
ensemble,502
find,502
génial,502
baby,500
toute,500
julian,499
believe,499
made,498
maison,491
god,489
best,488
please,485
any,484
before,484
nothing,484
petit,481
play,480
huh,478
pourrais,478
car,477
being,475
mieux,468
wait,466
skills,462
into,462
passe,460
déjà,460
together,458
super,456
êtes,454
big,454
ecoute,452
sera,452
donc,449
depuis,448
entre,447
wasn,446
does,442
around,441
chez,439
mal,438
every,438
wrong,437
papa,436
voilà,435
prendre,435
moins,435
heart,434
écoute,432
team,432
quelques,429
sans,429
might,429
grand,426
parents,426
fils,425
stop,423
miss,421
reste,417
arrive,416
hein,413
air,410
someone,410
today,409
raison,408
hell,406
laisse,404
nouveau,402
friend,400
doit,398
boy,397
passer,397
remember,396
truc,395
sois,393
www,393
jouer,392
those,391
alex,391
these,389
savoir,388
won,387
question,385
keep,385
coming,384
pensais,384
hui,384
happened,383
aujourd,383
équipe,382
peur,382
match,381
com,380
aider,378
friends,375
left,374
high,374
happy,373
getting,371
trying,371
cas,368
sam,368
stay,365
thinking,364
ans,363
regarde,363
next,361
hard,361
appelle,359
ask,359
listen,359
important,358
laisser,357
jake,356
attends,356
else,355
problème,354
anyway,354
dernière,353
dû,351
lindsey,350
came,350
leave,348
wouldn,347
partie,347
talking,345
chris,344
wow,343
done,342
leur,341
whatever,341
yourself,339
try,337
venir,336
change,335
gens,333
film,332
through,332
partir,332
whitey,331
house,331
enough,331
face,331
isn,330
very,329
called,326
basket,325
amis,324
put,323
ready,323
boulot,322
probably,322
toutes,322
tellement,322
years,321
world,321
since,320
bébé,319
voiture,315
old,315
whole,314
femme,313
hear,312
chaque,312
importe,311
looking,310
devrait,310
name,308
seule,307
cet,306
argent,305
alright,304
own,304
coeur,304
their,303
second,303
penses,302
year,302
aurait,300
bye,300
same,299
plutôt,299
croire,298
lycée,298
having,298
sexy,298
enfin,296
pu,295
stuff,295
basketball,295
show,294
sawyer,294
arrête,291
parle,288
tard,286
knew,286
savais,285
dont,285
haven,284
end,284
least,284
famille,282
course,281
saw,281
care,281
ah,281
rester,281
assez,280
job,280
jusqu,279
start,278
serait,278
ses,278
sortir,278
amie,278
parlé,278
deal,277
quinn,277
parfois,276
aux,276
ass,276
girls,274
wanna,274
points,274
hope,272
clothes,270
wish,268
room,268
while,267
histoire,267
aide,267
understand,266
fun,265
amour,264
money,264
ca,263
supposed,262
homme,262
james,262
person,261
pensé,261
sometimes,261
yet,261
sens,260
première,260
minutes,260
father,260
used,259
trouver,258
hé,258
kid,258
movie,258
frère,257
dirait,256
color,256
hales,255
mecs,254
demain,254
matter,254
comprends,254
mind,254
allais,253
morning,253
café,252
pendant,252
puis,252
pris,251
jeu,251
party,251
demandé,250
jimmy,249
went,249
nouvelle,249
brother,248
autres,247
another,247
tant,247
anymore,247
three,247
mother,246
petite,245
mariage,245
gone,244
promise,244
few,244
seulement,244
espère,244
quentin,243
jours,243
souviens,243
meilleur,243
late,242
fête,242
already,241
week,241
école,241
type,240
true,240
family,240
tomorrow,239
exactly,239
millie,239
premier,239
idée,239
without,239
both,238
real,238
vérité,238
live,237
nos,237
seul,237
hot,237
ami,236
mia,236
looks,236
demander,235
sex,235
