Mot;Occurrence
a;7293
l;6634
aide;267
haley;1382
oh;2093
mon;2905
dieu;502
nathan;1650
cooper;85
que;17773
quelqu;746
un;8131
nous;1457
je;24769
m;2978
appelle;359
lucas;1515
scott;734
suis;4319
en;6327
terminale;18
au;2361
lycée;298
de;17354
tree;401
hill;406
est;17529
juste;2668
une;5753
ville;173
quelque;1122
part;276
dans;2846
le;10163
monde;617
peut;1879
être;3548
qu;6589
il;7234
ressemble;72
beaucoup;596
à;9068
votre;600
n;5929
y;2970
rien;1131
mais;4776
si;3974
vous;5093
regardez;70
plus;2708
près;119
verrez;13
qui;3492
ou;1153
comme;2090
ma;1910
meilleure;214
amie;278
êtes;454
mariée;64
et;11604
pas;14338
sûre;218
mari;109
toujours;1191
vie;990
alors;2436
dirais;115
celui;149
cette;1563
journée;203
était;2577
censée;48
la;8750
belle;134
sa;560
c;10175
incroyable;71
les;4721
choses;667
peuvent;75
changer;165
clin;4
d;5246
cas;367
présent;15
minutes;135
quoi;2284
j;8324
arrive;413
croire;298
rachel;267
se;1806
soit;567
soûlée;2
ait;230
volé;47
notre;505
limousine;21
ton;1840
oncle;167
couché;106
avec;3568
elle;3532
ans;363
ne;8793
devait;71
savoir;388
enfin;296
pouvait;90
vrai;663
quand;1676
on;6186
ensemble;502
ce;8944
soir;879
là;2016
tu;19587
savais;285
avais;909
ça;8390
suffit;37
pourrait;527
fonctionner;12
sais;3966
bien;4378
différence;45
âge;64
importance;77
okay;1688
ecoute;452
moi;4109
va;2646
ramener;23
réception;17
fera;78
entre;447
toi;3674
s;2237
passé;565
t;5004
chose;1461
puisse;146
dire;2056
pour;6970
te;4028
garder;133
non;3047
désolé;637
eh;1364
vraiment;2143
dommage;49
parce;1409
ai;6667
enceinte;175
crois;1102
gare;11
vais;1397
laisser;357
sortir;278
avant;584
parlé;278
dit;2237
lâche;36
volant;10
attention;117
fais;1085
aime;1078
stop;12
rambarde;2
du;1993
pont;27
puis;252
sauté;14
remonté;1
depuis;448
très;944
long;63
moment;481
as;4137
appelé;163
oui;1405
appelés;2
luke;566
trouver;258
comment;1260
fond;39
voiture;315
vide;37
regarde;363
des;2751
prennent;11
faire;2518
cuire;10
oeuf;2
autruche;1
clip;6
thriller;1
michael;7
jackson;2
prend;82
aussi;1307
aller;1077
molina;2
hôpital;77
pendant;251
ces;706
trois;170
vies;54
étaient;119
jeu;251
reste;417
avait;621
autre;840
attendre;128
suppose;481
ils;1274
appellent;7
salle;76
attente;11
devrait;310
appeler;179
dan;800
maire;75
ancien;14
grand;407
joueur;94
basket;290
père;676
jamais;1202
reconnu;4
croyez;50
tout;2900
gagné;79
affaire;55
place;165
été;930
élevé;22
par;741
mère;899
keith;643
jusqu;279
prenne;16
es;2638
frère;257
salopard;5
existes;3
hey;390
nouvelles;107
maman;576
faut;553
parle;288
grossesse;30
serait;278
tellement;322
heureux;149
attendes;2
son;762
enfant;133
appartient;27
test;106
trouvé;229
brooke;1701
encore;721
sûr;684
ta;1402
vu;562
étais;1162
veux;2798
histoire;267
répète;15
fils;425
copine;110
réveillé;27
suffisait;2
fallait;59
merci;1340
avoir;1310
sauvé;58
amené;38
sur;1671
rivage;2
mec;848
héros;35
nate;255
dis;748
tiendras;3
rigueur;10
sentiments;65
garce;92
aux;276
deux;757
visages;5
planté;6
couteau;13
dos;88
peyton;1286
me;3901
concerne;52
amitié;31
terminée;47
reparle;3
restant;10
nos;237
dirait;256
seul;237
tué;94
ferme;93
espèce;40
fantôme;11
croit;31
malin;9
définitivement;31
problèmes;138
mr;91
police;39
seconde;201
bonjour;232
messieurs;52
avez;607
attrapé;13
main;87
sac;53
déranger;12
eu;692
accident;101
lequel;36
savez;188
quel;515
point;389
blessé;43
cela;56
affectera;2
carrière;60
basketteur;6
ecoutez;57
apprécie;105
inquiétude;5
inquiet;26
besoin;1003
voir;975
skills;226
neuf;91
bevin;61
appris;100
vont;189
pense;861
cool;224
entendu;208
petite;245
altercation;3
mariage;245
entend;8
trucs;159
disons;48
moins;435
nouveau;402
embrassé;58
wow;142
b;101
bonne;546
sois;393
tes;550
fesses;41
sont;940
mauvaise;138
posture;1
pote;107
lors;36
fusillade;10
peur;382
laissée;41
où;1029
déciderait;1
venir;336
trop;542
vaut;83
essaie;146
embrasser;72
plaît;170
ouais;2491
inconscients;1
désolée;790
sawyer;148
davis;280
salope;100
putain;31
paradis;25
auraient;16
laissé;141
horribles;27
passer;397
portes;44
seraient;13
passées;13
anciennes;6
vas;894
souviens;243
disputait;3
propos;200
lui;1489
menti;77
voulais;679
essayé;169
venue;113
dès;75
message;69
contente;126
ailles;29
après;594
aies;172
quitté;74
contenait;2
toutes;322
même;1216
guise;3
cadeau;75
parfum;12
promis;139
sens;260
rentrer;135
chez;439
comprends;254
exactement;195
lune;6
miel;5
prévue;9
londres;4
genou;18
docteur;41
sera;452
endolori;5
quelques;429
jours;243
aimerais;230
tests;17
voulez;137
uh;118
deb;331
minute;110
confession;6
ex;71
femme;312
tuer;124
incendie;22
agence;64
hurle;2
fasse;63
respecter;11
injonction;5
entends;63
pute;23
vois;513
écouter;57
enfer;32
déchaîné;1
lâchant;1
maintenant;1204
tour;88
peux;1768
hales;124
porter;87
bon;1228
allais;253
surprise;107
retour;180
london;2
bridge;1
probablement;213
allés;15
fait;3067
cérémonie;13
marché;107
doit;398
payer;101
nouveaux;35
meubles;11
hâte;41
recevoir;33
factures;19
surtout;103
assurance;22
sécurité;55
maison;491
um;176
acceptée;8
stanford;16
content;103
vient;197
dépenser;5
argent;305
études;9
trouvera;15
solution;18
tant;247
ensembles;2
rentré;45
réveillée;16
attend;47
cherches;37
sorte;176
vue;135
emportée;2
contre;200
carrément;48
brooker;7
pensais;384
baiser;68
signifiait;9
apparemment;90
lettre;60
ellie;99
biologique;25
attends;356
troisième;30
album;98
ses;278
préférés;10
étiez;93
ivre;35
plusieurs;31
témoins;7
disent;46
scène;77
sacrément;5
fâchée;25
lorsque;38
serez;30
état;111
faudra;20
déposition;2
intéressé;24
pilote;9
professionnel;15
pu;295
perdre;175
contrôle;57
véhicule;3
théorie;2
feriez;14
espérer;22
réveille;38
dise;50
tort;113
fergie;27
sent;46
panier;62
rendre;132
visite;35
faits;27
rares;6
mouth;416
arrête;291
crack;5
sait;231
service;39
demander;235
disais;98
essayer;178
université;109
assez;280
rare;10
bref;51
dû;351
quitter;64
équipe;382
cause;169
problème;354
cardiaque;76
ravens;296
avaient;60
meneur;43
rejoindre;42
permettre;19
obtenir;13
bourse;38
peu;1025
chances;34
jouent;9
matchs;46
saison;177
jouer;392
d2;1
juco;1
importe;311
demandais;73
pouvais;165
parler;720
whitey;165
absolument;60
sélections;2
demande;165
traitement;24
faveur;58
ni;85
chance;435
parlerai;21
aguets;1
demandes;45
faute;156
mérité;15
ferait;68
mourir;95
sommeil;24
chaque;312
fois;800
vaurien;2
immature;1
finit;16
ira;121
karen;313
bizarre;167
allait;181
boire;76
café;168
temps;989
décidé;88
arrêter;168
durant;29
cinéma;16
arrêté;63
devrais;573
élever;15
toute;500
seule;307
allô;38
aucun;99
commentaire;14
pourquoi;1443
journées;4
difficiles;31
semblent;4
elles;161
longues;8
possible;99
seulement;244
renouvelé;2
v;22
ux;4
matin;175
fleuve;4
aujourd;383
hui;384
première;260
longtemps;190
impression;151
code;23
bleu;25
arrêt;18
pouls;3
chute;8
libre;42
perd;34
donnez;25
forte;33
dose;2
épi;1
préparez;5
défibrillateur;1
dégagez;3
aucune;131
réponse;67
atropine;1
re;13
choquer;1
pression;35
systolique;1
remonte;7
ont;653
dévasté;5
disputais;1
gâché;23
énorme;36
empiré;3
moindre;9
remerciements;2
restes;54
loin;142
tous;751
andy;64
demandée;13
voulait;178
fonder;3
famille;282
enfants;147
normal;55
mis;112
parenthèses;3
différentes;20
boulot;322
caroline;23
nord;30
sortirai;8
plutôt;299
ayez;21
bébé;319
partie;347
revenait;4
mission;9
accomplie;6
apporté;50
maquillage;12
ciseaux;4
musique;150
tenues;8
rappelle;99
clothes;77
over;159
bro;37
redessiner;1
blouses;1
voudrais;134
morte;71
dedans;97
gens;333
honnêtement;42
puissent;5
fin;137
celle;141
horrible;113
rapporté;5
clés;28
grandes;47
pièces;4
parents;224
garde;117
déménagé;29
pourrais;478
dormir;120
veuilles;20
gèle;5
she;11
runner;2
billy;4
squier;2
impressionnée;5
itunes;3
donné;229
the;157
runaway;1
found;2
veils;1
running;3
to;97
stand;12
u2;2
still;1
huh;19
with;15
van;3
halen;2
devil;3
douée;41
traîné;8
dernière;353
jour;582
cachés;3
bibliothèque;23
tiré;42
jambe;25
penses;302
pouvoir;191
effacer;33
moody;1
suburban;11
teenage;1
love;15
song;3
slow;3
rencontré;85
derek;75
concernée;2
considérer;8
courant;135
existence;10
veut;559
apprendre;91
led;5
zeppelin;4
décrocher;3
téléphone;100
copain;82
draguer;12
récupèrerai;1
cd;42
tard;286
sexe;83
plaisante;28
allez;833
rappelé;24
ressens;61
difficile;174
