Mot;Occurrence
my;2922
name;169
is;3072
lucas;671
scott;420
i;22218
m;3680
a;7023
senior;14
at;1137
tree;233
hill;238
high;188
school;335
just;2975
place;193
somewhere;45
in;3044
the;8515
world;179
maybe;675
it;8035
s;8657
lot;324
like;1792
your;2573
nothing;273
but;2529
if;1529
you;19432
look;960
closer;8
might;231
see;955
someone;252
or;684
best;282
friend;239
haley;602
re;2816
married;94
and;6827
not;2608
sure;471
husband;64
still;439
alive;46
then;623
d;679
say;661
today;264
was;2325
supposed;159
to;9117
be;2647
day;475
of;3626
her;1346
life;480
amazing;95
how;1239
things;356
can;1908
change;137
blink;5
an;491
eye;34
this;2898
case;59
about;1735
minutes;81
what;3520
t;5431
believe;309
that;6215
rachel;176
got;1167
drunk;51
stole;33
our;418
wedding;84
limo;14
uncle;139
cooper;41
slept;47
with;2223
she;1863
he;2027
must;110
have;2606
known;30
mean;782
couldn;109
right;1704
when;923
we;2953
together;235
night;479
knew;160
enough;180
could;672
work;366
know;3164
good;1267
age;38
difference;15
doesn;301
matter;148
does;251
all;1885
now;1118
listen;178
me;4014
gonna;1806
take;567
limousine;2
back;879
reception;12
never;551
happened;214
isn;181
there;1252
anything;296
keep;202
no;1969
sorry;857
well;1548
too;699
bad;304
because;697
something;565
tell;675
pregnant;125
don;2185
pull;27
over;487
letting;48
out;1366
car;126
until;101
talk;421
hey;1178
get;1422
hands;25
off;322
wheel;8
said;616
call;345
nathan;686
love;936
oh;1309
god;286
help;370
please;283
stop;233
went;139
bridge;16
jumped;9
hasn;35
come;975
up;1350
for;2948
really;1162
long;275
time;820
did;959
called;191
him;889
luke;337
find;261
them;349
do;2357
down;328
empty;16
want;1504
other;260
than;321
ve;935
been;786
trying;194
lately;61
think;1288
peace;15
mind;129
tired;55
looking;171
round;8
rooms;8
wondering;42
gotta;10
who;807
boiling;1
ostrich;1
egg;3
michael;7
jackson;2
thriller;1
video;26
also;104
takes;49
from;644
molina;1
hospital;29
those;216
three;120
lives;72
hung;16
balance;4
rest;97
us;500
wait;254
guess;343
why;806
they;1006
waiting;78
room;136
should;649
dan;268
many;82
mayor;29
once;79
great;585
basketball;144
player;61
father;135
claimed;4
better;331
end;103
deal;148
instead;43
raised;10
by;440
mom;512
keith;210
taken;32
are;1724
longer;27
brother;134
son;243
bitch;140
exist;11
any;230
news;79
need;711
pregnancy;28
would;681
so;2646
happy;243
having;177
his;451
baby;377
talking;179
whose;27
test;52
brooke;970
yet;152
mother;139
considering;34
history;35
repeating;1
itself;5
girlfriend;65
awake;20
wasn;250
needed;87
even;408
more;443
attention;16
thank;431
saving;15
shore;2
man;619
one;1096
saved;54
everybody;90
hero;22
nate;162
will;529
hold;107
against;37
feelings;35
backstabbing;3
two;304
faced;11
peyton;752
as;614
far;65
am;444
concerned;10
friendship;11
speak;45
again;356
fine;313
made;294
wrong;225
choice;50
become;37
getting;200
elias;1
brain;14
on;2163
fire;46
looks;128
only;307
knows;68
killed;66
shut;83
little;599
smart;45
ass;144
ghost;9
were;721
sugar;11
alone;122
countryside;1
doing;471
definitely;65
trouble;51
police;22
uh;518
caught;29
red;51
handed;7
bother;21
had;557
accident;51
which;135
badly;3
hurt;83
affect;9
career;43
appreciate;58
concern;2
worried;67
needs;102
skills;177
bevin;20
heard;122
ll;1344
okay;2094
cool;155
cause;312
friction;1
hearing;16
dawg;16
kind;391
found;120
kissed;36
wow;110
thing;477
shape;17
bro;50
thanks;376
shooting;54
scared;100
let;815
decides;3
show;178
standing;30
close;86
same;154
go;1289
try;166
make;558
yeah;1796
unconscious;6
sawyer;100
davis;201
least;161
slut;31
whore;26
heaven;15
skanky;6
through;196
gates;1
wouldn;189
fit;21
old;203
remember;231
arguing;4
told;386
lied;29
wanted;361
scare;11
tried;87
came;178
soon;123
voice;36
mail;29
glad;100
after;250
left;188
purse;8
gifts;4
perfume;4
wear;57
promise;145
feeling;96
home;359
understand;154
exactly;140
honeymoon;3
planned;17
london;3
knee;9
doc;9
sore;8
couple;87
days;117
run;113
tests;14
deb;116
minute;65
haven;161
talked;64
confession;2
kill;94
dealership;3
ahead;47
scream;4
enforce;1
restraining;2
order;24
hear;182
hell;183
unleashed;1
blew;8
turn;69
afraid;106
surprise;44
probably;182
didn;780
cheap;14
new;297
furniture;7
pay;68
bills;6
especially;42
insurance;2
safe;36
um;383
before;254
accepted;7
stanford;6
hales;83
though;112
spent;43
tuition;1
money;145
figure;59
everything;331
sort;51
saw;161
pretty;286
much;404
myself;115
kiss;79
meant;83
apparently;45
else;201
letter;21
actually;336
ellie;33
town;70
birth;16
happening;35
third;26
wh;10
where;382
album;37
favorites;3
true;152
inebriated;1
several;5
witnesses;2
bit;73
scene;33
upset;66
statement;7
interested;31
professional;20
driver;14
lose;116
control;16
vehicle;1
theory;3
sake;9
hope;162
wakes;7
tells;18
smell;27
fergie;17
hmm;76
smells;12
basket;15
visit;16
both;137
rare;6
occurrences;1
yo;27
mouth;257
stay;208
crack;9
pipe;5
seen;125
word;46
favor;32
ask;199
thinking;189
college;63
tight;14
anyway;153
leave;179
team;163
heart;228
condition;20
thinng;1
ravens;113
use;73
another;158
guard;58
join;18
scholarship;23
shot;112
postseason;4
somebody;117
play;274
small;40
d2;1
juco;1
whatever;166
wondered;9
whitey;37
absolutely;35
tryout;7
asking;46
special;63
treatment;7
may;54
ex;50
wife;96
fault;72
fair;73
died;58
sleep;122
every;255
immature;1
punk;4
comes;69
ends;15
hopefully;21
karen;88
strangest;2
cup;2
coffee;30
sometime;17
given;34
movie;232
movies;19
shouldn;85
raise;13
child;62
own;175
crashed;3
guardrail;2
hello;82
comment;13
hardest;8
seem;52
last;399
longest;3
possible;21
renewed;2
vows;1
morning;156
feels;53
ago;112
worse;64
river;32
first;398
