Mot,Occurrence
de,8449
je,7457
est,6096
que,5227
le,5181
pas,4921
la,4676
vous,4426
tu,4370
à,4296
a,4205
il,4105
et,3906
j,3637
un,3627
c,3393
l,3231
les,2801
en,2795
d,2766
ce,2761
on,2743
ai,2634
ça,2478
i,2396
qu,2391
pour,2382
une,2187
t,2185
ne,2092
me,1975
qui,1737
des,1702
moi,1670
s,1639
m,1594
mais,1547
n,1424
te,1370
dans,1354
si,1281
non,1262
suis,1235
mon,1233
du,1178
y,1169
bien,1166
as,1131
faire,1103
fait,1102
au,1096
tout,1092
va,1069
veux,1048
plus,1024
être,1008
you,994
avec,979
toi,976
quoi,966
nous,944
sais,933
lui,826
se,825
the,815
dit,799
ils,761
comme,733
ma,725
elle,722
quand,701
était,686
oui,680
peut,658
pourquoi,643
ton,642
sur,631
ouais,628
es,623
rien,608
alors,603
mort,594
dire,584
son,568
ici,556
par,546
votre,540
voir,539
avez,534
comment,533
peux,532
putain,530
to,526
là,491
sont,485
faut,484
vais,472
ou,470
sa,458
même,457
cette,457
deux,446
chose,435
été,434
ont,433
ta,430
tous,428
dieu,426
bon,423
vie,418
avoir,415
où,413
merde,412
ces,408
aussi,402
jamais,383
oz,380
fais,379
autre,376
allez,361
ans,361
parce,356
that,335
temps,331
père,329
oh,328
beecher,325
toujours,323
mes,316
eh,310
êtes,306
juste,305
parler,304
vraiment,303
vas,303
maintenant,300
ok,296
dis,296
fois,292
étais,287
o,284
merci,279
avait,278
accord,276
and,275
depuis,273
it,272
fils,272
encore,271
what,267
besoin,267
of,267
homme,267
quelque,263
sans,261
ur,261
très,260
vu,260
cyril,258
in,257
veut,255
tué,254
leur,253
aux,251
ses,251
sûr,251
autres,251
schillinger,251
après,248
mcmanus,248
notre,247
mal,245
city,243
avant,242
crois,238
quelqu,233
peu,231
dois,229
personne,228
prison,228
tes,226
tuer,225
adebisi,219
eu,218
petit,216
frère,212
avais,211
soit,210
sera,210
vrai,208
jour,207
vois,207
vos,202
femme,200
trop,198
monde,194
he,193
aime,191
passé,189
aller,186
contre,183
problème,182
reily,180
déjà,180
mieux,180
mourir,179
savez,177
we,175
viens,173
ryan,172
bonne,171
entre,170
beaucoup,169
cet,169
said,169
em,168
passe,166
désolé,163
alvarez,163
hui,162
aujourd,161
directeur,161
voulais,161
peine,161
re,160
do,160
voulez,160
my,156
parle,156
savoir,155
mère,154
foutre,153
raison,153
aider,151
for,150
salut,150
enculé,150
sait,149
know,148
ross,147
vérité,147
nom,146
but,145
gens,144
pense,143
peter,143
peur,142
trois,142
pendant,142
quel,142
choses,142
hein,141
toute,141
was,140
prendre,140
seul,140
moins,139
cause,139
is,139
meurtre,139
demande,139
doit,139
keller,138
truc,138
sens,137
bonjour,137
no,137
laisse,136
this,136
leo,135
jours,135
toutes,134
have,133
moment,132
fille,131
trou,131
nos,131
condamné,131
arrête,129
demandé,128
jusqu,127
drogue,127
air,125
voilà,125
famille,125
glynn,124
parlé,124
your,123
cellule,123
reste,122
about,121
état,121
yeah,120
nouveau,119
tim,119
ensemble,119
tête,119
appelle,118
sous,118
devrais,118
miguel,117
hommes,117
sang,117
conneries,117
puis,117
gars,117
so,116
get,116
chaque,116
grand,115
attends,115
passer,114
donne,114
cul,113
question,112
sortir,111
isolement,111
don,111
not,110
chance,110
donc,110
venir,109
pourrait,107
connais,107
fini,107
pouvez,107
serait,106
écoute,106
détenus,105
faites,105
avocat,105
be,104
aimerais,104
gouverneur,104
mec,103
entendu,103
ah,103
tant,103
out,103
agent,103
donné,103
vont,102
donner,102
avons,102
droit,101
type,100
chez,100
nathan,100
can,100
augustus,99
dr,99
arrive,99
aide,99
tobias,99
appel,99
fuck,99
soir,98
part,98
coup,98
gonna,98
main,98
aurais,97
idée,96
quelques,96
demain,96
are,95
hôpital,95
him,95
allah,95
ni,95
omar,95
marie,95
they,94
regarde,94
papa,94
amour,94
pouvoir,93
assez,93
mois,93
fous,92
prisonnier,92
with,92
mettre,91
nouvelle,91
dû,91
tellement,91
essaie,91
place,90
dont,90
pote,90
super,90
petite,90
laisser,89
trouver,89
dites,89
boulot,89
corps,89
conditionnelle,88
cas,88
got,88
pris,88
fucking,88
partir,87
demander,86
an,86
devant,85
prends,85
arrivé,85
vient,85
ami,85
up,85
eux,85
travail,84
bordel,84
garde,84
ll,84
cela,84
suite,84
partie,84
coupable,84
mis,84
well,83
vieux,83
laissez,83
pu,82
vern,82
histoire,82
hé,82
aurait,82
nuit,81
came,81
pourrais,81
importe,81
comprends,80
seulement,80
gueule,80
prie,80
pute,79
celui,79
parole,79
procès,79
côté,79
sale,79
tomber,79
connard,78
who,78
allons,78
heure,78
argent,78
détenu,78
devrait,78
maman,78
liberté,77
man,77
sois,77
façon,77
kareem,76
paix,76
e,76
oswald,76
here,75
tard,75
longtemps,75
seule,75
dernière,75
one,74
calme,74
want,74
yeux,74
bébé,74
if,73
monsieur,73
gloria,73
mari,73
combien,73
vite,72
prisonniers,72
con,72
saïd,72
quelle,72
pire,72
années,72
point,71
ceux,71
changer,71
leurs,71
morales,71
compte,71
plaît,71
meilleur,70
trouvé,70
décidé,70
ferme,70
manque,70
dur,70
ait,70
semaine,69
emerald,69
mot,69
hank,69
did,68
hill,68
trouve,67
aura,67
amis,67
premier,67
affaire,67
fin,67
première,66
visite,66
shit,66
venu,66
see,66
suffit,66
gros,65
aucun,65
from,65
essayé,65
enfoiré,65
arrêter,65
autant,65
écoutez,65
right,64
souviens,64
étaient,64
bras,64
back,64
at,64
perdu,63
rester,63
chris,63
croyais,63
prêt,63
all,63
devlin,63
how,63
exécution,62
pancamo,62
robson,62
confiance,62
dehors,62
hoyt,62
bureau,62
compris,62
jouer,62
enfants,62
parfois,62
paraît,62
bas,61
tue,61
essayer,61
croire,61
pensais,61
rebadow,61
train,60
justice,60
dessus,60
loi,60
salope,60
busmalis,60
content,60
espère,60
martinez,60
matricule,60
tiens,60
violence,59
endroit,59
aucune,59
voici,59
just,59
emmerde,59
nouvelles,59
or,58
keane,58
problèmes,58
savais,58
hier,58
bite,58
burr,57
émeute,57
enfant,57
entendre,57
certains,57
redding,57
blanc,56
pete,56
vivre,56
wittlesey,56
couilles,56
clayton,56
cinq,56
when,56
enfin,56
arriver,56
six,55
cancer,55
garçon,55
now,55
pardon,55
arrêtez,55
why,54
quatre,54
battre,54
white,54
questions,54
possible,54
changé,54
genre,54
télé,54
ferai,54
sommes,54
some,54
accident,53
abord,53
apprendre,53
like,53
hey,53
espèce,53
she,53
gardien,53
scibetta,53
terre,52
trucs,52
marche,52
maison,52
mets,52
quartier,52
jésus,52
plein,52
parents,52
come,52
fera,52
heureux,52
wangler,52
âme,52
croyez,51
toby,51
morts,51
surtout,51
there,51
font,51
voyez,51
then,51
parles,51
affaires,51
ben,51
numéro,51
service,51
elles,51
presque,51
noir,51
his,50
commence,50
fasse,50
face,50
porte,50
garder,50
dernier,50
lieu,50
musulmans,50
mots,50
fou,50
go,49
avis,49
choix,49
chef,49
fort,49
entrer,49
diane,49
sort,49
pensé,48
kenny,48
b,48
laissé,48
lit,48
femmes,48
occuper,48
bout,48
envie,48
derrière,48
appeler,48
take,48
esprit,47
retour,47
neuf,47
were,47
tell,47
brass,47
reilly,47
baiser,47
unité,47
kirk,47
cuisine,47
voit,47
travailler,46
read,46
penser,46
them,46
beau,46
appris,46
serais,46
attention,46
regarder,46
doute,46
okay,46
hughes,45
finir,45
assieds,45
sally,45
rendre,45
seras,45
mauvais,45
bob,45
déteste,45
voulait,45
aimes,45
étiez,45
cour,45
instant,45
arif,44
ve,44
yo,44
salaud,44
bientôt,44
sauf,44
think,44
programme,44
belle,44
malade,44
dossier,44
say,44
juge,44
aryens,44
car,44
seigneur,44
frères,44
négro,44
cloutier,44
important,43
courrier,43
been,43
occupe,43
courant,43
revoir,43
voudrais,43
voulu,43
jackson,43
marché,42
menti,42
système,42
moyen,42
agit,42
vahue,42
dégage,42
responsable,42
lire,42
will,42
pédé,42
exactement,42
any,42
gagner,42
need,42
scott,42
ville,41
prochaine,41
let,41
lettre,41
devenir,41
foi,41
chier,41
inquiète,41
pouvais,41
first,41
preuves,41
viol,40
minutes,40
regardez,40
contrôle,40
attendre,40
morte,40
gardes,40
livre,40
complètement,40
plan,40
impossible,40
plutôt,40
giles,40
commencé,40
arrêté,40
shirley,40
more,40
look,40
docteur,40
minute,40
lâche,39
sinon,39
her,39
prochain,39
cru,39
sujet,39
ain,39
guerre,39
près,39
ortolani,39
khan,39
mains,39
attendez,39
réfléchir,39
continue,39
peuvent,39
allait,39
manger,38
faute,38
exact,38
comprendre,38
sentence,38
rendez,38
ensuite,38
plaisir,38
schibetta,38
presse,38
perdre,38
partout,38
grâce,38
approche,38
crime,38
revenir,38
asseyez,38
allé,38
g,38
keenan,38
sauver,37
loin,37
commission,37
semaines,37
prend,37
disais,37
poste,37
attendant,37
christ,37
nègre,37
facile,37
propre,37
veulent,37
oublié,37
colère,37
bonnes,37
visites,37
jeu,37
prenez,37
drôle,37
good,37
arrivée,37
appelé,37
vers,36
sentiments,36
dormir,36
devenu,36
rencontrer,36
case,36
norma,36
règles,36
soyez,36
sympa,36
décision,36
avaient,36
mukada,36
hernandez,36
penses,36
groupe,36
fallait,36
montre,36
cours,36
loewen,36
couloir,36
howell,36
vue,36
envoyé,36
us,36
poet,36
adam,35
ci,35
puisse,35
nappa,35
léo,35
risque,35
parti,35
petits,35
devez,35
tranquille,35
going,35
matin,35
change,35
pitié,35
tiré,35
vraie,35
chercher,35
secret,35
pensez,35
time,35
faux,35
dos,35
cellules,35
homicide,35
peau,35
chien,35
aviez,35
grande,35
propos,34
ecoute,34
types,34
parlez,34
would,34
entends,34
sécurité,34
pourriez,34
had,34
envoie,34
libre,34
détention,34
ferais,34
lu,34
dise,34
vouloir,34
miss,34
tenir,34
ailleurs,34
mariage,34
souvent,34
protéger,34
sérieux,34
serai,34
suce,34
raisons,34
écrit,34
secours,34
querns,34
visage,34
utiliser,33
école,33
médecin,33
nino,33
imam,33
exécuté,33
journée,33
réponse,33
désolée,33
échange,33
retourne,33
foutu,33
suivre,33
venue,33
dino,33
donnez,33
r,33
probablement,33
cou,33
heures,33
faisait,33
envoyer,33
mobay,33
mêmes,33
travaille,33
innocent,33
sorte,33
jia,33
révérend,33
sorti,33
simple,33
effet,33
payer,33
violé,32
cerveau,32
ordre,32
jaz,32
tour,32
gardiens,32
tirer,32
gosses,32
sors,32
conseil,32
feu,32
jack,32
matons,32
rapport,32
espoir,32
promis,32
jeune,32
silence,32
année,32
blancs,32
allais,32
coups,31
perpétuité,31
meilleure,31
refuse,31
prier,31
rend,31
pourtant,31
sure,31
flics,31
situation,31
force,31
dès,31
bizarre,31
jure,31
ceci,31
enfer,31
thing,31
james,31
dingue,31
personnes,31
santé,31
adore,30
aurai,30
vivant,30
exemple,30
honneur,30
aimé,30
celle,30
voix,30
make,30
chacun,30
preuve,30
seront,30
tribunal,30
prisons,30
feux,30
commencer,30
sexe,30
our,30
extinction,30
pardonner,30
bienvenue,30
devoir,30
ainsi,30
joue,30
mettez,30
william,30
sûre,29
venger,29
basket,29
téléphone,29
meurt,29
prouver,29
attend,29
etat,29
fric,29
ferait,29
amoureux,29
combat,29
touche,29
certaines,29
devait,29
stanton,29
transférer,29
dirait,29
vaut,29
start,29
fermes,29
droits,29
connaissez,29
amérique,29
verra,29
dîner,29
mme,29
pièce,29
amène,29
prêtre,29
bellinger,29
impression,29
dirai,29
ira,28
ouvrez,28
erreur,28
portable,28
balle,28
never,28
cage,28
little,28
gaz,28
off,28
jambes,28
fier,28
pareil,28
conversation,28
ignore,28
demandez,28
séance,28
dave,28
those,28
bande,28
reçu,28
aille,28
bouche,28
faveur,28
way,28
connu,28
enquête,28
gamin,27
difficile,27
mlle,27
plupart,27
lumière,27
mitard,27
ciel,27
messieurs,27
plusieurs,27
dead,27
sauvé,27
demandais,27
sept,27
accepté,27
by,27
aidé,27
vengeance,27
respect,27
poignardé,27
responsabilité,27
époque,27
meurtres,27
suprême,27
h,27
match,27
tunnel,27
dedans,27
laquelle,27
timmy,27
devient,27
too,27
refusé,27
bouge,27
long,27
pays,27
eau,27
gosse,27
hors,27
andrew,27
connaît,27
signifie,26
selon,26
autour,26
rivera,26
gagné,26
devriez,26
appelez,26
personnel,26
chiens,26
alright,26
guerra,26
entrez,26
mur,26
rats,26
contraire,26
derniers,26
connaître,26
accusé,26
jericho,26
nez,26
mauvaise,26
retrouver,26
étant,26
moitié,26
noirs,26
tire,26
début,26
procureur,26
rendu,26
pédale,26
forme,26
agamemnon,26
disent,26
supreme,25
kibler,25
témoin,25
copain,25
rêve,25
salle,25
arme,25
parfait,25
aie,25
excusez,25
montrer,25
find,25
défense,25
ouah,25
expliquer,25
gotta,25
camp,25
maladie,25
aidez,25
cutler,25
gaffe,25
malgré,25
nul,25
siciliens,25
something,25
retourner,25
deal,25
cité,25
baisé,25
public,25
prix,25
détails,25
menteur,25
john,25
robert,25
général,25
condamnation,24
enceinte,24
offre,24
commis,24
recule,24
lève,24
payé,24
ayez,24
claire,24
latinos,24
équipe,24
toucher,24
venez,24
assassiné,24
haine,24
commun,24
enculer,24
murphy,24
emmenez,24
buter,24
flic,24
vies,24
soi,24
culpabilité,24
pleurer,24
yes,24
ex,24
retrouve,24
empêcher,24
p,24
signe,24
occupé,24
faite,24
mens,24
chemin,24
voie,24
auras,24
father,24
chaise,24
millions,24
groves,24
centre,24
pied,24
killed,24
kill,24
violer,23
frappé,23
mise,23
baise,23
tapette,23
couteau,23
normal,23
honnête,23
verdict,23
doucement,23
vouliez,23
parie,23
pardonne,23
traitement,23
rencontre,23
bosser,23
talk,23
infos,23
cherche,23
sortez,23
marcher,23
putains,23
bouclage,23
sainte,23
faim,23
su,23
anniversaire,23
semble,23
saura,23
dollars,23
metzger,23
alex,23
oublie,23
musique,23
liste,23
retard,23
riot,23
irlandais,23
disait,23
fond,23
chances,23
voiture,23
existe,23
juif,23
because,23
bible,23
euh,23
différence,23
clair,23
opération,23
occasion,23
réalité,23
arrêt,23
smith,23
jefferson,23
enculés,23
aimer,23
warden,23
else,22
bibliothèque,22
acte,22
falloir,22
does,22
habitude,22
mienne,22
sache,22
lois,22
choisi,22
mean,22
lopresti,22
burns,22
done,22
didn,22
dépend,22
dick,22
even,22
protection,22
devais,22
croit,22
saint,22
bouffe,22
souvenez,22
suivant,22
touché,22
fbi,22
sûrement,22
mark,22
has,22
feras,22
victime,22
interdit,22
prévu,22
poète,22
huh,22
casse,22
crever,22
rêves,22
faits,22
promets,22
years,22
pauvre,22
maybe,22
attaqué,22
chanter,22
tas,22
cafétéria,22
présent,22
mignon,21
leroy,21
agression,21
écouter,21
obligé,21
galino,21
file,21
ray,21
tort,21
word,21
coupé,21
ment,21
dangereux,21
suppose,21
intéresse,21
met,21
lot,21
aimez,21
remettre,21
injection,21
quitter,21
bagarre,21
boxe,21
asseoir,21
excuse,21
job,21
idiot,21
taille,21
calmer,21
chucky,21
jeunes,21
maritza,21
né,21
police,21
jury,21
oublier,21
people,21
terminé,21
héroïne,21
jeudi,21
criminel,21
vide,21
stop,21
grosse,21
froid,21
soient,21
says,21
li,21
ask,21
évader,21
pose,21
u,21
pieds,21
vendre,21
trafic,21
baby,21
frappe,20
survivre,20
baisse,20
happened,20
talking,20
malin,20
tient,20
gymnase,20
avance,20
savent,20
pouvait,20
cher,20
devons,20
accepter,20
mérite,20
hamid,20
lâchez,20
irai,20
porter,20
raconte,20
cool,20
page,20
choisir,20
solution,20
enrique,20
sexuel,20
down,20
ricardo,20
neige,20
manqué,20
volontaire,20
murder,20
away,20
prise,20
déjeuner,20
raconter,20
guenzel,20
poser,20
descendre,20
fout,20
blessé,20
overdose,20
office,20
each,20
continuer,20
livres,20
surprise,20
filles,20
revient,20
sortie,20
débarrasser,20
bons,20
over,20
grands,20
rentre,20
dirais,20
réunion,19
certain,19
déclaré,19
roi,19
holly,19
gentil,19
témoins,19
chambre,19
réussi,19
soins,19
tidd,19
dobbins,19
diable,19
nana,19
brandt,19
aveugle,19
same,19
actes,19
ouvrir,19
intérêt,19
carlo,19
arranger,19
serez,19
blanche,19
âge,19
créé,19
mission,19
connerie,19
code,19
violée,19
deuxième,19
assassinat,19
paquet,19
potes,19
nothing,19
dealer,19
rue,19
viennent,19
these,19
réfléchi,19
campagne,19
prêts,19
gagne,19
impliqué,19
repas,19
peuple,19
pleine,19
latino,19
bonheur,19
patient,19
coin,19
doivent,19
marié,19
cinglé,19
ecoutez,19
paradis,19
prouve,19
avoué,19
accusation,19
découvert,19
emmène,19
avenir,19
day,19
k,19
tombe,19
dossiers,19
leçon,19
saw,19
décider,19
ever,19
durs,19
pourras,18
différent,18
permission,18
richie,18
lettres,18
copine,18
tôt,18
fermer,18
verre,18
stanislofsky,18
fut,18
aies,18
présente,18
cigarettes,18
tourne,18
carrie,18
vidéo,18
seconde,18
haut,18
route,18
blague,18
récemment,18
mecs,18
racontes,18
shot,18
fumer,18
relation,18
discuter,18
transféré,18
rital,18
only,18
second,18
crève,18
paie,18
problem,18
coupe,18
pensent,18
punir,18
reviens,18
blessures,18
viré,18
anything,18
armée,18
possibilité,18
looking,18
washington,18
alcool,18
should,18
midi,18
voyons,18
patron,18
volonté,18
other,18
benchley,18
pistolet,18
terrible,18
libéré,18
next,18
sein,18
soeur,18
ronnie,18
simon,18
nègres,18
fil,18
joué,18
église,18
intention,18
travaillé,18
two,17
intérieur,17
armstrong,17
keep,17
maire,17
goergen,17
aurez,17
premiers,17
patience,17
assurer,17
vieille,17
noël,17
envers,17
expérience,17
histoires,17
eugène,17
assis,17
arrière,17
jim,17
could,17
nécessaire,17
rapports,17
nouveaux,17
foutez,17
dure,17
absolument,17
saison,17
société,17
moïse,17
reprendre,17
pretty,17
joie,17
vogel,17
risques,17
court,17
février,17
failli,17
debout,17
trouvez,17
coming,17
three,17
continuez,17
pipe,17
recevoir,17
humeur,17
façons,17
nulle,17
officer,17
cousin,17
faisais,17
population,17
daughter,17
péchés,17
thérapie,17
pigé,17
convaincre,17
seuls,17
couleur,17
preston,17
boîte,17
prête,17
into,17
cassé,17
nichons,17
client,17
tentative,17
amen,17
sacré,17
mange,17
mariée,17
work,17
fasses,17
saying,17
administration,17
janvier,17
tel,17
émeraude,17
mentir,17
pénitentiaire,16
doing,16
am,16
gencives,16
couper,16
catholique,16
cellulaire,16
bullshit,16
doux,16
prière,16
meehan,16
triste,16
through,16
pousse,16
their,16
ennuis,16
suzanne,16
médecins,16
soin,16
gang,16
wilson,16
comité,16
another,16
crétin,16
série,16
religion,16
give,16
menace,16
street,16
listen,16
sucer,16
stella,16
stupide,16
puissant,16
travers,16
tombé,16
dirige,16
emmerder,16
frapper,16
censé,16
découvre,16
régler,16
call,16
propres,16
marrant,16
médicaments,16
écrire,16
donnes,16
accro,16
génie,16
faible,16
extérieur,16
vit,16
infirmerie,16
rentrer,16
environ,16
puisque,16
class,16
rat,16
joindre,16
finalement,16
courage,16
comprenez,16
moindre,16
aztecs,16
cartes,16
otages,16
ordres,16
maton,16
around,16
copains,16
jeté,16
afin,16
browne,16
arnold,16
musulman,16
connaissais,16
témoigner,16
joueur,16
johnson,16
carte,16
approcher,15
since,15
huit,15
nature,15
portes,15
parlait,15
bête,15
condamnés,15
ramenez,15
noms,15
samuel,15
nazi,15
bricks,15
attaque,15
parmi,15
génial,15
contact,15
assure,15
understand,15
prennent,15
martin,15
drogues,15
photo,15
contrôler,15
life,15
aimait,15
danger,15
diriger,15
markstram,15
assister,15
dira,15
souvenir,15
honte,15
rends,15
tante,15
audience,15
sursis,15
haute,15
leucémie,15
imagine,15
things,15
ca,15
walker,15
boire,15
brigade,15
weigert,15
douche,15
tombée,15
souhaite,15
grave,15
telle,15
breast,15
pourrai,15
jeter,15
eugene,15
répète,15
rire,15
ritals,15
faudra,15
soudain,15
petites,15
éviter,15
secondes,15
manière,15
accepte,15
message,15
quitté,15
hear,15
sortes,15
malheureusement,15
battu,15
business,15
membre,15
being,15
hi,15
décide,15
surpris,15
eldridge,15
arrange,15
imaginez,15
balles,15
règle,15
where,15
mauvaises,15
fête,15
open,15
possession,15
connards,15
cacher,15
heard,15
disons,15
appelles,14
juré,14
chaussures,14
voulaient,14
priez,14
god,14
savait,14
demandes,14
ordure,14
mineo,14
el,14
sac,14
libérable,14
bad,14
défendre,14
perd,14
traite,14
chico,14
amené,14
viendra,14
respecte,14
préparer,14
disparu,14
joues,14
entrée,14
macbeth,14
points,14
moche,14
respire,14
voyage,14
laissera,14
étions,14
renvoie,14
guide,14
chair,14
sister,14
plante,14
langue,14
soleil,14
cigarette,14
conjugales,14
meilleurs,14
croix,14
date,14
bevilaqua,14
ouvre,14
regardé,14
mémoire,14
tenu,14
circonstances,14
poussé,14
died,14
dalle,14
humain,14
lame,14
winthrop,14
intervention,14
vêtements,14
post,14
verras,14
creuser,14
thought,14
kind,14
chéri,14
criminels,14
essaies,14
gorge,14
henry,14
dix,14
aimais,14
merdes,14
feriez,14
buté,14
émeutes,14
capable,14
help,14
coyle,14
côtés,14
rôle,14
lequel,14
satan,14
thank,14
rouge,14
faisant,14
épouse,14
vus,14
dors,14
bruit,14
attaquer,14
sida,14
américains,14
hard,14
cardinal,14
quels,14
catherine,14
sara,14
ass,14
oubliez,14
made,14
suspect,14
after,14
disant,14
memorial,14
victoire,14
vis,14
étre,14
fauteuil,14
told,14
before,14
kenmin,14
demi,14
direct,14
tits,14
avocats,14
psy,14
auront,13
pur,13
brisé,13
care,13
évaluation,13
gâteau,13
apprécie,13
études,13
team,13
pourraient,13
vol,13
gary,13
regard,13
zelman,13
félicitations,13
nombre,13
napoléon,13
horrible,13
vécu,13
lawyer,13
budget,13
jason,13
taule,13
kosygin,13
patrick,13
milieu,13
barre,13
conférence,13
wolfgang,13
education,13
clean,13
officier,13
politique,13
marier,13
men,13
violent,13
forcé,13
garçons,13
résultats,13
penders,13
truth,13
sport,13
amie,13
mariés,13
council,13
prisoners,13
rencontré,13
crains,13
apporter,13
inventé,13
découvrir,13
mourra,13
rage,13
souffrance,13
préfère,13
sean,13
vin,13
émission,13
every,13
libérer,13
sexy,13
chiourmes,13
dernières,13
engagé,13
jugé,13
membres,13
enfermé,13
renvoyer,13
hearing,13
capitale,13
mars,13
bouquin,13
manquer,13
résultat,13
virer,13
alvah,13
figure,13
jewel,13
annuler,13
punition,13
italien,13
volé,13
dommage,13
episode,13
mr,13
murs,13
arrivera,13
johnny,13
abandonné,13
shut,13
niveau,13
charge,13
protège,13
sentir,13
soirée,13
séances,13
please,13
traiter,13
péché,13
longue,13
offrir,13
tués,13
amenez,13
supplie,13
plainte,13
bloc,13
prépare,13
décès,13
permis,13
cathy,13
action,13
chaud,13
doigts,13
apporté,13
sachant,13
really,13
vrais,13
restera,13
favor,13
douleur,13
divorce,13
monter,13
pharaon,13
sick,13
brenda,13
mettra,13
tenez,13
choisit,13
ouvert,13
hunt,13
supporter,13
président,13
guy,13
table,13
trouverai,13
oncle,12
queue,12
exprès,12
battrai,12
suck,12
bus,12
détruire,12
disparaître,12
assassin,12
urgence,12
last,12
auprès,12
différents,12
univers,12
appartient,12
préviens,12
madame,12
privé,12
entreprise,12
morgue,12
kramer,12
faisons,12
harcèlement,12
remords,12
journal,12
ressens,12
avoue,12
believe,12
nice,12
appelait,12
doesn,12
glace,12
deyell,12
confession,12
méchant,12
armes,12
regrette,12
vocabulary,12
quitte,12
appels,12
déclaration,12
comportement,12
asking,12
jurés,12
élevé,12
much,12
pourra,12
afrique,12
cadeau,12
ordures,12
used,12
aidera,12
réfléchis,12
entière,12
prisoner,12
communauté,12
répondre,12
suicide,12
pardonnez,12
récupérer,12
serment,12
v,12
choisis,12
sippel,12
puni,12
couché,12
pensait,12
assistant,12
suivi,12
recherches,12
bombe,12
réponses,12
someone,12
saviez,12
working,12
unis,12
hole,12
malades,12
whole,12
carlos,12
tug,12
rang,12
apporte,12
participer,12
idzik,12
étouffé,12
devraient,12
embrasse,12
bougez,12
admettre,12
partage,12
vendu,12
verrai,12
effets,12
héros,12
liaison,12
moyens,12
dope,12
démissionner,12
chen,12
faudrait,12
tina,12
bosse,12
poignarder,12
prié,12
convaincu,12
agi,12
dents,12
juillet,12
folie,12
grandi,12
passez,12
épouser,12
crack,12
may,12
nouvel,12
réconfort,12
casser,12
balancé,12
entraîner,12
mensonges,12
club,12
wrong,12
plait,12
passée,12
between,12
planté,12
souffrir,12
retrouvé,12
agents,12
boucle,12
al,12
criminelle,12
planter,12
joli,12
régime,12
relax,12
end,11
organisé,11
reconnu,11
avancer,11
tests,11
connolly,11
ralph,11
w,11
ennemis,11
chanson,11
top,11
lycée,11
emmener,11
direction,11
husseini,11
joyeux,11
réputation,11
excuser,11
mental,11
idées,11
hosto,11
voient,11
importance,11
comprend,11
salaire,11
distance,11
ligne,11
name,11
