Mot,Occurrence
i,5382
a,3228
the,3154
you,3151
de,2642
to,2495
je,2311
s,2230
est,2131
on,1776
que,1722
it,1688
pas,1686
le,1652
t,1499
vous,1472
la,1460
that,1341
un,1337
il,1319
à,1254
ce,1243
tu,1171
of,1167
l,1163
and,1138
d,1121
et,1102
me,1036
c,1022
les,1020
we,1018
qu,992
what,970
en,956
ça,935
in,904
ne,896
une,866
j,843
is,836
m,812
this,773
des,745
pour,731
ai,721
n,703
he,653
have,640
was,626
qui,621
re,589
y,589
for,558
my,557
can,550
be,545
as,538
know,535
dans,523
do,509
don,509
not,505
no,501
jane,489
with,481
but,474
riley,472
mais,471
si,462
your,433
there,431
être,430
if,425
neuro,413
just,408
they,404
are,397
tout,391
elle,389
nous,386
moi,385
connor,382
ve,377
get,376
sur,376
du,372
all,361
out,359
peut,358
bien,355
about,344
here,340
ll,337
fait,336
plus,334
suis,329
ils,329
avec,323
like,322
got,321
up,312
était,310
him,308
faire,307
non,304
so,300
one,300
au,299
how,297
at,295
she,295
va,289
chose,287
sais,280
right,279
from,278
se,271
mon,267
going,261
something,254
comme,252
sont,246
his,241
think,241
people,239
been,238
ici,237
te,233
when,230
who,228
peux,226
quelque,223
quoi,219
go,218
là,217
quand,217
did,212
could,210
some,209
why,208
cette,205
now,204
an,202
avez,202
her,201
time,200
ont,199
pourquoi,199
were,198
had,198
want,195
vasco,194
or,193
our,191
dit,189
son,188
us,187
été,186
oui,185
où,184
dire,183
même,181
let,181
ma,180
see,180
rien,179
yeah,179
comment,176
would,176
toi,173
veux,171
take,171
juste,170
okay,165
ou,163
par,162
good,160
team,159
them,156
avoir,155
lui,155
ces,154
any,153
didn,152
way,151
agent,150
neuros,149
tell,147
down,146
need,146
where,145
votre,144
êtes,144
gens,141
has,141
back,140
équipe,140
quelqu,139
peu,137
avait,135
es,135
maybe,134
well,131
temps,131
find,131
doing,130
place,130
alors,128
man,128
more,127
pense,127
first,126
accord,126
off,126
by,125
only,125
personne,124
dr,123
even,123
into,123
maintenant,122
seth,121
notre,121
vu,120
come,119
hell,119
toujours,118
yes,118
will,118
still,117
bon,115
autre,114
part,114
jamais,114
voir,113
très,113
andre,113
really,113
work,113
anything,113
sa,112
vraiment,112
make,112
look,111
deux,110
might,108
because,108
autres,107
two,107
vie,106
then,106
andré,105
over,104
happened,104
last,103
someone,103
vais,103
tous,102
their,102
homme,102
encore,101
should,101
ton,100
doit,100
ouais,99
aussi,99
dois,98
these,98
guy,98
other,98
much,97
merci,97
never,97
eu,96
fais,96
help,95
mcbride,95
boss,94
doesn,94
besoin,93
say,93
fois,93
than,93
life,93
soit,92
choses,92
avant,90
leur,90
oh,90
savoir,90
things,90
crois,89
too,88
said,88
maureen,88
étais,88
gars,88
thought,87
little,87
thing,87
aux,87
sure,87
chip,86
prendre,85
keep,85
those,84
alright,83
howie,83
parce,83
passé,82
depuis,82
sans,82
trying,81
saw,81
day,80
mean,79
cet,79
aller,78
nothing,78
ok,78
sait,77
long,77
vos,77
before,76
mes,76
déjà,76
nos,75
minutes,74
après,74
always,74
moment,74
night,74
ses,73
security,73
sécurité,73
house,73
lot,73
beaucoup,72
trouver,72
truc,72
through,71
cas,71
chance,71
dead,71
ever,70
away,70
give,70
hey,70
aucun,70
enough,70
put,70
dis,70
trouvé,69
knew,69
point,69
every,69
sorry,69
very,69
assez,69
allez,69
everything,68
sûr,68
years,68
same,68
after,67
moins,67
passe,67
wasn,67
mal,67
pu,67
baumgartner,67
believe,67
chez,66
made,66
ta,66
guys,66
call,66
until,65
maison,65
else,65
anyone,65
mieux,65
better,65
monde,65
première,64
does,64
com,64
dû,64
name,64
found,64
type,64
stop,64
am,64
understand,63
try,63
chef,63
bad,63
avais,63
arrive,63
toute,63
told,62
problème,62
use,62
talk,62
thank,62
three,62
arrivé,62
quelques,62
jour,61
isn,61
pourrait,61
vas,61
sarah,61
importe,60
six,60
getting,60
check,60
job,60
toutes,60
donc,60
questions,59
voulez,59
pouvez,59
question,59
endroit,59
dont,58
sous,58
parler,58
possible,57
best,57
ans,57
entre,57
looking,57
aider,57
dernière,57
case,56
whatever,56
quel,56
won,56
raison,55
travaille,55
guess,55
gonna,55
damn,55
nuit,54
faut,54
ago,53
again,53
ville,53
king,53
ethan,53
elles,53
pain,53
came,52
air,52
dessus,52
face,52
mort,52
another,52
done,51
seul,51
pouvoir,51
seulement,51
idée,51
being,51
aucune,51
left,51
partie,50
mo,50
vois,50
secret,50
veut,50
porte,50
new,50
travail,50
own,49
around,49
close,49
which,49
hyde,49
room,49
idea,49
mind,49
fire,49
pretty,49
weird,48
esprit,48
working,48
femme,48
trop,48
puce,48
important,47
car,47
avons,47
pensais,47
réponses,47
faites,47
most,47
devrais,47
harold,46
nico,46
serait,46
sortir,46
désolé,46
kind,46
coming,46
peuvent,46
answers,46
personnes,46
bureau,45
passer,45
feel,45
dirait,45
wrong,45
appelle,45
reste,45
façon,45
problem,44
devrait,44
ask,44
police,44
home,44
run,43
talking,43
stay,43
different,43
hit,43
aurait,43
o,43
bizarre,43
joseph,43
sera,43
suppose,43
fair,42
seen,42
head,42
while,42
oaks,42
started,42
tests,42
town,42
went,42
wouldn,42
power,42
jusqu,42
bonne,42
trois,42
thanks,42
bas,42
zhang,41
since,41
sang,41
peur,41
brian,41
end,41
truth,41
boulot,41
able,41
control,41
penses,41
doctor,41
seems,40
happen,40
affaire,40
old,40
show,40
morning,40
henry,40
compris,39
pris,39
chaque,39
great,39
mr,39
gotta,39
semble,39
please,39
wanda,39
albert,38
woman,38
moyen,38
dyle,38
nice,38
clear,38
arrêter,38
hurt,38
samuel,38
kill,38
everyone,38
door,38
already,38
morgan,38
probably,38
système,37
next,37
vono,37
course,37
without,37
aurais,37
vérité,37
danger,37
doc,37
seule,37
feu,37
tête,37
wanted,37
turn,37
looks,37
celui,37
allons,37
jours,36
killed,36
remember,36
test,36
heal,36
yourself,36
shot,36
savez,36
kristoff,36
docteur,36
vient,36
soir,36
contact,35
live,35
must,35
position,35
pensez,35
laisse,35
genre,35
tant,35
miss,35
others,35
makes,35
hard,35
explain,35
transcript,35
tek,35
actually,34
dangerous,34
sommes,34
douleur,34
tuer,34
government,34
given,34
quelle,34
few,34
savais,34
voiture,34
voilà,34
parle,33
gone,33
least,33
nom,33
www,33
real,33
bitch,33
couldn,33
die,33
under,33
sens,33
hear,33
joe,33
cela,33
risk,33
beast,32
used,32
swsub,32
robeson,32
matin,32
wait,32
behind,32
morts,32
change,32
donné,32
world,32
five,32
écoute,32
leurs,32
easy,32
leave,32
exactly,32
attention,32
heure,32
far,32
code,32
many,31
laisser,31
comprends,31
prison,31
deal,31
today,31
four,31
bolnar,31
étaient,31
sûre,31
move,31
suit,31
simon,31
missing,31
demander,31
instant,31
rest,31
train,31
watch,31
report,31
mère,31
viens,30
took,30
contrôle,30
listen,30
taken,30
brain,30
supposed,30
chipped,30
system,30
croire,30
aujourd,30
saying,30
ya,30
aren,30
vrai,30
tes,30
tour,30
rapport,30
hui,30
haven,30
died,29
bête,29
changer,29
days,29
together,29
past,29
devant,29
alone,29
ten,29
yet,29
monsieur,29
inside,29
telling,29
tard,29
special,29
god,29
main,29
combien,29
contre,29
office,29
petit,29
premier,29
may,29
once,28
lewis,28
ni,28
light,28
fine,28
mother,28
donne,28
karl,28
unless,28
beautiful,28
aide,28
chasse,28
sûrement,28
worked,28
puis,28
goes,28
zone,28
essayé,28
dna,28
eh,28
ait,28
derrière,28
open,28
affaires,28
knows,28
corps,28
entendu,28
cours,28
cole,28
secteur,28
lost,27
running,27
nouveau,27
demande,27
against,27
e,27
cause,27
friends,27
either,27
building,27
mois,27
vérifier,27
minute,27
adn,27
hein,27
longtemps,27
donner,27
date,27
commencé,27
tunnel,27
bowers,27
lento,27
eux,27
thinking,27
grant,27
hour,27
heard,27
hands,27
agency,27
tué,27
seem,27
each,26
mine,26
floor,26
love,26
front,26
plutôt,26
agence,26
simple,26
choix,26
dieu,26
location,26
mission,26
care,26
elevator,26
mettre,26
mourir,26
voyez,26
