Mot;Occurrence
quand;217
j;843
étais;88
petite;24
mon;261
père;25
m;321
appelait;1
painkiller;2
jane;231
si;462
je;2311
me;333
blessais;1
gérais;1
la;1460
douleur;34
contentais;1
pas;1686
de;2629
l;1162
intérioriser;1
ni;28
refouler;1
supprimais;1
et;1100
réfugiais;1
au;299
calme;17
dans;523
esprit;48
appelais;1
tour;30
émeraude;2
en;956
partie;50
pour;731
sa;112
couleur;5
verte;1
mais;471
surtout;8
car;14
imaginais;1
qu;992
une;866
magie;23
devait;4
régner;1
à;1251
intérieur;21
c;1007
était;310
ma;177
façon;45
contrôler;13
un;1336
monde;65
qui;621
hors;20
contrôle;30
bonjour;12
présentez;2
vous;1472
niveau;17
prenez;19
ascenseur;15
rapide;11
le;1652
peut;358
être;430
dangereuse;3
illusion;7
certaines;16
choses;92
ne;896
peuvent;46
du;372
tout;391
contrôlées;1
gravité;1
fait;336
des;745
plus;333
importantes;3
transcript;17
swsub;17
com;39
presynchro;3
sixe;4
traduction;1
kra;3
resynchro;3
sw38;3
pensez;35
que;1722
vis;7
sale;9
journée;22
quatre;15
jours;36
tôt;16
bien;355
pire;8
confus;4
aussi;99
nouvelle;17
drogue;4
commençait;2
circuler;1
les;1020
clubs;1
maureen;43
moi;385
espérions;2
trouver;72
piste;19
ce;1243
soir;36
est;2131
équipière;2
tant;35
agents;8
d;896
e;12
a;1370
on;1020
travaillait;8
sur;376
dossier;14
depuis;82
mois;27
avait;135
ça;935
aurait;43
été;186
fini;14
semaines;20
seulement;51
assez;69
ces;154
deux;110
gars;88
poser;6
sérieuses;3
questions;29
achat;4
arrestation;2
jour;61
chaussures;7
empruntées;1
boiterai;1
toujours;118
joue;8
selon;19
règles;12
i;1680
dealers;2
potentiels;3
acheteurs;1
ai;721
échantillons;11
tu;1171
as;277
argent;9
tiens;12
toi;173
prêt;20
t;247
penses;41
quoi;219
dis;70
vouloir;7
jouer;12
dirait;45
elles;53
viennent;6
brisées;1
occupe;12
géant;3
attends;19
revenez;2
tard;29
mains;21
air;35
bouge;13
habitude;10
aiment;1
chérie;19
vas;61
nul;2
part;59
bougez;1
bordel;21
écoutez;18
nom;33
andré;104
mcbride;45
suis;329
agent;76
gouvernement;13
même;181
équipe;140
sûre;31
pense;127
soyez;11
quoique;5
soit;92
là;217
mauvais;21
tir;7
ferme;9
homme;102
coté;8
produit;7
hallucination;1
pouvez;59
croire;30
voyez;26
êtes;144
pouvoir;51
entendez;7
davantage;5
mutation;15
génétique;14
tous;102
nos;75
problèmes;17
moment;53
votre;144
problème;62
il;1319
gagner;8
temps;131
embrouiller;1
eh;26
sacré;5
bon;115
travail;50
va;289
tuer;34
ment;5
non;299
veux;171
expliquiez;1
abord;12
comment;176
saviez;3
disais;13
vérité;37
ombre;3
bougeait;1
sienne;1
futé;2
vient;36
arriver;15
ici;237
oui;185
rien;179
lui;155
compris;39
ils;329
ont;199
innocenté;1
sans;82
dire;183
quelle;34
branche;1
travaillez;4
censé;6
se;270
savoir;90
pourquoi;199
nous;386
avez;202
suivis;2
vu;120
deal;1
faire;307
dessus;52
traîner;6
coin;15
passez;8
inaperçu;1
prends;25
comme;252
compliment;1
n;701
s;326
passé;82
bas;42
