Mot;Occurrence
when;230
i;3702
was;626
little;87
my;557
dad;11
called;17
me;703
his;241
painkiller;7
jane;258
whenever;4
got;321
hurt;38
made;66
the;3147
pain;51
go;218
away;70
only;125
didn;152
t;1252
just;408
bury;1
it;1688
or;193
push;8
aside;1
pretty;49
much;97
murdered;6
afterwards;2
d;225
to;2494
a;1858
peaceful;1
place;97
in;902
mind;48
emerald;3
city;17
partly;1
because;108
green;6
mostly;9
could;210
dream;10
about;344
what;969
magic;24
must;35
be;545
inside;29
way;151
of;1165
controlling;4
world;32
that;1341
out;359
control;39
subtitles;10
swsub;15
com;25
presynchro;1
sixe;3
hello;18
report;31
security;73
on;756
floor;26
take;171
express;13
elevator;26
can;549
dangerous;34
illusion;6
there;431
are;397
some;209
things;90
you;3150
have;640
absolutely;9
no;501
over;104
gravity;1
being;51
one;300
big;19
ones;11
if;424
thought;87
having;22
bad;63
day;80
then;106
four;31
days;29
earlier;7
even;123
worse;8
confused;5
so;300
new;50
designer;4
drug;6
had;198
started;42
circulating;1
through;71
clubs;1
maureen;45
and;1133
were;198
hoping;7
we;1018
score;5
night;74
s;1904
partner;7
as;261
e;15
agents;10
been;238
working;48
this;773
case;53
for;557
three;62
weeks;21
done;51
bust;6
two;105
ago;53
do;509
ve;377
enough;70
those;84
guys;66
ask;44
serious;10
questions;30
buy;15
more;127
her;201
borrowed;1
heels;2
limping;1
permanently;2
play;23
by;123
rules;11
samples;17
brought;16
money;13
ready;19
think;241
said;88
wanted;37
looks;37
like;322
they;404
broken;6
ugly;5
wait;32
come;119
back;140
later;22
hands;27
up;312
don;485
move;31
usually;12
darlin;12
re;589
not;505
going;261
anywhere;9
pal;10
freeze;3
hell;119
is;836
listen;30
name;64
andre;111
mcbride;50
m;491
government;34
agent;74
same;68
team;136
sure;87
anything;113
right;279
now;204
shooting;2
shut;23
man;127
beside;3
producing;1
hallucination;3
cannot;4
trust;26
seeing;17
believe;67
hearing;1
any;153
than;93
he;653
genetic;16
aberration;14
all;361
our;191
problems;13
your;433
problem;44
doing;130
gain;5
time;199
confuse;2
well;131
damn;55
good;160
job;57
kill;38
lying;13
easy;32
want;195
explain;35
first;126
how;297
did;212
know;535
telling;29
truth;41
shadow;1
moved;11
smart;10
turn;37
happened;104
here;340
yeah;179
nothing;77
him;308
cleared;10
still;117
doesn;94
say;93
branch;1
work;113
supposed;30
why;208
after;67
us;187
saw;81
down;146
hanging;5
around;49
look;109
kind;46
crowd;7
ll;337
compliment;1
wasn;67
meant;14
afraid;20
content;2
with;481
thank;62
vasco;102
leave;32
at;295
hey;70
might;108
checked;16
supervising;1
officer;9
but;458
mean;79
neuro;200
tagged;4
bagged;3
boss;78
ever;70
hear;33
idea;49
something;253
probably;38
figured;11
book;14
gal;1
which;49
invited;2
chuck;1
department;6
coffee;13
bagel;2
next;37
morning;40
agreed;5
check;60
mainframe;2
afternoon;8
deputy;1
director;5
office;29
seat;3
sworn;3
sitting;6
stomach;1
current;9
investigation;6
has;141
terminated;2
she;295
chose;7
share;9
entire;14
service;7
record;21
red;26
flagged;3
pentagon;1
tried;25
hack;4
database;14
unanswered;3
life;93
full;24
them;156
school;9
records;17
indicated;1
suspended;1
times;17
year;18
period;4
lie;16
twenty;9
actually;34
reasons;6
included;1
everything;68
from;278
fighting;5
swearing;1
feigning;1
an;197
epileptic;1
seizure;6
hospital;17
show;40
refused;2
let;181
visit;6
dying;9
mother;28
nurse;7
found;64
holding;8
middle;7
somehow;18
living;17
room;49
makes;35
tick;1
outside;26
box;10
wouldn;42
survived;4
use;62
does;64
catch;12
tell;147
until;65
aboard;4
girl;20
dinner;12
unlike;5
before;76
call;66
own;49
shots;10
everyone;38
accountable;2
someone;103
military;7
love;26
chain;6
command;6
charm;2
seven;17
years;68
special;29
forces;3
appreciate;12
offer;4
whatever;56
careful;14
shoes;6
put;70
foot;9
front;26
other;98
request;2
since;41
decided;7
stay;43
business;19
doc;20
where;145
these;98
intruders;2
approaching;4
north;9
tunnel;14
riley;244
many;31
proximity;12
fifteen;6
meters;3
get;376
armed;3
cut;23
em;7
off;126
subway;9
passage;1
ten;29
set;18
stand;10
weapon;2
shoot;20
gun;23
clear;38
caught;11
coming;46
nice;38
decorating;1
yourself;36
hope;21
violated;1
location;19
yours;18
reassigned;1
opening;2
mielo;1
store;10
ladies;5
find;131
gentlemen;6
mo;26
heard;27
booted;1
agency;27
wish;24
knew;69
taking;20
position;16
getting;60
rap;3
aren;30
always;74
told;62
enjoying;3
talking;43
screw;2
lawyer;4
files;11
possession;2
charges;8
against;27
their;102
gotta;39
thanks;41
calling;3
mom;9
both;25
hardball;1
win;7
means;22
screwing;2
join;10
choice;21
steve;5
ford;1
communications;4
tech;5
jensen;10
remember;36
connor;202
king;29
joe;18
waterman;1
ran;20
operations;4
most;47
anyway;22
hi;11
dr;60
seth;64
carpenter;6
formerly;1
who;228
graciously;1
consented;1
another;52
woman;38
qualified;2
hunt;10
neuros;71
neurological;14
aberrant;4
club;7
met;16
straight;6
six;36
became;5
aware;11
appearing;2
population;11
despite;8
differences;4
discovered;13
definable;2
pattern;23
gene;6
code;16
seems;40
affect;7
center;14
frontal;2
cerebral;3
cortex;3
english;4
possess;7
unique;5
ability;25
influence;9
others;35
experienced;3
induce;5
hallucinations;4
encountered;7
dozens;2
variations;4
people;239
date;14
almost;25
welcome;11
freak;18
causes;3
um;2
several;7
possibilities;6
environmental;1
chemical;3
trying;81
source;10
powers;20
varied;1
interferes;2
brain;30
distinguish;1
wrong;45
really;113
ass;14
gone;33
great;39
lengths;1
keep;85
phenomenon;5
secret;35
panic;3
public;9
intel;8
law;10
enforcement;8
media;1
identify;4
contain;5
chip;85
micro;2
basically;6
short;12
circuits;1
once;28
penetrates;1
epidermis;1
nano;1
propulsion;1
delivers;1
bloodstream;1
each;26
method;1
transmission;4
varies;2
op;2
sometimes;12
less;10
conspicuous;1
orientation;2
learn;19
rest;31
dealing;22
substandard;2
medications;5
black;7
market;4
sounds;23
territory;3
ours;4
convinced;5
behind;32
operation;9
drugs;11
question;29
manufactured;2
vono;21
tek;20
hard;35
company;11
would;176
manufacture;1
sub;11
standard;4
product;3
tenth;2
percent;5
every;69
run;43
fails;2
quality;2
contamination;1
snag;1
manufacturing;1
process;5
expired;1
ingredients;1
scanned;2
properly;2
small;21
percentage;1
amounts;2
millions;3
batch;1
pass;12
qc;1
locked;12
slated;1
destruction;2
making;11
end;36
onto;10
street;7
obviously;19
real;33
deal;30
unscrupulous;1
pharmacy;6
corners;1
already;38
dozen;19
deaths;4
traced;6
directly;8
lost;27
shannon;13
perry;1
member;4
left;51
building;26
calmly;1
stepped;2
moving;14
truck;12
women;9
last;103
very;69
long;65
sexual;1
harassment;1
size;2
deficiency;2
psych;2
spotless;2
break;20
cover;17
following;7
randall;5
hyde;25
head;42
order;11
free;9
access;19
vaults;1
unless;28
clean;19
taken;30
tissue;8
close;46
subject;6
nearby;1
need;146
yes;118
solo;3
tag;6
watch;31
quickly;13
used;32
hacked;2
human;13
resources;3
tomorrow;18
impressive;3
thing;87
dreams;15
into;123
nightmares;5
faster;1
click;1
high;25
blue;18
lobby;9
leaving;12
entering;4
else;65
jamming;4
wherever;4
went;42
anyone;65
watching;14
beat;8
climate;2
system;30
monitoring;3
movement;5
heat;9
signature;8
landed;4
46th;3
make;112
stop;62
crying;2
dead;71
ground;16
goodbye;3
see;180
cry;5
again;53
freakin;1
better;65
am;63
alive;16
important;24
monitor;6
vitals;3
testing;5
logical;4
conclusion;2
interested;6
illogical;1
forty;5
story;23
fall;7
accidents;3
survivals;1
hundreds;2
documented;3
plane;8
crashes;1
suicide;4
attempts;3
construction;3
workers;2
lived;8
lacerations;2
contusions;2
internal;4
organ;3
damage;7
scratch;5
blood;16
scan;4
indicate;6
related;7
home;42
okay;165
fell;5
drunks;1
buildings;2
pushed;3
drink;9
shouldn;18
morgue;2
hate;10
cold;6
stories;7
looking;57
glass;5
should;101
washed;1
week;18
possibility;4
isn;61
dork;1
running;27
checks;3
guy;98
computer;13
covering;4
habit;2
recruited;4
myself;24
believing;7
involved;12
caring;1
too;88
damned;1
dramatic;1
distance;5
exert;2
within;14
range;10
died;29
above;5
window;20
remote;1
comm;16
sets;1
suppose;15
airwave;1
counts;2
though;19
uses;4
communication;1
anybody;21
talk;62
employee;1
open;28
assistant;5
runs;6
central;7
switchboard;1
crap;15
quick;2
desk;2
intercept;3
won;56
secure;13
connection;10
bowers;16
aberrants;2
thoughts;6
controlled;4
dammit;1
second;21
herself;3
followed;3
guns;13
badge;1
badges;1
cop;7
pulls;1
piece;10
blow;8
bitch;33
feds;21
straighten;1
came;52
prison;12
extenuating;1
circumstances;4
ma;3
soon;17
kinds;2
decisions;1
difficult;5
sake;1
couldn;33
avoid;7
water;14
hurry;7
thinking;27
future;14
reference;2
give;70
orders;24
answers;46
word;18
lot;72
changed;18
realized;6
friend;21
sustain;2
stronger;6
never;97
become;10
yet;29
focused;3
putting;9
accessed;2
reason;17
will;118
mandate;1
happens;19
siren;4
wailing;4
breach;7
sl;1
zero;15
response;3
gunfire;12
nobody;25
attention;6
units;2
target;14
mia;1
grilled;1
chicken;2
distract;3
ourselves;5
tough;8
comes;22
early;14
barely;3
father;15
while;42
took;30
movies;5
circus;3
ball;2
games;2
distractions;4
kid;23
given;34
help;95
doctor;41
balloon;2
scrape;1
knee;1
cookie;3
grown;6
eat;9
whole;26
bag;3
cross;5
section;6
midgenome;1
haplotype;1
goes;28
beyond;9
mitochondrial;1
inceptors;1
medical;21
expert;3
cute;6
type;9
definitely;8
feeling;20
treat;4
kids;18
mommy;4
noticed;9
remarkable;4
listening;9
loci;1
moment;21
rafter;1
condition;11
option;2
major;5
tequila;4
weekend;5
brad;2
pitt;2
angelina;1
honest;9
seen;42
exactly;32
prognosis;2
heal;36
aspects;2
structure;8
weird;48
speak;7
continue;9
study;3
try;63
besides;14
seem;27
quite;23
healthy;7
nucleus;1
cell;19
latin;1
briefing;12
minutes;36
walk;15
five;32
fried;2
oh;65
fixing;1
relay;3
switches;3
point;32
keeps;8
guess;55
uh;5
huh;14
rumor;1
w;1
unidentified;1
attempting;4
steal;7
munitions;3
ammo;4
dump;1
month;6
reports;6
ins;3
obtain;2
weapons;7
surveillance;10
gear;9
turned;22
encounter;1
killed;36
killing;10
playbook;1
scenes;1
weren;11
impact;1
unauthorized;2
entry;8
safe;23
farrington;1
designers;1
commerce;1
wcb;2
dedicated;2
president;10
town;41
shake;1
kiss;3
babies;1
drum;2
campaign;1
contributions;1
grade;3
weaponry;1
equipment;5
rifle;4
scopes;2
complete;11
plans;9
tower;6
incidents;7
handle;13
presidential;2
authorized;5
information;18
exist;2
tunneling;2
luck;18
far;32
intervene;1
federal;18
privy;1
game;17
throw;10
football;4
players;2
laughs;2
alone;29
misery;3
shower;4
wine;13
amanda;13
door;38
neighbour;2
younger;1
voice;7
honey;3
busy;10
ya;29
c;15
mon;6
best;57
yo;3
busted;1
radio;2
encryption;1
hot;21
wired;6
walking;11
perp;6
setting;6
sting;2
tonight;22
details;5
lose;9
except;19
dignity;1
cramping;1
style;4
felt;16
noise;5
distraction;1
different;43
together;29
missing;31
pieces;1
places;12
takes;12
works;16
fit;13
gonna;55
oughtta;1
cool;8
rewarding;1
stuff;17
hustle;2
phone;22
ringing;1
site;5
alright;83
laser;3
fire;47
bring;25
forensics;1
doors;12
arrive;2
area;25
debrief;3
hours;24
solid;8
interception;1
stealing;6
rush;3
adrenaline;1
junkie;2
driving;6
confirm;5
victim;5
doubt;7
none;24
attempted;3
vehicle;5
scene;9
thirty;4
secured;5
under;33
guard;7
apprehended;7
least;33
body;25
duty;6
answer;22
tourists;1
burial;2
nowadays;2
between;21
crematoriums;1
research;20
bother;7
dirt;4
piled;2
hand;17
prints;5
along;14
tool;1
marks;2
grave;2
maybe;134
closer;4
appearances;3
mr;36
hawkings;4
power;42
impression;3
add;5
post;4
mortem;1
aaron;1
age;8
old;39
complications;1
due;6
hereditary;1
cardiovascular;1
death;11
certificate;1
legit;1
diagnosed;2
child;10
cases;13
corpses;4
graveyards;2
nine;10
young;10
haven;30
dates;5
armor;1
male;5
excellent;4
physical;8
coach;1
helluva;4
defensive;1
line;18
soldiers;2
ops;3
whoever;14
broke;5
connected;4
unstoppable;1
army;5
newer;1
members;7
class;5
raise;5
happen;40
happening;17
possible;24
minds;23
handbook;1
writing;2
aberrations;1
sprung;1
ambush;2
scared;8
forced;5
philosophical;2
understand;63
asking;19
die;33
perhaps;13
shocking;1
books;7
read;18
online;2
past;29
touch;13
feel;45
grounded;1
figure;22
side;22
recently;4
alike;4
difference;9
hide;11
half;25
bottle;5
angry;3
although;3
sense;21
prove;4
ahhhhhh;1
lady;8
opinion;4
sir;24
compromised;5
dedication;3
rescheduled;1
needs;13
fully;6
informed;5
risk;33
potential;3
angle;2
decision;4
final;5
corpse;2
instructed;1
cemetery;3
personnel;6
affected;5
eye;11
subjects;3
match;8
profile;9
lawnmore;1
miles;13
tracking;6
caretaker;1
talked;6
brave;3
crapping;1
himself;11
rolling;1
climbed;4
walked;9
care;26
controller;1
grunts;1
noooooo;1
vision;4
goggles;1
gave;25
fight;10
basketballs;1
tennis;1
rackets;1
sporting;3
goods;3
starting;11
specials;1
mission;2
hit;43
using;15
men;15
form;9
albert;19
malley;4
natural;3
months;21
history;9
sketchy;1
indigent;2
known;17
address;16
family;11
temporary;2
r;5
eight;5
claimed;2
dependent;1
able;41
spotted;4
arose;1
locals;6
consensus;1
ceremony;3
cook;3
appetites;1
lotta;3
walkin;1
either;27
track;12
route;5
third;9
car;33
protected;2
points;7
limo;1
entrance;5
tight;4
exposure;3
somebody;12
proceed;5
planned;7
hitting;3
otherwise;3
pipe;1
conversation;4
bike;8
fix;3
kept;7
hadn;10
pedestrians;1
private;3
vehicles;2
draw;6
deploy;1
handed;3
shooters;1
level;13
hopefully;4
identified;4
wearing;7
sign;15
shooter;9
reading;12
satellite;8
unusual;9
shot;36
opportunity;6
focus;4
efforts;2
roll;17
hooking;1
live;35
network;2
feed;3
newscaster;3
rainy;1
supporters;1
opponents;1
greet;1
commander;3
chief;3
survive;7
gunshots;2
finds;8
knows;28
funeral;2
sorry;69
police;21
bands;1
wonders;1
worked;28
motorcade;8
suv;5
toward;6
destination;2
feet;14
heading;6
closing;3
lousy;2
direction;1
abort;1
band;2
posted;3
vote;2
leader;4
riding;2
applause;1
supportive;1
cheering;2
interest;7
unclaimed;1
inheritance;1
funds;1
knowledge;16
son;12
eric;12
lives;23
sports;1
jim;3
gardener;1
handyman;1
mrs;9
davies;1
yell;1
friends;27
liked;4
junk;1
map;10
statler;2
property;3
