Mot,Occurrence
i,3781
you,3116
s,2288
the,2153
a,2100
est,1984
it,1935
to,1756
vous,1746
de,1682
je,1644
on,1625
t,1508
pas,1419
le,1207
il,1120
c,1102
que,1091
we,1069
what,1028
un,984
l,974
ça,952
me,945
that,931
la,898
à,880
d,779
of,773
ne,751
this,722
ce,722
is,721
m,708
and,692
qu,681
et,671
in,648
en,646
do,631
une,614
les,602
re,599
tu,599
can,586
j,574
have,565
no,525
don,519
n,505
be,505
are,498
know,489
get,482
there,482
y,463
here,454
he,440
not,428
just,422
moi,419
ai,410
for,401
all,397
connor,393
pour,392
ve,390
ll,385
out,383
elle,382
was,381
come,379
des,378
va,378
your,375
my,363
right,353
bien,349
qui,348
là,343
now,341
go,338
quoi,335
she,334
ok,333
être,329
if,329
dans,323
so,320
mais,320
abby,314
got,312
yeah,306
tout,305
with,302
they,298
si,298
think,293
nous,293
peut,292
going,289
as,284
about,280
but,279
du,279
cutter,275
plus,271
fait,271
him,270
back,263
allez,259
se,256
ici,250
up,250
non,242
suis,238
ils,236
au,235
how,232
faire,230
oh,230
où,227
like,226
where,225
font,217
her,213
one,210
well,201
était,201
something,199
avez,197
avec,195
gonna,195
mon,194
stephen,194
at,190
rien,187
chose,187
anomaly,182
look,182
sais,181
helen,180
sur,178
let,178
want,176
way,175
really,170
us,169
votre,169
anomalie,164
been,163
who,162
time,158
te,158
help,157
an,156
see,155
oui,154
tell,154
why,153
need,153
did,151
quelque,150
could,148
êtes,146
lui,146
bon,145
doing,144
par,143
good,141
comme,140
sorry,140
them,137
then,137
lester,136
nick,136
peux,136
find,135
down,132
pourquoi,132
doit,131
vraiment,130
dit,129
from,128
anomalies,128
sont,127
stay,127
some,126
rex,125
leek,124
veux,122
stop,121
toi,121
will,120
any,118
jenny,117
didn,117
dire,116
comment,116
alors,115
color,112
vais,112
autre,111
take,111
maybe,110
should,110
es,109
juste,108
très,106
faites,105
danny,105
ou,105
cette,104
nothing,102
maintenant,102
faut,101
too,100
never,100
were,99
thing,98
make,98
more,98
ma,98
would,97
yes,96
temps,96
or,94
place,94
when,94
ouais,94
fine,93
very,93
ont,92
please,92
say,92
merci,92
anything,91
ces,90
keep,90
people,89
through,88
claudia,88
sûr,87
encore,87
même,87
avoir,86
said,86
still,85
donc,85
trop,85
vu,85
had,84
call,84
aussi,83
sure,83
much,83
passé,83
quand,83
over,81
things,81
jamais,81
give,81
two,80
peu,79
chance,79
passe,79
mean,79
god,78
james,78
voir,77
happened,77
dois,77
sir,77
aller,76
work,76
fois,76
little,76
again,75
am,75
might,74
crois,74
désolé,74
job,74
has,74
long,73
by,73
only,73
son,73
our,72
été,71
toujours,71
accord,70
tous,70
caroline,69
man,69
off,69
thought,68
everything,68
quelqu,68
deux,67
won,67
becker,67
done,67
own,67
his,66
besoin,66
put,66
looking,66
vite,66
listen,66
pouvez,66
fais,65
someone,65
sait,64
savez,64
fa1600,63
dead,62
leave,61
than,61
wrong,61
before,61
brown,60
kind,60
dieu,60
sortir,60
dis,59
kill,59
better,59
personne,58
must,58
new,58
aide,58
these,58
wait,58
quel,58
avant,57
notre,57
vrai,57
sa,57
trouver,57
venez,57
car,57
pense,57
creature,57
guys,57
run,57
sans,56
idea,56
soit,56
vos,55
team,55
minutes,55
does,55
bit,55
créature,55
monde,54
viens,54
doesn,54
idée,54
gone,54
petit,54
étais,54
open,53
gars,53
away,53
voulez,53
mal,53
isn,52
into,52
vie,51
endroit,51
future,51
autres,51
first,50
déjà,50
aux,50
exactly,50
avais,50
trouvé,50
arc,50
hey,50
even,50
air,49
tuer,49
savoir,48
animal,48
devrait,48
thank,48
another,48
coming,48
working,48
ton,48
mes,48
try,48
laissez,48
possible,47
eu,47
creatures,47
aucune,47
sarah,47
gens,47
minute,47
seen,47
avait,46
ever,46
vois,46
arrive,46
cool,46
hell,46
choses,46
which,45
shoot,45
bad,45
part,45
told,45
aurait,44
mort,44
cas,44
jack,44
mieux,44
moment,44
raison,44
écoutez,44
seul,44
home,44
bas,44
few,44
whatever,44
quinn,44
course,44
reste,44
other,44
après,43
trying,43
detector,43
big,43
because,43
hold,43
those,43
world,42
hope,42
nice,42
hello,42
toute,42
moins,42
leur,42
artefact,42
enough,42
dites,41
life,41
restez,41
6ebbc5,41
truc,41
lot,41
girl,41
dirait,41
dû,41
bonne,41
die,41
important,41
until,40
point,40
aider,40
chercher,40
safe,40
gun,40
left,40
actually,40
porte,40
after,40
probably,40
professeur,39
cet,39
futur,39
door,39
every,39
killed,39
last,39
chez,39
wouldn,39
found,38
talk,38
genre,38
hurt,38
veut,38
depuis,38
créatures,38
move,38
professor,38
suppose,37
talking,37
being,37
police,37
many,37
plaît,37
years,37
getting,37
homme,37
valerie,37
hear,37
quelques,37
pretty,37
sera,37
william,37
thanks,37
net,36
aucun,36
sécurité,36
believe,36
combien,36
haven,36
suite,35
saw,35
knew,35
sortez,35
ses,35
else,35
meet,35
plutôt,35
problème,35
lost,34
supposed,34
mind,34
always,34
wasn,34
jusqu,34
pensez,34
canal,34
vas,34
close,34
eh,34
côté,34
day,34
johnson,34
monsieur,34
question,33
pu,33
water,33
plan,33
around,33
partir,33
rester,33
name,33
wanted,33
ago,33
tard,33
raptor,33
fire,33
sous,33
looks,32
jake,32
clear,32
parler,32
love,32
men,32
next,32
christine,32
regardez,32
use,32
ryan,32
importe,32
boulot,32
anyway,32
change,31
hommes,31
centre,31
cra,31
train,31
sprat,31
knows,31
dragon,31
sub,31
yet,31
lewis,31
soon,31
once,30
least,30
trust,30
happen,30
problem,30
pourrait,30
made,30
grand,30
cause,30
serait,30
laisser,29
same,29
nouvelle,29
ans,29
voilà,29
vont,29
quick,29
assez,29
prendre,29
aurais,29
mate,29
eau,29
attendez,29
femme,29
sort,29
transcript,28
tué,28
understand,28
without,28
attends,28
allons,28
devez,28
voiture,28
somewhere,28
près,28
elles,28
com,28
travail,28
dessus,28
mourir,28
beaucoup,28
best,27
confiance,27
espère,27
arrête,27
radio,27
sound,27
sens,27
laisse,27
forget,27
three,27
worry,27
security,27
entre,27
coup,27
warning,26
seriessub,26
dedans,26
five,26
aren,26
marche,26
lucien,26
great,26
u,26
friends,26
fog,26
hang,26
désolée,25
sommes,25
attention,25
their,25
save,25
donne,25
ask,25
care,25
avons,25
quelle,25
matter,25
voice,25
side,25
west,25
équipe,25
lion,25
prenez,25
whole,25
nouveau,25
everyone,25
puis,24
hein,24
arrivé,24
vient,24
hard,24
voulais,24
venir,24
remember,24
détecteur,24
longtemps,24
retrouver,24
machine,24
ait,24
simple,24
page,24
nos,24
trace,24
écoute,24
vers,24
its,24
intérieur,24
anyone,24
yourself,24
histoire,24
happening,24
prends,23
guy,23
ah,23
both,23
perdu,23
boy,23
choice,23
heure,23
took,23
arrêtez,23
feel,23
explain,23
happens,23
millions,23
person,23
face,23
together,23
though,22
start,22
brilliant,22
loin,22
pensais,22
présent,22
passer,22
touch,22
