Mot;Occurrence
yes;70
i;2097
my;255
name;23
is;513
professor;25
nick;45
cutter;101
eight;7
years;25
ago;23
wife;8
helen;54
disappeared;4
discovered;2
she;214
had;59
stepped;1
into;37
the;1477
past;12
through;69
ruptures;1
in;450
time;112
called;13
anomalies;39
now;237
creatures;28
from;90
threaten;1
future;34
of;549
human;15
race;6
there;334
s;1376
only;52
a;848
small;7
group;4
people;55
who;111
know;331
truth;8
research;13
team;26
stephen;62
hart;1
connor;156
temple;7
abby;120
maitland;2
government;13
officials;1
james;35
lester;47
and;458
claudia;27
brown;20
returned;1
to;1205
find;101
something;135
has;48
gone;39
terribly;2
wrong;41
vanished;2
as;103
though;14
was;254
never;67
even;31
born;4
ve;269
come;270
back;177
different;10
world;28
are;345
two;57
it;1376
transcript;12
evarin;6
synchro;4
mnk;6
oh;124
god;55
closing;6
no;347
have;387
go;255
make;66
things;49
right;238
don;353
t;824
be;330
stupid;11
you;2103
ll;264
get;350
marooned;1
happened;50
while;9
changed;11
evolved;4
differently;2
on;488
way;118
think;195
we;726
re;400
done;46
here;323
aren;16
charge;10
day;24
running;9
operation;6
that;625
leek;45
oliver;7
can;406
forgotten;6
him;189
saw;24
at;129
arc;38
today;15
what;696
anomaly;124
centre;9
mean;46
home;31
office;5
moved;5
place;55
ages;1
he;308
having;9
nervous;3
breakdown;1
if;220
someone;39
call;55
an;108
ambulance;4
fine;58
getting;27
little;49
old;15
for;263
imaginary;1
friends;15
quiet;8
night;9
spoke;3
soon;20
probably;23
kids;5
all;267
fun;4
over;59
need;117
up;164
got;222
intruder;4
me;475
evening;2
new;34
creature;43
report;7
erm;13
intercepted;3
emergency;2
castle;1
cross;4
shopping;8
mall;7
security;19
guard;5
screaming;3
about;187
monster;3
help;104
us;105
instructed;2
police;14
stay;89
out;268
until;24
investigated;1
ah;9
glad;6
see;102
well;135
safe;26
gather;2
your;262
won;44
joining;1
hell;32
suffering;1
some;89
kind;43
stress;1
related;1
amnesia;1
seems;14
pretty;25
much;57
everything;40
really;109
haven;26
thing;69
wish;8
could;90
being;23
enigmatic;1
vivid;1
repertoire;1
telling;10
this;512
man;46
nah;2
course;26
exactly;33
industrial;1
action;9
or;64
did;104
one;140
hear;27
guys;42
m;312
always;22
been;101
eccentric;1
but;184
just;279
deranged;1
suppose;12
very;64
brilliant;16
men;24
bit;34
unusual;6
sir;52
not;298
least;17
didn;77
clue;2
ok;189
officially;3
freaking;1
let;130
straight;10
saying;9
because;27
permian;2
like;162
evolution;7
altered;1
somebody;11
listening;1
believe;26
buy;4
kiss;2
sweet;7
maybe;70
watching;2
how;165
do;431
when;65
before;40
apparently;6
change;20
bad;32
good;95
using;6
ketamine;1
would;68
knew;23
size;8
were;64
dealing;4
with;204
guess;13
dosage;2
where;162
gun;23
knows;20
use;22
many;27
animal;15
tranquilized;1
played;2
darts;1
sometimes;4
trust;23
firearms;2
gives;5
idea;38
ready;16
so;215
duty;1
manager;3
our;48
operatives;1
able;5
raise;2
since;8
say;63
anything;64
sort;16
screamed;1
want;118
close;24
these;41
shutters;1
behind;10
open;37
them;99
again;52
tell;102
whatever;30
happens;16
mustn;2
hang;18
lot;27
ignore;3
fact;3
slept;1
looking;40
closure;1
busy;14
blame;5
angry;4
cared;2
either;6
mad;9
took;13
off;43
does;39
strike;1
balanced;1
forget;18
finished;6
hate;9
bring;13
their;18
personal;8
lives;7
work;58
any;77
closer;5
show;14
sure;57
cretaceous;8
era;5
therapod;1
dinosaur;4
genuine;3
article;1
raptor;11
hoped;1
d;96
someday;1
beautiful;11
said;55
friendly;4
oi;14
going;208
gonna;112
slushy;2
gets;14
every;25
raptors;6
life;25
ever;30
simple;7
hope;25
pay;6
yeah;196
lend;1
fiver;1
thank;35
shutter;1
quickly;15
run;35
brain;3
freeze;5
check;13
atrium;1
contain;4
more;70
firepower;2
lost;22
friend;9
disrupted;1
nature;6
once;21
too;70
often;2
intend;3
happen;21
under;13
circumstances;2
doing;95
give;57
shoot;28
guy;14
wants;5
confirmed;2
put;43
armed;2
standby;2
scare;1
they;203
closed;14
long;44
takes;3
concept;1
space;4
explained;1
ministry;2
marked;1
top;5
priority;3
private;5
sector;3
pr;5
am;55
supposed;18
minister;18
thinks;3
media;3
feels;2
situation;2
hand;7
his;47
words;2
mine;11
last;27
greasy;1
supremo;1
sucking;1
press;11
isn;37
reality;3
tv;3
minute;23
keep;63
touch;18
worry;18
explain;17
owners;2
person;12
might;50
such;9
after;25
jacket;4
later;18
wallet;1
keys;4
smashed;1
clean;7
its;15
hinges;1
big;27
own;42
damn;4
jammed;3
wait;40
leave;44
door;28
remember;15
please;61
first;34
clear;22
ridiculous;4
job;42
staying;2
still;51
idiot;9
sorry;91
hold;31
stood;3
by;50
watched;3
torn;2
pieces;2
depends;5
resent;2
wanted;21
dead;44
shot;12
myself;7
look;121
perfect;8
killing;8
machine;8
fair;5
fight;11
mammals;2
wouldn;26
stand;8
chance;27
speaking;1
mammal;4
favour;2
cheating;1
mind;22
listen;44
left;25
matters;4
rest;7
messing;2
seriously;6
doubt;3
handled;1
rejection;1
particularly;3
her;139
collateral;1
damage;4
cos;12
brought;6
down;88
full;8
nearly;9
will;90
nasty;4
headache;2
should;70
better;41
around;20
alive;13
trying;29
sushi;1
play;7
nice;32
doesn;36
seem;6
cleaner;5
attacked;4
badly;2
injured;7
must;41
recovered;1
himself;5
problem;20
means;14
infestation;1
take;80
bowling;2
alley;2
meet;22
store;1
unconscious;1
nothing;74
playing;9
predators;15
smart;5
watch;13
interference;9
odd;3
kill;44
wakes;2
second;8
both;15
attacks;1
within;10
seconds;14
which;27
found;28
baby;12
thought;49
em;6
level;3
beneath;3
repeat;4
below;3
crying;2
loud;4
hard;16
heading;10
towards;6
quick;22
moving;4
fast;12
oops;1
coming;34
three;21
chances;5
family;6
unit;3
daddy;4
fellow;4
shout;3
doses;1
tranquiliser;2
amount;1
dangerous;10
taking;12
risks;1
impact;2
killed;25
strain;1
changes;3
dreamed;1
whole;14
pattern;3
disappears;4
yours;9
exist;3
met;6
countless;1
other;30
seen;33
pass;5
dog;7
polar;1
bear;4
radio;9
controlled;8
shops;1
christmas;2
admit;2
awesome;1
cool;17
model;7
bike;1
floor;11
bet;8
boys;8
gave;5
feeling;7
terrible;4
glass;1
water;18
stop;73
fussing;1
anyone;19
apart;4
mother;7
obviously;5
bottom;3
list;3
move;33
area;14
thanks;27
feel;14
strange;10
bone;1
structure;1
bird;4
wing;1
than;39
reptilian;1
drag;3
angriest;1
known;9
universe;2
hole;3
ancient;2
waiting;10
sounds;5
easy;11
prefer;3
volunteering;1
arguments;1
hours;9
most;14
already;13
tune;2
radios;1
fm;1
sound;18
why;106
technical;2
station;3
then;93
causing;3
anytime;1
opens;3
step;4
ahead;8
receiver;2
spot;4
build;2
detector;25
traces;1
stops;1
onto;4
meaning;2
ask;17
matter;17
existed;2
anyway;19
loyal;1
player;1
tough;5
pretended;1
strong;3
mattered;1
meant;7
asleep;2
longer;9
far;11
try;34
followed;2
case;12
crazy;7
talking;24
best;16
dying;5
godforsaken;1
figure;7
travel;2
enough;28
fix;3
suicide;2
die;28
round;16
wiped;2
million;8
happening;15
overdo;1
pull;12
sit;6
wee;2
