Mot,Occurrence
i,28115
you,21087
a,16485
s,14124
the,14005
to,12647
t,12252
je,10681
de,10571
est,9666
on,9039
it,8402
vous,7731
que,7583
pas,7051
le,7027
that,6990
me,6424
l,5986
m,5953
tu,5936
we,5830
il,5808
and,5769
c,5717
la,5672
à,5637
of,5633
in,5336
d,5278
un,5226
n,5179
ce,5096
et,5033
what,4998
is,4298
this,4283
e,4186
qu,4010
ne,3980
en,3812
j,3808
re,3710
ça,3600
y,3553
he,3550
pour,3461
your,3400
o,3350
do,3317
les,3298
for,3253
know,3232
don,3121
une,3098
get,3021
ai,3010
be,2881
have,2853
just,2797
out,2750
all,2676
can,2668
here,2652
there,2623
my,2622
right,2593
no,2567
as,2474
got,2446
not,2435
are,2401
they,2361
si,2282
if,2226
with,2206
dans,2193
was,2190
qui,2172
moi,2149
h,2114
about,2070
now,2047
ll,2041
but,1998
go,1938
tout,1915
up,1884
going,1873
mais,1870
des,1863
want,1850
so,1822
r,1822
ils,1773
michael,1760
te,1714
him,1692
va,1669
faire,1637
bien,1632
yeah,1628
need,1588
one,1576
nous,1550
where,1541
u,1535
scofield,1508
like,1493
gonna,1481
suis,1475
là,1457
au,1444
plus,1442
où,1432
elle,1431
non,1429
she,1418
du,1414
fait,1403
how,1394
ici,1393
back,1365
être,1339
avec,1315
sais,1308
ve,1292
mon,1288
let,1279
quoi,1259
man,1257
sur,1249
se,1244
come,1243
okay,1216
at,1210
toi,1204
from,1179
veux,1163
think,1128
who,1121
her,1115
peut,1102
good,1080
sara,1067
well,1061
oui,1061
us,1060
time,1059
votre,1027
when,1016
w,1003
down,975
take,969
tell,966
an,960
lui,959
see,954
avez,947
his,937
comme,929
did,923
oh,922
son,903
dit,893
look,888
g,884
était,882
way,880
will,876
alors,869
juste,868
them,863
peux,863
burrows,862
why,853
some,840
been,827
rien,814
ma,811
quand,803
make,803
chose,803
sont,802
dire,797
ok,793
or,787
cette,782
something,782
allez,780
es,775
prison,773
vais,772
lincoln,759
then,756
ton,736
were,734
maintenant,734
hey,732
could,686
thing,680
comment,675
more,672
only,665
over,663
scylla,660
ont,654
didn,654
besoin,652
avoir,642
f,619
doing,618
pourquoi,616
please,614
would,613
uh,607
b,606
ou,602
par,597
find,595
had,591
any,588
quelque,587
temps,585
call,576
ouais,575
said,573
êtes,573
tous,573
sorry,572
help,555
little,553
too,552
give,549
say,542
ca,540
by,537
hell,537
aller,532
linc,531
off,528
guy,526
p,523
fais,518
merci,518
dois,518
our,514
should,513
voir,510
anything,506
deux,505
ces,499
même,494
sera,490
vraiment,488
maybe,486
sure,484
été,483
autre,478
really,477
two,475
nothing,473
never,471
aussi,470
because,468
everything,463
k,462
faut,462
money,456
ta,454
still,451
has,448
put,444
keep,444
doit,443
quelqu,440
plan,437
jamais,435
people,434
bon,431
into,429
mean,427
alex,427
encore,425
vie,422
am,422
sucre,421
done,420
life,418
mec,417
before,416
vas,415
yes,414
minutes,412
place,411
bellick,410
parce,408
brother,407
thank,406
très,406
crois,406
mahone,406
work,405
car,405
much,404
ain,401
après,400
part,400
vu,399
peu,396
than,396
fois,394
long,392
toujours,392
avant,390
these,390
after,388
accord,387
sa,386
river,384
whistler,384
chance,383
day,380
dis,379
avait,379
listen,376
mr,374
getting,373
déjà,370
sortir,366
hé,365
move,363
break,358
agent,357
talking,357
fox,355
someone,354
désolé,353
personne,353
those,352
coming,352
company,352
panama,350
through,348
talk,348
lj,348
first,347
passe,346
parler,345
savoir,344
told,344
cause,343
things,343
care,341
away,341
wait,340
étais,339
tancredi,339
homme,337
frère,335
argent,334
v,332
other,332
notre,330
dead,329
does,329
better,329
lot,327
donc,326
moment,324
last,324
looking,320
again,315
guys,314
sans,314
phone,313
sir,312
wanted,311
job,310
père,309
veut,309
every,306
kill,305
name,301
around,301
today,300
bag,300
stay,299
compagnie,299
soit,298
doesn,296
hear,294
leave,294
problème,293
even,293
won,292
hold,292
deal,290
aux,289
faites,289
thought,287
god,287
mort,285
voulez,284
left,280
voiture,280
self,280
trying,280
aider,277
avais,277
savez,277
understand,276
made,274
stop,271
monsieur,271
bagwell,271
gars,271
sûr,267
mieux,267
huh,266
question,263
new,262
viens,261
seul,261
message,260
reste,260
leur,259
pense,259
found,258
choses,256
trop,256
dad,254
might,249
same,249
mes,249
vont,248
eu,248
happened,247
remember,247
ever,246
kind,246
prendre,245
problem,245
www,244
mal,244
fils,244
already,243
ans,242
whole,242
another,241
beaucoup,241
three,240
years,239
autres,239
love,238
home,238
jusqu,237
bas,236
moins,236
passer,236
very,236
passé,236
sait,234
sona,234
run,234
monde,233
trouver,233
president,232
aurais,232
family,232
maricruz,231
john,231
gretchen,231
being,230
bonne,230
brad,230
plaît,229
fini,229
trouvé,228
few,227
quelques,227
arrive,226
wrong,225
vrai,224
end,224
baby,223
next,222
vos,221
heard,221
partir,221
once,220
terrence,219
minute,219
femme,219
came,219
hein,218
pretty,217
steadman,217
voilà,215
sous,215
both,215
father,215
heure,214
air,214
gens,214
else,214
aujourd,213
hui,213
days,212
entre,211
cet,211
information,211
men,211
tes,210
euh,210
ask,210
their,210
com,210
enough,210
dieu,209
papa,208
gotta,208
thanks,208
hands,208
trust,208
old,207
raison,206
room,206
soon,206
allons,206
whatever,205
fine,204
paul,203
hand,202
exactly,202
cell,202
point,201
which,201
lechero,201
chercher,201
real,201
bureau,200
aime,200
quel,199
isn,199
without,198
combien,197
depuis,197
turn,196
petit,196
laisse,196
bad,196
toute,196
boy,196
jour,195
questions,194
far,193
vois,193
tué,193
friend,193
police,193
chicago,192
pris,192
until,192
general,192
believe,192
start,192
yourself,190
appelle,190
carte,190
endroit,189
aide,189
jours,189
head,188
laisser,188
took,188
five,188
gone,188
seule,187
pu,187
tuer,186
vient,185
feel,185
night,185
may,184
mind,183
working,183
happen,183
aura,183
killed,182
font,181
fille,180
grand,179
boss,179
attends,178
confiance,178
wasn,178
famille,178
donne,177
behind,177
guess,176
big,176
ses,176
cas,175
face,175
set,174
yo,174
kellerman,173
saw,173
sécurité,173
always,173
open,172
office,172
excuse,172
bring,171
die,171
kid,171
ready,170
mère,169
outside,169
entendu,168
waiting,168
pouvez,167
franklin,167
tant,167
hour,167
door,167
ecoute,167
bonjour,166
great,166
running,166
james,166
anyone,165
um,165
worry,165
main,165
dessus,165
best,165
hope,164
nouveau,164
together,163
dont,163
train,163
meet,162
inside,162
check,162
coup,162
toutes,162
hello,162
route,161
dites,161
chez,161
clear,161
fernando,161
compris,161
soir,160
case,160
saying,160
number,159
safe,159
anymore,157
tomorrow,157
ass,157
wouldn,157
seen,157
devrait,157
own,157
actually,156
knows,156
knew,155
utah,155
eux,155
pendant,155
porte,155
parle,154
écoute,154
card,154
ami,154
walk,153
promise,153
idea,153
alive,153
venir,152
must,152
used,152
means,152
président,151
important,151
