Mot;Occurrence
précédemment;50
dans;1166
prison;233
break;46
j;2085
ai;1660
pas;3931
tué;99
cet;99
homme;164
michael;458
si;1301
t;1277
as;696
terrence;42
steadman;31
comment;369
a;2890
on;3177
pu;92
faire;865
croire;41
que;4045
c;2658
était;477
toi;675
je;5881
vais;400
te;910
sortir;196
d;1813
ici;704
est;5247
impossible;43
conçu;4
les;1771
plans;16
du;770
lieu;39
y;1243
intérêt;38
ce;2653
soit;177
ouvert;8
vous;4442
voulez;167
enfreigne;1
la;3182
loi;17
demande;58
de;5725
une;1720
erreur;41
oublier;26
fermer;8
bon;244
qui;1215
personne;194
en;2189
vie;249
bonjour;86
sonnez;1
l;2489
alarme;21
qu;2203
se;679
passe;187
non;742
fait;762
maintenant;414
court;13
www;62
sub;27
way;27
fr;27
anyone;1
sixe;1
aspirantnemo;1
guilamu;1
ces;261
évadés;21
sont;477
ils;1002
liste;20
là;783
lisez;2
moi;1189
bien;812
scofield;379
ingénieur;14
bâtiment;29
ans;126
pour;1941
vol;30
à;3115
main;70
armée;16
benjamin;9
miles;7
franklin;35
ancien;13
soldat;7
possession;3
marchandises;1
volées;1
john;26
abruzzi;19
parrain;3
syndicat;1
crime;17
même;281
nom;90
perpétuité;5
sans;196
conditionnelle;1
conspiration;4
meurtre;41
charles;19
dit;486
haywire;9
patoshik;18
au;794
second;3
degré;6
fernando;42
sucre;112
aggravé;2
david;23
tweener;11
apolskis;11
grand;64
banditisme;1
theodore;17
bag;58
bagwell;85
chefs;7
accusation;7
enlèvement;5
viol;1
et;2901
1er;16
lincoln;160
burrows;206
devait;28
être;728
exécuté;5
semaine;45
prochaine;35
le;3853
frère;161
président;55
reynold;3
ça;1971
combien;107
temps;317
ont;365
passé;131
mur;30
depuis;119
20h;1
hier;49
soir;66
lui;552
frères;41
exact;19
cerveau;11
toute;86
affaire;37
disent;28
veux;628
tout;1034
sur;729
bas;111
avancez;8
allons;115
où;855
merde;29
quoi;711
il;3299
faut;306
arrive;127
passer;126
autre;267
côté;93
allez;422
mecs;17
courez;5
rattrappe;1
tirer;39
bougez;34
truc;84
prend;39
vitesse;4
va;943
trop;143
vite;66
rentre;23
dedans;75
tends;1
ta;245
ne;2085
tirez;14
plus;789
descendre;14
tiens;57
hélicos;1
sol;24
refont;1
plein;50
fils;141
pute;39
sous;118
titres;38
réalisés;2
par;307
version;6
monsieur;147
presse;16
attend;45
aimerais;49
parler;195
wilkes;1
booth;1
un;2890
instant;41
possible;39
assassin;8
abraham;1
jours;113
fallu;1
trouver;149
durant;7
sa;212
fuite;26
tenait;5
journal;10
écrivait;1
obscurité;3
son;319
amie;24
nuit;47
domaine;3
reconnu;7
névroses;1
poussaient;1
criminel;9
commettre;2
départ;20
étaient;44
exarcerbées;1
amplifiées;1
des;1022
chiens;12
ses;107
talons;1
peur;65
devient;10
paranoïa;3
psychose;1
aborde;1
cela;38
parce;206
esprit;14
fondamental;1
n;1439
changé;30
fuyard;2
reste;150
humain;8
rien;451
peut;617
arrêter;54
tentative;9
évasion;55
heureusement;8
nous;947
alors;469
notre;182
proie;4
lumière;14
comme;489
alliées;2
avons;48
mieux;139
télévision;3
encourage;2
tous;321
ceux;57
regardent;1
chacun;17
pays;69
étudier;1
attentivement;8
visages;9
hommes;95
voilà;135
recherchés;6
amérique;11
croyais;44
avoir;350
réfléchi;10
vu;201
ouais;337
mais;1092
surtout;9
cul;31
grâce;27
avion;52
mirage;1
magique;2
étais;182
prévu;34
bord;14
mon;703
vieux;53
imaginer;12
ignore;40
allais;30
aller;284
oh;138
sais;706
utah;36
quand;477
avais;152
tu;3161
fric;33
mec;187
quel;122
millions;54
westmoreland;18
planqué;3
désert;9
parles;30
arrangerait;1
attendez;64
m;1019
directeur;27
peu;221
tôt;31
f;15
b;32
i;1332
s;1000
mêle;5
croyez;34
écoutez;49
comprends;71
votre;569
enquête;10
criminels;12
auront;16
quitté;13
état;28
sera;303
fédérale;10
oui;501
eh;45
arrivera;33
espère;77
suggérer;2
laisse;122
tomber;56
politique;12
interagence;2
dès;67
transparence;1
totale;5
pourriez;24
me;1001
dr;25
tancredi;93
dire;392
entendu;92
elle;863
aurait;66
aidé;18
ouvrant;1
porte;84
leur;161
permis;7
êtes;324
très;230
transparent;1
doute;22
personnel;10
devriez;29
car;61
pourrait;88
clé;31
devons;17
mahone;116
hydratée;1
perfusion;1
naxolone;1
demi;21
milligramme;1
heure;108
quelles;15
chances;14
selon;20
dépend;17
vraiment;248
bat;2
survit;1
baisse;5
bras;24
meurt;10
crois;219
fais;272
petit;108
appelle;126
flics;41
enfonce;1
juste;479
oeil;23
merci;273
architecte;1
genre;65
tatouer;3
tête;91
aux;168
pieds;20
ton;397
avis;29
réaliser;6
pareil;14
centaine;4
heures;60
celui;61
tatoué;1
donc;199
dû;99
bout;42
artiste;2
bellick;68
oubliez;13
ok;344
dur;43
travailler;26
ensemble;57
mes;141
1re;12
ligne;16
parlez;44
outil;1
arrêterai;2
besoin;334
piste;28
aura;121
bientôt;60
attrapés;1
aime;112
définition;1
serez;29
toujours;227
derrière;73
verra;26
suis;785
armé;6
désolé;200
confiance;108
ci;13
assure;25
mademoiselle;8
menace;16
percocet;1
prouve;7
dérangera;1
immortalise;1
moment;127
rendra;5
service;49
pendant;80
assis;17
tranquillement;1
innocent;23
chapeau;4
soeur;12
comprenez;20
prisonnier;16
arrêtez;28
auriez;28
montrer;21
avant;207
commence;26
littéralement;4
aussi;270
avez;517
laissé;66
cette;387
refermer;1
semblé;3
étrange;3
ait;53
aucune;40
sécurité;127
portes;6
ouvrent;2
extérieur;24
vitres;1
font;34
cm;4
épaisseur;1
épreuve;3
balles;9
aucun;75
moyen;63
débarrasse;7
eux;94
savent;18
raison;102
perdre;31
prendre;124
fédéraux;21
sauront;5
parleront;2
fassent;3
penses;53
argent;183
disait;9
vérité;44
fin;46
avait;191
mentir;11
pensé;16
fois;234
poche;15
direction;15
mexico;14
bus;21
pourris;4
jusqu;128
panama;88
ouvrir;16
magasin;11
disques;2
passerais;3
prochaines;6
années;27
hamac;3
moitié;20
nos;82
trousses;3
aide;107
veronica;9
vêtements;10
déjà;195
cru;28
plan;150
jet;7
box;1
imaginé;5
motif;2
fourni;4
chaque;50
élément;2
regardez;26
foutue;2
chapelle;8
sixtine;1
savais;49
vache;2
vrai;122
talent;4
part;160
pensez;28
personnalité;4
cool;17
voyez;39
nazi;3
détail;6
parfait;26
exactement;50
dessiné;2
eu;153
impression;17
sorte;47
blague;9
seul;145
comprendre;37
numéro;68
recontacterai;1
foley;1
appelait;16
route;62
prise;12
venir;90
english;1
street;2
semble;19
devant;58
deux;280
rues;14
croise;2
fitz;1
percy;1
pourquoi;315
décolle;8
détenus;35
civils;6
hé;170
blanche;15
neige;4
arrêterais;2
charabia;2
salut;48
petite;69
puce;11
faites;161
pêche;9
cannes;1
pêcher;6
question;78
plutôt;49
chasse;16
gracie;2
éloigne;4
viens;152
types;16
fox;83
river;82
bouge;39
accord;261
calme;52
restez;27
jette;9
arme;68
lâche;39
fille;89
ferme;39
