Mot;Occurrence
why;453
is;2844
there;1037
a;8297
letter;3
of;2118
resignation;1
on;1365
my;1883
desk;8
i;17698
told;254
you;11995
got;550
job;120
offer;17
don;1786
t;8470
want;1332
to;7042
hear;91
this;2368
again;207
working;113
at;764
private;50
medical;91
co;7
op;14
moving;46
l;1572
not;2311
addison;373
world;60
class;14
neonatal;9
surgeon;57
lives;51
cut;58
your;1545
would;513
ve;746
been;452
promoted;1
chief;18
surgery;197
so;1522
stop;212
addisoning;3
me;2662
change;99
need;754
and;4955
how;745
m;3921
gonna;1077
do;1953
it;5416
in;1998
that;4008
practice;218
with;1573
those;102
people;286
know;2150
anything;259
about;1314
them;362
plenty;7
best;227
friend;170
naomi;323
from;442
med;10
school;69
she;2530
s;9058
fertility;16
specialist;11
an;489
amazing;45
woman;178
mother;213
just;1935
needs;138
moment;29
herself;25
her;1988
ex;39
husband;128
sam;466
internist;2
wish;53
had;496
his;543
skills;7
we;2596
can;2034
keep;211
doing;371
love;359
re;2005
together;142
but;1927
gotta;151
make;416
violet;360
psychiatrist;10
incredible;4
grounded;2
strong;49
hello;53
have;1931
calling;53
here;1033
married;106
now;834
cooper;274
pediatrician;17
one;636
the;6105
field;11
pro;2
lisa;14
oh;789
god;210
sorry;505
lily;5
right;1096
name;83
yeah;738
getting;159
little;305
uncomfortable;15
if;1157
lori;2
pete;318
he;2159
does;210
alternative;18
medicine;32
as;411
believe;149
kind;120
thing;349
man;205
healer;1
exactly;69
what;2757
myself;82
into;201
think;964
going;388
wear;14
jeans;1
walk;95
beach;12
dance;13
underwear;1
maybe;379
ll;750
naked;22
belong;6
o;3765
r;1888
be;1737
back;514
month;26
begging;7
for;1811
no;1678
won;199
am;531
changing;7
life;313
away;230
angry;39
or;587
blessing;2
either;62
way;363
richard;1
open;59
long;173
come;501
did;731
end;61
up;832
house;90
next;70
door;90
said;288
realtor;1
are;1320
like;1083
look;525
bad;178
lot;161
men;39
enjoyed;3
seeing;62
well;927
mean;492
eight;10
eleven;1
los;8
angeles;7
didn;552
tell;570
oceanside;14
wellness;15
group;25
hi;118
dell;219
