Mot,Occurrence
i,21148
you,15423
the,13024
a,12961
s,9903
to,8712
est,7431
it,7422
de,7218
that,7195
je,7008
on,6682
t,6496
and,5362
pas,5236
vous,5165
le,5151
of,4727
un,4631
we,4586
c,4536
is,4519
que,4280
in,4258
this,4209
il,4202
what,4152
m,4080
me,4043
la,4024
et,3691
he,3672
à,3244
l,3229
tu,3223
was,3005
j,2928
d,2896
for,2877
have,2751
re,2732
les,2727
ce,2725
une,2693
shawn,2662
my,2632
know,2628
not,2604
en,2597
ça,2460
do,2414
your,2377
no,2369
pour,2334
don,2328
ne,2294
ai,2291
are,2264
just,2241
qu,2234
all,2202
here,2106
with,2076
be,2024
can,1997
n,1917
but,1890
right,1883
des,1862
there,1857
out,1843
so,1738
gus,1643
as,1635
get,1619
like,1559
qui,1512
dans,1474
about,1437
up,1436
mais,1425
y,1411
they,1407
one,1363
at,1355
she,1304
him,1280
now,1267
moi,1263
du,1263
got,1211
oh,1205
how,1199
his,1193
non,1157
think,1154
quoi,1137
nous,1128
if,1124
avec,1122
sur,1117
go,1102
plus,1101
si,1088
mon,1075
who,1066
suis,1065
était,1057
ve,1044
bien,1040
tout,1029
o,1026
gonna,1022
au,1018
did,1014
let,1014
fait,1012
well,1006
être,998
elle,990
why,978
see,975
ll,962
look,928
from,923
an,909
yeah,898
would,884
her,866
okay,863
were,858
come,840
time,840
us,832
là,828
really,826
need,819
when,813
good,792
back,791
va,773
didn,773
had,766
something,760
faire,756
avez,755
or,750
spencer,748
yes,746
some,739
sais,730
been,729
want,726
going,716
comme,706
son,706
our,699
where,690
se,683
oui,679
ils,679
peut,663
te,658
pourquoi,648
man,646
little,631
thing,631
say,626
cette,616
tell,613
case,609
could,607
votre,606
by,598
guy,594
down,591
ici,585
doing,584
off,582
two,578
take,578
will,577
toi,570
way,559
then,558
où,556
because,556
make,552
dire,550
them,546
any,531
ma,528
lui,521
guys,520
more,519
sont,512
very,509
veux,508
par,508
quand,507
over,503
dit,501
vraiment,500
mean,496
only,485
très,483
these,482
êtes,479
rien,475
wait,474
am,473
chose,472
peux,471
sure,470
too,469
sorry,462
never,460
vais,459
dude,458
dad,457
deux,456
work,456
comment,453
maybe,452
été,452
ou,450
mr,443
police,442
lassiter,437
avoir,430
même,427
has,427
even,424
ton,422
should,409
es,407
call,407
anything,405
first,404
into,398
ok,398
thank,396
bon,393
people,391
please,391
alors,389
ont,382
merci,377
sa,377
car,374
psychic,373
find,371
those,370
fais,369
ces,367
affaire,364
temps,364
help,363
said,363
name,359
avait,355
quelque,349
give,348
allez,338
detective,336
hey,336
voir,336
still,335
believe,333
jamais,330
notre,329
someone,329
vu,328
last,326
before,324
actually,324
peu,324
juste,324
stop,324
sûr,322
mec,321
aussi,320
crois,319
tous,318
much,317
chief,315
getting,314
around,314
maintenant,313
which,309
doesn,308
place,308
besoin,307
quelqu,307
donc,305
put,304
than,302
chef,300
eu,300
does,300
jules,296
parce,295
avant,292
autre,292
fine,292
hara,290
toujours,289
old,289
fois,286
