Mot;Occurrence
c;4505
est;7427
quoi;1137
cette;616
tenue;8
à;3243
la;4013
michael;14
jackson;11
était;1057
y;1392
a;3678
genre;93
deux;456
ans;217
j;2906
ai;2289
eu;284
trouille;6
tu;3223
devais;28
être;998
billy;18
ocean;2
pourquoi;648
chanterait;3
avec;1121
roland;3
orzabal;2
parce;295
qu;2234
il;4201
génial;90
on;3461
va;773
devoir;47
rajouter;4
le;5143
moonwalk;2
dans;1474
shout;9
en;2594
espérant;2
que;4279
les;2719
juges;5
ne;2293
nous;1128
dégommeront;1
pas;5235
je;7007
sais;730
faire;754
falloir;7
apprendre;25
vite;116
shawn;873
spencer;293
et;3684
m;1187
burton;65
guster;88
applaudissons;1
bien;1039
fort;56
o;430
she;13
ll;12
be;10
comin;5
around;7
the;82
mountain;8
when;5
comes;5
ave;1
maria;3
vous;5165
êtes;479
rigides;1
inintelligibles;1
légèrement;10
ictériques;1
asymétriques;1
malodorantes;1
celle;66
sur;1114
droite;19
as;806
un;4626
truc;236
entre;128
dents;23
fait;1012
trouve;100
absolument;28
rien;475
de;7199
valable;2
chez;131
mais;1425
n;1900
encore;250
chanté;1
détail;8
autre;292
avis;42
aime;135
évidemment;48
aimes;15
dors;11
depuis;228
minutes;88
zapato;7
eh;37
continue;28
après;245
pause;16
vois;271
chut;8
me;1048
tais;10
pour;2331
télé;15
réalité;14
mec;321
zip;1
suis;1065
lester;11
beacon;2
voici;100
american;12
duos;8
règle;17
numéro;56
parle;134
devant;77
l;3197
amour;27
lori;1
loughlin;1
fais;369
juste;324
une;2692
fois;286
tivo;2
si;1085
jamais;330
avance;24
rapide;14
peux;471
stop;21
commenter;1
d;2310
appel;30
non;1133
plus;1034
gus;561
sois;66
porc;3
épic;1
enragé;2
reprise;5
originale;2
émission;14
retour;40
premièrement;13
shaw;1
regarde;189
noir;49
latino;2
ce;2725
pareil;25
candidats;3
ici;585
sont;512
des;1860
qui;1511
autant;37
ils;679
doivent;20
se;678
mélanger;1
comme;706
v;16
ger;1
stephen;2
collins;7
star;6
trek;4
i;1838
tournent;3
santa;89
barbara;92
année;34
compense;1
largement;2
réponds;7
vieux;145
jules;119
elle;990
saignait;1
fossé;4
saigne;4
pourrait;119
sent;29
peut;662
seule;75
sous;156
douche;12
téléphone;52
espère;66
sûrs;10
gagner;29
sauf;71
oui;679
du;1260
tout;1029
arrive;135
bon;393
résilie;1
image;10
par;502
fini;110
ghost;3
cat;1
enregistré;5
accident;74
gardé;8
mois;63
accord;236
mets;28
alerte;9
anti;10
spoiler;1
jusqu;75
voie;14
fin;48
personne;244
duo;2
ça;2459
difficile;33
nigel;27
st;11
avez;755
été;451
complètement;35
injuste;7
catherine;4
clement;1
saison;19
souviens;73
parlez;42
hideuse;1
eux;59
notre;329
équipe;72
médiums;21
locale;8
réponse;23
demandé;50
écoutez;94
aucun;78
cas;98
besoin;307
protection;17
savez;219
commissariat;23
confiance;47
police;174
inutiles;3
sans;255
vouloir;31
offenser;2
grave;44
victime;67
tentatives;3
meurtre;151
menaces;3
fanatique;3
croit;29
même;427
partie;82
complot;12
avoir;429
assuré;5
parler;198
seul;158
redressez;1
chaque;76
professionnels;3
mon;1074
agresseur;2
rapproche;5
ma;506
voiture;162
endommagée;2
pénétré;1
caravane;3
accidents;5
suivent;4
partout;30
quelqu;307
puisse;22
anticiper;2
prochaine;35
attaque;22
passer;100
inaperçu;2
médium;192
voit;42
danger;42
avant;292
dire;550
baissez;10
balle;44
quitte;4
barillet;1
épargnez;3
moi;1262
manières;3
pouvez;144
ou;449
demande;72
couverture;33
dehors;62
saura;10
là;828
dessus;95
inspecteur;181
lassiter;171
sûrement;98
ses;234
cheveux;68
ont;382
air;115
sortir;82
moule;1
cake;5
préparez;5
sentir;23
sécurité;76
accès;38
total;9
loges;2
conduits;5
ventilation;2
présentatrices;1
calme;40
doit;233
réfléchir;17
trouver;165
plan;99
faudra;12
connaît;27
déjà;249
fausse;24
identité;19
désolé;225
croyais;52
devait;38
discrets;2
suivants;1
spence;3
starr;3
tt;3
showbiz;3
bonne;195
chance;113
gars;193
bonjour;77
espérez;4
compétition;17
assez;126
longtemps;51
première;67
manche;12
commencer;37
échauffement;3
keep;2
tonight;2
chauds;1
bouillants;1
talking;4
away;2
don;29
t;1112
know;39
what;4
to;27
say;5
it;16
anyway;1
slowly;1
learn;10
that;11
life;1
is;7
okay;7
wrong;1
verse;1
coming;4
for;12
your;11
love;4
take;4
gone;1
in;17
dream;7
vraiment;500
quelque;349
chose;462
honnêtement;14
mauvaise;51
nouvelle;83
mal;135
votre;606
style;8
car;119
portez;12
tous;318
violet;4
di;1
dir;1
dip;1
direct;23
disant;24
pouvons;8
exprimer;2
brillant;9
es;404
cinglé;16
vrai;244
brut;2
post;6
moderne;5
pourtant;15
provocateur;2
papier;19
verre;25
chantaient;2
couplet;1
vote;9
décider;8
dit;501
allez;338
bouclé;9
vu;317
s;947
passé;137
indien;5
suivant;14
attention;73
cool;84
verra;13
deuxième;25
psych;86
you;34
not;12
telling;9
truth;9
they;9
just;13
have;10
any;10
proof;9
where;4
déception;2
how;9
bend;9
worst;8
inhibitions;9
tend;8
out;12
end;25
synchro;24
flolo;31
arbu;7
trad;14
egwene;8
herbouse;2
b;47
ss;10
relecture;25
perkosdhed;2
frozen;1
barbie;1
grotesque;2
failli;21
mourir;45
importe;99
voir;336
trop;251
délais;1
coûteux;2
paranoïaque;1
aurait;147
pu;133
atterrir;4
fut;9
atterri;4
espèce;17
imbécile;5
devenus;5
dingues;4
moitié;27
paroles;3
étaient;75
fausses;12
types;11
ha;3
norvégiens;1
savaient;3
chantez;3
yankee;1
rose;10
david;7
lee;6
roth;2
évident;19
chanter;20
guitare;3
voulez;134
rester;66
améliorer;2
max;4
dois;265
aller;226
simplement;18
monstre;11
bâtard;1
opportuniste;1
liste;60
suspects;28
réduite;1
monde;173
veux;508
tuer;121
où;556
alors;389
au;1017
moins;156
incidents;6
potentielles;3
attaques;7
villes;5
différentes;7
toutes;110
semaines;30
super;167
réduit;6
fans;10
plupart;23
plutôt;72
extrêmes;5
faut;275
leur;153
crois;319
polype;1
eee;1
e;23
ah;67
partenaire;71
talent;7
félicitations;16
bevin;7
rennie;5
llywellen;5
bat;7
nom;171
ton;418
débarrassé;3
chante;5
parties;5
appelle;173
approche;17
appris;41
dernière;102
mecs;40
lui;521
parles;35
son;565
réussi;35
camarades;7
gagnants;2
cade;1
frère;56
rance;2
aussi;320
sympa;31
appelés;7
curieux;3
mélange;4
consanguinité;1
diabète;1
type;109
quand;507
frappe;11
dessous;19
ceinture;13
ouais;170
australiens;1
méchants;7
planté;10
accéder;5
projecteur;3
haut;42
sûr;322
censés;10
entendez;8
comment;450
sélectionnés;1
demain;52
bande;13
macaques;1
chantais;1
peu;324
faux;48
bu;11
milk;7
shake;6
riche;13
suffit;47
excuses;20
améliorez;1
pourrai;9
suivante;6
préfère;24
attendez;127
fumez;5
ces;365
trucs;65
tueront;2
ajoutez;1
gens;118
poil;10
bras;25
toucher;20
cet;124
étui;2
cadeau;27
mckeown;1
bay;2
city;2
rollers;5
très;481
cher;14
combien;66
beaucoup;150
ceux;37
place;60
dedans;56
tentative;12
plaisante;6
taisez;3
ouvrez;7
porte;102
mcnab;23
devriez;41
ouvrir;24
vos;191
oreilles;16
pourriez;32
chercher;76
café;45
foutez;15
cherche;60
percer;2
téléphoner;2
essaie;73
mener;12
enquête;110
demandez;17
plaide;2
5ème;4
amendement;3
neuf;35
discussion;6
public;16
chorégraphe;4
besoins;4
forte;6
intuition;18
danser;8
oh;253
camp;17
majorettes;1
pendant;139
foutue;6
longue;18
histoire;105
menteuses;1
volent;5
vernis;1
évanouissent;1
derrière;75
tête;116
écoute;116
sens;199
ur;21
tempo;1
littéralement;10
step;2
figuré;2
2ème;3
élite;1
artistes;4
équipes;7
temps;364
repose;8
saisis;1
ta;191
assis;25
dansé;1
collège;2
everybody;1
hip;2
hop;3
arrêté;40
représentations;1
disputer;4
entêté;1
guide;3
svengali;3
pense;227
serais;42
courant;41
étais;213
visiblement;6
trompé;10
laisse;107
tomber;55
faites;191
exactement;80
zappito;1
fout;18
juge;10
quel;125
caméra;16
gauche;20
regardé;15
centaines;5
souviendrai;2
embauchée;2
disque;1
or;44
mira;60
tournez;3
rond;7
soyez;56
revoir;36
quelle;93
sortez;20
gardez;14
celui;102
fiancée;4
frankenstein;1
asseyez;12
fous;39
regardons;6
côté;77
détestez;4
impossible;51
préciser;2
allées;3
venues;3
derniers;10
jours;112
déteste;21
raymond;2
moral;3
absent;2
dossier;34
agression;5
arme;87
mortelle;2
coup;123
pub;19
élévateur;1
saoulée;1
eau;63
cologne;1
spray;1
vais;459
réponses;9
sinon;28
allumez;1
lumières;10
lindsay;9
craque;1
premier;73
essayez;17
séduire;7
aurais;146
pensé;46
vie;169
beurk;1
laissé;59
journée;45
étiez;78
deviendrez;1
gardes;12
corps;111
arriverez;3
merci;377
meurs;8
faim;17
commandé;8
rendez;60
manie;1
jeter;16
choses;72
mangez;4
pressentiment;10
sujet;21
sandwich;16
délicieux;8
aux;213
herbes;3
vient;113
cuisine;21
