Mot;Occurrence
what;4148
s;8956
with;2075
the;12942
michael;20
jackson;33
outfit;7
that;7184
like;1557
two;578
years;261
old;265
i;19310
got;1211
scared;28
you;15389
were;858
supposed;131
to;8685
be;2014
billy;22
ocean;28
why;977
would;884
sing;15
roland;2
orzabal;2
cause;157
he;3664
awesome;47
now;1266
we;4584
gotta;250
add;17
moonwalk;2
into;398
shout;9
and;5345
hope;83
judges;5
don;2299
t;5384
slam;5
us;830
for;2865
it;7406
know;2589
how;1190
better;241
learn;79
quick;56
shawn;1789
spencer;455
mr;423
burton;87
guster;112
let;1010
give;348
em;115
a;9283
nice;206
round;29
of;4719
applause;2
o;596
she;1291
ll;950
comin;11
around;307
mountain;35
when;808
comes;64
ave;2
maria;3
re;2723
stiff;2
inarticulate;1
slightly;13
jaundiced;2
asymmetrical;1
smell;59
one;1361
on;3221
right;1881
there;1856
something;760
in;4241
your;2366
teeth;25
all;2198
d;586
say;621
absolutely;78
nothing;241
worthwhile;1
about;1437
either;98
but;1878
haven;144
even;423
sang;10
yet;134
apples;5
oranges;3
anybody;71
else;180
well;1006
course;254
liked;18
them;546
ve;1044
been;729
asleep;12
last;326
minutes;120
zapato;7
good;791
moving;36
coming;182
up;1431
after;242
break;113
see;973
mean;494
shh;18
shooshing;1
me;2995
reality;8
tv;25
dude;458
zip;8
m;2892
lester;12
beacon;2
this;4208
is;4512
american;32
duos;11
rule;41
number;109
no;2363
talking;261
during;51
oh;952
love;207
lori;1
loughlin;1
please;391
use;152
pause;3
button;13
just;2228
once;126
did;1013
get;1618
tivo;5
if;1123
never;460
fast;56
forward;20
can;1993
stop;303
commentary;1
whoa;169
calls;40
gus;1082
rabid;3
porcupine;1
another;153
knockoff;3
other;255
original;16
show;164
welcome;64
back;791
first;403
look;927
at;1353
guy;593
not;2592
black;79
latino;2
different;81
contestants;6
are;2259
which;309
makes;147
way;549
more;519
compelling;5
they;1398
have;2741
mesh;1
become;33
soul;21
v;16
ger;1
stephen;3
collins;10
star;15
trek;8
shooting;20
santa;142
barbara;118
year;122
than;302
compensates;1
dare;33
answer;75
jules;177
could;607
bleeding;5
ditch;5
lonely;8
shower;16
has;426
phone;209
certainly;47
so;1732
win;52
except;40
hello;151
canceling;2
frame;7
by;597
ghost;38
cat;71
recorded;5
accident;90
then;557
didn;772
erase;1
three;232
months;60
fine;290
putting;46
official;24
spoiler;1
alert;6
until;126
watch;146
recording;7
nobody;94
utters;1
word;114
going;715
difficult;28
nigel;27
st;14
totally;81
unfair;4
catherine;3
clement;1
season;21
remember;212
person;159
whom;7
referring;8
was;3004
hideous;2
yes;746
our;699
resident;5
psychic;373
team;104
exactly;216
asked;75
hear;179
out;1831
reason;98
needs;57
protection;23
do;2408
realize;57
police;268
station;72
trust;91
useless;7
offense;17
none;49
taken;61
victim;89
series;10
attempts;3
threats;1
his;1193
life;212
crazed;3
stalker;6
believes;12
somehow;15
conspiracy;8
though;97
assured;6
him;1280
speak;89
myself;115
slouching;1
every;207
time;840
bring;83
some;739
sort;113
professional;19
my;2626
attacker;10
gets;102
closer;24
car;255
tampered;13
trailer;7
broken;31
accidents;3
follow;69
everywhere;12
need;819
someone;328
who;1065
anticipate;1
next;223
move;138
undetected;4
danger;36
before;324
occurs;1
duck;19
bullet;39
exits;5
chamber;2
spare;6
theatrics;2
or;706
asking;58
go;1096
undercover;24
outside;82
office;130
will;577
job;168
detective;335
lassiter;266
hair;126
looks;148
poured;4
cake;24
mold;4
ready;97
feel;221
safe;93
complete;26
access;49
theater;13
green;53
rooms;11
air;54
shafts;3
spokesmodels;1
slow;34
down;590
think;1153
through;203
come;831
plan;130
blend;6
obviously;32
local;25
already;242
false;10
identity;13
sorry;462
thought;285
wanted;202
stealth;11
presenting;3
spence;3
starr;3
tt;3
showbizz;3
luck;63
guys;519
competition;20
here;2106
long;193
enough;188
most;156
ahead;58
warm;14
keep;209
tonight;98
red;71
hot;82
away;202
wha;7
anyway;56
slowly;9
okay;856
wrong;252
verse;2
take;574
gone;74
