Mot,Occurrence
i,18528
the,4540
a,4448
de,4272
you,3654
to,3048
s,2810
je,2790
le,2736
la,2665
est,2577
et,2530
que,2528
un,2367
and,2364
pas,2292
à,2101
t,1870
it,1789
of,1786
il,1737
that,1703
d,1701
l,1642
vous,1627
on,1599
tu,1524
les,1506
une,1501
c,1485
was,1472
ne,1446
ce,1382
in,1337
qu,1299
en,1273
me,1249
pour,1242
m,1120
j,1048
n,1034
he,1027
était,999
des,926
qui,925
elle,893
ça,883
is,881
for,874
dans,869
my,845
mais,845
as,826
what,820
ai,800
her,796
we,765
with,760
but,759
not,756
she,752
du,724
si,707
be,693
chuck,675
this,675
your,672
son,618
olive,617
avec,601
être,598
his,580
have,566
plus,560
know,549
re,542
no,527
all,511
do,511
can,505
so,500
if,499
au,493
pie,491
y,484
mon,483
comme,480
fait,479
ned,476
like,476
avait,474
they,472
se,463
sa,462
just,460
don,458
about,457
suis,456
sur,455
had,453
tout,446
bien,431
are,429
at,422
who,421
would,419
oh,416
did,405
par,403
one,403
moi,400
out,399
there,396
were,393
non,388
emerson,387
nous,372
up,365
dead,350
him,349
peut,348
lui,344
when,334
lily,332
here,322
ma,316
back,314
quand,310
faire,307
got,307
mort,305
an,298
ils,296
get,296
te,296
how,294
now,293
là,290
sais,283
from,282
dit,281
by,279
ou,278
cod,277
or,274
didn,274
vie,273
could,272
dire,271
well,270
cette,263
même,262
pâtissier,261
charles,256
dwight,256
chose,256
pourquoi,255
père,253
votre,250
avez,247
why,245
vivian,245
them,243
charlotte,243
gonna,242
been,240
maker,240
autre,237
go,236
alors,232
want,232
jamais,232
ses,232
sont,230
où,230
right,229
avoir,228
then,227
juste,227
été,224
only,221
life,221
think,220
ici,219
toi,217
peux,215
time,214
ll,212
aussi,211
never,210
say,208
veux,208
quoi,205
quelqu,205
ve,204
see,192
moment,192
tell,192
yeah,191
rien,190
leur,189
something,187
good,186
comment,182
va,181
come,180
where,177
es,176
their,175
fille,174
way,174
more,170
