Mot;Occurrence
i;10256
at;422
this;675
very;152
moment;76
in;1328
the;4508
town;24
of;1778
couer;4
d;268
couers;4
young;111
ned;231
was;1472
years;112
weeks;35
days;55
and;2361
minutes;49
old;78
his;579
dog;39
digby;42
hours;54
not;753
a;2939
minute;80
older;8
realized;25
he;1027
wasn;117
t;1508
like;473
other;116
children;10
nor;13
anyone;41
else;97
for;868
that;1703
matter;31
could;272
touch;99
dead;350
things;102
bring;56
them;242
back;314
to;3045
life;214
transcript;8
www;17
all;486
about;434
subs;24
fr;24
s;2288
team;41
gift;40
given;20
him;349
but;741
by;278
particular;10
there;396
no;527
box;23
instructions;3
manufacturers;1
warantee;1
it;1786
just;460
terms;4
use;38
weren;20
immediately;7
clear;19
were;393
they;472
immediate;4
concern;3
yound;2
love;157
her;796
name;76
chuck;331
she;750
did;405
think;220
as;471
being;118
born;20
or;265
hatched;2
conceived;2
anyway;13
came;87
ready;29
made;106
from;280
play;38
doh;5
fun;28
factory;3
their;175
imaginations;2
girl;147
named;36
conquered;1
world;59
long;81
after;131
date;12
over;118
remained;7
under;35
spell;2
until;66
blood;10
vessel;3
mother;128
brain;6
burst;2
killing;17
instantly;3
must;57
have;566
slipped;4
clumsy;3
timer;2
go;235
off;164
random;9
with;759
caveat;1
too;144
only;218
gave;42
took;66
discovered;17
one;400
without;43
consequences;9
any;119
longer;26
someone;131
had;453
die;53
grand;11
universal;2
scheme;1
traded;3
father;150
come;180
on;696
big;86
daddy;13
into;167
bed;20
more;170
thing;131
touching;10
didn;274
know;549
learned;20
most;46
unfortunate;10
way;174
first;128
second;52
again;137
forever;26
maketh;1
me;804
lie;22
down;108
green;5
pastures;1
brief;2
mourning;5
period;7
would;419
hustle;6
boarding;9
school;38
never;209
be;693
seen;43
fostered;3
aunts;64
lily;162
vivian;120
renowned;4
synchronized;5
swimming;14
duo;5
shared;10
matching;3
personality;4
disorders;2
fine;32
cheese;14
respective;1
parent;6
funerals;1
dizzy;4
grief;5
curiosity;1
hormones;2
kiss;22
death;92
avoided;2
social;4
attachments;1
fearing;4
what;820
do;510
if;499
loved;49
died;99
became;15
obsessed;6
pies;46
day;128
later;31
heretofore;1
known;29
now;293
has;97
become;23
pie;431
maker;240
is;879
where;176
makes;50
peaches;3
brown;8
fruit;11
hand;55
becomes;4
ripe;2
everlasting;2
flavor;4
touches;6
once;59
every;70
pick;14
concentrate;3
my;845
gonna;242
you;3653
end;38
ve;204
sold;2
those;118
than;117
bakery;2
yeah;191
today;30
rhubarb;6
ll;212
stick;14
three;32
plum;2
la;6
mode;6
emerson;185
cod;132
sole;5
keeper;6
secret;90
how;294
private;61
investigator;31
mr;63
met;28
when;334
hole;56
verge;1
financial;1
ruin;5
proposed;1
partnership;1
murders;7
are;429
much;106
easier;9
solve;13
can;504
ask;71
victim;22
who;420
killed;130
reluctantly;1
agreed;14
word;40
zombie;2
disrespectful;5
stumbling;1
around;93
squawking;4
an;292
undead;3
nobody;30
wants;36
un;3
anything;83
why;245
begin;5
state;7
negative;5
saying;35
don;435
disagree;5
say;207
agree;7
confortable;1
living;33
re;527
either;27
your;666
then;227
alive;87
we;765
sound;16
nice;61
sounds;19
narcoleptic;3
suffer;4
sudden;6
uncontrolable;1
attacks;3
deep;19
sleep;18
necrophiliac;2
these;107
alike;2
get;296
mixed;5
up;365
head;45
used;56
masturbation;1
meant;29
chewing;3
food;27
anymore;15
lock;5
door;48
behind;49
so;500
want;232
opportunity;10
involved;11
kind;90
cantaloupe;6
putting;14
allegedly;3
owner;9
framed;2
put;106
part;42
mouth;22
docile;2
kitten;4
says;19
family;53
despite;9
chow;3
breed;3
likely;5
turn;35
its;37
racial;1
profiling;1
look;137
here;322
innocent;8
murder;91
reward;27
facts;44
leonard;2
gaswint;3
found;119
mauled;2
home;98
office;24
witness;3
suspect;15
convinced;5
innocence;2
offered;11
significant;2
find;166
real;43
killer;79
expert;6
already;51
m;636
does;70
threshold;1
pretty;19
high;21
take;126
grain;3
salt;3
ain;80
blocks;8
give;76
cows;1
lick;2
help;113
make;142
less;23
dramatic;2
sure;86
mainly;1
wait;79
outside;21
hello;50
hi;34
sorry;108
disturb;2
prefer;5
leo;10
current;5
condition;8
something;185
right;229
nothing;74
damn;50
rottweiler;3
secretary;4
sicked;1
been;240
upset;16
since;79
last;93
year;27
christmas;8
party;15
funny;19
story;19
good;186
cleared;4
execution;1
stayed;8
freed;2
hauled;2
justice;20
anonymous;2
tip;4
led;10
solving;3
michigan;1
entrepreneur;1
thought;136
pet;12
truth;75
however;18
sinister;1
olive;299
snook;74
enjoyed;7
time;212
surrogate;1
human;20
connection;3
wanted;86
desperate;18
attempts;2
connect;1
disconnected;1
terrified;5
stop;65
trying;58
convention;2
conventional;1
neurotic;2
needy;5
maybe;143
while;95
wouldn;62
allergic;1
actually;42
handle;6
petting;3
device;1
needs;21
touched;22
need;165
people;153
course;37
lots;11
affection;3
leash;3
mind;48
event;8
changed;8
everything;79
news;36
body;73
woman;39
murdered;42
aboard;4
cruise;7
ship;5
recovered;4
sea;20
identity;3
withheld;2
listened;2
intently;1
unaware;11
stopped;17
breathing;7
haunted;7
seas;4
oh;244
still;114
little;152
reportedly;1
travelling;2
alone;50
passenger;2
returning;4
tropical;1
sailing;3
between;31
united;2
states;1
tahiti;1
captain;5
initially;1
dismissed;3
accident;26
suggesting;3
returned;24
late;24
night;74
out;399
hurt;23
herself;33
retrieving;1
ice;13
watching;13
lately;3
doesn;77
seem;30
going;99
besides;20
boat;5
worth;10
interested;6
conversation;19
persuaded;2
well;270
better;69
quick;13
ground;13
water;52
jewish;1
christians;1
leave;62
laying;2
jews;1
got;307
buried;30
ever;86
grew;19
sort;19
charlotte;122
charles;129
sent;13
away;105
everyday;1
biblical;3
sense;24
haven;25
lot;79
remember;45
remembers;2
floating;6
ocean;2
moments;5
discarded;2
whom;7
seemed;14
question;26
answer;12
funeral;15
director;4
always;86
eager;1
supplement;1
income;1
gentlemen;5
happy;60
grant;5
deceased;4
audience;13
wanna;22
account;12
whole;36
historical;10
context;4
personal;17
ok;8
gain;3
small;24
amount;7
closure;4
open;30
stupid;21
kids;10
doing;80
seconds;33
prince;4
charming;5
felt;53
upon;15
looking;64
great;102
taken;19
lip;4
forward;6
cheek;5
boy;60
