Mot,Occurrence
you,1855
a,1627
i,1575
the,1288
de,1230
vous,1215
je,1042
s,1014
est,997
to,905
pas,840
that,798
que,759
un,748
t,741
it,697
il,681
la,678
le,667
et,655
c,602
l,561
à,550
on,543
me,532
he,521
and,516
ne,513
of,484
was,462
d,453
ce,434
what,426
ça,424
m,422
pour,421
une,409
n,403
in,394
j,360
elle,347
les,344
qu,340
en,339
know,334
she,330
ai,328
des,326
tu,311
is,302
this,297
qui,281
your,275
no,271
for,270
her,267
do,264
we,259
était,256
mais,253
my,248
have,245
with,245
dans,244
don,239
uh,235
but,226
re,225
tout,224
avec,220
not,219
so,211
bien,208
just,204
about,203
him,196
here,193
être,190
du,184
oh,184
moi,184
non,181
votre,180
si,179
can,178
yeah,178
sur,174
like,174
out,169
lui,168
là,166
ouais,165
avez,164
fait,164
all,164
they,163
suis,163
there,160
be,155
plus,154
quoi,154
if,154
as,153
did,151
y,151
dit,150
right,149
didn,149
why,147
raines,147
au,146
faire,145
at,144
got,141
mon,140
who,140
son,138
up,138
get,138
one,137
jimmy,135
ici,134
his,133
comme,131
pourquoi,130
are,129
how,129
were,128
well,125
peut,125
avait,123
had,123
go,123
think,121
gonna,118
sais,117
see,117
hey,115
ve,113
ca,111
alors,110
ok,109
detective,106
okay,106
michael,104
maybe,100
billings,99
sa,98
êtes,97
ils,96
inspecteur,96
se,95
ll,95
tell,95
now,94
back,94
could,93
chose,93
would,92
from,91
when,90
been,88
avoir,88
good,88
rien,88
boyer,87
time,87
nous,86
parce,86
cette,85
ma,85
really,85
dire,85
an,83
va,81
some,81
them,80
quelqu,80
look,80
charlie,79
then,78
bon,78
vraiment,77
voir,77
même,77
guy,76
comment,76
peux,76
juste,74
come,74
or,74
because,73
say,72
quand,72
where,72
été,71
fois,71
want,70
people,70
par,68
said,67
quelque,67
font,67
need,67
très,66
sandy,65
man,65
où,65
jamais,65
much,64
allez,64
toujours,64
down,63
mort,63
never,63
merci,62
julio,61
little,61
over,61
savez,61
veux,60
anything,59
femme,59
killed,59
te,59
way,58
something,58
peu,58
told,58
take,57
ou,56
aussi,56
oui,55
maintenant,55
alice,55
money,54
ont,54
thing,54
tué,54
any,54
somebody,53
let,53
help,52
vais,52
ces,52
find,52
work,51
sans,51
eu,51
call,51
make,50
vu,50
mean,49
parler,49
encore,49
mr,49
temps,48
toi,48
talk,48
autre,48
into,48
cause,48
wanna,47
might,47
leur,47
going,47
knew,47
sont,46
gens,46
tous,46
doesn,46
connie,46
by,46
only,46
still,45
job,45
wasn,45
name,45
voulez,45
sure,45
off,44
pense,43
before,43
um,43
sûr,43
pos,43
argent,43
police,43
type,42
emily,42
aurait,42
boudreau,42
ah,42
pu,42
very,41
dead,41
deux,41
quelques,41
besoin,41
thought,40
personne,40
day,40
life,39
ans,39
euh,39
ses,39
two,38
arme,38
too,38
more,38
passé,38
better,38
déjà,37
monde,37
thank,37
trouvé,37
came,37
case,37
these,37
vie,37
put,37
nice,36
nom,36
last,36
around,36
trop,36
avais,36
after,36
gars,36
étais,35
savoir,35
avion,35
wally,35
years,35
ton,35
dois,35
love,35
wife,35
every,34
show,34
après,34
es,34
vrai,34
boulot,34
ago,34
found,34
being,34
victime,34
avant,34
donc,33
toute,33
sorry,33
yes,33
head,33
andrew,33
photo,33
should,33
mieux,33
vos,33
richard,33
dites,33
has,33
used,32
give,32
gun,32
please,32
henry,32
first,32
aller,32
kind,32
girl,32
plane,32
mes,32
does,32
which,32
those,32
porte,32
away,32
couldn,32
saw,31
our,31
voilà,31
guys,31
few,31
famille,31
yourself,31
talking,31
always,31
even,31
aime,31
tête,30
color,30
doing,30
ever,30
dis,30
depuis,30
old,30
jason,30
kill,30
anybody,30
big,29
fais,29
am,29
crash,29
everything,29
aider,29
assez,29
lance,29
night,29
kitman,29
nothing,29
family,28
other,28
trying,28
jour,28
brody,28
wanted,28
happened,28
looking,28
bad,28
fille,28
hard,28
victim,28
affaire,28
petit,28
keep,28
surfer,28
cas,28
shot,28
question,27
voyez,27
êtiez,27
aux,27
gotta,27
quel,27
beaucoup,27
chez,27
their,27
again,27
feel,27
isn,27
place,26
huh,26
ex,26
mal,26
vois,26
jusqu,26
peur,26
prendre,26
moins,26
thanks,26
sarah,26
gone,26
pris,26
jolie,25
pouvez,25
désolé,25
will,25
veut,25
maison,25
working,25
hit,25
voulait,25
faites,25
mari,25
enough,25
travail,25
crazy,25
car,25
chaque,25
viens,25
trouver,25
bonne,25
venu,25
seul,25
husband,25
père,25
us,25
idée,25
yet,24
enquète,24
jack,24
pensez,24
phone,24
everybody,24
home,24
doit,24
questions,24
problème,24
partie,24
caroline,24
called,24
regardez,24
mère,24
webb,24
through,24
mauvais,24
death,24
levay,23
minute,23
made,23
murder,23
wouldn,23
voiture,23
moment,23
stop,23
than,23
svetlana,23
god,23
aurais,23
couple,23
wrong,23
wait,23
cop,23
took,23
pretty,23
else,23
dieu,22
tuer,22
nuit,22
play,22
tuée,22
traeger,22
raison,22
entre,22
étaient,22
autres,22
grand,22
mec,22
strong,22
real,22
contre,22
city,21
pendant,21
problem,21
course,21
flic,21
idea,21
account,21
accident,21
long,21
parents,21
lot,21
mind,21
next,21
hear,21
thinking,21
maria,20
believe,20
says,20
passe,20
aucune,20
things,20
www,20
soit,20
faut,20
craig,20
house,20
justice,20
com,20
plait,20
guess,20
try,20
hein,20
savait,20
secret,20
fils,20
celui,20
different,19
coup,19
great,19
reason,19
ami,19
care,19
seule,19
bas,19
woman,19
cool,19
imagine,19
left,19
start,19
imagination,19
mois,19
pouvait,19
pourrait,19
person,19
grace,19
venir,19
drogue,19
parlez,19
crois,19
school,19
possible,18
motel,18
enfant,18
minutes,18
bbs,18
ydy,18
worked,18
newman,18
puis,18
mexico,18
ffff00,18
ten,18
propos,18
cops,18
went,18
russo,18
understand,18
aurelio,18
someone,18
appelle,18
lewis,18
surement,18
truc,18
coté,18
threats,18
menaces,17
souvent,17
face,17
connais,17
coming,17
once,17
tueur,17
marco,17
gang,17
combien,17
kid,17
aviez,17
arrêter,17
fine,17
part,17
leave,17
passer,17
mettre,17
homme,17
compte,17
shut,17
appeler,17
baby,17
meurtre,17
notre,17
looks,17
three,17
remember,17
ask,17
months,17
toutes,17
eux,16
heure,16
point,16
same,16
santiago,16
hum,16
hayworth,16
force,16
whole,16
haven,16
friend,16
parlé,16
tes,16
difficile,16
picture,16
nobody,16
école,16
six,16
mother,16
read,16
pute,16
accord,16
crime,16
lapd,16
lionel,16
unless,16
anymore,16
croyez,15
ta,15
hmm,15
harry,15
already,15
rue,15
judy,15
stay,15
petite,15
los,15
photos,15
pensais,15
mickey,15
sleep,15
devait,15
air,15
elles,15
téléphone,15
homeless,15
getting,15
asked,15
move,15
service,15
father,15
street,15
listen,15
business,15
without,15
check,15
reste,15
demande,15
avons,15
genre,15
pay,14
choses,14
drew,14
records,14
weren,14
hell,14
times,14
story,14
must,14
amour,14
seen,14
flics,14
may,14
fuhlman,14
allait,14
demandé,14
heures,14
idiot,14
site,14
arlene,14
dad,14
attends,14
croire,14
half,14
meilleure,14
bébé,14
aide,14
parle,14
entendu,14
sait,14
eh,14
laissez,14
kids,14
façon,14
sera,14
fou,14
mcsweeney,14
afraid,14
makes,14
done,14
voulais,14
died,14
cet,14
book,14
best,14
also,14
payback,14
probably,14
vers,13
blood,13
body,13
mexique,13
serait,13
monsieur,13
exactly,13
most,13
hold,13
four,13
change,13
another,13
dormir,13
actually,13
dernière,13
main,13
sortir,13
samantha,13
plutôt,13
until,13
new,13
alone,13
quelle,13
making,13
aimerais,13
pouvoir,13
comes,13
heard,13
angeles,13
while,13
run,13
door,13
devez,13
lady,13
wants,13
brother,13
histoire,13
saying,12
perdre,12
bd,12
meilleur,12
frère,12
top,12
comics,12
faux,12
appel,12
vont,12
enfants,12
mot,12
appelé,12
ligne,12
deal,12
taking,12
jouer,12
arrive,12
laird,12
corps,12
devenir,12
jours,12
attendez,12
matin,12
such,12
carolyn,12
information,12
mis,12
ni,12
