Mot;Occurrence
peut;125
être;190
ai;328
je;1042
lu;10
trop;36
de;1227
livres;1
policiers;4
quand;72
j;360
étais;35
gosse;4
chandler;4
hammett;1
macdonald;1
tous;46
les;344
grands;7
auteurs;2
californie;2
des;326
années;11
et;655
même;77
essayé;9
d;328
écrire;4
une;409
histoire;13
fois;71
n;401
pu;42
dépasser;1
la;677
1ère;1
page;1
décisions;2
ou;56
avez;164
vous;1215
trouvé;37
le;667
corps;12
toutes;17
ces;52
histoires;4
commençaient;1
avec;220
un;747
est;997
ce;434
pas;840
trouverez;1
près;7
piscine;6
coucher;3
soleil;2
couleur;3
orange;2
sanguine;1
bien;208
c;600
nuit;22
scintillement;1
lumières;2
ville;11
à;550
propos;18
victime;34
producteur;1
film;3
dans;244
costume;2
impeccable;1
qui;281
a;650
probablement;6
eu;50
qu;340
il;681
méritait;6
magnifique;2
starlette;2
tombée;2
sur;174
mauvais;24
cheval;4
sans;51
s;148
en;338
rendre;9
compte;17
mais;253
savez;61
vraie;4
raison;22
pour;421
laquelle;1
jamais;65
écrit;6
suis;163
devenu;4
flic;21
alors;110
que;757
découvert;4
images;1
ma;79
tête;30
étaient;22
réèlles;1
prenez;7
cas;28
matin;12
été;71
collines;1
peu;58
plus;154
haut;6
parking;3
route;3
était;256
pauvre;4
jeune;11
femme;59
vêtue;1
vieux;9
pantalon;1
vieilles;2
espadrilles;1
blessure;1
par;67
balle;11
dos;8
étendue;1
trottoir;9
face;4
contre;22
terre;2
on;268
contrôle;5
périmètre;2
poubelles;6
buissons;1
porte;32
feuille;10
sac;5
obtenu;1
ses;39
coordonnées;1
sandy;33
boudreau;21
avenue;1
bendix;2
appartement;7
allons;5
voir;77
là;166
bas;19
ok;109
appartements;1
tour;6
l;554
ascenseur;1
commençons;1
ne;513
sais;117
si;179
allez;64
aimer;4
ça;424
êtes;97
abord;4
raines;63
police;31
los;8
angeles;7
etes;3
sa;98
soeur;4
famille;31
voyez;27
photos;11
inspecteur;96
pense;43
son;125
nom;36
marco;8
ils;96
ont;54
rompus;1
oh;82
y;146
quelques;41
semaines;7
petit;28
