Mot;Occurrence
maybe;100
i;1573
read;16
too;38
many;11
detective;106
books;4
when;90
was;462
a;977
kid;17
chandler;4
hammett;1
macdonald;1
all;164
the;1286
great;19
california;3
guys;31
of;484
40s;1
and;515
50s;2
even;31
tried;7
writing;4
story;14
once;17
couldn;32
t;690
get;138
past;10
pagene;1
decisions;4
where;72
do;264
you;1855
find;52
body;12
au;1
these;36
stories;3
start;19
with;245
right;149
it;697
by;46
pool;6
under;11
sunset;3
color;30
blood;13
orange;2
or;71
is;302
night;29
twinkling;1
lights;2
city;18
what;425
about;202
victim;28
movie;3
producer;1
in;393
sharkskin;1
suit;4
who;140
we;259
think;121
probably;14
got;141
he;521
deserved;4
some;81
beautiful;12
starlet;2
fell;5
wrong;23
crowd;1
never;63
saw;31
coming;17
but;222
know;334
real;22
reason;19
that;798
wrote;2
one;137
those;32
became;1
cop;23
found;34
out;169
images;1
had;123
my;248
head;33
weren;14
like;174
life;39
take;57
case;37
this;297
morning;12
wasn;45
swimming;1
high;10
hills;1
turned;5
up;138
parking;3
lot;21
weasel;2
poor;6
young;10
woman;19
cargo;1
pants;3
sneakers;1
bullet;7
hole;5
her;267
back;94
laying;1
facedown;1
pavement;1
did;151
close;11
sweep;1
trash;4
cans;1
bushes;1
no;266
purse;2
wallet;4
registration;2
sandy;32
boudreau;21
bendix;2
avenue;1
apartment;7
let;53
s;866
go;121
check;15
okay;106
re;225
going;47
to;905
there;160
somewhere;7
tower;1
elevator;1
knocking;3
on;275
doors;1
don;238
if;154
d;125
are;129
first;32
raines;84
lapd;16
sister;4
something;58
see;117
photographs;1
didn;149
have;245
being;34
his;133
name;44
marco;9
they;163
broke;2
uh;234
few;31
weeks;8
ago;34
boyfriend;6
keep;28
so;211
happening;5
again;27
can;178
charlie;40
handle;7
handled;3
before;43
call;48
handling;1
m;278
losing;9
mind;21
oh;102
just;204
conversation;5
girl;26
wouldn;23
exactly;13
says;20
run;13
door;13
not;219
only;46
bad;28
police;12
work;51
rude;1
why;147
bother;3
talking;31
because;73
carried;2
your;275
ass;6
for;270
years;35
me;366
own;12
already;15
need;67
help;52
from;91
figuring;1
she;330
haunting;1
ghost;9
now;94
hallucination;4
michael;53
look;78
two;38
choices;2
could;93
away;32
yourself;31
committed;2
institution;1
shot;28
tranquilizers;3
sounds;5
good;88
job;43
wants;13
talk;48
has;33
always;31
been;88
thing;54
killer;12
used;32
while;13
were;128
driving;3
around;36
well;125
them;80
behind;6
eyes;7
will;25
make;50
better;38
shut;17
want;70
imagination;10
figment;2
killed;59
then;78
ll;95
whatever;12
dark;11
twisted;2
malfunctioning;1
part;4
brain;2
come;74
yeah;178
note;4
instructing;1
whoever;9
finds;2
after;36
blow;1
brains;2
scatter;1
ashes;1
over;61
disneyland;4
cause;34
happiest;1
place;18
earth;3
sarcastic;1
calling;11
hi;10
y;5
here;193
leave;17
message;3
bye;5
texas;2
accent;1
isn;27
an;80
interesting;7
development;1
easy;7
drawl;1
tex;1
riding;1
at;144
crawford;1
came;36
say;72
boss;2
fashion;1
show;28
sweet;6
vintage;1
kind;32
sweater;1
wet;2
fantastic;3
voyage;1
cheerleader;4
halloween;1
jumping;1
twirling;1
hey;73
does;32
mean;49
working;25
catering;5
company;5
wanna;47
tell;95
really;85
wish;10
caroline;8
perp;1
serious;7
captain;10
be;155
said;67
caught;4
suspect;6
homeless;15
camps;3
griffith;1
park;7
sandyoudreau;1
him;196
containing;1
among;2
other;28
things;20
mixed;2
20s;2
also;14
matches;1
type;2
william;1
jones;4
known;7
residents;1
camp;2
lives;5
as;80
skunk;2
big;28
white;10
stripe;1
down;63
god;23
mr;27
glad;5
smell;1
keeps;3
sickos;2
ones;4
into;48
our;31
stuff;7
beat;3
us;25
their;27
dens;1
poke;1
em;9
stick;4
spray;2
doesn;46
kicked;2
ain;4
smelled;1
since;8
sure;45
arresting;2
officer;8
remember;17
anything;59
last;36
ever;30
ve;113
side;6
stuffed;4
way;58
deep;2
inside;8
guy;76
koow;1
happen;9
capable;2
gonna;118
control;6
almost;8
drinking;7
man;65
am;29
rember;2
process;4
confession;3
gun;32
powder;2
residue;1
hands;11
dead;41
robbed;1
threw;2
washed;2
would;92
long;18
time;87
shoebox;3
full;3
cash;3
nancy;4
drew;9
suppose;4
civilian;1
employee;1
everything;29
seems;10
mysterious;1
important;3
truth;6
most;13
murder;23
investigations;3
damn;6
learn;4
school;19
gone;26
station;8
car;25
question;12
shoot;12
thank;37
goodness;1
old;30
wino;4
yes;33
roller;1
skates;1
cool;9
supposed;7
sweetie;5
haven;16
solved;5
yet;24
nah;2
satisfaction;1
pretend;3
still;45
partners;1
silent;1
naggi;1
bank;12
account;21
doing;30
tips;2
cheerleading;1
outfit;3
uniform;2
liked;8
play;20
dress;1
cute;4
mm;7
speaking;6
repeat;2
told;58
hold;13
off;44
processing;1
dear;6
cater;1
called;24
romeo;3
juliet;3
jackson;1
vice;1
escort;3
service;7
address;11
block;9
gower;1
thanks;26
front;6
knew;47
prostitute;2
occurred;2
may;14
ask;17
any;54
cigarettes;1
smoking;3
same;16
though;11
booze;3
makeup;3
headed;3
circus;1
clown;1
boobs;1
gained;1
three;17
cup;2
sizes;1
whore;8
looks;17
argue;2
arlene;7
gotta;27
every;34
inch;1
understand;18
must;14
paid;6
view;3
nice;36
ah;14
stupid;8
pay;14
closed;1
wondered;1
went;18
duck;1
four;12
legs;3
made;23
third;3
grade;4
little;61
trip;6
memory;4
lane;1
cops;18
otherwise;3
ma;6
hear;21
sorry;33
parents;10
names;6
vernon;6
figured;5
much;64
hoping;6
chester;5
deaf;1
money;54
daughter;9
sending;1
bits;2
more;38
evidence;9
belongs;3
hell;14
honest;3
mistake;3
father;15
wife;35
recognized;2
photos;4
meet;8
missing;9
cut;5
left;19
arm;5
wonder;9
rhymes;1
molester;3
should;33
noticed;2
photo;5
heavily;2
muscled;1
very;41
people;70
line;10
having;11
sex;7
strangers;3
favorite;5
booth;2
career;2
day;40
nine;3
times;14
ten;18
molested;6
idea;21
room;9
molest;1
reaction;3
mother;16
mothers;1
looked;10
martian;1
stand;9
heifer;1
calm;3
lawyer;8
phone;24
course;21
abused;2
knocked;1
hooker;6
beats;2
mom;8
how;129
quick;2
fists;1
flinches;1
talks;2
sympathetic;2
aren;12
wanted;28
solve;10
college;6
student;2
matter;6
queen;1
rose;2
parade;1
saysayonara;1
nothing;29
personal;5
ex;13
partner;12
cane;7
took;23
months;17
several;3
bullets;3
both;12
worst;3
happened;28
yucca;1
looking;28
idiot;6
crank;1
dealer;5
named;7
laszlo;2
thought;40
rival;1
drug;9
dealers;1
opened;3
fired;5
through;24
eye;8
pretty;23
kill;30
kidding;5
pimp;1
boo;1
ends;2
trouble;6
anymore;16
clients;3
regulars;1
trying;28
give;32
customers;4
month;3
website;9
monday;2
sent;6
townhouse;2
motel;10
dressed;1
rings;5
bell;3
actually;13
ankle;1
might;47
using;8
face;13
mime;2
funny;12
thinking;21
aah;2
hurts;2
certainly;5
hope;5
security;10
camera;3
outside;6
lie;6
lying;11
picked;2
lead;4
scratch;1
butt;1
rake;1
care;19
press;9
file;4
grievance;1
cell;12
records;14
pulled;6
dmv;3
everybody;24
talked;10
recently;3
walk;11
accused;1
child;12
everyone;5
five;12
tall;4
mocha;1
molesting;2
bastard;5
shouldn;8
accusing;2
grieving;4
upon;3
entering;1
spent;4
lottery;1
tickets;1
dan;4
mrs;12
begging;3
drop;2
charges;1
against;8
husband;25
surprise;4
classic;1
spouse;2
conviction;2
hitting;1
inflammatory;1
words;9
boyer;49
seen;14
myself;8
someone;18
open;3
clever;1
remind;3
smart;5
rusty;1
couple;20
days;11
honey;5
recognize;3
belonging;3
nights;6
number;9
lasted;1
minutes;9
housekeeper;1
borrowed;2
phones;3
tomorrow;10
okey;1
dokey;1
welcome;5
standing;3
neighbor;2
until;13
died;14
roommate;1
till;6
midnight;2
prove;11
met;5
leg;3
lifts;1
machine;3
watch;10
asked;15
spot;2
bench;3
else;23
break;6
protect;6
dumped;4
girlfriend;8
stop;23
needed;6
different;18
than;23
wamy;1
fault;5
gay;2
pathetic;3
slowly;1
whittle;1
feels;5
um;42
passing;1
asking;11
questions;11
utterly;1
whacked;1
extremely;2
weird;3
getting;15
done;14
regards;1
vista;1
heights;1
laird;6
mcsweeney;7
private;7
creep;2
hollywood;3
boulevard;2
harry;8
tucker;2
wendy;5
hmm;10
helped;6
clean;6
spilled;2
coffee;9
suspicious;2
business;13
forgiven;1
sometimes;12
afraid;14
younger;2
model;1
table;2
monkey;1
love;34
spoke;1
motive;7
threatened;3
naked;1
laughed;2
comes;13
penis;1
size;2
match;3
video;3
tighter;1
freeze;2
rossi;1
floor;4
move;15
units;2
heading;3
west;3
alley;2
garbage;1
truck;2
sir;8
given;5
amount;2
steroids;2
amphetamines;2
boy;11
peddled;1
mexico;16
asswipe;1
reach;2
mike;3
smith;1
central;1
bobby;1
bit;6
problem;21
e;10
send;7
hours;12
paths;1
crossed;1
mostly;4
peeper;2
divorce;2
cases;4
custody;3
battles;1
cross;1
pictures;7
blackmail;2
seem;4
computer;2
somebody;53
taking;12
huh;25
backup;2
hard;28
drive;11
guess;20
spilling;1
mentioned;4
sit;7
together;7
making;13
beast;2
backs;1
group;2
taken;7
leaving;2
walking;4
across;3
street;14
herself;5
privacy;1
classified;1
penthouse;1
nut;5
decided;3
target;4
wealthy;1
middle;2
aged;1
married;10
fella;1
dreamed;1
fox;1
socks;1
yours;9
truly;2
jump;2
bones;1
bed;1
sweeney;1
snap;3
candids;1
threaten;1
forget;5
sudden;2
kathleen;1
turner;1
frombody;1
heat;2
cigarette;2
blackmailing;1
anybody;30
person;19
saves;1
escape;2
horrible;2
heart;3
gold;3
suspects;4
usually;3
greed;3
ambition;1
anger;4
fear;5
located;1
waiting;4
primary;1
san;4
francisco;2
express;2
boarding;1
respond;1
r;1
unit;1
bus;2
put;37
handcuffs;1
traction;1
responding;1
nowhere;2
pulse;1
listen;15
lucky;8
breathing;3
emergency;1
washing;2
scoot;2
running;2
speed;2
bite;1
heads;2
chickens;1
followed;5
ithat;1
far;7
hiring;1
believe;20
kept;3
possibly;3
least;5
deformed;1
abandonment;1
terrified;1
follow;4
hired;9
investigator;2
set;8
trap;2
seduce;1
witness;6
gets;10
hospital;1
testify;2
handing;2
thumbprint;1
bill;2
meets;2
delighted;1
grow;6
small;5
bait;1
shouldhave;1
ended;4
accept;3
try;20
faithful;1
angry;6
scared;5
snapped;1
next;21
everytng;1
bet;10
legal;2
team;5
successfully;1
crime;7
passion;1
manslaughter;2
killing;9
premeditated;1
needle;1
startin;1
fine;17
crap;8
house;20
keepin;1
startle;1
alone;13
news;6
screw;3
locker;1
pleased;2
wantedyouto;1
woulda;3
somehow;1
magically;1
reappear;1
hand;11
either;11
cd;1
telling;4
mama;1
point;10
kick;2
gear;1
l;7
finally;1
rap;2
happens;5
crazy;25
active;1
writer;5
writers;1
create;1
characters;1
cuckoo;1
cocoa;1
puffs;1
without;15
bounce;3
ideas;2
new;11
please;32
jerk;3
rubber;2
glue;1
bounces;1
sticks;1
along;6
positive;2
disappear;1
yep;1
fact;10
figure;8
bugging;1
seemed;5
capped;1
noggin;1
feel;27
lose;10
hunger;1
human;6
feasting;1
begin;1
sundown;1
forensic;4
artist;8
use;9
stan;4
rastow;2
listens;1
witnesses;4
makes;14
drawings;2
draws;1
reflects;1
description;2
thugs;1
sketches;1
tenth;1
gym;1
teacher;6
hit;25
basketball;1
hallucinations;1
victims;11
ghosts;1
figments;3
which;32
means;6
limited;1
worked;18
imagine;17
clearly;1
scene;6
walked;7
fast;4
carry;4
live;10
male;1
mid;1
chest;3
canal;3
footprints;2
rained;2
mud;2
nobody;16
heard;13
soup;1
less;9
based;2
decomposition;1
degree;2
animal;5
intervention;2
revenge;3
christmas;2
goldfish;1
id;6
none;3
photograph;4
lab;8
emulsion;1
reconstruct;1
map;2
apart;1
papery;1
mush;1
pocket;9
newspaper;4
noodle;1
able;5
pull;9
fingerprints;2
piecing;1
sherlock;2
holmes;2
intellect;1
knowing;2
dozen;2
identity;7
mojo;1
cozying;1
acne;1
hungry;4
fish;3
ugh;3
font;54
38b0de;9
www;19
ydy;18
com;19
bbs;18
proudly;9
presents;9
sync;9
ytet;9
colleen;1
season;9
episode;9
miss;6
missed;3
favor;7
samantha;7
owed;3
drink;6
depressed;1
himself;9
book;14
lewis;9
clark;3
stephen;3
ambrose;1
undaunted;1
courage;1
pile;1
visionary;1
regular;2
best;14
won;10
effective;1
end;8
expedition;1
longer;2
drip;1
seat;4
starters;1
magician;2
amazing;2
comic;9
arthur;1
graphic;3
novels;1
richie;3
rich;7
sandman;1
knight;2
relate;1
sarcasm;3
heavy;2
enough;25
vic;11
drawing;2
speculation;2
presumably;1
expertise;1
unless;16
los;7
angeles;6
compensating;1
false;1
pretenses;1
flies;3
approach;2
nuisance;1
sketch;3
ergo;1
saying;12
approximation;1
justice;11
unlikely;1
complain;1
series;1
novel;1
perspectives;1
motion;1
lines;1
blams;1
pows;1
easier;6
soon;3
sooner;3
pleasure;3
ironic;1
wisenheimer;1
takes;3
etc;1
second;9
dr;5
kohl;5
therapist;3
card;6
rapist;1
such;12
strange;3
appreciate;8
concern;1
hook;2
nuts;4
wee;1
post;2
incident;2
counseling;1
stopped;8
during;1
sessions;1
suspended;3
chase;2
floater;2
prints;8
hits;4
system;10
odontologist;1
bridge;1
interior;1
teeth;4
wait;23
ay;5
frito;1
bandito;1
vibrato;1
mexican;11
song;8
macarena;3
watching;6
dude;2
chicks;1
buyer;1
remorse;1
brother;13
bore;2
sitting;2
chair;4
worth;6
hearing;1
john;1
doe;3
juan;1
dental;1
turbulence;1
local;5
latino;2
gangs;3
banger;1
tats;2
sleeves;1
gangster;1
cats;1
hot;5
future;3
boardwalk;6
henna;1
tattoos;1
wash;3
familiar;3
tv;9
erik;3
estrada;3
cultural;1
sensitivity;1
polaroid;1
half;14
eaten;1
ponch;1
handwriting;1
edge;1
ink;1
ran;3
marks;1
x;1
venice;2
canals;2
washington;2
macarthur;4
invigorating;1
stroll;1
illegal;10
buy;11
fake;3
soft;1
clothes;2
print;2
copies;2
knows;6
julio;31
santiago;8
town;6
sayulita;2
hour;7
north;4
puerto;1
vallarta;1
driver;4
license;6
dawg;1
catch;4
later;8
office;10
fresh;2
air;2
hundred;3
bucks;4
social;6
green;1
hang;7
chasing;1
prospective;1
speak;6
english;4
clipping;3
needs;6
finding;4
gave;11
notario;4
ram;1
