Mot,Occurrence
i,8117
you,7631
je,5105
a,4848
est,4468
the,4181
s,4115
de,3833
to,3823
tu,3348
pas,3258
t,3230
it,3139
que,2956
le,2848
on,2794
that,2781
c,2727
me,2442
un,2298
what,1999
et,1951
m,1940
ce,1925
la,1917
and,1910
ça,1879
d,1833
à,1776
il,1728
vous,1683
of,1665
l,1641
j,1616
we,1564
this,1551
is,1540
sam,1499
en,1426
ne,1395
qu,1378
une,1361
know,1317
pour,1302
in,1287
ai,1283
right,1254
les,1246
no,1240
my,1227
all,1184
re,1175
ok,1171
just,1166
oh,1149
do,1129
he,1104
for,1096
bien,1056
don,1050
not,1023
yeah,1002
have,1002
non,971
can,968
your,966
so,958
as,955
are,897
n,893
quoi,882
te,872
be,848
with,826
des,819
moi,816
suis,805
out,792
y,792
sais,785
get,784
was,779
like,764
mon,719
elle,701
go,687
qui,685
fait,678
avec,677
here,662
si,658
ouais,658
mais,656
tout,656
accord,651
but,645
dans,639
du,627
she,624
faire,624
être,620
about,619
up,608
there,586
think,570
toi,568
andi,562
gonna,559
sock,556
veux,553
va,547
well,546
him,543
got,535
es,531
ll,530
good,522
now,514
hey,511
want,509
if,483
come,482
au,482
let,481
plus,477
juste,476
how,472
at,472
était,472
là,469
ben,466
one,464
look,463
peux,462
really,458
dire,448
back,445
her,444
comme,432
vraiment,419
peut,419
devil,414
très,413
nous,412
they,409
sur,394
diable,388
did,377
little,375
why,370
se,366
ton,365
going,364
lui,357
alors,357
allez,355
ma,355
see,353
mean,348
pourquoi,348
vais,343
oui,341
need,340
hé,330
guys,328
chose,325
soul,324
hell,321
merci,316
man,311
time,309
âme,308
comment,305
cette,304
dit,297
son,296
bon,295
tell,291
would,291
ils,288
uh,285
his,284
où,283
way,282
who,281
rien,281
take,279
sorry,274
par,270
wait,270
some,269
fais,268
from,267
an,264
ve,262
something,262
ta,262
peu,260
maintenant,259
ici,256
dois,254
will,254
ted,254
thing,251
when,250
where,249
say,247
quand,243
guy,243
sammy,243
pense,243
work,241
mec,241
could,238
us,237
thank,236
sont,236
were,236
quelque,234
didn,232
besoin,232
maybe,232
vas,227
yes,225
parce,224
enfer,222
or,220
make,217
désolé,216
avoir,215
voir,214
because,212
then,212
même,211
god,209
love,208
jamais,208
am,207
ou,206
dieu,205
aller,205
great,201
been,197
had,195
over,195
help,191
off,191
never,190
doing,189
down,188
avez,184
give,184
should,182
more,182
by,180
cool,179
tony,179
vie,175
too,174
any,173
nina,172
temps,172
anything,172
aussi,170
greg,169
doit,168
attends,167
tous,167
talk,166
autre,166
ces,164
very,163
even,163
êtes,162
vois,162
gars,160
dis,159
toujours,159
sure,157
into,157
mes,157
life,156
crois,156
fois,156
listen,155
parler,153
our,153
please,152
sûr,151
salut,151
été,150
petit,149
place,148
ont,147
nice,147
veut,147
donc,146
does,146
regarde,145
aime,145
feel,144
people,144
super,144
vu,143
encore,143
ca,142
eh,142
heu,140
steve,139
gotta,139
find,138
votre,138
car,137
air,137
these,136
vessel,136
actually,136
mal,134
ever,134
bonne,133
believe,132
contenant,132
vrai,131
truc,130
stop,130
day,130
thought,129
quelqu,128
trop,127
much,127
sa,127
étais,125
problème,125
only,125
fine,124
personne,121
them,121
hein,120
bench,120
nothing,120
tes,120
écoute,120
made,119
bad,119
baby,119
has,119
night,119
deux,117
soit,117
before,117
said,116
dad,116
better,116
mère,116
avais,115
doesn,115
wanted,115
um,114
again,114
might,114
soir,114
kill,114
still,113
tuer,113
pretty,113
everything,112
trying,111
away,111
raison,111
put,111
lot,110
mort,110
père,110
avant,110
around,109
eu,108
than,108
monde,107
prendre,107
demon,107
moment,107
voulais,107
voiture,107
quel,107
deal,107
call,106
hi,106
après,104
morgan,104
gens,103
thanks,103
huh,103
allons,102
gladys,102
notre,101
job,101
those,100
boulot,100
aider,100
kind,100
voilà,99
viens,99
cady,99
always,98
penses,98
first,98
benji,97
problem,97
mom,97
beaucoup,97
wanna,96
wrong,96
probably,96
big,96
avait,96
faut,95
sortir,95
other,95
girl,95
ami,94
done,94
sera,94
keep,94
laisse,94
last,94
long,92
cause,92
voulez,92
isn,91
bébé,91
chance,90
friends,90
passé,90
dead,90
parents,90
démon,89
part,89
fille,89
euh,89
génial,88
arrive,88
chez,88
weird,88
ans,88
toute,87
guess,87
mieux,87
care,87
talking,87
yourself,87
point,87
aurais,87
being,87
plan,86
idea,86
déjà,86
money,85
pourrait,85
ass,85
told,85
pourrais,84
depuis,84
next,84
happened,83
grand,83
whoa,83
new,83
after,83
passe,82
argent,82
ah,82
amis,81
petite,80
ask,80
pensais,80
trouver,80
real,80
devrais,80
old,80
idée,79
plaît,78
importe,78
won,78
week,77
ses,77
happy,77
party,76
two,76
crazy,76
stuff,76
bizarre,76
things,76
evil,75
years,75
aux,74
friend,74
fini,73
sens,73
fils,72
tonight,72
seul,72
house,72
getting,72
stupid,72
face,72
every,72
buddy,72
laisser,72
savez,71
parle,71
pouvez,71
sans,71
serait,71
another,71
home,71
jour,70
hold,70
endroit,70
knew,70
idiot,70
whole,70
mecs,70
through,70
pote,70
prends,69
josie,69
genre,69
world,69
show,68
remember,68
savoir,68
nuit,68
dude,67
papa,67
head,67
sait,67
name,67
devrait,67
today,67
open,66
faites,66
âmes,66
pendant,65
comprends,65
oliver,65
fête,65
bert,65
myself,65
try,65
found,65
mr,64
bonjour,64
type,64
sois,64
hear,64
break,64
trouvé,64
homme,64
mind,64
question,64
coming,63
souls,63
cet,63
excuse,63
course,63
saw,63
bit,63
passer,63
team,63
peur,63
bar,62
reste,62
meet,62
important,62
hate,61
end,61
train,61
attendez,61
sous,61
aide,61
choses,60
maison,59
killed,59
second,59
date,59
savais,59
partir,59
donne,59
boy,59
together,59
understand,58
font,58
hard,58
tête,58
change,58
appelle,58
catch,58
looking,58
perfect,58
fun,58
move,58
supposed,58
easy,57
came,57
secret,57
which,57
coup,57
amour,57
went,57
father,56
enough,56
hand,56
sort,56
mettre,56
assez,56
venir,56
leave,56
makes,56
thinking,56
having,56
entendu,56
contrat,55
hit,55
trouve,55
own,55
contre,55
else,55
totally,55
envie,55
watch,54
entre,54
démons,54
same,54
www,54
hot,54
com,54
while,54
use,54
police,54
dû,54
nom,54
porte,54
moins,54
terrible,54
called,54
croire,53
somebody,53
journée,53
mine,53
ensemble,53
adore,53
alan,53
whatever,53
pris,53
already,53
free,53
trucs,53
femme,53
beautiful,52
took,52
