Mot;Occurrence
traduction;22
travis;5
synchro;5
amariss;4
resynchro;2
ajustements;2
tagne;22
www;23
forom;23
com;23
mais;656
on;1651
doit;168
hé;330
jeunot;4
tu;3348
t;1053
es;530
levé;7
bien;1056
tôt;12
ouais;658
j;1610
ai;1283
un;2297
rendez;22
vous;1683
donc;146
super;118
joyeux;15
anniversaire;29
mon;718
grand;74
ok;300
je;5105
vais;343
aller;205
prendre;107
petit;148
déjeuner;11
aime;145
tant;45
veux;553
que;2954
passes;5
une;1361
merveilleuse;2
journée;53
quoi;882
qu;1378
il;1728
arrive;88
maman;48
le;2846
zombie;4
s;529
est;4468
avant;110
midi;12
idiot;37
kyle;7
as;739
souhaité;2
à;1776
ton;361
frère;39
a;1519
ans;88
vit;17
chez;88
ses;77
parents;50
et;1951
porte;54
tablier;5
au;482
travail;45
cet;63
n;891
rien;281
de;3831
papa;64
arrête;48
charrier;3
feu;40
déclenché;4
hier;35
famille;39
personnes;17
y;783
pas;3258
survécu;2
c;2719
4ème;4
suspect;6
en;1426
semaine;38
la;1917
police;28
aucun;24
était;472
enveloppe;6
stanford;6
vue;18
eu;107
des;819
nouvelles;19
lettre;11
refus;4
comment;305
possible;18
sam;697
même;211
allé;24
l;1634
université;12
si;658
pendant;65
mois;31
très;413
fier;19
lui;357
pour;1299
avoir;215
essayé;50
juste;476
donnait;5
envie;55
dormir;23
bonjour;62
mme;18
o;15
monsieur;52
m;574
fais;268
mec;241
crois;156
ce;1925
meilleure;18
du;624
pays;9
ça;1879
nul;18
honte;22
faire;624
communautaire;2
k;5
fed;2
failli;20
alors;357
quelque;234
chose;320
prévu;17
fêter;5
trop;127
extravagant;2
allez;355
dois;254
dehors;25
te;872
lâcher;4
fois;156
ta;261
façon;45
penser;27
dis;159
devrait;67
voiture;107
héro;5
tuer;113
prostituée;8
vegas;15
dire;448
être;620
désagréable;2
avec;677
ne;1393
tuerai;8
jamais;208
se;365
passe;82
euh;89
bonne;133
penses;98
ils;288
font;34
encore;142
préparer;7
coma;2
éthylique;2
qui;685
fasse;24
hospitalier;2
non;969
plus;463
porter;19
vêtements;11
résistants;2
vomi;5
va;547
les;1223
fous;30
soir;114
brickhouse;2
où;283
toujours;159
pourquoi;348
avais;115
tes;120
dieu;205
moins;54
veuilles;4
bizarre;76
mes;157
oh;514
oliver;33
sont;236
bizarres;8
peut;419
raison;111
été;150
bon;294
parce;224
vrai;131
fait;678
après;104
suis;805
revenu;15
ici;256
depuis;84
vraiment;419
d;1588
là;469
dans;639
oui;341
transformer;10
magasin;34
topless;3
préfères;3
acheter;21
matos;4
isolation;2
quelqu;128
habits;5
ou;205
trouve;55
vache;11
regarde;145
chien;27
meilleur;36
soit;117
devrais;80
sortir;95
côté;33
attends;167
marrant;30
savoir;68
peux;462
changer;19
demande;41
andi;259
elle;701
vient;45
saoule;3
voir;214
film;33
toi;568
tard;46
ami;94
veut;147
sais;785
puis;43
son;225
père;110
mort;110
triste;23
ca;141
comme;432
aurais;87
air;123
con;22
remise;5
intelligente;8
mignonne;6
bosse;12
endroit;70
pourri;10
losers;2
moi;815
déduis;2
difficile;10
exactement;37
utilise;16
avantage;6
aperçoive;2
apercevoir;2
plaintes;2
propos;37
toilettes;26
rappelle;19
elles;49
séparées;2
par;270
sexe;19
sans;71
celle;30
femmes;35
laissé;22
énorme;22
wysocki;17
gentil;29
joindre;6
seulement;27
minutes;26
retard;16
cette;304
quel;107
honneur;10
merci;316
bizuter;2
étudiante;2
médecine;3
fête;65
pouvez;71
taire;3
essaie;38
écouter;6
cours;42
important;29
ted;124
plupart;7
entre;54
nous;412
débrouillent;2
concours;13
vente;4
excepté;5
certains;6
préfèrent;2
passer;63
leur;46
temps;172
bongs;2
bière;44
allusion;3
chef;16
prends;69
serpent;2
affût;2
herbe;4
prêt;48
mordre;3
sens;73
viens;99
oubliez;9
gagnant;12
recevra;3
jambon;13
kg;3
juif;2
connard;6
chèque;2
cadeau;39
nos;38
employés;7
sémites;2
musulmans;2
besoin;232
ouvre;32
ma;349
présence;4
nerveuse;2
espère;33
demain;38
jour;68
repos;10
vas;227
mal;134
samedi;14
aussi;170
rester;35
assise;2
bibliothèque;3
examen;2
psychologie;3
ennuyante;3
me;849
réveiller;3
habiller;6
jouer;22
x;4
box;2
mets;32
coup;57
poing;5
maintenant;259
paie;9
regardes;6
télévision;4
nom;54
travers;15
attitude;4
cesser;3
compris;33
ventes;5
gens;103
agit;19
respecter;4
soi;6
continuer;12
laisser;72
bercer;2
etabli;2
sursis;6
vis;9
regardais;6
émission;2
faisait;12
peur;63
ces;164
trucs;53
peuvent;27
attention;38
vu;143
personne;121
bombe;5
peu;260
quand;243
bébé;91
coincé;12
sous;61
mère;116
soulève;2
grâce;6
montée;3
adrénaline;9
bruce;3
banner;2
truc;130
touché;14
loin;20
pensée;8
1ère;2
aujourd;45
hui;45
prend;26
étais;125
censé;33
bouger;9
faute;25
cause;20
sock;254
sauvé;18
vie;175
batman;6
tout;656
probablement;49
voitures;9
mamans;3
courageux;6
part;52
écoute;120
occupée;1
pensais;80
désolé;216
pars;9
salut;151
petits;20
chiens;12
bons;11
aide;61
courez;11
salopes;4
malade;26
rentre;21
apprécié;2
passé;90
bas;49
dedans;52
climatiseur;3
héros;15
voulez;92
voler;30
pick;2
up;2
voleur;2
diable;388
appelle;58
ambulance;4
sammy;106
attendais;12
pense;243
deviens;8
fou;25
mauvaise;21
voyons;22
pourchassé;2
meute;2
bougé;3
final;6
assis;15
sûrement;39
dû;54
longtemps;37
naissance;12
avons;52
vendu;37
âme;308
venu;34
offert;8
cure;2
échange;14
prendrait;6
notre;101
1er;4
enfant;12
dit;297
aura;42
enfants;24
an;11
dr;13
burke;4
stérile;2
inquiéter;6
sauf;18
avait;96
perdu;32
argent;82
jouant;2
aux;74
cartes;7
payé;15
dettes;2
doc;2
mensonge;8
appris;12
enceinte;10
aimerais;40
pouvoir;35
pardonner;5
pourrais;84
commencé;9
finir;14
paies;3
tienne;5
presque;32
sûr;151
mégot;2
celui;49
faut;95
parle;71
laisse;94
secondes;4
autre;166
tournée;9
dégénérés;2
regardez;49
fille;89
bureau;33
avocat;17
général;6
amis;81
adolescent;2
déteste;37
rouliez;2
pelles;2
étiez;22
mignons;3
ensemble;53
auriez;9
rompre;12
obligé;11
car;20
découvert;7
problème;125
sérieux;48
sérieusement;11
regarder;29
mien;11
ont;147
point;54
bourré;8
complètement;45
sobre;3
espèce;13
chanceux;5
cool;90
arrivé;34
craint;13
parles;28
voulais;107
changement;5
souhait;3
exaucé;3
gars;160
magique;9
techniques;3
kung;2
fu;3
monstre;34
sortirait;6
forcer;5
démon;89
excuse;14
accord;651
mentionne;2
joli;39
gai;2
ecoute;38
comprends;65
choisi;9
pètes;2
plomb;4
steak;3
poulet;9
frit;2
content;50
artères;2
goûter;5
enfer;222
travailler;31
sur;394
terre;36
devoir;27
wahou;12
sacré;13
pessimiste;2
tueras;2
ramener;20
âmes;66
échappé;19
chasseur;22
primes;13
root;2
beer;2
attendez;61
seconde;25
échapper;9
récent;3
devenu;8
surpeuplé;2
honnêtement;8
préparé;6
flux;2
nouveaux;8
venus;8
responsable;23
retrouver;13
fugitifs;2
portail;18
vers;20
facile;26
importe;78
véhicules;6
motorisés;6
union;2
street;3
dépose;5
fugitif;8
renouvelle;2
permis;10
pratique;3
finit;6
inquiète;22
gagne;12
feras;15
faveur;19
humanité;5
remettant;2
criminels;7
doivent;7
voilà;99
incendie;10
criminel;3
tous;167
incendies;4
ville;50
derniers;13
déclenchés;2
pompier;16
pyromane;6
vois;162
ironie;4
citoyen;2
modèle;3
retourner;32
déjà;86
capturé;7
tue;20
obsession;3
meurtres;3
capturer;30
ceci;10
aider;100
contenant;132
main;48
entrailles;9
trahison;5
injustice;8
abject;6
oubliais;2
élève;4
serais;39
votre;138
noix;3
prendrai;6
refuses;4
sera;94
perdue;5
dame;11
réfléchis;11
scotch;6
dangereux;12
têtes;3
démons;54
dessus;38
existe;11
type;57
clochard;6
portait;3
costume;20
transformé;2
nuit;68
télékinésie;6
admettons;2
aies;26
effectivement;3
rencontré;22
satan;23
posséder;5
vendre;15
mythes;2
disent;12
donné;42
homme;64
liberté;11
choix;34
impossible;17
donner;48
bla;10
dirt;2
devil;3
retire;9
mini;5
aspirateur;5
disait;7
foutait;2
gueule;16
vend;4
rayon;9
affaire;31
plan;42
allumer;3
adore;53
allons;102
dites;26
contre;55
fini;73
marche;42
ben;209
blessé;14
visage;30
sentir;16
souvenirs;14
voudrait;19
sourcils;7
donne;59
seul;72
su;11
appelée;5
travaillait;4
projet;11
hum;12
napalm;2
dur;45
expliquer;13
compliqué;8
loser;4
culpabilise;4
mentir;16
occupe;28
cramer;5
approche;3
retourne;19
caserne;6
mettre;56
fin;21
couches;4
place;39
venir;56
chercher;47
normale;12
vouloir;16
traiter;6
normalement;4
nouveau;51
heureuse;12
hockey;5
beaucoup;97
agression;4
tonnes;5
sang;24
quelle;50
équipe;10
préférée;5
avez;184
emmener;18
choses;60
fonctionnent;2
utile;8
cartonne;2
devriez;19
trouver;80
autres;51
souvent;11
hein;120
abandonner;8
compliquent;2
chemin;19
résistance;5
raté;15
jettes;3
éponge;3
enquêterais;2
abord;27
cherche;14
motifs;3
fout;17
brûler;5
vivant;25
minute;16
alcoolique;3
battait;3
sa;127
femme;53
rempli;5
contrat;55
voie;7
pressentiment;3
sache;15
accepte;15
échec;8
blaireau;2
promener;3
continues;4
meurent;5
compte;50
connais;51
personnellement;4
souviens;29
ricky;6
schumer;4
lycée;9
mis;42
gymnase;4
retournait;2
arrêt;13
adorais;2
demandé;20
brûlait;2
arrêtaient;2
reconstruire;3
information;7
douches;2
brûle;4
mêmes;10
endroits;14
découvrir;8
accéder;4
dossiers;4
cruel;5
croire;53
sois;64
piles;7
ordonnance;3
restrictive;2
partie;45
revoir;22
arrêté;11
prostituer;2
arrêtes;5
supermarchés;2
suffit;16
feux;5
