Mot;Occurrence
the;4153
projet;1
sg;1
team;34
i;7691
presents;3
transcript;14
golgi;3
herb;1
linwelin;1
timing;7
proofreading;1
season;16
episode;13
pilote;1
v;3
don;1044
t;2177
say;247
anything;172
but;634
we;1555
have;1001
to;3818
hey;498
tiger;6
look;456
at;470
you;7622
up;606
early;11
yeah;1002
just;1165
got;531
this;1551
meeting;28
great;201
happy;74
birthday;19
buddy;72
m;1366
gonna;559
eat;46
some;269
breakfast;4
love;197
so;958
much;127
want;509
a;3329
wonderful;16
day;125
no;1240
matter;41
what;1997
happens;21
ok;871
mom;97
right;1254
good;519
zombie;3
s;3586
before;117
noon;3
re;1173
an;253
idiot;33
kyle;5
wish;28
your;966
brother;33
guy;243
lives;21
with;822
his;284
parents;40
and;1897
wears;4
apron;5
there;585
in;1284
that;2776
tease;2
fire;47
broke;26
out;788
last;94
night;117
killing;18
family;42
of;1662
it;3130
4th;1
suspicious;1
blaze;1
week;43
arsonist;3
again;114
is;1539
suspected;2
was;779
envelope;4
for;1094
stanford;3
saw;63
yesterday;6
heard;44
from;266
rejection;2
letter;11
how;472
possible;16
sam;802
didn;232
even;163
go;681
college;23
yes;225
he;1104
did;377
month;16
very;163
proud;18
him;543
trying;111
made;119
sleepy;2
morning;25
mrs;17
o;26
mr;62
boy;52
guess;87
sweat;6
man;304
only;125
fourth;4
best;49
university;2
us;237
suck;22
shame;11
community;6
k;7
fed;4
almost;43
went;56
big;96
plans;16
boys;37
oh;635
nothing;120
too;174
crazy;76
come;482
on;1143
ve;262
gotta;139
cut;32
loose;7
age;1
once;45
like;764
thinking;56
dad;116
all;1178
get;780
car;117
smack;2
kill;113
hooker;6
vegas;12
mean;348
patronize;1
ll;530
never;190
hell;321
going;364
think;570
they;409
still;113
do;1129
saying;35
better;115
prepare;3
alcohol;1
poisoning;2
hospital;12
grade;11
mind;64
wear;17
puke;1
resistant;1
clothing;2
getting;72
silly;8
tonight;72
my;1219
are;896
brick;3
house;72
where;249
always;98
why;370
would;291
plan;44
god;209
unless;17
weird;88
oliver;32
exactly;49
stick;12
cause;72
well;546
true;43
when;249
dropped;9
came;56
here;661
been;196
since;38
sixteen;1
really;458
wanna;96
be;848
years;75
ten;2
because;212
eventually;10
turn;44
into;157
topless;2
work;229
bench;94
rather;10
buy;29
insulation;1
somebody;53
wearing;24
clothes;12
or;211
looking;58
me;1593
as;216
if;482
holy;12
crap;35
dog;30
ever;134
maybe;232
side;22
hold;70
know;1315
can;968
change;44
ask;80
andi;303
her;444
drunk;10
movie;32
window;11
closed;7
friends;90
she;623
wants;49
try;65
then;211
died;32
sad;21
jump;6
after;82
dick;12
two;76
ago;38
over;194
digs;2
smart;14
hot;52
goes;28
works;25
shack;4
loosers;1
tells;2
top;20
head;66
low;10
standards;3
use;53
advantage;3
figures;5
will;254
telling;38
complaints;3
about;618
bathrooms;1
may;45
remind;6
separeted;1
by;180
gender;1
reason;21
women;29
washroom;1
left;42
massive;7
nice;147
join;7
minutes;24
late;27
time;306
honored;2
thank;236
won;78
thanking;2
hazing;1
sorority;1
chick;19
shindig;1
zip;3
hear;64
ted;130
important;33
lecture;4
see;353
most;33
doing;189
sales;4
contest;20
except;15
select;2
few;35
who;280
their;43
spent;10
constructing;1
beer;45
bogs;1
referring;3
biding;1
snake;3
grass;1
ready;52
pounce;2
does;146
nt;1
make;217
any;173
sense;27
said;115
forget;40
winner;7
receives;1
free;52
pounds;4
spiral;2
ham;8
jewish;1
jerk;19
gifts;4
certificate;4
our;153
semitic;1
muslim;1
them;121
present;19
open;65
front;22
gives;11
gift;25
giving;17
anxiety;2
hope;41
off;191
tomorrow;38
hurting;4
saturday;9
sitting;10
library;2
working;50
apsych;1
paper;9
being;87
lame;7
also;44
sleeping;11
waking;1
dressed;9
xbox;1
need;340
punch;11
face;58
now;506
pay;35
watch;54
television;2
name;67
tag;6
crooked;4
attitude;3
thing;249
has;119
stop;122
people;144
bud;6
not;1023
self;13
respect;14
keep;94
skateboarding;1
thrugh;1
life;156
anymore;46
notice;12
says;45
live;51
watching;16
show;64
scary;8
those;100
things;76
croak;1
anybody;38
something;262
wicked;7
baby;113
stuck;14
under;22
bus;3
pumped;8
adrenaline;4
lifts;1
proved;2
than;108
touch;22
far;16
away;110
moved;11
first;97
happening;15
today;67
were;236
supposed;58
move;58
sorry;274
sock;302
saved;16
batman;5
definitly;1
one;463
means;47
neither;4
brave;7
listen;155
busy;14
could;238
bad;115
idea;86
doggies;2
help;191
run;52
bitches;6
measly;1
lazy;8
horde;1
tell;290
sick;32
home;70
air;14
conditioner;4
hero;14
carjack;2
carjacking;10
escalade;1
carjacker;3
am;207
devil;411
call;104
ambulance;5
sir;45
sammy;137
waiting;21
might;114
insane;10
let;481
chased;3
pack;4
dogs;6
tried;42
overall;2
sit;21
down;187
probably;96
should;182
told;85
long;82
born;16
sold;34
soul;324
offered;4
cure;1
exchange;4
take;279
turned;16
thought;129
fine;121
children;11
year;30
later;42
dr;10
burke;2
infertile;1
worry;50
turns;10
old;79
had;195
bit;63
gambling;8
problem;97
paid;13
debts;1
doc;2
little;373
lie;17
next;84
pregnant;8
forgive;12
started;21
whithout;1
finishing;1
buying;13
sure;154
cigarette;2
butt;5
talk;166
hang;42
shit;1
give;184
seconds;4
alright;10
thanks;103
round;11
shot;34
these;136
degenerates;1
district;3
attorney;6
office;29
booze;5
living;28
guys;328
making;39
stuff;76
cute;19
together;59
shouldn;20
broken;10
actually;136
found;65
used;41
dude;67
friend;74
bathroom;14
happened;83
serious;20
okay;49
seriously;38
junk;6
totally;55
sober;2
conditionner;1
believe;132
lucky;24
bastard;11
cool;89
isn;91
sucks;14
doesn;115
whatcha;2
talking;87
wanted;115
check;52
granted;4
magic;23
kung;1
fu;2
grip;2
knows;39
freak;16
excuses;4
leave;56
gay;10
deal;103
choose;9
fair;22
nobody;36
blaming;1
freaking;4
