Mot,Occurrence
i,8048
you,7731
je,7009
de,6348
the,5923
le,5857
vous,5795
est,5693
a,5245
pas,5008
to,4565
s,4486
que,4134
il,3892
la,3763
tu,3705
et,3682
ne,3522
un,3280
à,3181
me,3172
it,3095
t,2936
c,2928
on,2873
l,2841
robin,2706
and,2605
les,2540
nous,2515
ce,2453
pour,2371
en,2330
we,2170
n,2156
is,2109
of,2088
d,1951
des,1878
j,1865
une,1859
he,1838
what,1828
that,1801
ça,1761
ai,1722
moi,1690
qu,1646
m,1605
this,1579
my,1463
non,1455
bien,1449
have,1443
in,1430
will,1428
your,1400
do,1400
si,1383
not,1372
for,1365
no,1357
be,1348
mon,1275
him,1255
as,1155
du,1148
shérif,1132
y,1121
re,1042
mais,1026
are,1024
suis,1016
au,979
qui,974
can,972
ils,951
être,927
faire,924
plus,886
votre,857
know,855
oui,853
there,852
get,840
dans,831
ll,825
te,821
if,821
elle,817
avec,808
don,803
tout,796
all,796
was,794
come,793
lui,787
with,786
fait,776
here,771
gisbourne,769
quoi,769
sheriff,765
they,753
go,753
toi,741
allez,734
now,728
roi,727
ve,722
much,716
ici,716
marianne,713
but,711
well,701
so,697
nottingham,694
hood,661
était,656
là,646
où,631
alors,624
peut,624
va,613
avez,607
right,606
se,598
oh,598
pourquoi,579
peux,575
sais,573
just,573
jean,566
guy,565
gisborne,562
bois,553
ma,552
dit,550
maintenant,547
out,546
his,543
good,541
sont,541
comme,534
par,530
locksley,527
son,523
let,520
she,520
us,516
marian,507
them,504
back,493
think,490
homme,488
king,486
one,484
like,479
yes,478
quand,472
es,472
then,472
up,468
prince,463
john,463
veux,461
would,444
how,437
rien,435
going,434
want,431
about,427
dire,427
dois,423
ton,422
comment,420
man,420
sur,418
tous,415
chose,411
hommes,410
need,407
why,406
bon,405
from,403
her,403
where,402
besoin,401
did,400
take,396
êtes,390
at,389
allan,389
see,386
who,384
mes,382
ont,380
notre,375
cette,373
très,370
fais,367
même,365
ou,364
père,364
vraiment,360
time,359
jamais,356
mort,351
an,350
got,345
when,344
tuer,340
way,338
could,338
make,337
or,337
tell,329
argent,327
juste,325
sera,325
our,323
has,319
look,318
avons,316
ces,315
doit,315
djaq,314
voir,309
avoir,306
temps,304
vie,304
help,303
men,301
aussi,294
been,293
kill,291
pense,291
merci,291
été,290
quelque,290
sûr,288
sa,287
vais,285
more,283
toujours,282
chance,276
vos,274
by,274
people,273
deux,271
gens,271
were,271
ta,271
give,270
am,269
find,268
leur,264
should,261
must,260
aime,253
say,253
sommes,253
encore,253
cela,251
yeah,251
aller,250
autre,249
seigneur,248
château,247
loi,247
stop,242
veut,242
femme,242
nuit,239
ami,238
crois,237
very,236
something,235
father,233
petit,233
mourir,233
little,232
never,229
allons,228
plan,227
doing,227
laissez,227
sire,226
avant,226
sans,225
vu,224
had,222
richard,222
really,221
because,221
désolé,219
please,217
too,217
terre,216
hors,216
trop,216
dis,215
ses,214
faites,213
isabella,213
angleterre,212
die,210
ah,207
plaît,207
lardner,207
kate,206
dead,206
down,203
maître,203
aux,202
off,201
sorry,199
camp,199
aide,199
only,198
nothing,198
quel,195
déjà,194
personne,193
mieux,192
fois,192
vas,191
lord,190
some,190
thought,189
gardes,187
cet,187
thank,187
castle,185
avais,184
sir,183
forêt,182
sainte,181
love,180
vrai,180
autres,179
money,179
life,177
étais,177
said,177
aurais,177
vite,177
partir,175
mère,174
better,174
pensais,173
mal,171
jour,170
devons,170
peu,170
soit,169
won,168
told,167
wait,167
leave,166
still,166
away,165
friend,165
any,165
raison,165
didn,165
day,165
these,165
parce,162
their,162
quelqu,161
place,161
accord,160
does,160
ouais,160
nom,160
dieu,158
tes,158
before,157
village,157
long,155
donc,155
aider,154
part,154
seul,153
dites,153
nos,152
sure,152
parler,151
voilà,151
mean,151
after,149
pu,149
avait,149
savez,148
done,148
home,147
puis,146
brother,144
toute,144
than,144
dû,144
bonne,143
monde,143
veilleur,143
frère,142
pouvez,142
hui,141
aujourd,141
trouver,139
ceci,139
laisse,139
viens,138
voulez,138
amis,138
two,138
again,138
pourrais,138
eu,137
into,137
sait,136
coming,134
stay,134
message,134
laisser,134
fille,133
sauver,133
land,133
fils,132
every,131
keep,130
over,130
attendez,130
maison,130
moment,129
contre,129
mine,129
retour,128
believe,128
england,128
taxes,128
holy,127
tant,127
arrive,126
vois,126
pensez,125
grand,125
isn,125
cannot,125
moins,125
work,125
forest,124
car,124
guards,124
assez,123
henry,123
tué,122
arrêtez,122
last,122
everything,121
anything,121
sous,121
put,121
first,120
devrais,120
eh,120
always,120
made,119
demain,119
might,118
enough,118
chaque,117
donne,117
famille,117
reste,116
sortir,116
ready,115
thing,115
killed,115
mother,115
prendre,114
bring,114
dame,113
seule,113
save,113
own,112
team,112
faut,112
woman,111
idée,111
ever,111
knew,110
ur,110
pourrait,109
hein,109
tuck,108
sub,108
connais,108
choses,108
even,108
pouvoir,108
passe,107
pauvres,106
master,105
savais,105
name,105
ã,105
aurait,105
passer,105
feu,105
quelle,104
guerre,104
run,103
gone,103
move,103
being,102
those,102
porte,102
yourself,102
trust,101
shall,101
today,101
savoir,101
après,101
pris,100
serait,100
jusqu,100
travail,99
quelques,99
façon,98
regarde,98
bas,98
confiance,98
prenez,98
lady,98
eau,98
wood,97
entendu,97
nouveau,97
vont,96
through,96
doesn,96
donné,96
prends,95
wrong,95
devrait,95
together,94
course,94
boy,94
wants,94
other,94
combien,93
venez,92
rester,92
attends,92
show,92
poor,92
kiry,92
point,92
depuis,91
gonna,91
entre,91
hold,91
seen,91
regardez,91
cause,91
paix,90
penses,90
fight,90
god,90
garçon,89
listen,89
things,89
fini,88
ainsi,88
eux,88
alice,88
once,88
garde,87
bébé,87
poison,87
ensemble,87
new,87
voyez,86
cheval,86
venu,86
ni,86
old,86
dernière,85
vérité,85
parle,85
live,84
leurs,84
friends,84
talk,83
food,83
choix,83
feel,83
yet,82
devez,82
enfants,82
may,82
venir,82
médecin,82
family,82
chez,82
tard,82
many,82
understand,81
importe,81
maybe,81
carter,81
roger,81
attention,81
remember,80
speak,80
left,80
pacte,80
pact,80
attendre,80
arrête,80
until,79
main,79
ring,79
night,79
nourriture,79
wouldn,78
peuple,78
another,78
route,78
aura,78
true,77
use,77
edward,77
hang,77
bague,76
important,76
arrêter,76
majesté,76
great,75
else,75
dan,75
trouve,75
semble,75
nightwatchman,75
death,75
fire,75
perdu,75
knows,75
simple,75
heard,75
erreur,75
peur,75
hope,74
manger,74
hey,74
secret,74
croire,73
matthew,73
haven,73
petite,73
donner,73
pay,73
ceux,73
compris,73
marry,73
jours,72
pouvons,72
ferai,72
comte,72
trois,72
archer,72
