Mot;Occurrence
sous;35
titres;3
sub;55
wood;53
team;63
scarhand;31
kiry;36
episode;29
parent;2
hood;577
good;517
idea;67
roy;22
do;1334
we;2104
like;466
it;2948
i;7000
bet;5
fantastic;1
yeah;245
very;230
funny;48
see;370
you;7392
mind;55
here;737
gotta;8
keep;120
the;5642
nag;2
right;569
a;3423
this;1513
is;2029
destrier;1
warhorse;1
of;2002
finest;5
pedigree;1
course;91
my;1400
friend;162
deserve;21
much;457
not;1318
be;1300
so;667
easily;13
wounded;19
oh;403
have;1380
then;452
if;789
re;964
gonna;89
cry;11
about;414
am;257
crying;18
what;1711
mean;146
know;805
but;681
s;3617
boy;88
rode;2
straight;27
past;14
could;325
ve;690
trampled;1
where;387
its;27
mother;108
baby;53
cold;11
long;129
gone;97
can;921
stop;195
him;1175
that;1737
how;414
shut;55
em;13
up;438
come;763
on;1657
leave;163
let;487
go;721
t;2163
just;550
whatcha;2
with;759
outlaws;55
wet;8
nurses;2
did;382
ask;66
me;2268
he;1743
lucky;38
to;4346
alive;56
there;806
hoofprints;2
everywhere;16
no;1289
noise;3
movement;1
look;309
at;369
these;157
they;735
marked;5
gisborne;523
fool;53
looks;46
ll;786
track;7
us;490
clever;24
admit;13
didn;152
think;468
m;976
being;98
shouldn;38
moving;18
already;61
master;99
believe;120
in;1370
harming;1
man;399
or;288
beast;3
vermin;3
other;90
hand;59
trying;60
get;809
sleep;32
catch;23
robin;1513
got;328
horses;37
were;265
tracked;2
john;440
sorry;193
going;407
nottingham;412
news;42
from;379
village;101
clun;42
new;86
outbreaks;1
for;1310
fortnight;2
pestilence;16
whatever;34
was;755
lift;14
quarantaine;18
feed;29
survivors;1
well;673
people;255
are;983
grubby;1
great;74
unwashed;2
low;6
taxes;64
high;9
moaning;1
remains;2
must;254
fed;10
will;1207
die;199
marianne;222
sweet;22
dear;29
understand;80
incapable;3
after;144
themselves;15
nanny;1
them;490
would;431
allow;21
their;159
agree;20
conundrum;2
another;76
whom;5
tax;35
pay;71
food;76
hopeless;2
mmh;8
rob;10
peter;1
paul;3
simpler;4
place;113
and;2503
one;463
two;133
weeks;7
say;248
has;300
been;285
cleansed;2
may;78
house;47
garrison;8
cannot;122
healthy;2
barbaric;2
became;7
known;20
delib;1
interesting;23
fire;74
your;1345
belly;5
reason;30
