Mot,Occurrence
i,4283
you,3143
je,1951
a,1862
to,1552
s,1488
the,1483
t,1392
it,1385
est,1343
pas,1293
tu,1218
de,1216
that,1211
and,1116
on,991
me,986
que,929
m,926
c,914
j,888
le,802
un,788
et,787
no,779
oh,765
what,746
à,687
just,663
know,659
ai,656
ça,656
is,612
la,609
of,597
my,578
il,566
vous,559
l,553
in,548
have,544
not,541
we,538
this,530
en,514
so,494
ne,484
une,482
d,477
don,475
ce,468
re,459
was,449
pour,448
for,439
les,438
do,421
qu,412
your,411
can,402
okay,400
be,399
like,380
he,376
non,369
as,369
with,361
yeah,354
but,341
are,335
moi,334
n,332
all,320
get,318
well,315
suis,312
mais,310
si,307
she,305
elle,305
des,298
right,297
avec,293
up,286
mon,284
want,282
quoi,278
qui,275
être,274
go,273
te,268
if,263
here,261
y,260
gonna,258
bien,258
out,255
todd,249
about,247
one,244
there,244
dans,238
they,232
mean,229
sais,227
toi,226
look,224
really,224
oui,221
sam,219
at,213
plus,211
faire,209
him,203
now,201
fait,199
veux,198
ll,197
tout,194
comme,194
because,190
come,190
see,185
think,183
hey,182
ma,182
était,180
peux,179
her,176
du,175
why,172
là,171
good,167
when,167
es,167
how,166
au,166
who,164
peut,163
juste,161
car,157
lui,157
did,154
then,153
got,148
andrea,144
ton,143
va,142
samantha,141
quand,140
vraiment,140
sorry,139
pourquoi,138
ok,137
were,136
am,136
tony,135
god,135
vais,135
sur,135
ve,133
uh,133
se,130
dire,129
back,129
yes,125
would,124
dit,123
an,121
font,117
didn,117
had,117
merci,117
cette,117
or,116
let,115
need,114
doing,114
where,114
owen,114
some,113
going,113
avoir,112
from,112
um,108
time,107
maybe,107
something,107
étais,106
could,105
où,105
ils,104
newly,103
alors,102
toujours,102
job,101
take,100
little,100
people,99
rien,98
même,96
dena,96
tell,95
nous,95
say,95
maintenant,93
love,92
ta,92
over,92
désolée,92
fais,92
donc,92
frank,91
should,91
très,90
wait,90
bon,88
guy,87
ici,87
please,87
voir,86
make,86
been,86
comment,85
mom,85
dois,85
us,84
will,84
by,84
thank,83
off,82
dieu,82
night,81
thing,81
never,80
jamais,80
aime,79
ou,79
aussi,79
his,78
even,78
said,78
too,77
encore,76
son,75
dane,75
two,74
votre,74
much,73
voulais,72
mère,71
mes,71
way,71
again,71
avais,70
allez,70
trop,70
life,70
wanted,70
aller,69
chose,69
has,69
peu,69
still,69
our,68
very,68
besoin,68
give,68
day,68
par,68
down,68
first,68
veut,67
huh,66
cause,66
more,66
always,66
salut,66
aurais,65
things,64
déjà,64
work,64
funk,64
vie,64
great,64
vois,63
ces,63
vas,62
vrai,62
gay,62
color,62
fine,61
thought,61
new,60
help,60
stop,60
eu,60
into,60
guys,59
regarde,59
sont,59
only,58
house,58
autre,58
sure,58
com,58
hein,57
temps,57
friends,57
does,57
bad,56
howard,56
call,56
été,55
doesn,55
anything,55
sa,55
fois,54
keep,54
them,54
viens,54
these,54
those,54
notre,54
feel,53
any,53
every,53
dis,53
better,53
crois,53
maman,53
hi,53
regina,52
sans,52
pense,52
mother,52
someone,51
away,51
super,51
might,51
avant,50
deux,50
kind,50
www,50
parce,50
personne,49
