Mot;Occurrence
nous;95
devons;1
tous;41
quitter;2
le;800
nid;1
à;687
un;787
moment;22
pour;446
moi;334
il;566
y;240
en;513
a;489
eu;60
deux;50
après;39
an;9
passé;31
chez;34
mes;71
parents;16
me;343
remettre;4
de;1214
mon;283
amnésie;9
j;884
étais;106
prête;16
soit;33
déployer;1
ailes;1
et;787
m;274
envoler;2
ou;79
écraser;3
au;165
sol;8
être;274
engloutie;1
par;67
serpent;3
papa;42
tu;1218
pourrais;30
lâche;4
la;609
frank;32
veillez;1
ce;468
qu;412
elle;305
utilise;3
des;298
préservatifs;1
je;1951
suis;312
ai;656
propre;12
appart;10
vous;559
croyez;4
peux;179
faire;209
que;928
veux;198
chanter;3
balader;1
nue;5
apprendre;6
l;550
art;3
du;175
pourboire;2
tant;27
êtes;40
adore;24
cette;117
chanson;6
téléphone;14
as;274
dit;123
déménageais;1
c;911
est;1343
cas;11
vais;135
visiter;2
quelques;18
appartements;2
t;387
es;167
sûr;45
essaies;4
pas;1292
gagner;10
temps;57
croyant;1
changer;17
d;380
avis;9
si;307
oui;221
pense;52
notre;54
relation;15
va;142
devenir;7
bizarre;13
baies;2
vitrées;1
ça;656
air;24
sympa;18
chérie;18
rentrée;3
plus;199
mince;8
partie;16
heures;10
lessive;2
besoin;68
ta;92
spatule;4
todd;101
utilisé;2
mienne;4
enlever;6
cheveux;11
dans;238
les;438
tuyaux;1
faites;22
quoi;278
on;570
s;178
entraîne;1
concours;4
danse;8
semaine;17
prochaine;7
aviez;3
quel;31
âge;2
pur;2
look;1
était;180
année;13
passée;5
sert;3
entraîner;2
regarde;59
howard;18
là;171
jeu;13
jambes;3
précis;2
trouve;12
assure;4
assez;19
battre;7
paula;8
drake;9
oh;154
comprends;30
maintenant;93
toujours;102
rivalité;1
avec;293
son;71
suffisant;1
bat;1
tout;194
tulipes;2
cuisine;3
aussi;79
sa;55
fille;41
docteur;5
mariée;8
enfants;17
toi;226
célibataire;5
sans;52
emploi;3
ton;142
coma;8
dû;32
réapprendre;1
éplucher;1
une;482
orange;2
réussi;7
jour;37
doit;29
encore;75
répéter;3
sinon;9
gagnera;2
jamais;80
3e;3
gagne;5
set;2
tournevis;1
utile;5
hé;10
tes;46
récitals;1
collège;1
avez;45
enregistré;1
sur;135
récital;1
fallait;6
savoir;39
voudrais;5
revoir;17
chaque;26
fois;54
enregistre;1
oprah;4
devrais;38
penser;11
sam;76
pourrait;30
amnésique;11
voudra;3
peut;163
première;12
fête;12
anniversaire;10
dansais;1
vouloir;16
vanter;1
déchire;3
merveilleuse;3
tiens;10
touche;3
ma;174
cuisse;1
dure;3
comme;194
pierre;1
vas;62
tard;22
pourquoi;138
rien;98
pointé;3
qui;275
allait;10
vie;64
mais;310
seul;11
talent;2
personne;49
n;321
parle;23
voulait;13
prennes;1
grosse;3
tête;15
chasse;1
aux;37
apparts;1
posé;2
pièges;1
irai;3
voir;86
demain;25
vois;63
clair;7
intention;1
chercher;10
comptes;3
squatter;2
cherchais;3
ok;128
devais;14
payé;6
photos;16
mariage;28
aime;79
épreuves;1
te;266
payer;14
fais;92
laissé;14
messages;5
sais;227
avocate;6
passe;29
bureau;12
dirai;3
viens;54
dire;129
avais;70
argent;24
bête;7
pleurer;8
virer;9
devrait;19
reprendre;5
chacune;3
nos;18
trucs;23
avant;50
aller;69
porte;31
papier;4
vient;16
retourne;6
ville;16
grande;8
fait;199
bon;88
travail;18
merde;6
aurais;65
mettre;26
soutien;4
gorge;4
mets;9
rouge;8
lèvres;4
némésis;2
repaire;1
souterrain;1
savais;15
ici;87
achètes;2
bonjour;30
samantha;42
lésions;2
cérébrales;2
mieux;49
regina;17
vu;45
réinscrite;1
exact;2
ailleurs;4
allons;15
détrôner;1
charlie;2
bien;258
chandler;1
désolée;92
invitée;7
bref;10
malgré;1
leurs;11
nombreuses;1
défaites;1
newly;58
abandonnent;1
sont;59
perdants;2
dégonflés;1
ils;104
non;369
entendu;12
bonne;39
place;8
moins;36
perdre;7
ne;484
vit;7
pâtée;1
exactement;10
partenaire;2
excellente;4
femmes;12
peuvent;12
danser;12
ensemble;42
grâce;6
ces;63
charmants;1
avocats;2
homos;3
viennent;2
emménager;2
monde;38
change;2
voulez;23
larmes;2
car;107
genoux;3
sera;18
tripé;1
où;105
pelé;1
traduction;9
iwry;3
jesshalliwell;6
valpi;8
relecture;7
resynchro;6
saison;20
épisode;19
i;215
so;1
think;1
can;1
dance;1
pris;22
attaqué;1
famille;25
soudainement;2
devenue;6
chatte;1
mère;71
chaton;1
python;1
avaler;1
faut;47
mange;9
chatons;1
surprenant;1
compétition;5
habitude;11
inscrit;2
magiques;2
comment;84
planter;1
dansera;1
autre;58
seule;28
staff;1
technique;5
aider;39
sache;1
donc;92
dansent;1
penses;20
seins;2
se;128
touchent;1
évidemment;3
père;36
accepte;2
laisser;19
lui;157
attend;3
ans;30
merci;117
couple;5
gays;1
amuse;8
salon;3
nautique;1
cha;10
point;9
petites;7
robes;5
dorées;1
assorties;2
dieu;82
avoir;112
détails;4
raconter;4
intéresse;6
vraiment;140
enfin;33
sortie;6
campagne;1
pratiquement;1
déménagé;3
voie;3
guérison;1
rechute;1
très;90
important;11
bu;4
confus;1
aimes;15
fuis;1
repas;6
thanksgiving;1
envoies;1
assistante;2
anniversaires;2
célèbres;1
noël;10
nom;14
petit;41
jésus;2
jury;2
gèle;1
certaine;4
bergère;1
habillée;2
pute;3
rencard;20
minutes;9
hors;5
question;11
réveillon;1
petite;29
reviens;14
signer;7
oblige;1
poser;3
hâte;4
hospice;1
voilà;44
gagné;11
votre;74
jambon;4
nouveau;23
pardonner;2
surtout;7
super;45
trémoussais;1
regardait;2
incrustais;1
donnais;1
fessée;3
reste;16
plantée;2
donne;22
arriver;8
relève;1
quand;140
gare;1
arrête;39
toucher;2
balle;1
parlé;11
perdu;17
faculté;1
sûre;17
exprès;1
énerver;2
maman;53
cause;12
selon;1
arrive;23
gens;45
savent;2
jouer;15
piano;1
parler;36
français;1
essayé;14
boîte;5
hier;17
récolté;1
résoudre;2
problème;27
poussée;1
entraînées;1
commencé;7
coupes;1
abandonne;5
fini;25
truc;40
disparaît;1
récupère;3
affaires;4
sauf;11
pousses;1
été;55
dur;19
tellement;29
vodka;3
tonic;1
allez;70
abandonnait;1
même;96
entre;18
tourne;9
hanches;1
hanche;3
attends;39
danseuse;4
entends;6
montre;6
alors;102
puce;7
dois;85
retourner;5
poulet;9
pose;3
recommence;2
joué;10
mérité;2
glace;4
fruit;1
frais;1
soulever;1
pauvre;7
type;6
pourries;1
gâché;4
pouvait;5
arranger;3
mail;5
regardez;13
jeffrey;1
affreux;2
sourit;1
elles;26
mari;10
sexy;9
payez;1
femme;31
comprendrait;1
détestez;1
primo;3
sûrement;8
déjà;64
secundo;1
bague;3
doigt;2
connaissez;6
ah;23
active;1
nuit;26
longue;3
liste;7
aventures;1
lendemain;3
mecs;10
reconnaissent;1
croisent;1
rue;10
chauffe;1
essayez;2
retarder;2
danserez;1
côté;13
filles;11
seront;4
jeunes;2
réaliserez;1
trop;70
finirez;3
avachie;1
devant;20
télé;11
manger;19
plat;4
préparé;5
sweat;1
shirt;5
oublie;15
amour;23
chocolat;3
dos;10
savez;29
dix;1
pause;4
fous;11
payiez;1
géniales;1
pardon;26
mec;35
amoureux;3
voyez;11
défauts;1
plaignez;1
trouvez;1
souvient;2
fleur;1
préférée;7
jonquille;1
présent;4
lors;4
cocu;1
trompé;2
détournez;1
disant;3
déménager;3
eh;23
déménage;5
vivre;11
demandé;12
test;6
avait;38
viré;2
bleu;2
vivrais;1
scrasdale;1
voulais;72
juste;161
rentrais;1
appartement;5
soir;43
matin;12
plaît;45
passer;19
pensais;24
aimerais;17
bip;1
crois;53
entraînes;2
fumait;1
marijuana;1
faim;7
veut;67
tarte;11
espère;15
bretelles;1
spaghetti;1
iront;1
gros;8
progrès;1
étape;2
suivante;2
trophée;1
serait;26
raison;42
stupide;16
aurait;14
coup;12
pouce;2
toute;41
journée;21
adulte;5
sent;5
regard;6
battrait;1
quasiment;2
revenue;2
maison;43
traîniez;1
garage;1
faisait;6
connais;21
traîner;2
depuis;34
boulot;47
envie;11
porter;8
chèque;1
mois;8
loyer;5
garantie;1
locative;1
effet;18
foutu;5
trouille;1
dissuadée;1
demander;14
injonction;2
génial;15
refaire;2
anndrea;1
écoute;36
finiras;1
quelque;47
part;24
romero;1
nierai;1
bloc;1
donner;19
lumière;8
chauffais;1
blessé;3
genou;3
heureusement;2
ami;31
mateo;1
x;2
champion;1
pu;19
remplacer;2
accueillons;1
piste;1
leur;20
blesse;1
casse;4
jambe;2
jure;3
douleur;1
brûle;1
doucement;2
niro;1
flamingo;2
terre;9
weber;1
duncan;1
contente;8
sois;18
peur;23
dernière;11
dispute;3
disputera;1
souvent;6
recommencé;3
hein;57
gosse;3
quitte;2
empire;1
fer;1
brûlait;1
peau;5
mal;47
compris;20
chance;25
gagneras;1
espérais;3
demandes;3
prends;26
accord;45
positions;1
pensez;5
probablement;5
pire;7
imaginiez;1
contraire;2
serai;9
appelle;28
tort;8
choses;40
découvrir;4
autres;24
réapprises;1
importantes;4
espérons;1
team;17
www;19
seriebox;6
com;17
seriessub;19
sub;2
way;2
fr;2
rappelle;21
départ;5
fusée;3
regardé;7
différé;1
pouvoir;10
potentiel;1
attendant;4
signe;1
consigne;1
hurlé;1
réveillé;1
voisins;2
voiture;37
renversée;6
éjectée;1
ancienne;3
propulser;1
nouvelle;18
portons;1
toast;2
anciennes;1
plutôt;20
nouvelles;6
amies;10
horrible;6
accident;11
souviens;18
mémoire;7
ont;49
appelée;1
arrêté;6
prier;1
yeux;12
bouffis;1
audience;1
vivante;1
beaucoup;46
sens;26
vivais;1
vis;7
ex;23
parlant;2
chase;20
phase;1
période;6
essai;1
excitant;4
peu;69
retour;13
école;5
reçois;1
diplôme;2
chapeaux;2
carrés;1
chemin;4
jusqu;13
mort;19
bouteille;7
intérieur;5
acrobate;2
avocat;5
lois;1
acupuncture;1
africains;1
alphabet;1
devient;3
disais;12
afrique;32
sécheresse;1
mauvais;19
revenir;7
chapman;14
funk;27
marrait;1
bas;15
parles;10
agit;3
changé;13
arrière;8
miss;4
pompette;1
taxi;8
marcher;8
tais;9
droite;2
baba;21
out;1
of;1
africa;1
importe;30
dina;1
vieux;8
justement;3
meilleure;20
aide;15
monsieur;7
plaignais;1
abusé;1
saoule;4
voulu;14
attendre;10
sobre;2
puis;39
fil;3
andrea;51
vraie;6
personnalité;2
ressurgit;1
alcool;6
saborde;1
tentative;1
changement;3
mérites;4
chose;68
demande;18
efforts;2
essaie;20
iras;2
ufs;3
mangerais;1
aura;11
siens;1
pouvez;29
trouvé;17
site;2
envoyez;1
moustiquaire;1
lutte;1
contre;7
malaria;1
cher;2
filet;1
sac;22
gedimat;1
dehors;7
comprenez;2
grandi;1
années;10
sortir;14
toutes;25
achèterai;2
bracelet;1
caoutchouc;1
tee;5
ira;13
magasins;4
choisirai;1
facilité;2
faux;11
oses;1
devoir;3
tour;4
quartier;5
talons;1
agent;6
travaille;8
cet;28
immeuble;16
wouw;1
pompiers;1
dena;30
accomplir;1
connaît;2
voulaient;2
valent;1
eux;8
vaux;3
devriez;3
ravis;1
remarquable;2
plaisir;7
