Mot;Occurrence
episode;1
sanctuary;34
for;1
all;3
i;1200
v;25
http;26
projet;61
sg;50
net;27
ici;234
david;5
répondant;1
à;1311
un;1519
entre;52
la;1666
149e;1
et;1126
cordova;1
compris;48
ouvrez;3
police;29
allez;188
madame;11
on;1370
a;1408
eu;101
des;809
plaintes;1
concernant;5
le;1881
bruit;4
veut;69
pas;1878
de;2778
problème;53
peut;289
entrer;21
jeter;4
coup;36
d;999
oeil;15
non;245
vous;2088
voulez;56
bien;501
me;393
dire;169
ce;1041
qui;530
se;354
passe;80
problèmes;20
plus;516
tôt;22
mais;601
maintenant;100
s;413
il;1484
plaît;47
partez;11
tout;421
va;348
je;2377
vais;131
dans;535
cette;204
pièce;15
poussez;2
du;439
calme;45
ça;1143
aller;99
russo;2
faut;117
renforts;2
demande;32
pour;774
secours;23
immédiat;3
c;1387
est;2538
gamin;16
hé;13
venir;32
vers;34
toi;168
très;193
lentement;3
m;349
approcher;2
tu;965
attrapes;1
ma;133
main;16
accord;112
viens;42
vas;47
approche;7
juste;167
que;1623
prennes;1
j;818
ai;672
dit;184
oh;38
mon;322
dieu;92
excusez;10
moi;457
oui;131
super;43
délicieux;1
chef;16
en;1054
congés;1
fait;331
quelque;181
chose;261
cloche;2
vinaigre;1
balsamique;1
sens;49
anti;5
horaire;3
au;364
lieu;21
important;20
attendez;48
peux;207
merde;30
merci;103
partie;44
boulot;25
là;279
trop;103
tard;32
zimmerman;38
ouais;99
mangeais;1
notre;132
coupable;3
sans;131
blague;10
vraiment;157
deux;126
nôtres;2
les;1273
familles;3
sont;297
prévenues;1
cours;22
vu;116
suis;372
sûr;109
si;502
beaucoup;53
monde;91
seul;61
appartement;6
cinq;44
quatre;20
comptant;1
troisième;3
corps;43
vieil;6
homme;51
gens;65
croyants;1
ukrainiens;1
ou;202
russes;4
seulement;23
enfant;11
hyperactif;2
nerveux;7
ces;150
marques;13
assez;58
récentes;2
qu;924
fout;4
tireur;5
l;1223
hôpital;5
avec;334
témoins;14
mec;46
psy;4
prend;8
sherlock;7
holmes;7
paraîtrait;1
agence;6
viré;4
rien;205
nous;452
devrait;65
garder;22
sur;316
lui;169
urine;1
lit;1
peur;59
air;49
bortsch;1
aussi;139
surtout;9
être;399
voir;138
triple;3
homicide;1
voulais;41
avant;121
verrou;1
porte;34
chambre;17
ferme;7
extérieur;7
stores;2
ne;890
jamais;145
levés;1
cacher;17
leurs;42
biens;1
clandestins;1
exact;15
cachent;1
ils;436
quelle;26
comprenez;12
crois;95
n;732
y;520
tirs;3
besoin;84
balistique;3
reconnaitre;1
tir;8
petit;44
calibre;4
bout;8
portant;1
avez;294
écouté;2
trucs;17
collent;1
traces;12
toutes;51
directions;1
murs;6
outil;3
émoussé;1
personnes;23
appart;1
espace;4
compte;28
tiroir;3
vide;6
une;857
bd;1
cachée;4
sous;60
vêtements;7
autre;100
alors;95
comme;296
était;371
porno;1
pourquoi;234
adultes;2
dormiraient;1
salon;1
encore;99
expliquer;14
censé;12
vouloir;15
sais;262
attends;24
seconde;17
devient;15
bizarre;15
espérais;7
rencontre;5
autrement;3
will;116
reste;79
où;222
es;152
maman;54
trouvé;67
dehors;21
peu;156
endolori;1
été;176
renversé;3
par;264
quelqu;81
arrivé;40
ruelle;7
arrêté;11
dès;8
irez;2
mieux;61
kavanaugh;1
étage;7
identification;3
heures;41
témoin;3
mme;6
lutrova;4
fille;40
victime;8
absolument;15
règles;10
train;12
regarder;8
gars;55
faite;4
fais;91
savoir;73
mot;10
presse;2
votre;218
comprends;34
revoir;20
voiture;5
contre;32
idiot;3
étais;60
mauvaise;9
nuit;39
vern;1
kovacs;2
habite;2
étages;2
dessous;9
scène;12
crime;19
mal;66
antécédents;2
libéré;9
parole;3
après;91
peine;10
vol;14
armée;13
viol;1
coups;3
blessures;11
étonnant;4
ait;39
éliminé;2
trois;46
allons;45
possible;63
réfléchissait;1
mobile;2
essaie;40
résoudre;5
affaire;20
venez;20
voici;14
dr;81
psychiatre;2
travaille;21
criminelle;5
mes;119
condoléances;4
voyez;35
tué;32
père;96
policiers;6
soir;21
prenez;16
temps;181
soyez;17
sûre;33
tués;5
êtes;198
son;223
visage;8
pourrais;20
oublier;6
suffira;1
instant;33
fois;97
acceptez;2
écoutez;28
tracy;1
dois;101
parler;61
bureau;8
procureur;1
suite;16
fets;1
minutes;37
elle;516
ramène;9
chez;27
subi;2
épreuves;2
savons;4
mentir;8
langage;6
regard;6
fuyant;1
mains;20
voix;6
monte;5
aviez;10
cet;58
auparavant;5
dites;45
sentez;6
fallait;11
laissez;41
tranquille;15
immeuble;1
quand;191
quitté;6
environ;8
ans;82
garçon;21
parlé;23
arrêtez;15
rentre;9
viande;3
fraiche;1
roule;1
subtil;1
albert;4
