Mot;Occurrence
episode;23
sanctuary;128
for;737
all;572
i;4776
v;26
http;26
projet;50
sg;50
net;27
this;1024
is;1074
david;6
responding;2
to;2580
a;2112
149th;2
and;1154
cordova;1
copy;10
that;1568
open;23
up;340
police;25
let;199
s;2148
go;285
ma;9
am;104
we;1418
ve;430
had;172
some;207
complaints;1
about;359
the;3860
noise;3
want;214
no;531
trouble;16
then;162
you;3938
don;553
t;1369
mind;65
if;442
come;294
in;1006
folks;2
tell;160
me;894
what;1140
going;219
on;819
have;762
early;13
tonight;26
but;601
now;328
please;115
it;2347
okay;292
m;658
gonna;125
enter;7
room;39
step;6
aside;6
relax;13
ll;388
be;648
fine;74
russo;2
need;241
backup;5
requesting;4
emt;1
stat;1
kid;26
hey;59
just;572
over;108
real;58
slow;13
reach;12
out;443
grab;8
my;551
hand;18
re;768
take;158
said;106
here;417
oh;126
god;98
excuse;14
everything;75
good;207
well;253
yeah;248
great;56
delicious;3
chef;1
night;36
off;115
actually;58
something;254
wrong;49
balsamic;1
drizzle;1
counter;1
clockwise;2
instead;8
of;1604
not;652
matters;5
hold;54
may;91
damn;28
thanks;38
part;45
job;33
he;670
too;141
late;16
zimmerman;40
was;681
at;309
dinner;6
got;285
our;255
guy;103
kidding;22
wow;2
really;153
two;110
own;57
do;553
their;158
families;3
know;647
covered;5
as;340
long;92
look;152
around;62
sure;123
whatever;58
lot;65
people;125
living;21
one;339
apartment;8
five;59
four;33
including;6
third;4
db;1
an;243
old;77
man;114
religious;2
ukrainian;1
or;241
russian;4
kids;9
hyperactive;2
fidgety;2
these;150
scratches;2
are;636
pretty;41
fresh;8
hell;127
talking;41
shooter;3
hospital;4
with;481
eyewitnesses;5
forensic;3
shrink;3
thinks;7
sherlock;7
holmes;7
heard;47
agence;1
gave;38
him;281
boot;3
ours;7
better;69
keep;84
eye;12
sweats;1
fear;19
air;24
borscht;1
mainly;3
gee;1
maybe;78
has;135
triple;5
homicide;3
mean;136
before;146
deadbolt;1
bedroom;1
door;26
locks;1
from;310
outside;16
shades;1
never;140
they;605
trying;82
hide;10
heritage;1
illegals;1
right;420
so;524
hiding;17
understand;59
thinking;34
there;499
shooting;9
ballistics;4
recognize;6
damage;13
close;47
range;16
small;15
caliber;2
weren;18
listening;5
couple;22
things;103
jibe;1
multidirectional;1
cast;1
walls;6
blunt;5
implement;2
space;7
precious;3
drawer;3
empty;11
told;49
another;42
comic;4
book;8
hidden;14
under;35
clothes;8
porn;1
why;273
were;263
adults;1
sleeping;8
else;61
haven;38
accounted;2
supposed;27
wait;53
second;43
getting;50
weird;14
way;195
d;200
hoped;6
meet;28
will;349
stay;80
where;179
mommy;4
found;101
cold;25
little;110
bit;27
sore;2
guess;43
decked;1
by;202
somebody;22
coming;49
down;180
alley;9
clipped;2
kept;23
soon;20
kavanaugh;1
wants;18
see;247
upstairs;1
witness;4
id;7
hours;49
eyewitness;4
mrs;5
lutrova;4
daughter;23
vic;1
absolutely;22
looking;65
yes;88
sir;15
get;385
positive;4
word;27
press;2
without;67
your;645
say;117
bye;1
happened;96
car;7
versus;3
idiot;2
bad;63
who;214
vern;1
kovacs;2
floors;1
below;11
crime;25
scene;14
whole;40
list;12
priors;2
paroled;1
after;68
doing;93
dime;1
armed;3
robbery;6
rape;1
assault;1
think;285
eliminate;2
witnesses;6
three;55
downside;1
chances;3
wasn;63
motive;1
solve;4
case;30
dr;89
psychiatrist;2
attached;1
very;148
sorry;115
loss;8
murdered;7
father;70
those;69
officers;2
time;260
because;125
killed;42
them;262
certain;22
his;216
face;18
could;224
forget;11
again;76
condolences;2
thank;66
listen;43
give;72
tracy;1
talk;59
da;2
office;10
away;76
fets;1
minutes;36
her;341
later;21
doc;31
taking;23
home;41
