Mot,Occurrence
i,47654
you,23726
je,17516
a,17388
de,15658
the,13299
est,13292
s,13152
to,12835
que,11638
pas,10428
vous,10091
it,10068
t,9630
le,9572
me,9057
that,9039
un,8875
on,8813
tu,8731
et,8182
and,8165
c,8080
m,8053
à,7906
j,7836
la,7484
d,6777
ne,6262
il,6250
ce,6047
l,5611
of,5609
en,5551
ça,5490
my,5394
les,5310
ai,5182
une,5134
in,4889
pour,4888
is,4839
qu,4818
what,4681
n,4435
we,4229
this,4126
for,4118
your,3972
re,3900
oh,3614
just,3573
know,3567
so,3543
do,3541
have,3485
was,3432
he,3361
with,3298
dr,3282
si,3281
mon,3248
mais,3235
not,3207
des,3191
qui,3144
don,3142
moi,3095
can,3091
be,2986
suis,2983
as,2954
no,2929
but,2828
like,2786
are,2656
avec,2646
bien,2627
get,2525
plus,2518
fait,2509
dans,2473
all,2453
faire,2448
y,2417
here,2383
tout,2355
out,2318
about,2282
if,2280
non,2251
du,2248
turk,2228
elle,2220
up,2206
there,2193
être,2070
au,2026
te,1991
go,1972
comme,1963
how,1939
one,1929
était,1918
right,1892
she,1890
sais,1867
ok,1797
gonna,1788
va,1788
ll,1785
ma,1724
now,1709
at,1688
quoi,1653
nous,1634
elliot,1617
him,1611
her,1608
se,1601
sur,1590
quand,1590
got,1577
là,1557
when,1553
think,1540
hey,1536
ve,1535
why,1494
lui,1488
toi,1461
dire,1456
yeah,1429
pourquoi,1416
carla,1403
cox,1360
votre,1356
see,1321
look,1312
who,1299
alors,1298
because,1298
want,1283
well,1281
vais,1275
dit,1270
time,1258
they,1256
peut,1256
veux,1253
good,1241
même,1240
son,1234
really,1231
es,1221
did,1194
parce,1193
avez,1174
peux,1166
an,1160
oui,1154
his,1131
vraiment,1125
come,1121
say,1110
would,1105
back,1092
let,1092
or,1079
bon,1064
some,1054
could,1053
had,1043
ou,1028
tell,1026
little,1024
cette,1020
par,1016
ton,1014
juste,1009
going,997
ici,994
patient,989
avoir,975
comment,970
mr,937
peu,924
were,922
been,919
fais,916
kelso,914
jamais,913
rien,912
make,905
merci,901
from,895
ils,884
sont,875
way,865
baby,865
take,855
thing,855
even,852
then,851
toujours,850
êtes,845
chose,837
mes,833
never,832
need,825
fois,820
man,814
okay,809
god,806
love,805
people,794
aussi,792
didn,789
tous,776
will,765
encore,756
deux,755
too,744
by,744
temps,742
maintenant,740
off,739
guy,738
over,732
still,728
allez,715
am,711
où,709
down,708
sorry,708
très,703
more,703
something,701
should,698
jd,692
doing,688
dois,687
our,676
voir,674
ouais,674
dieu,662
bébé,656
mean,654
quelqu,648
only,642
doctor,641
besoin,641
day,641
great,638
trop,638
ta,635
ces,633
us,628
avais,626
étais,626
talk,625
aime,622
monde,619
two,616
sa,611
guys,610
aller,609
scrubs,606
give,596
much,596
said,594
dis,591
ted,589
sure,588
yes,584
autre,583
hell,575
faut,574
salut,573
new,572
first,567
work,567
them,557
last,554
perry,552
avait,548
has,547
any,545
help,543
vie,541
where,540
around,536
donc,535
always,533
ever,533
quelque,531
ca,530
parler,530
patients,528
actually,527
jordan,523
thank,522
petit,521
feel,520
super,520
mec,519
bob,518
maybe,515
uh,512
things,511
sûr,505
please,495
every,493
dorian,493
après,492
again,492
personne,491
life,490
big,488
été,488
stop,487
keith,487
depuis,487
cause,485
vrai,485
someone,485
moment,484
other,484
voilà,483
call,481
eu,477
cool,477
being,476
pense,474
mal,474
place,473
notre,469
avant,464
déjà,462
crois,460
vas,458
sans,457
ans,457
désolé,456
hospital,447
vu,445
gens,444
into,443
femme,442
night,441
tes,441
thought,439
soit,438
ont,435
veut,435
hôpital,433
ah,432
gotta,430
fine,427
savez,427
soir,424
accord,418
very,417
car,416
www,414
face,412
nothing,409
wanna,406
put,405
aux,405
thanks,402
doesn,400
ses,399
made,398
those,397
gars,393
before,393
truc,393
keep,390
vos,389
voulais,388
old,388
told,387
care,385
point,383
than,383
nice,382
girl,382
name,380
docteur,378
chance,377
talking,377
prendre,376
todd,376
reid,374
tête,373
choses,372
anything,372
bonne,371
better,370
viens,370
best,368
arrive,367
after,366
mieux,363
getting,361
bad,361
air,360
hé,359
vois,358
wanted,358
believe,357
sex,355
home,354
b,354
fille,353
these,350
dude,349
raison,349
mère,348
five,344
beaucoup,344
