Mot;Occurrence
les;4731
hôpitaux;22
sont;784
remplis;5
de;14062
gens;391
qui;2815
bossent;2
depuis;445
plus;2224
heures;154
donc;492
quand;1425
un;7923
patient;612
meure;7
il;5582
arrive;340
qu;4368
on;6431
l;5018
emmène;24
soi;31
même;1116
à;7052
la;6732
morgue;36
et;7411
profite;15
son;1066
lit;142
pour;4470
petit;471
somme;9
evidemment;9
parfois;249
ça;4824
peut;1128
surprendre;13
je;15576
dors;18
pas;9241
ca;529
se;1422
voit;116
peine;83
a;11111
du;2022
charme;4
abruti;40
regardez;152
voilà;417
ne;5521
saute;16
jamais;825
joie;33
mec;500
entre;237
dans;2246
vie;500
d;5660
elliot;1286
mais;2860
avec;2400
sean;191
c;7189
est;11818
divertissant;2
merci;815
balade;8
j;6999
aurais;236
dû;142
te;1741
prévenir;16
que;10585
aimais;24
cet;277
endroit;99
car;313
ils;805
y;2160
servent;8
le;8524
café;153
bouillant;4
comme;1780
aime;539
ouais;644
pwas;2
gouave;2
m;5191
en;4965
souwiendrai;2
moi;2734
ou;907
ces;579
deux;656
là;1390
moins;267
empotés;2
ensembles;6
ok;1370
ai;4581
quelque;473
chose;749
vous;9014
dire;1317
nous;1506
avons;178
fixé;6
une;4605
date;114
mariage;193
dis;488
leur;293
turk;1674
avril;7
possible;93
mien;25
faut;492
réserver;3
avance;23
connecticut;20
sinon;54
enfer;54
trois;188
tarée;9
oh;2698
n;3803
avez;1033
être;1866
rêvé;17
votre;1210
voulez;286
john;86
dorian;322
prendre;349
marcia;12
brady;12
légitime;6
épouse;23
mon;2886
nom;253
maureen;4
mccormick;4
s;7586
plaît;155
continuez;20
père;250
non;1963
au;1828
fait;2241
carla;1087
connais;129
groupe;101
incroyable;87
journey;26
pourriez;78
réception;10
bambi;58
personne;432
adore;195
autant;105
toi;1271
she;1085
just;1821
small;38
town;62
girl;202
livin;5
in;2578
lonely;18
world;129
took;108
midnight;8
train;158
goin;26
aaaanywheeeere;4
si;2911
embauchez;2
joueront;3
the;7060
lovin;4
touchin;4
squeezin;4
assureront;2
prenez;83
me;5894
remercierez;4
tard;205
après;448
ennuis;13
arrivèrent;2
avoir;892
accompagnée;4
ici;873
voir;582
avais;564
été;421
seaworld;3
ailleurs;71
ce;5380
exactement;106
ramasse;6
probablement;81
caca;50
des;2905
phoques;3
naze;12
scrubs;521
3x02;4
my;3045
sous;250
titres;75
synchro;78
par;925
sebmov;6
corrections;26
finalisation;10
foromuser10;21
resynchro;3
dest;1
laissé;81
cette;911
urine;63
quelqu;590
admirateur;2
secret;83
dr;2202
kelso;633
déposé;5
échantillon;20
intéressant;37
étiquette;8
décollée;2
chou;28
pense;440
confondez;2
ennuyeux;13
croire;177
ayez;39
fixés;4
parle;234
mignon;60
ecoutez;103
soeurs;14
hilton;6
quinn;19
chambre;142
toujours;737
sa;557
clavicule;5
explosée;3
besoin;586
consultation;14
chirurgicale;13
suite;104
vu;393
êtes;760
chirurgien;117
disais;69
demoiselles;8
avaient;38
moment;386
choix;72
pièce;69
montée;9
façon;185
attacher;7
voile;3
sur;1436
tête;348
grand;262
chauve;33
serait;215
génial;279
elles;156
faisaient;17
saut;6
lui;1311
donner;164
vieux;203
lookie;5
loo;7
quoi;1467
soit;392
propos;192
vos;342
préparatifs;2
suis;2636
tout;2094
coeur;144
sera;194
dur;196
faire;2223
trucs;149
ensemble;256
tu;7613
vas;398
marier;38
auras;33
maison;200
rends;51
compte;144
passeras;4
tous;689
tes;379
week;156
ends;19
petits;86
arturo;4
rosaria;4
veux;1140
tamika;4
fuquan;4
devrais;203
discuter;23
clore;2
chapitre;10
ta;572
sais;1698
soir;365
sors;72
oui;988
monsieur;242
fera;79
dîner;88
bonne;324
bouteille;22
vin;18
ressemble;57
rencard;36
mecs;88
pourquoi;1271
as;2170
peur;232
tomber;96
amoureux;30
hop;24
waouh;8
comprenez;21
vraiment;1029
allez;630
juste;943
dauphin;8
bruce;24
elle;1985
pourrait;203
penser;118
fou;93
heureuse;32
ressorte;2
sortons;6
bien;2321
heu;48
simple;108
dauphins;14
parce;1108
enfin;298
discussion;18
eue;22
dernière;193
fois;750
pensais;170
puis;225
ton;900
boulot;195
honnête;33
souffert;5
nan;26
pardon;105
drôle;178
interne;120
médecine;148
ma;1533
priorié;2
échoué;5
maintenant;692
différent;43
changé;67
nouvelle;196
penses;115
euh;99
accepterait;2
débordée;6
laverne;198
trouverons;2
appartient;10
meilleure;99
idée;172
chercherais;2
toute;301
seule;242
vais;1146
vite;132
réparer;31
dent;14
afin;28
ressembler;22
larry;29
holmes;9
boxeur;2
dit;1140
autre;514
femme;405
t;5774
suppliiiiiiie;2
balance;16
sandwich;54
oeuf;9
salade;18
dollars;98
jus;35
pomme;25
gobelet;6
ferait;41
burger;8
avant;420
examiner;11
poser;53
question;250
pensez;137
déplacé;9
vouloir;55
inviter;29
meilleur;191
ami;235
fin;129
époque;20
connus;6
étions;38
fac;50
disait;42
arrivent;33
école;65
pareil;72
avait;508
voiture;139
indienne;3
accepta;2
coucher;78
uniquement;15
croyait;12
famille;158
était;1753
anjadi;6
jeu;123
mot;123
and;4295
fut;20
jour;304
glorieux;4
vois;318
genre;155
va;1589
manquer;59
peu;827
haleine;15
conserve;4
odeur;24
curry;4
reste;179
chirurgie;104
demain;138
découperez;2
évitez;8
abîmer;4
tatouage;14
tracy;35
tuera;5
eu;431
maquillé;3
pique;12
nique;7
hôpital;376
étais;573
cougar;4
arrrgg;2
argghhhhhh;2
cox;949
rouge;33
lèvres;35
trop;566
clown;38
barbie;209
ressember;2
prostituée;17
spécialisée;2
clowns;16
désolée;133
trompée;3
oubliais;4
ignoble;5
individu;3
ooh;92
brises;3
eeeeeee;2
xcuse;5
allais;100
refiler;2
hudson;12
infirmière;143
garde;142
ponction;6
lombaire;6
compter;30
rendez;113
gars;376
nommé;15
peux;1053
faveur;34
excuser;62
instant;105
louper;8
comprends;154
aller;556
tellement;300
aux;363
alentours;7
pourrais;218
sûrement;89
annoncer;22
crever;10
contre;119
galipettes;3
passer;251
coup;235
fil;27
décès;20
malades;31
vrai;415
tant;242
laborantin;2
seriez;23
minimum;12
intéressé;13
hey;917
savez;398
concerne;16
crois;405
savoir;273
freely;10
prénom;21
i;23981
p;70
pee;20
pisse;14
seul;262
encore;687
espèce;34
grande;75
asperge;5
feriez;30
mieux;322
attrape;20
coupe;52
cheveux;123
cuvée;2
fourre;3
bouche;50
fassiez;10
pub;7
ferai;76
recracher;3
autres;272
blagues;28
sortir;223
madame;30
chaque;198
petites;45
batailles;7
attention;184
officiellement;14
rien;767
pissé;3
pot;25
bats;15
envie;134
devoir;108
battez;3
désirez;5
libérer;7
objet;5
désir;8
prêt;101
attendre;80
sûr;456
chance;287
bataille;14
marche;142
perfection;2
yo;42
pendant;297
cru;52
viendrais;8
pote;182
excité;23
todd;269
excusez;97
filles;108
bougez;9
fille;319
bas;172
proposer;5
goûter;8
mes;764
cacahuètes;11
wazzza;2
clap;8
télépathe;2
invité;46
hé;342
fini;212
temps;653
savais;191
soirée;54
nostalgique;5
profonde;8
aussi;701
planté;8
baffe;4
chaude;21
reçue;3
failli;24
venir;157
forcé;13
main;154
casse;20
aurai;65
plein;120
moments;72
profonds;2
gay;118
propre;85
saucisse;14
dieu;608
voulais;343
comprenne;4
ressentais;9
dont;152
comporté;2
alors;1172
décidai;7
balancer;15
relevés;4
littéralement;10
salut;499
présente;40
excuses;33
amis;183
bon;949
journée;223
ni;56
quitter;31
rentre;69
fiancé;25
agit;30
bizarrement;12
copine;68
quoique;12
péter;13
plombs;6
sujet;38
robe;35
pareille;6
homme;280
super;421
quel;291
point;282
