Mot;Occurrence
i;9213
so;908
there;559
we;1202
were;240
elliott;11
about;590
to;3351
get;614
married;42
me;1351
have;809
a;2964
baby;187
with;805
kim;41
careening;1
toward;2
kiss;27
re;1033
both;70
terrified;4
because;348
either;29
one;495
of;1444
us;178
could;238
back;267
out;569
the;3307
last;141
second;82
leaving;19
other;137
kissing;3
air;10
and;2160
feeling;28
like;779
fool;6
ah;50
point;46
no;695
return;8
closing;3
eyes;29
time;328
dive;4
jd;79
what;1130
are;723
doing;166
how;437
hell;170
d;364
she;361
do;927
that;2371
look;292
almost;36
happened;37
in;1220
is;1218
not;788
course;59
please;144
just;942
on;890
verge;2
making;51
giant;26
commitments;1
as;308
usual;6
freaking;6
you;5876
right;501
know;922
can;751
t;1808
let;278
fears;3
screw;6
our;183
relationships;12
who;328
wants;52
end;67
snoop;8
dogg;5
intern;38
hey;377
sorry;159
resident;2
attending;9
s;2764
all;665
he;910
hasnt;1
told;109
josephine;3
gives;8
him;429
wowsers;1
his;289
trousers;1
be;731
cool;76
man;199
m;1313
working;57
it;2700
dog;22
keep;88
real;72
now;430
nothing;69
never;216
speak;23
this;998
again;136
keith;29
wait;66
was;861
alrady;1
surprised;8
loud;6
lonely;7
at;401
home;67
decided;23
come;282
by;200
say;274
hi;57
oooh;2
then;230
had;251
those;107
weird;59
crystallizing;1
moments;8
when;346
everything;77
becomes;1
clear;28
mean;150
should;168
ve;371
been;240
relieved;2
haven;43
shown;2
up;531
earlier;24
walked;6
but;731
wasn;69
wished;3
caught;17
cause;110
truth;36
don;792
wanna;93
marry;6
shut;25
uuuuuh;1
honestly;16
think;363
far;15
much;164
god;158
for;1031
barging;2
late;41
hope;56
didn;182
interrupt;7
anything;103
important;22
oh;577
actually;162
since;76
diabetic;4
carla;108
only;154
lets;5
eat;45
candy;21
bar;17
every;111
months;28
helping;11
choose;10
which;66
go;481
first;163
cut;27
sounds;22
remotely;1
racist;6
includes;3
jerk;20
chocolate;13
joojoobees;1
junior;3
mints;6
if;504
want;388
my;1180
freshen;1
breath;12
lap;2
some;271
toothpaste;2
em;39
watch;50
call;118
ball;21
town;20
bad;81
boy;48
saying;48
knows;19
changing;9
subject;2
sad;35
here;581
elliot;122
hmmm;2
ok;89
did;326
ask;57
wanted;93
needed;25
asked;25
they;346
still;208
make;241
mars;1
bars;5
bob;65
an;268
empty;10
table;17
ll;448
leave;60
dollars;2
pleasure;4
business;19
friends;53
bored;6
yet;54
whole;61
family;34
wedding;23
house;39
filled;7
rafters;1
dudemaisters;1
college;13
girlfriend;23
stacy;3
broke;13
arranged;2
came;58
from;198
class;36
able;35
see;319
her;351
riding;4
beneath;1
big;101
brown;5
butt;30
many;39
times;41
apologize;19
nightmares;2
your;945
cheeks;1
turk;260
bouncing;5
sleep;30
or;233
future;14
mrs;40
dudemeister;1
sure;155
whether;42
am;176
taking;56
name;86
need;224
talk;158
matter;25
even;243
start;67
thinking;39
feel;134
watching;29
over;173
aww;6
finally;65
feels;17
everybody;48
rainbow;3
b;58
itasa;7
scrubs;38
team;30
proudly;6
presents;13
season;20
episode;23
own;86
worst;13
enemy;5
vo;10
subtitles;13
transcript;14
gi0v3;15
teorouge;6
matters;14
jdsclone;6
supersimo;6
aka;1
italian;16
addicted;18
synch;6
revision;7
subs;9
www;55
italiansubs;14
net;34
while;69
near;7
dust;1
starting;11
settle;2
daddy;26
check;58
these;101
pregnant;13
apple;2
feet;9
wow;47
truly;11
disgusting;16
missed;14
broken;13
looked;12
great;148
got;371
week;48
pig;9
whore;13
better;97
used;47
stupid;65
few;43
days;37
already;82
dropped;10
adjective;1
maybe;123
weekend;21
work;114
seeing;19
mind;54
grab;18
drink;21
tonight;49
tell;228
er;8
dad;39
died;19
fun;50
friend;70
gonna;482
stand;19
thanks;98
babe;16
bye;34
dead;51
didine;1
new;162
panda;1
zoo;4
ming;2
mama;14
sat;5
ate;11
nature;2
believe;84
messed;3
things;112
wrong;67
annoying;22
whining;3
child;17
question;39
directed;1
mr;114
hotneck;8
admitted;5
swollen;2
lymphnode;1
abdonimal;1
pain;35
also;55
having;83
heart;52
palpitations;2
help;144
well;324
very;118
handsome;9
beardface;13
why;361
people;203
insist;2
calling;14
ehm;1
may;45
guess;56
would;256
face;86
beard;18
damn;89
ordered;5
cat;16
scan;8
herschlossning;1
note;11
read;17
reid;32
works;26
two;127
ways;7
totally;51
unprofessional;2
supposed;42
speaking;18
gave;40
hied;1
cappuccino;2
maker;4
aren;47
going;306
any;121
nuptials;1
yeah;393
toghether;2
fix;22
gotta;100
hate;69
through;88
minute;24
brother;18
barry;6
worth;13
shot;40
answer;58
screwed;10
fine;126
rule;13
effect;2
will;184
guilty;11
sweat;9
lot;88
smell;24
eggs;6
true;32
too;203
blowed;1
knocked;4
date;15
before;108
betraded;1
strong;22
feelings;18
reason;32
guys;167
together;73
kid;65
envolved;2
means;43
stick;17
till;10
love;201
sabotaged;1
relationship;35
ever;133
mole;12
tina;4
kids;53
rumple;2
fuggly;2
gift;15
shop;12
girl;78
none;13
girls;14
good;327
anyway;74
except;15
stop;132
fug;1
awesome;61
lyme;1
disease;26
earth;9
possibly;4
figured;15
such;46
tough;19
diagnosis;9
darn;8
quickly;4
more;171
emphasis;2
wooooo;1
incredibly;5
size;24
give;142
quick;29
body;31
tick;3
bites;3
tip;1
toes;6
cute;19
once;69
has;130
found;45
telltale;1
bullseye;2
shaped;1
mark;4
trigging;1
does;88
sound;25
joe;9
guy;113
