Mot,Occurrence
je,8702
i,8006
de,7607
a,7018
est,6766
you,5875
pas,5683
the,4652
tu,4588
un,4551
le,4485
s,4379
c,4241
to,4152
que,4149
la,4089
à,3921
l,3820
et,3802
t,3679
on,3638
ne,3574
j,3393
me,3276
it,3243
il,3201
une,3054
ce,2865
n,2831
d,2786
m,2783
en,2740
les,2601
ai,2488
and,2443
that,2334
vous,2312
qu,2223
pour,2158
ça,2064
in,1826
des,1761
was,1713
of,1699
moi,1587
elle,1579
avec,1541
suis,1537
my,1485
is,1466
mais,1451
était,1426
qui,1416
we,1402
dans,1399
as,1363
mon,1350
what,1328
have,1324
y,1323
plus,1302
si,1255
au,1234
for,1206
bien,1180
this,1177
he,1137
du,1134
with,1125
être,1110
not,1106
non,1100
te,1037
just,1009
tout,1007
re,1005
charlotte,998
se,974
samantha,972
don,967
do,966
fait,957
be,955
are,952
miranda,952
can,946
she,892
no,867
faire,850
so,825
là,812
but,798
nous,794
about,793
your,788
sur,782
peut,758
es,749
comme,745
toi,737
va,732
veux,729
ma,726
know,723
get,717
there,699
new,683
all,683
at,678
one,662
carrie,660
dit,649
her,648
had,645
avait,643
lui,641
big,640
son,625
oui,623
sais,616
up,613
dire,605
quoi,604
like,601
out,595
go,595
peux,584
quand,583
ll,552
sont,552
they,543
want,539
how,530
oh,528
if,526
avoir,511
vraiment,494
où,489
ils,480
pourquoi,478
think,478
ve,477
him,476
vais,474
cette,474
jamais,473
très,473
autre,472
here,467
york,465
alors,463
right,459
who,451
ton,448
good,446
mes,446
deux,445
comment,445
rien,441
même,439
ou,437
an,433
avais,430
when,427
juste,426
chose,418
aussi,410
merci,407
par,403
sa,400
temps,400
really,391
going,390
fais,388
bon,387
or,386
time,382
did,380
got,379
étais,364
fois,357
toujours,356
love,352
ici,348
sex,347
would,345
now,343
aime,343
voir,343
never,343
soir,338
could,337
were,337
why,333
chez,333
dois,330
night,329
trop,326
his,324
aller,324
après,323
see,322
didn,321
peu,320
vie,319
femme,316
faut,315
steve,313
come,308
sans,308
ans,307
homme,306
been,301
from,298
back,289
say,285
encore,280
tous,278
ta,278
look,277
ok,276
something,273
crois,272
vas,271
thing,271
dieu,271
aidan,271
man,270
ces,270
ses,269
besoin,268
sexe,267
femmes,264
more,263
very,263
then,260
sorry,260
some,258
ont,258
two,256
maintenant,254
great,253
avez,252
quelque,252
maybe,251
depuis,251
hommes,251
ii,250
désolée,250
ca,250
aux,249
votre,249
parler,247
them,242
let,241
vrai,240
over,237
quelqu,237
us,236
trey,235
avant,234
where,234
guy,234
lt,233
tell,230
too,230
amour,227
êtes,225
accord,224
nuit,223
only,223
mal,223
petit,222
été,221
tard,221
thought,220
need,219
eu,219
voilà,218
make,218
peur,216
should,215
men,214
way,214
dis,211
iike,210
personne,210
viens,207
moment,204
baby,204
am,204
call,204
well,203
bonne,202
take,200
bradshaw,199
trois,199
monde,198
yes,198
talk,197
veut,196
will,196
elles,195
lit,194
leur,194
people,192
doing,192
moins,191
mec,191
off,191
by,190
ensemble,190
god,188
problème,186
mieux,186
after,185
notre,185
adore,184
bébé,183
even,183
salut,183
gonna,182
first,182
voulais,181
mariage,180
beaucoup,180
sure,180
appelle,179
next,179
parce,179
air,178
relation,177
déjà,177
bonjour,177
seule,176
our,176
yeah,176
because,176
into,175
prendre,175
entre,173
date,172
soirée,172
women,172
has,172
down,171
woman,171
sexy,170
still,170
other,168
allez,168
ex,168
vu,167
gens,167
toute,166
quel,165
super,165
little,164
pendant,163
day,162
feel,162
place,161
jour,161
minutes,161
amis,160
much,160
said,160
ville,160
richard,159
relationship,159
any,158
truc,158
vois,157
passe,156
toutes,156
demander,155
mean,155
excuse,154
bad,154
believe,154
having,153
friends,153
type,152
life,152
week,151
parle,150
than,150
question,149
arrive,149
someone,149
thank,148
work,148
ever,147
passé,146
nice,146
aurais,146
better,146
sûr,146
maison,145
again,145
home,145
later,144
okay,144
devrais,144
stop,143
gay,143
dîner,142
tes,142
passer,142
regarde,140
manhattan,140
semaine,139
another,139
three,138
doit,138
coup,138
fille,136
give,135
dinner,134
sera,134
amie,133
attends,133
puis,132
brady,131
petite,131
pourrait,131
pense,131
bar,131
mère,130
étaient,130
getting,130
grand,129
city,129
arrête,129
autres,128
serait,128
married,128
wasn,128
heure,127
part,127
idée,126
these,126
première,126
things,126
couple,126
wait,126
