Mot,Occurrence
i,8740
you,6344
s,3640
t,3633
je,3303
a,3128
est,2961
it,2606
to,2479
pas,2369
the,2312
de,2309
tu,2282
on,2055
me,2034
c,1953
and,1804
m,1671
que,1564
that,1524
et,1494
la,1492
what,1475
le,1407
un,1399
ça,1354
j,1252
à,1233
we,1130
il,1054
re,1048
d,1004
of,1000
is,995
my,982
en,955
in,932
l,917
don,917
do,895
les,883
ai,860
your,830
this,827
no,825
as,811
vous,806
he,800
yeah,779
just,778
qu,775
ce,772
right,771
know,768
for,759
she,753
so,750
can,744
te,744
not,743
all,719
elle,717
une,709
moi,705
fucking,684
pour,680
are,669
quoi,636
ok,621
oh,617
va,613
like,612
have,610
ve,609
get,605
up,586
be,579
got,571
fuck,563
suis,563
toi,549
with,545
tout,540
was,532
des,529
bien,520
but,520
non,512
come,507
mais,492
es,487
sid,481
go,481
ll,480
her,472
here,470
out,457
qui,455
fait,450
they,443
y,442
si,427
tony,426
there,422
plus,419
veux,417
want,412
mon,404
think,400
about,398
avec,395
sais,391
now,380
ma,370
faire,363
going,361
putain,354
ne,351
dans,347
see,347
oui,347
love,346
if,327
at,326
look,324
well,322
là,320
comme,319
why,318
du,317
chris,313
sorry,311
let,311
how,307
him,304
se,300
man,296
être,293
good,291
dit,290
effy,289
one,287
ils,287
rien,285
then,283
au,283
yes,281
n,280
did,280
peux,277
pourquoi,270
off,268
michelle,264
who,263
bon,263
ton,262
nous,261
mum,258
really,258
fais,255
gonna,253
where,251
était,249
ta,244
lui,242
où,236
tell,234
dire,233
back,219
alors,219
peut,217
cook,217
didn,216
aime,215
merde,214
or,213
shit,213
a3,212
some,210
need,210
time,208
them,204
merci,201
doing,200
something,199
when,198
vais,196
jj,194
jal,193
quand,193
vraiment,192
say,191
never,191
been,190
allez,190
sur,188
ici,183
mean,183
because,182
son,181
juste,181
take,180
please,179
dad,178
too,176
could,176
more,176
will,174
mes,174
nice,172
down,171
hi,171
dois,170
his,169
trop,168
cool,168
vas,166
an,165
were,165
sont,162
said,162
cassie,162
freddie,162
comment,161
même,159
tous,159
bit,158
viens,158
any,153
dis,153
nothing,153
would,152
way,152
hein,151
peu,150
us,150
parce,146
voir,145
jamais,144
again,144
crois,144
make,143
hey,142
girl,141
had,140
vois,140
from,139
little,139
fine,138
maintenant,138
faut,137
stop,136
mère,135
ah,134
ou,133
everything,132
give,131
thomas,129
monde,128
god,128
par,127
toujours,127
encore,125
fois,125
over,125
tes,124
aussi,124
emily,123
thing,123
aller,122
très,122
better,122
veut,121
anwar,121
maman,120
voilà,120
only,119
salut,119
sure,119
ã,119
avoir,118
cos,118
should,117
étais,116
super,116
much,115
katie,113
mate,113
um,113
maybe,113
thought,112
cette,112
ever,111
away,111
désolé,111
accord,111
hello,111
very,110
fucked,110
people,110
party,110
sa,110
leave,109
truc,107
someone,107
am,107
vrai,107
maxxie,106
by,105
isn,105
great,105
thanks,105
coming,104
wanna,104
always,104
help,102
petit,102
chose,102
besoin,101
anything,101
doesn,100
deux,100
day,100
temps,100
quelqu,100
eff,99
even,99
regarde,98
cass,98
gay,97
things,96
sûr,96
père,95
other,94
done,94
feel,94
air,94
won,93
naomi,93
does,93
avais,93
mec,92
gotta,92
autre,92
boy,91
talk,91
everyone,90
mieux,90
friends,89
voulais,89
before,89
personne,89
vie,87
mal,86
ont,86
night,86
êtes,86
our,86
told,85
arrête,85
tone,85
still,85
lovely,84
life,84
two,84
laisse,84
pardon,84
listen,84
home,84
put,83
find,83
anyway,83
donc,82
stupid,82
big,82
bad,82
getting,82
doit,82
looking,82
long,82
papa,81
quelque,81
these,80
chelle,80
plaît,80
parler,79
wrong,79
chez,79
bonjour,79
après,78
best,78
place,78
stuff,78
panda,77
gone,77
three,77
than,77
mind,77
avant,77
déjà,76
thank,75
fille,75
remember,75
vu,75
friend,74
keep,74
avez,74
course,74
jesus,74
says,73
baby,72
er,72
work,72
pandora,72
today,72
soir,72
arrive,72
has,71
été,71
christ,71
attends,70
ces,70
prends,70
new,70
votre,70
into,70
fous,69
made,69
wanted,69
talking,69
last,68
girls,68
tonight,68
actually,68
avait,68
bonne,67
lot,67
chance,66
after,66
saying,65
sans,65
ouais,65
stay,65
being,65
might,65
amis,64
angie,64
happened,64
aren,64
problème,64
haven,63
first,63
else,63
wait,63
funny,63
désolée,63
anyone,62
hear,62
totally,62
devrais,62
amour,61
notre,61
parle,61
pense,60
shut,60
filles,60
call,60
wasn,59
karen,59
aux,59
hell,59
came,59
elles,59
moment,59
sex,58
trying,58
through,58
care,58
chier,58
such,58
problem,57
venir,57
left,57
eu,57
envie,57
car,56
house,56
try,56
wants,56
later,56
dieu,56
though,56
connais,55
ans,55
yourself,55
quel,55
fête,55
every,55
beaucoup,55
baiser,55
enough,55
sake,55
hang,55
head,54
appelle,54
tits,54
aider,54
world,54
college,54
passe,54
happy,54
change,53
ask,53
excuse,53
each,53
enfin,53
sister,53
probably,53
tomber,53
écoute,53
leur,53
money,53
prendre,52
reste,52
petite,52
wow,52
supposed,52
toute,52
entre,52
went,52
trois,52
foutre,52
sous,51
old,51
part,51
james,51
name,51
trucs,51
dû,51
girlfriend,51
nah,51
music,50
eh,50
sortir,50
around,50
bébé,50
beautiful,50
bite,50
ready,50
cock,50
boys,49
fun,49
jour,49
phone,49
fini,49
wouldn,49
together,49
sois,48
sens,48
ses,48
sera,48
raison,48
adore,48
run,48
those,48
autres,48
mine,47
kind,47
must,47
génial,47
kid,47
alone,47
maison,47
con,47
gens,47
pretty,47
play,47
sympa,47
next,46
cul,46
sort,46
sit,46
turn,46
aurais,46
passé,45
vos,45
everybody,45
tellement,45
round,45
guys,45
understand,45
gros,45
sidney,45
brother,45
loves,45
miss,45
max,45
pris,45
amie,45
couldn,44
door,44
bed,44
morning,44
gars,44
lycée,44
yo,44
passer,44
dunno,44
message,44
makes,44
aujourd,44
hui,44
normal,44
watch,44
met,44
ain,43
late,43
assez,43
quelle,43
genre,43
having,43
top,43
pills,43
believe,43
pourrais,43
aimes,43
lara,42
own,42
seule,42
quite,42
soeur,41
without,41
ensemble,41
copine,41
knows,41
depuis,41
garçon,41
frère,41
choses,41
open,41
important,41
face,41
piss,41
doug,41
real,40
em,40
fitch,40
drink,40
mother,40
www,40
bus,40
bitch,40
tard,40
tom,40
easy,40
pos,40
moins,40
cheers,40
faites,39
soirée,39
tête,39
whatever,39
grand,39
laisser,39
ferme,39
sinon,39
lost,39
pote,39
hard,38
their,38
seen,38
shall,38
chérie,38
vite,38
trouve,38
partir,38
allons,38
coup,38
ami,38
rester,37
few,37
revoir,37
show,37
police,37
nobody,37
drugs,37
which,37
speak,37
year,37
matter,37
while,37
eat,37
secret,37
importe,37
sait,37
stonem,36
demain,36
birthday,36
same,36
hate,36
thinking,36
parents,36
mis,36
malcolm,36
heard,36
mort,36
minute,36
bye,36
meet,36
blood,36
jolie,36
tant,36
dead,36
tiens,35
used,35
seins,35
e,35
question,35
another,35
room,35
guy,35
couilles,35
pu,35
dur,35
combien,34
telling,34
savais,34
six,34
elizabeth,34
okay,34
ring,34
mark,34
donne,34
sale,34
tomorrow,34
gave,34
parles,34
bordel,34
looks,34
boyfriend,34
minutes,34
job,33
huh,33
yours,33
meilleur,33
stand,33
many,33
dirait,33
hair,33
hope,33
woman,33
marche,33
hit,33
vient,33
sexy,33
business,33
devrait,33
live,33
days,33
perdu,33
worry,33
possible,33
jours,32
devoir,32
happen,32
comprends,32
four,32
making,32
forget,32
balls,32
nuit,32
partie,32
called,32
start,32
once,32
lit,32
idiot,32
dégage,32
club,32
knew,31
attention,31
true,31
manger,31
took,31
sang,31
savoir,31
trouver,31
imagine,31
started,31
pussy,31
chambre,31
peur,31
mad,31
both,31
hand,31
connard,31
point,31
aide,31
contre,31
move,31
venu,31
demande,30
means,30
tried,30
cachets,30
ya,30
puis,30
belle,30
gets,30
arrêter,30
times,30
taking,30
bring,30
ni,30
myself,30
branleur,30
young,30
pay,30
touch,30
nom,30
plein,30
jouer,30
dessus,30
gueule,30
sometimes,30
rentrer,30
ladies,29
babe,29
russian,29
pendant,29
bas,29
arrivé,29
inquiète,29
quatre,29
kids,29
rings,29
nathbot,29
cause,29
heure,29
aurait,29
leaving,29
pourrait,29
drogue,29
copain,29
heart,29
family,29
josh,29
since,29
week,29
five,29
yeux,29
main,29
famille,29
calme,29
toutes,29
chercher,29
soit,29
mettre,28
freds,28
facile,28
spliff,28
hands,28
seul,28
yet,28
sweet,28
heures,28
bizarre,28
lâche,28
arse,28
lucky,28
compte,28
total,28
kiss,28
bollocks,28
end,28
o,27
marrant,27
parti,27
suppose,27
sleep,27
plan,27
pensais,27
voiture,27
jusqu,27
dog,27
excellent,27
emmerde,27
years,27
couple,27
weird,27
eyes,27
feeling,27
buy,27
cookie,27
scared,27
loved,27
porte,27
surprise,27
uh,26
goes,26
use,26
sûrement,26
finally,26
bastard,26
plutôt,26
mr,26
prêt,26
beau,26
coursework,26
boire,26
anniversaire,26
ems,26
truth,26
heureux,26
glad,26
savez,26
fout,26
arrow,26
espère,26
twat,25
essayé,25
com,25
darling,25
hurt,25
essaie,25
premier,25
mobile,25
rentre,25
dance,25
mets,25
titres,25
pauvre,25
tea,25
school,25
carrément,25
jim,25
assieds,25
retard,25
parlé,25
already,25
white,25
nos,24
droit,24
sweetheart,24
b,24
semaine,24
safe,24
goodbye,24
essayer,24
quelques,24
answer,24
fils,24
faute,24
nouveau,24
needs,24
potes,24
anthea,24
déteste,24
special,24
somewhere,24
dehors,24
joué,24
thé,24
entendu,24
calm,24
saw,24
sophia,23
working,23
compris,23
voulez,23
sakes,23
donné,23
matin,23
danny,23
guess,23
fera,23
dirty,23
laissez,23
femme,23
commence,23
changer,23
