Mot;Occurrence
pas;1804
mal;60
mais;349
assez;33
bien;386
homo;2
je;2451
suis;425
le;1093
maître;2
quoi;488
tarlouze;2
kelly;2
tu;1646
schlingues;1
et;1132
toi;426
sues;1
comme;249
un;1015
porc;4
lâche;20
moi;517
crado;1
à;969
plus;289
qu;528
est;2186
ce;549
que;1113
t;1137
en;736
dis;112
tone;19
de;1680
la;1018
choré;2
avec;296
kel;1
jonno;2
on;901
l;707
a;699
réussie;1
ça;1055
va;453
inquiète;18
c;1435
rien;213
tout;430
salut;77
maxxie;27
qui;343
tony;94
as;470
problème;39
j;917
ai;647
eu;39
hématome;1
sous;34
dural;1
traumatique;1
complications;1
motrices;1
perceptives;1
es;358
taré;19
taillerais;2
une;515
quand;142
même;116
carrément;14
il;770
canon;6
hein;117
queenie;1
ouais;54
tape;10
y;314
les;674
filles;47
veux;323
tailler;4
peux;208
homosexuel;2
trop;126
con;31
vois;88
fait;342
aimes;29
merci;127
grandi;3
pris;30
facile;21
cm;2
comment;121
ta;179
mère;103
me;470
souviens;13
vous;615
discutait;2
faisais;11
ménage;3
chez;59
étais;95
petit;60
futé;2
débile;17
maintenant;104
non;346
tiens;28
maman;103
rigolait;1
sortait;1
ces;45
trucs;38
totalement;3
imprévisibles;1
ketchup;1
ah;41
oui;229
elle;513
racontait;1
sacrées;1
blagues;3
i;1158
des;402
cochons;1
marrante;3
dois;140
faire;265
pipi;4
toute;41
seule;38
pardon;51
putain;270
machin;6
regardez;16
v;2
là;235
tapette;8
fais;184
gaffe;12
dale;5
te;525
glisser;3
sa;86
grosse;13
bite;36
risque;3
bidi;1
glouglouter;1
allez;142
mon;296
beau;16
branle;4
malade;16
attache;1
fourre;2
dans;265
cul;34
arrêter;25
tellement;34
torture;2
hurles;1
bref;14
putains;13
d;534
homos;3
encule;1
pédales;3
gars;41
bravo;9
taz;4
gamin;10
thé;24
prêt;24
danse;10
rétamer;2
aux;36
régionales;1
cool;48
pourrais;28
laisser;27
tomber;40
bac;6
lycée;37
auditionner;1
londres;6
passes;4
ton;184
diplôme;2
viens;119
bosser;1
bâtiment;5
sert;12
avoir;82
pour;518
devenir;6
maçon;6
seras;13
instruit;1
papa;60
être;237
danseur;2
tous;119
jeudis;1
mjc;2
sais;276
loisirs;1
notre;46
truc;84
reste;37
nous;191
prends;50
chien;12
folle;6
perdue;3
arrête;65
dire;169
pays;9
libre;14
exact;6
suggestion;2
père;70
dit;216
walter;5
oliver;4
accord;68
enfants;17
honte;6
sid;88
mes;129
mains;15
sont;121
bloquées;1
changeais;1
bébé;46
m;356
inscrire;3
au;197
écrire;7
nom;22
ma;279
tête;25
oublié;12
bouts;5
toutes;27
sortes;2
prendra;5
du;235
temps;80
pouvez;16
viser;1
bon;176
merde;163
alors;159
toujours;102
rire;2
faites;31
pisser;7
côté;9
ils;204
pissent;1
cette;87
maison;38
où;194
gentille;5
fille;62
admirez;1
bande;19
chochottes;2
deux;74
trois;42
vache;18
étage;2
grincheuse;1
préparer;4
fête;41
moins;29
secondes;3
belle;23
nan;4
aime;168
jal;61
naturelle;1
ici;141
voit;16
jours;23
ouvert;4
doit;59
ramène;13
chris;86
jalander;1
quelle;32
bonne;55
surprise;13
êtes;70
piles;1
heure;21
bonjour;47
prénom;2
bizarre;18
arrivez;1
fini;37
préparait;1
super;69
mieux;63
chaudes;2
danser;7
soir;49
petite;42
vraiment;141
vrai;70
désolé;77
devait;10
ramener;5
tes;86
parents;11
trouvent;1
peut;147
tôt;14
sortir;31
emmerde;20
pu;28
venir;48
son;101
obligé;4
rester;30
tondre;1
pelouse;2
voilà;93
tond;1
comprends;24
voir;103
monde;90
elgin;2
voici;17
nouveaux;12
amis;48
rory;7
lachlan;6
coco;4
sidney;9
jouer;25
cornemuse;3
suffit;14
apprendre;12
doigté;3
déjà;64
sur;139
bodhrán;1
magique;4
cadeau;11
regarde;79
vive;8
écosse;7
fous;54
choix;13
si;320
arriver;16
crois;88
capable;6
fiston;10
faute;16
coincé;3
camionnette;1
jusqu;19
mort;31
parle;43
ou;102
tire;6
oreille;4
mêle;3
vulgarités;1
balance;2
attendez;12
promis;13
rentrer;24
bordel;18
faut;96
garde;10
attitude;1
fute;2
keumé;1
vais;131
farcir;1
tonne;2
nanas;1
teuf;6
déconnes;3
année;16
sauf;13
mec;67
aller;90
rappelles;12
enfoirés;5
rave;2
pourquoi;200
déguises;1
dealer;1
crack;1
connaissais;6
flinguerais;1
plutôt;21
parce;103
tailles;1
personne;70
sinon;28
vont;16
interner;2
nibards;5
sortent;6
capté;5
stonem;15
se;234
demandait;3
ramené;3
passera;3
demain;21
allons;14
défoncer;6
gueule;20
ne;260
manges;2
aujourd;36
hui;36
devrait;26
traîne;4
sait;27
pourrait;19
crise;4
jim;5
oh;46
chier;51
mange;8
quelque;60
chose;78
bouchées;1
parlons;2
autre;66
parler;53
salaces;2
vu;60
jackie;2
dû;38
confondre;2
quelqu;75
anthea;8
enfin;36
ami;26
allé;13
médecin;4
connais;47
examens;8
palpitations;1
retourné;1
doc;1
résultats;12
docteur;3
lui;171
mauvaise;4
nouvelle;16
mois;14
vivre;14
complètement;12
anéanti;1
ressaisit;1
demande;19
répond;3
voyez;13
secrétaire;1
blonde;3
énorme;3
poitrine;1
eh;10
ben;14
pourrie;3
était;194
bonsoir;8
feront;3
ses;36
pigé;5
arrêtera;2
besoin;74
conduire;1
monstre;3
ronge;2
vieux;12
tyran;1
paix;8
point;14
final;4
bandy;2
couci;1
couça;1
paraît;10
grande;6
malentendu;1
andouille;3
excuse;12
max;12
gâteau;8
excuses;6
joli;11
réglé;10
dame;3
ont;66
libérée;1
encore;96
porter;5
bracelet;4
électronique;2
mince;8
