Mot;Occurrence
pretty;35
good;219
fella;4
but;380
not;581
enough;43
homo;1
yeah;478
because;133
i;4743
rule;1
basically;5
shit;166
bender;1
ah;37
kelly;2
you;4749
re;783
stankin;1
what;1099
about;308
sweaty;3
fuck;409
aargh;1
get;435
away;85
scummer;1
later;38
then;212
think;287
of;737
that;1151
tone;20
the;1791
moves;4
me;1043
jonno;3
and;1351
kel;1
worked;12
it;1931
out;323
s;2351
ok;300
hey;87
nothing;125
to;1896
worry;24
dude;9
all;552
right;590
everything;110
cool;58
hi;92
maxxie;30
who;203
tony;111
up;428
with;401
had;111
a;1550
traumatic;1
subdural;1
haematoma;1
motor;1
perceptional;1
complications;1
are;518
mental;20
yes;201
d;200
still;63
give;94
one;223
totally;38
he;575
well;234
fit;11
queenie;1
buff;1
come;372
on;607
see;254
girls;55
bye;24
wanna;62
can;548
t;1599
homosexual;2
bummer;8
remembered;4
your;603
favourite;7
thanks;74
ve;456
grown;6
there;296
another;26
two;69
inches;3
in;684
easy;28
how;234
mum;204
don;680
remember;59
oh;321
we;843
used;30
have;467
lovely;53
chats;1
when;157
was;412
cleaning;2
place;40
were;140
such;35
clever;10
little;101
lad;8
m;871
stupid;67
now;282
no;560
here;374
go;350
mate;76
giggle;1
never;146
did;207
know;572
going;280
say;150
next;39
ketchup;1
bloody;14
hilarious;3
jokes;3
she;550
told;70
filthy;6
laugh;9
need;153
pee;4
manage;5
myself;22
usually;9
sorry;214
fucking;515
thing;86
ooh;3
oooh;1
la;4
yee;1
ha;15
oi;7
look;231
comes;13
batty;1
boy;56
watch;33
dale;5
ll;328
slip;4
big;39
fat;9
cock;42
way;110
man;181
cockety;1
or;151
slurp;1
be;414
like;458
my;737
lover;10
wank;1
silly;8
over;96
his;129
face;22
tie;9
shoving;1
arse;20
wouldn;43
able;10
stop;101
him;239
cos;88
torture;3
shrieking;1
just;587
saying;57
homos;2
though;40
innit;14
em;30
them;150
fuckin;7
queers;1
lads;19
omos;1
nice;128
taz;4
love;276
tea;25
ready;43
routine;5
dad;128
gonna;178
slay;1
at;243
regionals;1
wanted;52
ask;40
is;777
if;248
drop;10
levels;6
back;163
leave;69
college;43
audition;9
for;578
musicals;1
london;8
getting;65
qualifications;3
coming;79
building;8
history;9
level;3
help;75
builder;5
an;110
educated;1
want;330
dancer;2
they;329
dancing;10
every;40
thursday;4
down;132
centre;6
pastimes;1
into;58
rest;9
isn;75
us;121
dog;18
turd;3
burglar;1
quiet;11
got;397
something;140
kidder;3
free;11
country;11
fair;14
point;11
suggestion;2
son;30
tell;180
said;126
walter;5
oliver;4
fucked;93
time;162
sid;119
hands;22
work;53
always;78
sorted;11
baby;40
register;3
sign;9
name;38
form;12
head;38
forgotten;4
bits;8
sorts;2
aim;3
hell;43
make;112
making;29
miss;27
other;74
bloke;5
this;619
sodding;7
house;45
whatever;26
happened;51
lass;1
god;67
bunch;2
pussy;25
fuckers;5
three;59
floor;5
dunno;23
do;673
angry;11
boots;2
party;84
take;128
seconds;5
dress;10
nah;10
jal;72
unstudied;1
door;26
day;79
open;39
home;65
chris;110
jalander;1
surprise;8
came;47
where;186
guys;30
hello;66
funny;43
lot;46
spring;2
from;103
finished;16
seeing;9
great;85
better;88
warm;7
so;545
night;55
tonight;44
huh;10
bit;113
really;198
says;61
gotta;66
maybe;72
folks;4
too;124
soon;16
couldn;37
made;58
stay;53
mow;1
grass;3
mowing;1
everyone;62
elgin;2
new;56
friends;72
rory;7
lachlan;6
wee;7
sidney;11
let;235
blow;14
chanter;3
ye;5
learn;7
tae;2
finger;10
already;18
been;151
beating;3
bodhran;1
magic;17
aye;14
very;81
anyway;60
present;10
mighty;2
scotland;5
hoots;1
care;43
decide;11
dances;1
spare;3
wrong;59
fault;14
stuck;4
white;12
van;3
life;66
speak;21
clout;2
round;35
earhole;1
bring;23
swearing;5
swears;1
wait;50
groove;1
upon;6
yo;12
cruising;1
lamborghini;1
chicks;1
mmm;5
wow;13
sexy;12
might;51
shot;3
end;21
argh;3
ow;3
stand;29
pimp;1
these;58
happening;15
blood;26
some;145
serious;8
slippy;2
slidey;1
todger;2
action;10
pissing;6
biggest;2
year;24
everybody;35
except;13
shame;2
keep;51
rave;7
why;239
dressed;12
as;150
crack;4
dealer;1
much;83
met;33
rather;10
slit;1
wrists;1
than;57
anyone;50
tits;44
geddit;1
mr;18
stonem;17
wondered;3
bringing;4
problem;35
pop;13
tomorrow;20
anything;84
um;43
today;60
shouldn;14
wandering;2
around;34
knows;24
even;71
could;116
bleed;1
jim;5
christ;36
sake;35
eat;23
bite;3
sized;3
talk;59
else;50
dirty;20
saw;18
jackie;2
probably;47
thinking;29
someone;81
anthea;10
mine;39
doctor;9
er;37
tests;2
palpitations;1
eventually;4
goes;20
results;11
sit;36
afraid;10
news;7
bad;57
only;82
month;4
live;26
devastated;1
gutted;1
pulls;1
himself;17
together;40
receptionist;1
blonde;2
huge;4
her;359
crap;9
thank;52
before;76
leaving;21
monster;7
being;46
eating;9
old;39
bully;1
alone;31
final;9
bandy;2
doin;3
passable;1
seems;13
has;53
overstepped;1
mouth;9
misunderstanding;1
dildohead;1
max;9
baked;1
cake;11
remorse;1
water;10
under;12
bridge;1
wife;8
gave;27
early;14
release;1
wear;8
electronic;2
tag;1
course;43
banned;2
operating;1
concrete;2
mixer;2
cattle;1
prod;1
best;58
off;195
nobody;27
wants;36
any;120
more;127
won;57
both;17
bummed;1
bruv;3
doesn;75
misses;3
gay;38
sing;9
ditty;1
hope;25
enjoy;8
alastair;1
would;109
mind;61
pressing;1
play;29
please;136
awfully;4
gimme;5
riddim;1
mi;2
tear;3
ender;1
hear;41
blud;4
hit;29
massive;2
takin;1
uptown;1
monkey;10
kid;37
senseless;2
whoa;6
hot;14
cas;1
total;15
mong;4
pissed;13
vegetable;2
switched;2
yah;5
naughty;13
forgive;8
working;15
dream;6
shag;18
michelle;60
boring;11
longest;1
tongue;4
ever;83
will;138
blowjob;6
faggot;1
cocksucker;1
wanker;7
tossers;3
sent;5
should;92
knew;24
hundreds;1
thousands;1
lemon;4
drizzle;1
