Mot,Occurrence
i,49236
you,41938
a,28138
the,26900
je,26215
de,24195
to,23897
s,22251
que,20787
est,19877
t,19262
tu,19067
pas,17731
it,16235
me,14342
le,13619
that,13395
ne,12541
à,11861
la,11802
il,11797
m,11121
un,11116
ce,10977
of,10682
on,10628
vous,10558
clark,10134
and,10035
et,9597
c,9535
l,9279
d,9117
what,8945
j,8823
n,8670
in,8368
qu,8068
ai,7838
pour,7616
en,7561
your,7508
is,7450
this,7292
he,7065
my,6930
les,6917
une,6850
have,6551
was,6510
for,6436
lex,6253
know,6176
as,6154
ça,6104
don,6046
re,5913
we,5885
be,5628
but,5578
not,5424
mais,5348
qui,5270
can,5252
just,5196
do,5100
with,4755
lana,4603
des,4513
are,4325
moi,4284
si,4264
te,4245
no,4139
all,4132
suis,4124
dans,4117
bien,4093
about,4016
out,4010
y,3808
être,3794
if,3753
elle,3748
plus,3726
there,3697
so,3617
tout,3580
she,3525
get,3518
like,3517
nous,3503
mon,3452
here,3389
ve,3319
avec,3281
fait,3264
him,3248
sais,3221
think,3139
up,3090
du,3001
ll,2978
était,2940
toi,2935
right,2888
how,2852
they,2851
her,2839
one,2826
faire,2819
sur,2814
au,2769
well,2632
from,2590
want,2577
at,2554
now,2541
did,2468
son,2464
comme,2425
es,2398
why,2364
gonna,2344
ton,2338
go,2330
chloe,2326
peut,2323
been,2320
non,2314
who,2266
when,2261
se,2258
were,2171
okay,2140
peux,2134
didn,2130
veux,2121
got,2120
lois,2116
yeah,2089
oh,2080
his,2078
could,2068
chose,2043
va,2033
time,2030
luthor,2010
kent,2001
would,1997
see,1976
ils,1974
là,1925
come,1923
ici,1914
lui,1907
pourquoi,1901
ma,1875
let,1874
cette,1852
back,1826
an,1823
dit,1822
had,1766
look,1726
need,1722
dire,1719
quand,1715
avoir,1679
really,1672
quoi,1665
never,1652
smallville,1643
où,1643
été,1627
juste,1622
tell,1608
some,1604
rien,1585
comment,1580
where,1564
votre,1541
something,1527
jamais,1511
more,1509
way,1499
même,1489
quelque,1479
