Mot;Occurrence
i;18888
précédemment;4
dans;462
smallville;459
tu;1929
dois;154
trouver;50
le;1396
réceptacle;6
humain;18
et;1142
détruire;18
coût;2
d;1476
une;689
vie;107
est;1994
prix;11
à;1151
payer;12
même;139
s;8130
il;1112
agit;8
de;2438
celle;15
son;342
fils;51
je;2640
ne;1239
sais;323
pas;1772
comment;178
j;884
ai;749
pu;91
t;6725
aimer;11
un;1130
jour;71
si;431
te;391
reverrai;3
connaître;3
la;1194
vérité;44
sur;299
moi;418
vous;1009
laisserai;13
cette;175
planète;20
comme;284
l;898
avez;147
fait;317
avec;373
krypton;131
n;901
as;1354
choix;25
que;2175
ça;545
commence;13
qu;761
ouvert;6
portail;14
pour;800
libérer;7
zod;241
m;3167
luthor;540
maintenant;152
premier;23
épisode;3
nouvelle;24
saison;3
ohé;3
y;403
a;8562
quelqu;132
merci;113
bienvenue;13
zone;115
fantôme;43
faut;29
on;3055
abrite;2
votre;147
déjà;44
intérieur;17
lex;1885
non;253
allez;94
occupe;6
elle;327
ville;32
en;708
train;42
se;203
déchirer;2
tous;142
ces;122
gens;74
les;675
aide;42
aider;62
pouvoirs;53
fine;210
donné;33
pourrais;33
stopper;4
émeutes;2
sauver;46
mort;46
appelle;28
c;975
était;331
lui;175
ce;1174
clark;2356
du;307
arriver;29
temps;105
chez;22
arrêter;41
pris;45
contrôle;12
pensez;15
quand;162
poignard;10
jor;208
el;479
remis;6
doit;61
encore;74
ferme;36
peut;238
utiliser;22
voulez;40
dire;190
tuer;48
vais;121
me;4650
frayer;2
passage;9
vers;21
daily;141
planet;327
voir;128
peux;265
apprendre;11
quelque;170
chose;262
autre;115
virus;26
kryptonien;20
qui;531
tout;373
être;379
arrivais;3
interpréter;2
symboles;3
ceux;27
griffonniez;2
ca;193
nous;330
aidera;3
avons;58
besoin;107
déchiffrer;3
mais;482
êtes;73
oracle;2
pense;149
accès;12
sorte;28
dictionnaire;2
français;2
lien;13
ressentais;4
forteresse;20
disparu;34
sens;31
plus;395
sa;93
présence;6
parvenons;2
jusqu;39
dague;2
pourrons;5
pouvons;4
aller;88
vu;75
état;10
mes;79
jambes;4
tiens;13
prenez;8
soin;3
mlle;17
sullivan;124
aussi;100
où;201
sois;32
aurais;67
vraiment;175
ton;205
viens;39
suis;425
né;4
été;171
élevé;3
terre;31
kal;233
connaissez;12
mon;296
nom;37
connu;8
père;61
laisse;36
partir;41
emmènes;2
reçoit;4
ordre;5
donne;16
quoi;181
parles;17
oh;637
bon;112
sang;27
es;261
choses;53
sont;106
sorties;5
vaisseau;11
aethyr;2
nam;6
ek;6
simples;5
soldats;4
sous;58
commandement;2
arrive;56
vient;36
toi;285
combattre;6
dit;156
crois;97
soucie;5
primitive;8
pourquoi;169
perdez;2
témoigner;2
fin;14
ère;3
humaine;8
renaissance;5
joyau;2
brillant;4
univers;8
vaste;2
obscur;2
privilège;2
jouer;20
rôle;4
résurrection;2
échappatoire;3
va;170
lois;1046
dieu;56
ma;199
chérie;13
ira;12
bien;524
sortir;40
là;220
sos;5
notre;67
avion;12
crashé;2
entend;2
martha;55
kent;343
dont;56
parlé;28
avoir;169
amené;9
ici;222
écraser;2
otages;2
par;174
cerveau;12
module;3
interactif;2
milton;14
au;282
lieu;19
choisi;9
contre;24
partie;52
plonger;5
détruit;13
toutes;50
copies;9
endommagé;3
structure;4
libéré;7
arrivé;44
banni;2
toujours;105
ramenez;6
devez;16
ramener;6
maison;16
pouvoir;52
maître;2
destin;10
perdu;39
mari;13
cause;131
vos;35
jeux;5
eux;26
beaucoup;87
mettre;31
côté;15
angoisse;2
souhaitez;2
monde;95
mission;38
achevée;2
retrouvez;2
tuez;6
tue;6
corps;35
vrai;69
sensée;2
faire;296
moyen;19
ou;113
très;122
profonde;4
gratitude;3
jamais;138
espérer;5
lumière;7
brillante;2
guider;3
adieu;4
raya;60
importance;10
exactement;21
crée;3
endroit;48
enfermer;3
criminels;7
des;420
galaxies;9
