Mot,Occurrence
i,4588
you,3835
a,3111
the,3090
s,2843
de,2437
to,2397
je,2318
est,2131
on,2122
t,2056
it,1675
le,1669
pas,1627
that,1373
la,1370
c,1345
que,1315
à,1279
me,1223
of,1210
les,1182
un,1181
we,1177
il,1160
tu,1154
ça,1153
and,1050
this,1036
m,1035
et,1013
l,1009
what,982
pour,950
in,937
j,918
ce,888
qu,852
d,829
vous,823
en,797
he,778
your,732
got,699
is,694
une,691
for,687
know,671
des,669
my,665
do,619
ai,614
re,599
all,583
with,576
get,563
out,552
don,541
was,526
up,525
him,517
be,515
ll,514
shit,511
clay,497
just,489
va,488
not,472
can,461
avec,460
as,459
dans,445
qui,440
about,431
right,425
here,423
y,421
are,416
no,413
moi,413
te,413
they,405
jax,386
si,384
want,382
mon,365
du,363
tout,358
have,355
bien,348
faire,347
sais,345
fait,343
go,342
suis,340
club,336
quoi,334
ils,330
elle,327
his,323
going,323
nous,315
need,314
toi,311
how,304
était,299
au,298
good,297
plus,293
if,292
at,290
là,289
mais,288
lui,284
être,281
gonna,280
man,279
one,279
she,278
us,277
back,274
but,270
there,265
sur,263
veux,262
son,260
opie,258
se,258
let,257
zobelle,255
ton,255
okay,253
yeah,250
her,245
some,238
ma,238
crow,237
think,237
so,233
rien,225
like,221
come,217
now,217
see,212
peut,209
es,208
charming,207
où,207
sam,203
take,202
ont,202
from,200
our,200
where,200
off,196
ne,190
little,190
time,188
why,186
sorry,186
down,185
been,181
bon,181
who,181
make,178
faut,178
n,178
look,178
tell,176
hell,172
cette,170
peux,169
comment,168
ici,167
deux,167
ta,166
merci,164
them,163
an,163
something,163
fais,161
atf,161
vais,161
donna,161
did,159
guys,157
bobby,157
give,155
sure,154
non,154
doing,154
or,152
merde,152
two,150
ve,149
besoin,148
old,148
guns,148
sont,147
ope,147
dit,146
way,144
guy,143
votre,143
comme,143
voir,142
darby,141
thing,139
pourquoi,139
chose,139
call,139
gemma,139
mayans,137
sa,136
will,136
armes,134
when,134
had,134
should,131
jesus,131
quand,131
doit,130
didn,130
dire,129
putain,126
tous,125
into,123
sons,122
then,121
juste,121
gars,121
allez,120
could,119
love,119
by,119
par,118
veut,117
notre,117
anything,117
over,117
help,117
hale,115
more,115
maybe,114
ou,114
too,112
really,111
never,111
were,111
dois,111
put,111
père,110
temps,109
luann,108
même,107
kids,107
otto,106
kill,106
peu,106
encore,105
keep,105
thanks,104
mes,104
aux,103
nothing,102
family,102
talk,102
god,101
deal,100
sans,100
autre,100
sait,99
dis,99
ces,99
désolé,99
still,98
would,98
vas,98
business,96
crois,96
aussi,95
gotta,95
find,95
goddamn,95
before,94
baby,94
vraiment,94
through,93
famille,93
toujours,93
sera,92
unser,91
cause,91
only,91
été,91
aller,91
boy,90
home,90
avant,90
guess,88
those,88
tara,88
last,88
tes,87
their,87
alors,87
well,87
mec,87
ses,87
dieu,86
weston,86
jamais,86
depuis,86
any,85
ain,84
quelque,84
leur,84
happened,83
quelqu,83
parler,83
christ,82
maintenant,82
done,82
jimmy,81
bad,81
much,81
half,81
stahl,80
fils,80
avez,80
vu,80
kid,80
petit,79
personne,79
own,78
say,78
three,78
très,78
oui,78
aime,77
avoir,77
has,77
niners,77
happen,76
team,76
these,76
hey,75
life,75
things,75
em,74
ok,74
doesn,74
money,73
am,73
around,73
êtes,73
mayan,72
eu,72
work,72
mort,72
getting,72
head,72
chibs,71
stop,71
same,71
mère,71
house,70
tuer,70
night,70
other,70
ouais,70
reste,70
brother,69
said,69
appelle,69
avait,69
dead,69
mean,69
bitch,68
anarchy,68
passe,67
place,67
talking,67
chez,67
made,67
soir,67
mieux,67
passé,67
enfants,67
than,67
accord,66
town,66
problème,66
better,65
trop,65
ira,65
mom,65
soit,65
tig,65
looking,65
vieux,65
sûr,65
vont,65
truc,65
hefner,64
viens,64
away,64
killed,64
déjà,64
agent,63
lot,63
after,63
please,63
part,63
big,63
both,63
again,63
après,63
friend,62
long,62
ans,62
told,62
gun,62
years,61
does,61
wait,61
fille,61
oh,61
trying,61
tête,60
ass,60
bébé,60
avais,60
trois,60
bonne,60
fois,60
nos,59
choses,59
wanted,59
run,59
aider,59
few,58
wants,58
thought,58
real,58
mois,58
prendre,58
alone,58
new,57
laroy,57
étais,57
savoir,57
sang,57
end,57
coming,57
flingues,56
prends,56
protection,56
boys,56
moment,55
kind,55
thank,55
seul,55
stay,55
caracara,54
santiag,54
kohn,54
everything,54
passer,54
won,54
teller,54
garage,54
very,54
else,54
trouver,53
case,53
minute,53
entre,53
abel,53
feds,53
alvarez,53
someone,52
vie,52
fine,52
piney,52
found,51
chance,51
quelques,51
knew,51
bring,51
pris,51
move,51
went,51
problem,51
femme,51
car,51
day,51
idea,50
hurt,50
air,50
took,50
until,50
dad,50
maison,50
every,50
saw,49
safe,49
even,49
running,49
care,49
line,49
enough,49
voulais,49
vote,49
autres,48
voilà,48
lowell,48
témoin,48
hear,48
chercher,48
eye,47
next,47
protéger,47
straight,47
feel,47
girl,47
mal,47
ami,47
balance,46
might,46
gets,46
message,46
perfect,46
morning,46
handle,46
edmond,46
came,46
sack,46
rat,45
bed,45
die,45
cash,45
oakland,45
chef,45
chief,45
petite,45
knows,45
clear,45
devil,45
vos,45
ever,44
désolée,44
grand,44
black,44
pense,44
hit,44
cul,44
vrai,44
cameron,44
laisse,43
devrait,43
boulot,43
irlandais,43
cut,43
ak,43
fédéraux,43
ville,43
arrête,43
tué,43
juice,43
dû,43
ask,43
inside,42
sous,42
nom,42
months,42
camion,42
ni,42
best,42
yes,42
truth,42
probably,42
monde,42
donc,42
because,41
arrive,41
venir,41
looks,41
oswald,41
father,41
o,41
six,41
wife,41
tried,41
pourrait,41
pretty,41
georgie,41
pos,41
pick,41
set,40
already,40
hard,40
vois,40
wendy,40
left,40
stockton,40
takes,39
demain,39
gros,39
occupe,39
partie,39
while,39
mckeavy,39
always,39
crew,39
point,39
argent,39
without,39
bas,39
devrais,38
savais,38
days,38
importe,38
parce,38
voulez,38
bullshit,38
leave,38
promise,38
white,38
irish,38
yet,37
service,37
needs,37
trouvé,37
protect,37
truck,37
hein,37
worry,37
first,37
rester,37
aide,37
sortir,37
attends,36
jury,36
serait,36
chicago,36
tomorrow,36
couple,36
hier,36
figure,36
faites,36
job,36
another,36
dr,35
morrow,35
holy,35
police,35
daughter,35
witness,35
lodi,35
being,35
called,35
taking,35
parle,35
wasn,35
connais,35
seule,35
heard,35
raison,35
contre,35
anyone,35
trammel,35
everybody,35
riding,35
nevada,35
sens,35
combien,34
homme,34
world,34
question,34
smart,34
matter,34
mc,34
maman,34
écoute,34
beaucoup,34
vérité,34
papa,34
asshole,34
pull,34
five,34
crime,34
ago,34
couldn,34
filles,34
fini,34
great,34
supposed,34
doc,34
warehouse,33
together,33
fera,33
type,33
idée,33
says,33
means,33
assez,33
face,33
vient,33
parlé,33
meet,33
whatever,33
prison,33
turn,33
marche,33
coup,33
affaire,32
watch,32
piece,32
pay,32
frère,32
samcro,32
laisser,32
tard,32
stupid,32
soul,32
jours,32
show,32
salut,32
mother,32
mind,32
aurais,32
excuse,32
ride,32
hold,32
dessus,32
entrepôt,32
nouveau,32
since,32
lin,31
start,31
ready,31
genre,31
simple,31
trouve,31
john,31
anymore,31
cet,31
today,31
aurait,31
quel,31
hate,31
must,31
goes,31
ethan,31
use,31
salope,31
minutes,31
murder,31
bordel,31
vendre,31
shot,31
people,31
plan,31
course,30
main,30
équipe,30
flies,30
moins,30
aura,30
flics,30
saying,30
happy,29
front,29
tonight,29
somebody,29
sérieux,29
cops,29
happens,29
dehors,29
sell,29
appreciate,29
charter,29
voulait,29
arrêter,29
clean,29
connard,29
road,29
try,29
h,29
lose,29
loi,29
pussy,29
bodies,29
thinking,29
ten,29
trust,29
weeks,29
elles,29
fbi,29
aks,29
table,29
check,28
understand,28
cas,28
rosen,28
cherche,28
crazy,28
eux,28
shut,28
open,28
entendu,28
parti,28
hands,28
lady,28
drop,28
gone,28
info,27
behind,27
hospital,27
hand,27
pu,27
county,27
fric,27
peur,27
under,27
telling,27
serious,27
change,27
demande,27
favor,27
allons,27
working,27
voiture,27
friends,27
toute,27
donne,27
fiona,27
outside,27
nords,27
garde,27
arrivé,27
sale,27
may,27
easy,27
tiens,27
arriver,27
kyle,27
huh,27
believe,26
sois,26
jour,26
nice,26
later,26
regarde,26
penses,26
toutes,26
welcome,26
sweetheart,26
girls,26
mettre,26
thomas,26
studio,26
relax,26
whole,26
faute,26
grave,26
stuff,26
trucs,26
land,26
cherry,26
party,26
four,26
least,25
font,25
souci,25
fire,25
play,25
charge,25
heure,25
appelé,25
pissed,25
histoire,25
confiance,25
mistake,25
joue,25
tant,25
prospect,25
étaient,25
hors,25
full,25
occuper,25
nobody,25
sûrement,25
wrong,25
rest,25
prend,25
nuit,25
hôpital,25
fête,25
semaines,24
con,24
hayes,24
donné,24
mine,24
boss,24
against,24
catch,24
meurtre,24
chérie,24
blood,24
actually,24
pensais,24
turned,24
route,24
corps,24
comprends,24
doute,24
fous,24
lyla,24
dirait,24
making,24
appeler,24
moyen,24
ensemble,24
rentrer,24
aucun,24
episode,24
anybody,24
raped,24
super,23
week,23
michael,23
pouvoir,23
ex,23
elliot,23
nord,23
death,23
everyone,23
asking,23
état,23
door,23
yourself,23
pourrais,23
blow,23
chucky,23
sit,23
afraid,23
till,23
accident,23
parles,23
dealing,23
imagine,23
ait,23
secret,23
fabrique,23
calme,23
amour,23
st,23
crank,23
haven,22
nomad,22
sense,22
law,22
waiting,22
sors,22
attendre,22
gens,22
hope,22
devait,22
clubhouse,22
derrière,22
mets,22
true,22
lost,22
affaires,22
matin,22
giving,22
elvis,22
foutre,22
feeling,22
hui,22
selling,22
demander,22
mains,22
glad,22
sécurité,22
heart,22
break,22
partir,22
hommes,22
retaliation,22
aujourd,22
past,22
makes,22
prêt,21
figured,21
aucune,21
sign,21
près,21
content,21
war,21
façon,21
isn,21
deputy,21
file,21
charges,21
arrest,21
justice,21
name,21
office,21
gave,21
met,21
dog,21
order,21
heures,21
apprenti,21
celui,21
leurs,21
da,21
porn,21
faudrait,21
pendant,21
loin,21
live,21
chuck,21
beautiful,21
porno,21
tristen,21
garder,21
talked,20
longtemps,20
amis,20
neeta,20
reason,20
dick,20
respect,20
puis,20
agit,20
surveille,20
jusqu,20
précédemment,20
david,20
plaît,20
blanc,20
erreur,20
pouvez,20
grosse,20
free,20
previously,20
seen,20
pute,20
gérer,20
fout,20
cinq,20
able,20
mary,20
guerre,20
compris,20
années,20
intel,20
tribe,20
demandé,20
jackson,19
indian,19
jackie,19
quelle,19
hills,19
throw,19
tomber,19
heroin,19
ferai,19
kerrianne,19
month,19
clair,19
darling,19
box,19
croire,19
régler,19
choix,19
doctor,19
dernière,19
yours,19
tue,19
courant,19
vite,19
federal,19
retourner,19
plutôt,19
room,19
inquiète,19
côté,19
drive,19
espère,19
history,19
solution,19
porte,18
taule,18
tagne,18
each,18
most,18
cool,18
plein,18
suv,18
lâche,18
used,18
pote,18
patch,18
hours,18
phone,18
cell,18
sort,18
essaye,18
essaie,18
late,18
semaine,18
essayé,18
men,18
outlaw,18
ferme,18
faux,18
watching,18
bonjour,18
seulement,18
sac,18
suit,18
savait,18
verra,18
caruso,18
coeur,18
san,18
tirer,18
between,18
sorte,18
works,18
bro,18
nate,18
fallait,18
security,18
promis,18
street,18
premier,17
michvanilly,17
bureau,17
debt,17
far,17
chier,17
year,17
touch,17
deep,17
sitting,17
retour,17
mr,17
drogue,17
chino,17
step,17
assault,17
pain,17
chicanos,17
wouldn,17
pose,17
important,17
livraison,17
ramène,17
judge,17
flingue,17
cancer,17
balle,17
fin,17
boîte,17
close,17
soa,17
league,17
started,17
aryens,17
jouer,17
comptes,17
intérêt,17
journée,17
huge,17
dope,17
moitié,17
cop,17
niner,17
aren,17
walk,17
perdu,17
shithead,17
remember,17
ferais,17
nouvelle,17
appris,16
représailles,16
adjoint,16
gay,16
promets,16
compte,16
malin,16
bluebird,16
storage,16
power,16
jail,16
wetbacks,16
procureur,16
floyd,16
rico,16
school,16
bag,16
worried,16
hole,16
ghetto,16
insurance,16
state,16
weapons,16
meth,16
balls,16
double,16
veulent,16
nouvelles,16
paix,16
centre,16
mis,16
manque,16
savez,16
matos,16
sûre,16
bar,16
helping,16
prochaine,16
juge,16
photos,16
trafic,16
mexicains,16
moby,16
trouble,16
changer,16
questions,16
portable,16
pass,16
ouvre,16
van,16
information,16
keeping,16
tellement,16
water,16
women,16
mauvaise,16
piss,15
dedans,15
ones,15
pensez,15
rentre,15
risk,15
fun,15
envie,15
idiot,15
news,15
attend,15
bit,15
win,15
arrêté,15
héroïne,15
beef,15
laissé,15
harley,15
once,15
presque,15
absolutely,15
oeil,15
possible,15
send,15
venue,15
times,15
which,15
arme,15
dégage,15
voulu,15
hoping,15
thinks,15
dix,15
bande,15
seems,15
finish,15
morada,15
guessing,15
sanwa,15
emmène,15
incendie,15
others,15
book,15
gamin,15
either,15
protecting,15
fix,15
buried,15
belle,15
soin,15
fasse,15
hang,15
petits,15
heads,15
stock,15
bail,15
eyes,15
gamins,15
beau,15
couilles,15
having,15
m4,15
buy,15
livre,15
offre,15
vers,15
kidding,15
présente,15
miss,15
prouver,15
doubt,14
devais,14
violée,14
trigger,14
numéro,14
réfléchir,14
aryan,14
honey,14
living,14
fault,14
types,14
pop,14
comes,14
ligue,14
avis,14
listen,14
playing,14
oregon,14
croyais,14
deliver,14
fed,14
top,14
envoyer,14
sorti,14
many,14
sleep,14
mexicans,14
dude,14
number,14
tenir,14
pope,14
picking,14
dinner,14
noir,14
lie,14
junkie,14
dirai,14
relationship,14
bullet,14
different,14
labo,14
fat,14
dozen,14
karen,14
problèmes,14
sinon,14
source,14
doucement,14
paraît,14
nomade,14
brothers,14
cover,14
saura,14
droit,14
infos,14
instant,14
attention,14
daddy,14
venu,14
choice,14
shouldn,14
eyewitness,14
vision,14
almost,14
sometimes,14
pire,14
side,14
personal,14
payer,14
prove,14
soon,14
meilleur,14
femmes,14
nine,14
dès,14
excusez,13
color,13
groupe,13
flic,13
rendez,13
port,13
split,13
violence,13
munson,13
rendre,13
sounds,13
feet,13
poser,13
died,13
peace,13
damn,13
pensé,13
fair,13
terre,13
body,13
revenue,13
cargo,13
devez,13
marché,13
dur,13
brown,13
become,13
pardon,13
damage,13
wire,13
bikers,13
donner,13
effet,13
gosses,13
gang,13
pourra,13
contact,13
bouge,13
books,13
enfoiré,13
violent,13
list,13
empêcher,13
devenu,13
conseil,13
déteste,13
illegal,13
hi,13
frères,13
gives,13
endroit,13
pauvre,13
sick,13
vaut,13
red,13
forget,13
asked,13
fédéral,13
retard,13
normal,13
menace,13
surtout,13
prête,13
bye,13
killing,13
ramener,13
faudra,13
vengeance,13
quatre,13
aj,13
ceux,13
small,13
potes,13
chemin,13
tape,13
comté,13
épisode,13
tombe,13
dealer,13
fiston,13
prix,13
peine,13
propre,12
knowles,12
amène,12
beat,12
eat,12
staying,12
oublie,12
scumbag,12
followed,12
pd,12
loved,12
espèce,12
follow,12
madame,12
keeps,12
winston,12
paid,12
responsable,12
sent,12
clubs,12
partout,12
buter,12
voit,12
fight,12
ground,12
retrouve,12
myself,12
rebuild,12
direction,12
travail,12
camp,12
aimerais,12
chatte,12
chaque,12
dernier,12
save,12
dirty,12
assure,12
gangsta,12
meeting,12
