Mot;Occurrence
ils;330
vendent;6
des;669
graines;1
pour;949
oiseaux;1
tu;1154
te;413
fous;24
de;2435
moi;413
à;1279
l;1007
arrière;10
d;677
accord;65
le;1669
blanc;20
avait;69
raison;35
m4;13
une;691
commande;8
spéciale;2
niners;36
automatiques;4
lunettes;4
laser;1
les;1182
négros;7
rateraient;1
quand;131
même;107
leur;84
cible;3
mets;22
et;1013
glocks;5
dans;445
camion;42
qu;852
est;2131
ce;888
on;1308
fait;343
du;363
reste;70
crame;4
tout;358
salut;32
louise;1
peux;169
acheter;8
ça;1153
par;118
lot;4
c;1342
bien;348
moins;30
cher;7
boîte;17
seulement;18
rester;37
modeste;2
donne;27
un;1181
paquet;7
clopes;1
aussi;95
était;299
mon;364
préféré;4
putain;126
quoi;334
oh;15
merde;152
qui;440
s;374
passé;67
citernes;1
gaz;1
ont;202
pris;51
feu;11
il;1160
y;418
munitions;6
a;1185
explosé;6
pompiers;4
disent;3
que;1315
criminel;8
traces;6
pas;1627
bottes;1
cowboy;2
je;2318
crois;96
ces;99
putains;6
mayans;60
mec;87
où;207
rodrigo;2
aucun;24
signe;7
votre;143
gardien;4
au;298
courant;19
officiellement;1
peut;209
convaincre;7
capitaine;2
revoir;11
son;180
rapport;10
officieusement;1
explosion;7
été;91
vue;12
deux;167
comtés;2
cet;31
endroit;13
mort;72
nom;42
dieu;86
disparus;2
comme;143
la;1359
plupart;9
mettez;5
pompier;1
j;915
ai;614
envie;15
atf;82
soit;65
partons;1
ici;167
vous;823
devriez;4
voir;142
autre;100
chose;138
vraiment;94
frits;1
refrits;1
clandestins;1
partie;39
notre;117
équipe;30
trouvés;2
avant;90
arrivée;3
n;177
aura;30
plus;290
fumée;3
débarrassez;1
en;797
dis;99
aux;103
gars;121
oaktown;2
faut;178
livre;15
cinq;20
caisses;4
laroy;29
demain;39
matin;22
appelle;69
hotline;2
gang;7
arrange;9
réunion;10
derrière;22
tête;60
rapide;3
sans;100
douleur;4
facile;7
être;281
roi;6
rappelle;11
toi;311
santiag;33
team;40
présente;15
sons;64
of;40
anarchy;39
pilot;1
jour;26
t;832
es;208
belle;15
caisse;9
cerf;1
bourge;1
foutu;10
air;45
près;21
cascades;3
lui;284
rentré;4
dedans;15
ou;114
heurté;2
arbre;1
alors;87
suçait;1
comment;166
veux;262
sorte;18
là;289
non;153
fais;161
si;384
découpais;1
ton;254
steak;2
sizzler;1
mange;4
viande;3
débrouille;4
grunt;1
cramé;8
entrepôt;32
volé;10
clay;235
parti;28
discuter;8
avec;460
essayer;7
gagner;5
temps;109
déjà;64
payé;12
délicate;1
m;286
man;4
allé;8
encore;104
espère;19
trouveras;3
quelque;84
fouillé;3
trucs;26
bébé;60
depuis;86
lustres;1
sera;92
utile;8
viens;64
toujours;93
dîner;5
soir;67
vais;161
prendre;58
steaks;1
chez;67
allemand;1
blague;6
devrais;38
venir;41
chibs;32
petit;79
nouveau;32
méfie;1
faire;347
confiance;25
végétariens;1
nouvelles;16
ma;217
folle;1
ex;14
femme;51
elle;327
répond;1
jamais;86
téléphone;8
parce;38
sait;99
devait;22
envoyer;14
notes;2
médecin;10
mais;288
rien;225
semaines;24
passerai;5
revenant;1
maison;50
merci;164
mamie;5
con;24
loin;21
charming;99
oakland;20
pourquoi;139
easy;1
rider;1
veut;117
me;413
face;7
assemblage;2
tous;125
flingues;56
dont;10
tes;87
réduits;1
poussière;1
flux;1
tendu;3
équipement;1
livraison;17
va;487
avoir;77
peu;106
retard;12
moyen;24
arrive;41
côté;19
chargement;3
très;78
important;6
biz;10
one;8
longtemps;20
respecté;2
vendu;4
moindre;9
gun;1
mexicains;16
faudrait;21
montres;1
respect;11
donnes;3
quelques;51
jours;32
foutre;22
papy;6
cousin;6
donner;13
bon;181
investissement;3
as;350
jusqu;20
dimanche;4
nouveaux;8
renois;1
rues;5
incendié;2
dernier;12
vos;45
problèmes;14
mes;104
fils;80
thomas;13
trouvé;37
paix;16
jackson;9
ne;190
connaisse;1
cette;170
vie;52
chaos;1
juste;121
half;16
sack;22
piney;24
bouché;2
toilettes;2
chie;3
grizzly;1
humain;3
pose;17
sous;42
boule;8
gauche;7
explosée;1
grenade;1
iraq;1
venez;7
range;4
ta;166
bourse;1
difforme;1
désolé;99
dégage;15
allez;120
trouve;31
jax;181
hé;1
ok;74
wendy;19
camée;2
avez;80
attendent;6
grosse;20
héro;7
armes;134
protection;30
se;258
passerait;5
détruisaient;1
perd;8
paye;10
gros;39
arrivera;11
chicanos;17
viennent;4
sur;262
territoire;11
nous;315
volent;2
détruisent;1
gagne;10
pain;7
importe;38
doit;130
engraisser;2
