Mot;Occurrence
they;405
sell;29
birdseed;1
i;4085
see;212
you;3805
kidding;15
me;810
man;275
in;920
the;3038
back;273
all;567
right;425
white;38
boy;79
was;526
m;749
4s;9
niners;41
had;134
a;1926
special;6
order;21
full;25
auto;4
laser;1
scopes;3
niggers;12
still;98
couldn;34
t;1224
hit;44
shit;511
load;9
and;1049
glocks;5
truck;37
huh;27
what;982
about;431
other;70
guns;148
torch;2
it;1675
hey;75
louise;1
know;671
can;461
buy;15
these;76
by;114
case;53
be;515
lot;59
cheaper;1
no;412
box;19
at;290
time;188
keeps;12
humble;3
get;563
pack;8
of;1170
smokes;3
too;112
darling;19
my;662
favorite;4
hell;171
is;694
that;1373
oh;46
happened;83
propane;1
tanks;2
caught;11
fire;25
ammo;6
there;265
place;48
just;489
blew;11
dick;20
says;33
arson;9
saw;49
boot;3
prints;5
cowboy;3
boots;1
yeah;250
think;237
so;233
eating;2
mayans;77
where;200
rodrigo;2
sign;21
your;702
watchman;1
s;2469
exposure;4
officially;2
department;7
captain;4
convinced;9
to;2397
rethink;2
his;323
report;6
unofficially;2
this;1006
blast;6
seen;20
two;150
counties;2
location;4
dead;69
jesus;131
christ;82
gone;28
as;109
are;416
most;18
fireman;1
on;814
board;9
don;537
want;382
hitting;10
atf;79
radar;6
let;257
out;551
here;423
gotta;80
something;163
else;54
do;619
we;1177
really;111
goddamn;95
fried;4
refried;1
illegals;2
part;23
our;200
assembly;3
crew;39
found;51
them;163
before;94
fd;1
went;51
through;79
after;63
smoke;11
clears;1
rid;11
bodies;29
am;73
supposed;34
tell;176
boys;53
up;524
oaktown;2
deliver;14
five;34
cases;3
laroy;28
tomorrow;36
morning;46
call;139
gangsta;5
hotline;2
set;40
meeting;12
head;72
quick;11
painless;1
ain;84
easy;26
being;35
king;9
remember;17
1x01;1
pilot;1
pos;41
some;238
days;38
re;584
beamer;2
deer;2
yuppie;1
creamed;1
streams;7
he;778
run;58
into;122
or;151
tree;1
while;39
giving;21
him;517
how;304
come;217
pretend;4
carve;1
own;63
steak;2
night;70
sizzler;1
eat;12
meat;4
figure;35
grunt;1
torched;3
warehouse;33
stole;10
holy;35
clay;262
sit;23
down;185
with;576
try;29
already;40
paid;12
for;686
hardware;11
tricky;1
ma;21
did;159
go;340
storage;16
not;472
yet;37
hope;22
use;31
haven;22
looked;7
baby;93
stuff;26
years;61
sure;154
anything;117
will;136
help;117
coming;57
dinner;14
picking;14
steaks;1
from;200
german;2
should;131
bring;51
chibs;39
new;57
kid;80
doesn;74
patch;17
trust;29
anyone;35
heard;35
crazy;28
ex;9
wife;41
a6;2
never;111
answers;3
her;245
phone;18
cause;58
she;278
knows;45
sending;4
doctor;19
bills;10
one;271
weeks;29
ll;514
way;143
home;90
check;28
thanks;104
grandma;8
asshole;34
long;57
ride;31
charming;108
oakland;25
rider;1
face;26
burned;8
including;3
blown;8
zero;1
balance;3
due;6
shipment;9
going;323
little;190
late;18
happen;76
got;699
very;54
important;11
cargo;10
been;181
doing;154
business;78
always;39
respected;1
arrangement;4
sold;11
gun;61
mexicans;14
now;217
need;314
show;31
respect;9
give;155
few;58
more;115
delivery;9
history;19
old;146
telling;27
brother;69
smart;34
till;23
sunday;5
those;88
then;121
black;40
faces;2
cruising;2
streets;3
least;25
problems;5
sons;58
thomas;13
who;181
peace;13
jackson;10
may;27
life;60
chaos;1
half;65
sack;24
piney;28
clogged;1
