Mot,Occurrence
i,24485
the,14164
you,12779
a,12585
vous,12190
de,12118
to,11197
je,10335
est,10191
s,9130
le,8459
l,8452
pas,8354
it,7966
on,7766
que,7758
we,7148
la,6767
il,6287
les,5858
that,5715
of,5565
t,5561
un,5532
nous,5453
à,5275
ne,5255
d,5243
et,5243
c,5151
en,4662
ce,4374
ça,4222
me,4172
is,4125
and,4085
une,4054
what,4006
n,3839
qu,3837
j,3759
m,3512
this,3493
in,3357
des,3336
pour,3202
re,3174
ai,3113
have,3070
not,2920
bien,2841
they,2827
ils,2763
y,2754
be,2685
mais,2671
no,2486
are,2466
si,2376
do,2350
for,2269
can,2232
but,2211
he,2140
was,2089
wraith,2074
qui,2072
there,2063
know,2039
plus,1992
dans,1983
just,1977
don,1967
non,1928
all,1900
être,1871
with,1790
if,1766
well,1765
your,1731
as,1702
so,1701
out,1688
get,1675
du,1674
here,1669
my,1639
right,1632
oui,1630
sur,1629
avez,1606
tu,1605
sheppard,1599
suis,1584
ve,1580
tout,1557
moi,1537
sont,1510
peut,1477
elle,1473
ici,1466
se,1461
fait,1420
us,1408
au,1407
rodney,1404
faire,1399
one,1395
colonel,1387
quoi,1380
avec,1371
them,1331
how,1331
up,1309
ont,1279
atlantis,1270
oh,1270
votre,1248
va,1244
now,1210
go,1205
about,1188
ll,1172
like,1172
dr,1142
our,1130
là,1127
était,1122
mckay,1097
from,1095
mon,1078
think,1078
back,1056
need,1055
will,1043
time,1043
très,1005
would,997
got,987
him,984
yes,969
sais,969
been,967
êtes,957
way,951
par,946
comme,940
were,937
temps,931
où,922
cette,922
yeah,920
chose,917
at,910
could,902
good,901
going,899
dire,884
teyla,884
pourquoi,871
an,863
été,863
comment,862
avons,854
she,849
did,833
why,811
rien,790
même,789
come,784
dit,781
juste,772
people,771
let,768
gonna,761
more,760
look,755
by,749
notre,740
some,717
allez,715
her,715
take,706
lui,704
ronon,695
quand,692
bon,684
vraiment,683
ou,682
see,676
leur,675
when,674
alors,674
autre,671
okay,659
down,659
peux,659
should,658
porte,655
or,651
donc,642
maintenant,636
quelque,635
peu,635
ces,635
then,633
avoir,630
any,628
ok,626
sûr,623
jumper,622
where,604
tous,599
aussi,593
sure,587
something,587
vaisseau,587
deux,586
encore,586
avant,581
who,573
sg,570
son,570
didn,568
want,565
only,562
has,557
still,556
ship,550
had,548
his,547
vais,546
much,543
make,542
weir,536
besoin,535
into,530
mean,527
their,527
john,525
merci,523
projet,522
very,519
pense,516
nos,514
major,506
before,506
really,505
ma,505
sans,502
voir,500
say,499
help,498
power,497
veux,491
too,488
off,487
thing,485
autres,480
toujours,477
sommes,477
long,475
accord,474
plan,471
fois,468
doit,467
jamais,457
doing,455
maybe,451
faut,450
vos,445
trop,442
chance,441
over,437
http,437
even,432
am,429
déjà,423
faites,422
than,420
tell,419
pouvez,419
these,419
other,417
voulez,415
aller,414
sorry,411
two,408
moment,407
vie,405
planète,402
possible,400
sera,393
gate,391
pourrait,391
said,390
little,386
find,386
wait,385
énergie,381
never,378
place,378
first,375
work,375
ouais,374
cité,372
dois,371
because,369
beckett,367
quelques,365
daedalus,365
enough,363
michael,362
give,360
able,357
depuis,357
beaucoup,356
thought,355
planet,354
idée,350
anything,348
mes,345
te,344
part,342
assez,342
which,341
through,340
city,339
nothing,339
may,338
cela,338
thank,336
aux,331
