Mot;Occurrence
previously;28
on;2019
stargate;104
atlantis;540
you;9631
have;2344
some;551
wraith;957
dna;24
can;1720
actually;160
see;511
what;3012
s;6028
happening;66
i;17000
m;1976
a;6169
ship;444
receiving;21
an;616
idc;18
who;454
is;3101
it;6127
command;81
all;1378
we;5438
to;8427
do;1775
hold;111
down;511
until;133
the;10875
daedalus;213
get;1252
here;1271
then;501
could;662
use;143
zpm;155
power;369
city;239
shield;101
multiple;9
signals;7
sir;201
couldn;83
t;3715
them;957
they;2061
were;727
right;1232
top;19
of;4182
us;1056
colonel;750
marshall;1
sumner;8
was;1584
very;397
good;682
friend;66
mine;38
admit;33
firing;35
shot;73
that;4326
killed;100
him;733
are;1838
in;2496
re;2382
sending;29
another;240
wave;14
fly;74
puddle;36
jumper;277
stealth;7
mode;13
their;384
throats;4
volunteering;7
for;1707
suicide;7
mission;120
and;3130
know;1548
teyla;346
hearing;13
gun;31
fire;96
your;1264
status;42
mecanism;1
armed;23
ready;192
going;744
now;913
conclusion;6
defense;11
major;177
sheppard;706
decloak;2
immediately;45
hell;194
this;2672
authentication;4
alpha;16
charlie;3
detonation;2
target;50
has;408
been;754
neutralised;3
he;1613
did;603
yeah;676
dr;486
weir;206
picking;35
up;993
hive;219
negative;27
reading;60
iff;4
john;252
other;309
sheppards;1
oh;636
thank;230
god;131
no;1810
be;2007
saw;88
go;927
assure;25
mckay;414
alive;100
well;1366
steven;5
caldwell;102
commander;33
assist;10
glad;25
hear;140
assume;37
saving;21
monitoring;14
transmissions;4
as;1029
soon;122
came;160
out;1249
hyperspace;102
beam;78
decloaked;1
his;393
didn;416
take;543
much;396
convincing;7
present;36
yes;687
trust;139
with;1380
how;949
loaded;10
asgard;29
technology;92
beaming;16
first;287
part;149
got;795
things;200
like;846
rodney;661
say;354
shields;85
back;815
still;433
over;316
after;162
deal;68
those;227
ships;142
ll;1044
incoming;9
enemy;43
fighters;7
bearing;4
forward;42
rail;8
guns;16
stand;78
by;582
launch;21
transcript;20
scifigate;10
net;189
subtitles;15
team;221
sg;402
www;87
seriestele;59
season;55
episode;62
siege;7
iii;1
novak;16
engineering;14
hermiod;26
wanted;105
remind;18
our;813
strength;32
will;765
severely;6
diminished;5
without;145
zero;17
point;161
module;20
tied;15
into;407
systems;121
aware;37
doctor;176
recommend;7
any;509
specific;14
one;1084
fighter;10
bays;4
would;760
increase;19
chance;196
secondary;14
explosions;7
thinking;96
agree;38
waeps;1
arm;14
two;312
mark;25
tacticals;1
main;74
bay;61
warheads;5
locked;31
need;797
closer;20
helm;2
alter;5
heading;43
intercept;7
max;6
thrust;5
just;1515
gave;59
hyperdrives;18
come;585
offensive;4
weapons;144
providing;1
races;4
anything;283
potentially;9
used;88
against;62
thought;271
allies;8
wouldn;146
more;568
wasting;9
ordinance;1
missiles;5
being;154
intercepted;4
miles;13
from;817
ve;1208
routed;3
sub;23
routine;7
when;525
give;280
word;69
punch;2
whoa;36
my;1212
security;62
escort;7
spread;29
little;300
bit;72
thin;8
ok;317
but;1697
if;1293
under;130
gonna;557
put;132
lives;61
line;46
protect;36
me;2234
mean;413
at;675
costs;2
am;312
wrong;162
lost;116
contact;125
people;509
teams;86
led;10
captain;23
radnor;2
or;489
lt;40
ford;146
keep;246
trying;199
many;174
only;441
needs;58
through;269
there;1564
way;709
deliver;15
warhead;6
same;151
plucked;2
already;190
considered;14
failsafes;9
built;23
prevent;19
delivery;9
system;157
these;298
onboard;24
override;27
failsafe;5
why;621
butt;1
ours;18
figure;137
sight;10
transport;28
locks;1
set;90
coordinates;25
inside;98
