Mot;Occurrence
avec;57
une;158
durée;1
de;394
saisons;4
et;285
plus;78
épisodes;1
stargate;20
sg;30
a;156
visité;2
d;151
innombrables;1
planètes;10
rencontré;3
différentes;7
races;2
nombreux;5
aliens;2
amicaux;1
amis;5
la;324
terre;17
ils;116
ont;55
travaillé;1
sans;12
cesse;1
tous;25
les;267
moyens;1
pour;104
trouver;5
des;173
technologies;6
que;203
se;57
défende;1
contre;8
ses;6
ennemis;4
mais;58
meilleures;2
raisons;4
du;62
succès;2
est;276
façon;9
dont;10
mythologie;27
terrienne;1
été;30
assimilée;2
dans;110
fabrication;1
série;27
un;206
bon;15
moyen;11
amener;2
ça;101
michael;1
pendant;7
ans;15
toujours;15
réussi;1
divertissante;1
donner;4
côté;6
à;184
rejoignez;2
nous;115
pas;155
inquiétude;1
tout;37
va;19
s;42
éclairer;1
avant;15
fin;3
documentaire;1
on;181
l;209
espère;3
team;1
projet;12
présente;1
synchro;1
golgi;2
malikay;1
ricana;1
linwelin;3
transcript;1
swsub;1
com;1
traduction;1
ayana;1
egwene;1
nemexis;1
relecture;1
h;2
ht;1
htt;2
http;23
w;1
ww;1
www;15
p;1
pr;1
pro;1
proj;1
proje;1
n;87
ne;89
net;3
coulisses;1
i;539
v;2
si;62
définit;1
comme;51
suite;7
histoires;6
traditions;1
ou;43
croyances;2
associées;1
groupe;3
particulier;1
nées;1
naturellement;1
nourries;1
délibérément;1
alors;23
auteurs;1
faisaient;1
doute;5
leur;36
possible;3
créer;5
profonde;1
complexe;5
pourrait;11
dire;18
sienne;1
vous;254
y;79
trompez;1
osiris;1
reviendra;2
rivières;1
seront;8
rouge;2
sang;1
je;178
crois;11
le;245
rôle;3
joué;1
par;46
vraiment;26
important;6
veux;9
depuis;17
sa;12
naissance;1
base;9
sur;50
égyptienne;5
c;166
incroyable;5
savez;11
berceau;1
civilisation;1
demande;5
souvent;3
pourquoi;17
comment;16
donne;1
au;43
moins;9
air;9
science;2
fiction;1
ce;110
qui;116
pu;10
passer;12
temps;26
anciens;27
jack;7
carte;3
réseau;1
étendu;2
portes;5
réparties;1
toute;7
galaxie;12
