Mot;Occurrence
projet;26
sg;30
all;352
right;302
get;321
out;406
of;1067
the;2655
way;189
this;780
is;869
scott;99
slow;10
down;158
evac;2
we;1662
are;524
coming;54
in;706
too;97
hot;9
colonel;198
come;209
my;306
god;49
where;120
what;840
place;36
them;192
off;115
gate;71
why;146
didn;124
t;1172
through;96
to;2365
earth;76
there;440
was;437
no;343
time;231
explain;9
side;32
s;1615
going;364
on;647
i;3772
need;261
a;1245
medic;10
over;103
here;391
can;539
you;2490
move;50
your;297
fingers;2
think;216
arm;5
broken;5
okay;137
just;439
hold;33
and;736
ll;289
put;65
it;1762
sling;1
keep;75
calm;15
clear;33
area;7
could;157
still;91
be;553
more;115
incoming;6
yeah;82
oh;30
hell;52
young;152
he;482
behind;21
me;498
quiet;4
stay;54
excuse;10
don;445
know;507
sir;153
re;658
charge;15
yes;76
m;567
crowd;1
people;171
let;168
go;285
look;137
did;164
rush;188
told;41
went;33
eli;102
help;87
find;112
him;201
well;90
that;1269
sergeant;57
these;72
settled;2
who;144
ve;323
got;259
nobody;21
leaves;5
room;52
now;263
core;16
planet;130
power;96
source;5
have;634
channel;8
into;89
weapon;14
destroy;3
ship;331
do;536
dude;2
doin;1
programmer;1
jokes;1
problem;56
unsolvable;1
already;48
solved;4
shut;35
up;260
watch;7
happened;90
nothing;93
back;297
at;192
beginning;3
so;297
full;16
yourself;32
worked;5
firing;5
code;26
locked;27
whatever;29
extremely;6
unsatisfying;1
wallace;7
actually;39
not;550
guys;40
swear;1
wrong;72
guy;8
like;228
someone;53
would;127
standing;8
if;363
everything;47
about;253
really;126
dr;80
nicholas;9
may;57
spent;7
great;26
deal;12
recently;9
playing;11
an;166
online;6
fantasy;1
game;12
called;6
prometheus;1
big;21
brother;2
better;68
last;47
night;17
dakara;1
weapons;25
puzzle;3
month;6
life;62
happens;14
when;117
solve;13
thing;76
complete;11
particular;3
had;104
millennia;3
old;23
mathematical;2
proof;9
written;3
another;49
language;3
for;435
won;53
something;137
prize;3
take;150
cash;1
equivalent;1
isn;43
one;258
non;4
disclosure;2
agreement;2
embedded;3
top;10
secret;4
hoping;12
assure;2
worth;10
while;32
sign;11
beam;4
our;158
spaceship;11
want;202
lawyer;4
first;74
by;98
assume;9
mean;75
mother;8
agree;6
then;115
will;175
call;23
welcome;15
aboard;24
hammond;3
honest;4
how;260
long;60
should;129
mom;22
tell;116
her;97
am;78
probably;40
gonna;131
work;82
speak;12
cover;12
story;8
follow;17
sorry;107
light;26
years;55
from;173
things;62
condition;6
also;30
currently;2
unemployed;2
medical;9
coverage;1
ongoing;1
issue;12
see;138
she;130
gets;12
best;50
care;28
gone;34
erase;1
memory;13
some;156
pants;1
hello;9
daniel;4
jackson;5
stargate;46
originally;2
built;9
ago;29
alien;36
race;2
ancients;11
next;49
few;40
hours;45
touching;1
symbols;6
representing;1
star;40
constellations;2
as;181
seen;28
connection;20
made;53
between;22
two;69
stargates;7
unstable;6
energy;8
vortex;1
emerges;1
settles;1
event;6
horizon;2
or;147
puddle;2
later;14
discovered;7
using;14
eighth;1
symbol;4
dial;53
galaxy;13
hundred;4
thousands;16
via;1
interstellar;1
wormhole;13
believed;5
unprecedented;1
amount;10
required;4
mysterious;1
ninth;14
chevron;29
six;15
icarus;27
base;13
establish;2
entire;9
purpose;7
project;7
hopefully;13
day;50
nine;7
address;16
found;66
ancient;45
database;11
hi;4
heard;37
term;3
hyperspace;6
serious;9
ma;7
say;112
anything;103
than;87
understand;40
least;40
were;147
leaving;10
but;369
letter;3
air;38
force;19
plane;3
sound;11
airplane;2
they;439
after;27
good;161
kind;36
always;28
dreamed;3
mind;27
ahead;41
thank;47
been;161
lots;3
various;2
almost;23
never;66
chloe;39
alan;1
armstrong;13
senator;11
california;2
job;23
burger;1
fries;2
field;3
d;113
line;20
political;2
science;6
major;3
harvard;3
hear;36
school;4
mit;2
else;73
writing;1
before;78
design;12
clearly;12
truest;1
sense;10
word;29
launched;10
hundreds;11
faster;7
yet;43
doing;117
knows;23
far;49
travelled;1
lot;45
wounded;15
home;82
lt;8
vents;3
copy;18
getting;47
pretty;53
thin;3
does;45
support;29
system;55
failing;3
year;13
command;24
safer;5
other;85
places;3
everett;9
tour;2
promise;10
bother;5
end;36
choosing;6
somewhere;17
even;94
love;14
wait;71
anymore;10
sweetheart;4
baby;7
having;15
seizure;1
please;79
guests;1
arrived;3
minutes;43
early;4
position;10
lieutenant;86
drop;10
ass;20
bye;1
holy;4
honor;1
executive;1
assistant;1
pleasure;3
meet;12
mine;8
daughter;10
must;38
contest;2
winner;1
gun;19
rail;1
rounds;1
per;3
minute;21
assigned;2
mr;16
shall;7
inside;14
unbelievable;3
weird;15
fast;16
start;26
granted;3
instantly;1
transport;3
fly;19
with;338
tied;1
apparently;10
modified;3
only;97
because;74
wormholes;1
dangerous;17
genius;3
video;6
figured;17
doctor;9
has;101
trying;71
months;10
which;52
glad;8
telford;52
ready;51
give;71
gave;15
quite;17
billion;13
being;41
very;47
everyone;83
dismissed;3
until;34
unable;2
precise;1
necessary;14
unlock;5
final;3
however;5
thanks;35
ingenuity;1
finally;4
sure;110
engineered;1
solution;5
practical;2
workable;1
application;1
absolutely;4
riley;13
encoded;6
dialing;27
test;11
connect;9
send;27
automated;2
reconnaissance;1
drone;1
close;39
again;64
assess;3
data;17
receive;2
perhaps;5
away;52
team;49
works;12
interested;2
observers;1
us;218
lock;13
matched;1
requirements;2
emu;1
levels;5
capacitors;2
red;11
fluctuations;2
drawing;1
aware;11
regardless;8
priority;8
ensure;1
safety;5
course;38
run;18
equations;2
seriously;14
putting;4
fault;18
everybody;27
attention;7
listen;35
means;22
use;49
definitely;5
list;8
order;23
working;56
person;21
responsible;6
second;24
dare;2
talk;52
dad;25
water;59
sit;22
pills;6
situation;26
idea;52
relation;9
respect;10
reason;44
might;58
hard;29
breathing;6
functioning;1
properly;6
brody;29
park;4
consoles;6
came;49
touch;12
needs;19
mistake;11
uses;1
whiteboard;1
computers;6
everywhere;5
around;55
flow;5
target;4
range;41
wouldn;39
atlantis;1
instructions;4
said;87
gentlemen;2
starting;12
save;26
join;9
dinner;1
officer;9
mess;12
breakthrough;1
chevrons;1
known;10
issues;14
anyone;51
true;20
mathboy;1
propose;2
toast;1
proposal;2
crossed;3
desk;1
approve;1
seemed;3
enough;73
terrestrial;1
matters;2
importance;2
needed;5
money;3
proud;3
father;24
beautiful;8
woman;2
exceed;1
every;37
possible;24
expectation;1
reminded;1
greater;5
endeavor;1
seeking;1
understanding;2
mysteries;2
universe;16
those;76
exact;7
words;4
embed;1
medium;1
access;30
brilliant;6
minds;4
overlooked;1
brave;1
men;14
women;3
volunteered;3
under;32
attack;25
combatant;1
personnel;18
report;22
designated;3
areas;11
battle;5
stations;1
drill;3
attempting;1
reset;2
step;20
screen;3
says;28
rudimentary;2
version;4
oxygen;8
falls;1
below;3
critical;5
level;14
become;4
increasingly;1
difficult;5
concentrate;2
blow;4
whole;22
shoot;14
lower;7
screwed;5
once;30
stand;35
aside;4
consider;9
charges;2
dropped;18
anger;3
lucian;21
alliance;30
guess;32
haven;42
introduced;2
themselves;17
started;17
shooting;6
shields;17
holding;9
heading;5
squadron;1
gliders;1
troop;1
