Mot,Occurrence
i,20251
you,19884
a,14110
s,12186
je,11935
est,11776
the,11364
de,10995
t,9564
it,9236
pas,9180
to,8756
tu,8460
que,8053
on,7651
le,7124
c,6815
il,6590
vous,6570
that,6381
un,6352
me,6269
what,6091
la,5838
et,5827
ce,5682
we,5457
and,5375
ne,5255
m,4867
of,4825
à,4770
ça,4603
d,4517
en,4460
l,4413
qu,4122
les,4084
this,4061
j,3986
re,3881
know,3633
in,3589
une,3575
dean,3521
is,3499
he,3494
n,3476
don,3275
no,3269
ai,3147
just,3039
pour,2987
sam,2957
not,2872
was,2871
do,2769
so,2766
des,2670
bien,2645
all,2624
for,2568
quoi,2543
mais,2538
yeah,2499
y,2496
but,2493
as,2493
are,2480
your,2476
can,2430
moi,2413
nous,2404
right,2400
non,2397
qui,2384
have,2252
got,2250
my,2215
like,2167
tout,2074
sais,2061
there,2052
here,2034
out,2029
dans,2011
be,2005
te,2001
oh,1971
si,1967
suis,1965
they,1909
about,1877
elle,1798
être,1796
était,1792
get,1749
du,1728
with,1647
think,1635
ouais,1624
okay,1617
gonna,1610
fait,1598
plus,1571
up,1533
ils,1515
comme,1496
she,1494
how,1491
well,1479
va,1475
mon,1467
chose,1464
if,1443
peut,1440
faire,1431
go,1424
now,1413
him,1412
one,1399
toi,1395
alors,1377
avec,1348
là,1341
veux,1341
sur,1329
es,1327
want,1290
juste,1281
dire,1269
why,1267
se,1263
did,1252
ll,1231
au,1223
ici,1218
come,1181
pourquoi,1174
où,1159
her,1138
ve,1111
cette,1093
look,1082
rien,1065
comment,1053
mean,1045
dit,1036
where,1030
let,1016
ok,1013
peux,1013
back,1012
vraiment,1011
at,1010
us,1007
something,1001
hey,998
see,984
son,975
oui,955
lui,951
quelque,934
who,924
were,915
hell,908
dad,899
or,894
sont,893
thing,892
some,879
his,876
maintenant,870
could,859
good,859
them,856
ton,855
ou,850
time,835
really,833
maybe,819
tell,814
then,806
même,802
crois,797
avez,797
man,792
uh,790
been,782
from,780
an,773
say,754
papa,746
didn,743
sorry,739
when,729
ca,726
bon,713
way,710
ces,706
êtes,696
vais,694
sure,692
would,691
ma,685
allez,683
quand,682
going,680
ont,674
jamais,669
accord,667
god,656
little,642
take,637
find,635
mort,635
down,634
people,629
autre,629
had,625
par,624
votre,619
avoir,604
too,602
mec,591
kill,591
merci,586
aussi,582
dieu,580
help,578
fais,577
our,576
bobby,573
peu,572
over,572
vu,566
more,566
tous,565
sûr,563
said,561
anything,560
sammy,559
encore,558
très,551
donc,549
need,545
pense,544
demon,537
deux,536
démon,535
temps,529
never,529
hé,526
vas,526
été,521
avait,519
désolé,515
font,513
tuer,512
parce,511
voir,506
off,503
doit,503
père,494
kind,494
please,493
doing,490
guy,480
make,479
even,474
any,474
frère,463
eh,460
dis,459
guys,459
dois,457
étais,456
should,456
vrai,455
gens,454
wait,454
toujours,453
sa,452
these,451
stop,451
ta,450
avant,447
fois,441
brother,439
vie,438
aller,434
will,433
before,431
two,430
things,424
by,423
again,417
dead,415
still,412
notre,412
nothing,412
am,412
quelqu,409
après,408
guess,408
besoin,403
give,403
because,393
truc,392
personne,392
into,386
cause,386
choses,386
déjà,385
first,381
thanks,376
vois,372
real,372
yes,370
after,369
eu,369
part,369
ever,369
much,368
around,366
last,364
veut,363
gars,363
happened,361
avais,360
monde,359
only,359
winchester,359
sang,358
euh,358
talk,354
trouvé,345
long,341
night,340
than,340
doesn,339
parler,336
place,335
talking,331
life,329
hein,327
told,327
savez,325
depuis,324
huh,324
com,321
raison,321
thought,320
other,316
saw,315
believe,314
else,314
keep,313
mal,313
family,312
soit,312
call,311
viens,310
bad,308
those,307
genre,306
killed,305
job,304
www,303
has,302
passé,302
trouver,301
sait,301
famille,301
maison,301
listen,300
better,300
fille,298
damn,298
mes,296
lot,294
passe,293
aider,292
pourrait,291
work,291
petit,289
their,289
leur,288
nuit,285
moment,285
lilith,284
die,284
faut,284
car,283
stay,282
whatever,281
old,281
everything,280
pretty,278
démons,278
does,277
aux,277
years,276
won,276
ans,273
ses,271
trop,270
mom,270
beaucoup,269
savoir,269
put,268
tué,267
whole,267
seul,265
chance,264
girl,264
found,264
same,262
thank,262
lucifer,262
wasn,261
might,259
quel,259
isn,258
bitch,258
great,258
town,258
type,257
voulez,256
allons,255
avons,255
plaît,255
supernatural,254
blood,254
very,254
house,254
mère,252
mieux,252
sans,251
wrong,249
demons,248
quelques,248
name,247
day,246
cet,246
boulot,245
looking,244
trying,244
aime,244
fine,244
attends,243
importe,243
john,243
love,243
mourir,242
ecoute,242
autres,241
color,241
tes,240
aurait,240
enough,240
arrive,239
fils,239
heard,238
aide,238
bonne,237
point,237
entendu,237
regarde,236
peur,236
death,236
laisse,236
mr,236
penses,235
exactly,235
homme,234
leave,233
um,233
a6,233
enfer,233
police,232
grand,232
plan,231
toute,230
wanted,230
every,230
done,230
away,229
ville,229
crap,228
moins,227
big,227
sauver,227
hear,226
nice,226
voiture,225
coming,224
understand,224
ago,223
saying,222
partir,222
ass,222
sommes,222
question,221
through,221
aurais,220
pu,220
remember,219
feel,219
deal,219
actually,218
bas,218
voilà,218
died,218
went,216
crazy,216
always,216
check,216
écoute,216
supposed,215
home,215
idée,214
sortir,214
devrait,213
dude,213
dernière,213
air,213
assez,212
suppose,210
salut,210
maman,210
chez,210
stuff,209
esprit,208
merde,207
sera,206
femme,206
nom,206
someone,205
made,205
own,204
entre,203
coup,203
andy,202
yourself,202
comprends,202
yeux,201
gone,201
prendre,200
hello,199
boys,198
colt,198
head,198
tête,198
aucune,197
course,197
jusqu,196
getting,195
ask,195
possible,195
another,195
minute,195
parle,195
vérité,194
problème,194
left,194
kid,193
wouldn,192
knew,192
truth,192
aucun,190
ellen,190
care,190
reste,190
arrête,190
mary,189
arrêter,189
puis,188
michael,187
faites,186
seen,185
idea,184
super,184
alone,183
pouvez,183
save,183
combien,182
putain,182
sens,182
called,182
couldn,182
must,182
cass,181
face,181
mind,181
angel,181
dr,180
toutes,180
plutôt,179
enfin,179
arrivé,179
seule,178
minutes,178
try,176
ange,176
dû,175
eux,175
corps,175
already,174
anges,174
nos,174
telling,174
jours,174
gun,172
histoire,172
year,171
hurt,171
father,171
ruby,170
world,170
vos,170
route,169
mois,169
hunting,167
few,167
dessus,166
apocalypse,166
porte,166
three,165
probably,164
rester,164
devrais,163
spirit,163
easy,163
important,163
endroit,163
pendant,162
voulais,162
ghost,162
laisser,162
pourrais,160
next,159
elles,159
exactement,158
being,158
excuse,158
used,158
boy,157
serait,157
parlé,157
partie,157
angels,157
best,156
sorte,156
yet,155
eyes,155
came,155
started,154
happen,154
looks,154
appelle,154
train,154
celui,153
alive,153
new,153
tard,153
parents,152
dehors,151
pris,151
étaient,150
road,150
inside,150
far,150
dirait,150
connais,149
vite,149
jo,148
dont,148
whoa,148
passer,148
ah,147
jour,147
matter,147
live,147
hold,146
fini,146
couple,146
petite,146
door,145
which,145
end,145
gordon,145
pensais,144
chercher,144
black,143
everybody,143
many,143
once,143
enfants,143
personnes,143
façon,142
anyway,142
côté,142
trucs,142
scared,141
trois,141
move,141
aren,141
watch,141
both,140
parti,140
working,140
took,140
simplement,140
shut,139
room,139
longtemps,139
myself,139
wish,138
days,137
turn,137
dedans,137
laissé,137
ydy,137
monsieur,136
sous,136
max,136
affaire,136
fantôme,136
kids,136
fight,135
attendez,134
hard,134
ait,134
ash,134
anymore,134
sort,134
together,134
génial,133
leurs,133
soir,133
knows,133
moyen,133
anna,132
start,132
show,132
while,132
croire,131
diable,131
ecoutez,131
baby,131
morts,131
pute,130
anyone,130
weird,130
heart,130
bring,129
parles,129
venir,129
hi,129
friend,129
quelle,129
makes,129
wants,128
peuvent,128
voyez,128
true,128
contre,128
haven,127
donne,127
cas,127
pouvoir,127
nobody,126
chaque,126
agent,126
trust,126
body,125
second,125
human,125
problem,125
ain,125
chasser,125
loin,124
most,124
vient,124
trouve,123
heu,123
either,123
run,123
heure,122
prends,122
devil,122
ben,122
molly,122
questions,122
cela,121
different,121
dites,120
angela,120
seulement,120
evil,120
killing,120
mauvais,119
bbs,119
sir,118
jake,118
arme,118
gets,118
shot,118
tue,118
fous,118
ava,118
business,118
without,118
laissez,117
coeur,117
dingue,117
o,117
thinking,117
somebody,116
chambre,116
appelé,116
sounds,116
hit,116
bizarre,116
case,116
années,116
bordel,115
use,115
fort,115
commencé,115
break,114
change,114
funny,114
fun,114
disparu,113
david,113
normal,113
38b0de,113
vont,113
cops,112
until,112
since,112
ami,112
team,112
fantômes,112
cut,112
perdu,111
morte,111
coin,111
chasse,111
désolée,111
means,111
hunt,110
cool,110
ffff00,110
months,110
ready,110
tiens,110
least,109
sérieux,109
travail,109
nouveau,109
derrière,109
bela,109
monstre,109
calme,108
garde,108
wife,108
tellement,108
adam,108
essayé,107
exact,107
hope,107
savais,106
visions,106
ferme,106
amis,106
voulait,106
semble,106
lost,106
daddy,106
argent,106
close,105
ensemble,105
bonjour,105
fin,104
full,104
sense,104
journal,104
matt,104
shouldn,104
devez,104
shoot,103
pensez,103
souviens,103
tonight,103
demander,102
écoutez,102
dernier,102
mother,102
fire,101
figure,101
première,101
presque,101
happy,101
sois,101
choix,100
main,100
says,100
play,99
pardon,99
donné,99
salt,99
brought,99
miss,99
each,99
monster,99
open,99
bar,99
arriver,99
reason,98
venu,98
later,98
aimerais,98
seem,98
tant,98
friends,97
frank,97
confiance,97
saved,97
jack,97
chuck,97
doctor,96
woman,96
premier,96
pick,96
walter,96
heures,96
having,96
flics,96
bébé,95
story,95
croyez,95
droit,95
mettre,95
stupid,95
serious,95
devons,95
accident,94
yours,94
phone,94
ensuite,94
everyone,94
doc,94
hunter,94
propos,93
propre,93
vieux,93
hours,93
word,93
gave,92
lucas,92
happening,92
gamin,92
six,92
jessica,91
appeler,91
affaires,91
garçon,91
such,91
worry,91
five,91
mis,90
hui,90
lives,90
danger,90
aujourd,90
st,90
ressemble,90
murder,90
motel,90
gros,90
anybody,90
sel,90
plait,89
pensé,89
seconde,89
almost,89
facile,89
près,89
service,89
arrêté,88
donner,88
safe,88
p,88
times,87
holy,87
bit,87
hand,87
missing,87
tried,87
feu,87
entrer,87
ed,87
impossible,86
heaven,86
cul,86
demandé,86
sit,86
terre,85
week,85
partout,85
soon,85
four,85
drôle,85
attention,85
marché,84
yep,84
rest,84
karen,84
devoir,84
docteur,84
game,83
étiez,83
devant,83
hate,83
essaie,83
esprits,83
promise,83
forget,83
pouvais,83
behind,83
penser,82
chasseur,82
tour,82
probablement,82
charlie,82
person,82
ni,82
autant,82
dur,82
jay,82
transcript,81
fast,81
ghosts,81
taking,81
kidding,81
hmm,81
prend,80
em,80
hum,80
seriously,80
simple,80
parfait,80
afraid,80
evan,79
message,79
swear,79
suite,79
fbi,79
meilleur,79
couteau,79
voici,79
demande,79
making,79
choice,79
os,79
jeu,79
colère,79
morning,79
past,79
castiel,79
intérieur,79
knife,78
today,78
essayer,78
goes,78
étrange,78
hands,78
meg,78
guerre,78
pote,78
roy,78
corbett,77
eat,77
plein,77
episode,77
pire,77
met,77
maggie,77
commence,77
soul,77
clean,77
certain,77
sleep,77
side,77
garçons,77
vers,76
vivre,76
attendre,76
front,76
prie,76
lying,76
awesome,76
calm,76
dream,76
except,76
prêt,75
plans,75
oeil,75
outside,75
happens,75
control,75
jure,75
number,75
sauvé,75
fou,74
killer,74
buddy,74
réel,74
bet,74
peine,74
sometimes,74
abord,74
walk,74
presents,74
paradis,73
regarder,73
grave,73
war,73
ramener,73
sujet,73
allé,73
ahead,73
téléphone,73
explain,73
âme,73
lit,72
its,72
faute,72
semaine,72
sécurité,72
school,72
news,72
freak,72
environ,72
crime,72
young,72
running,72
manière,72
continue,71
dark,71
meet,71
water,71
pain,71
white,71
haut,71
vampire,71
under,71
espère,71
worked,71
local,71
daughter,70
cherche,70
clown,70
compris,70
nuts,70
book,70
faisait,70
e,70
wow,70
read,70
asking,70
zach,69
sol,69
somewhere,69
ignore,69
bloody,69
against,69
feeling,69
sync,69
line,69
croyais,69
bones,68
bill,68
lucky,68
half,68
relecture,68
nulle,68
instant,68
waiting,68
noël,68
weren,67
celle,67
sûrement,67
compte,67
claire,67
frères,67
spirits,67
fact,67
ceci,67
loved,66
dying,66
sorti,66
poor,66
puisse,66
année,66
quatre,66
revoir,66
complètement,66
film,66
screw,66
sick,66
himself,66
luck,66
calling,66
devenir,66
anywhere,66
sound,66
rêve,66
worth,65
vérifier,65
venez,65
dirais,65
late,65
seems,65
wake,65
virus,65
middle,65
marche,65
sister,64
month,64
humain,64
lady,64
trouble,64
special,64
mains,64
looked,64
mommy,64
brothers,64
greeley,64
jouer,64
strange,64
may,64
worse,64
amour,64
belle,63
entends,63
turned,63
weeks,63
children,63
agit,63
parlez,63
flingue,63
sweet,63
fasse,62
men,62
allait,62
till,62
forever,62
allais,62
angry,62
comes,62
horrible,62
though,62
definitely,62
disais,62
faim,62
eau,62
season,62
traduction,62
rose,62
devait,62
mine,62
hier,62
vampires,61
asked,61
lieu,61
proudly,61
free,61
pauvre,61
semaines,61
none,61
saving,61
bois,61
entendre,61
chemin,61
high,61
takes,60
laucass,60
humains,60
ronald,60
courant,60
innocent,60
continuer,60
rentrer,60
sérieusement,60
between,60
clear,60
b,60
vieille,60
arrêtez,60
sale,60
garder,60
louis,60
bed,60
commencer,60
tyler,60
tombe,59
excusez,59
leaving,59
jess,59
bouge,59
heureux,59
sent,59
fault,59
unless,59
rendre,59
mari,59
perfect,59
lie,59
alastair,59
less,59
ceux,59
salope,59
voulu,59
answer,59
conneries,59
drink,58
vaut,58
serais,58
lose,58
rappelle,58
jeune,58
mauvaise,58
meurtre,58
numéro,58
h,58
perdre,58
victimes,58
démoniaque,58
dog,58
restes,58
straight,58
yellow,58
husband,58
stupide,58
deep,58
manger,58
set,58
cinq,58
bastard,57
fera,57
prison,57
fan,57
attack,57
cold,57
mot,57
retour,57
bière,57
touch,57
aouregan,57
hommes,57
seriessub,57
bus,57
jim,57
kept,57
walking,57
keeping,57
bye,56
turns,56
pull,56
known,56
chien,56
strong,56
voudrais,56
légende,56
revenir,56
buried,56
vessel,56
trap,56
aura,56
imagine,56
freaking,56
sûre,56
sympa,56
jimmy,56
monstres,56
relax,56
sauf,56
su,56
honey,56
doucement,55
problèmes,55
ground,55
playing,55
filles,55
silver,55
sors,55
pièce,55
certains,55
tomber,55
expliquer,55
send,55
milieu,55
noir,55
fête,55
avis,54
van,54
hot,54
psychic,54
disent,54
screwed,54
money,54
truck,54
magic,54
jeter,54
tueur,54
alright,54
recherche,54
prochaine,54
plaisir,54
neal,54
équipe,54
seeing,54
hendrickson,54
sacré,54
chasseurs,54
secret,53
début,53
hospital,53
gary,53
devriez,53
red,53
soeur,53
starting,53
retourner,53
journée,53
oublie,53
dealing,53
dangerous,53
pay,53
arrière,53
battre,53
jaunes,53
ci,53
faux,53
suffit,53
suicide,52
vision,52
amanda,52
existe,52
censé,52
grande,52
giles,52
lori,52
cimetière,52
paix,52
apparemment,52
sheriff,52
beautiful,52
mecs,52
burn,52
tony,52
ferais,52
bureau,52
matin,52
apparently,52
carte,52
chuckles,52
occuper,52
checked,51
watching,51
finally,51
building,51
tirer,51
girls,51
trip,51
church,51
foutre,51
become,51
photo,51
retrouver,51
étions,51
spell,51
dangereux,51
enfant,51
welcome,51
tôt,51
terrible,51
fighting,50
victims,50
livre,50
buy,50
drive,50
vivant,50
pacte,50
hunters,50
office,50
demain,50
regardez,50
street,50
disait,50
cooper,50
needed,50
hurry,50
meilleure,50
attaque,50
samuel,50
finir,50
follow,50
neither,49
slow,49
hair,49
talked,49
ones,49
piste,49
prenez,49
protéger,49
chérie,49
legend,49
hôte,49
savait,49
contrôle,49
certaines,49
glad,49
resynchro,49
madame,49
light,49
wanna,49
ailleurs,49
track,49
faîtes,49
types,49
vraie,49
savons,48
cours,48
ran,48
ytet,48
balle,48
witch,48
mrs,48
respect,48
hour,48
insane,48
power,48
bientôt,48
armes,48
quite,48
callie,48
lily,48
restez,48
martin,48
pissed,48
movie,48
hungry,48
protect,48
tiré,47
pouvait,47
u,47
chick,47
veulent,47
ferai,47
possessed,47
occupe,47
boss,47
mad,47
taken,47
plupart,47
blah,47
eyed,47
lâche,47
voyons,47
catch,47
piège,47
smart,47
changer,47
ourselves,47
mêmes,47
satan,46
idiot,46
eye,46
lead,46
stopped,46
locked,46
meurtres,46
devient,46
tomorrow,46
sign,46
tuée,46
importance,46
christmas,46
rêves,46
devenu,46
cover,46
loup,46
bunch,46
along,46
assis,46
malade,46
beau,46
animal,45
deviner,45
sarah,45
tire,45
ira,45
extra,45
