Mot;Occurrence
précédement;1
dans;1551
supernatural;98
emmène;26
ton;690
frère;354
à;3778
l;3440
extérieur;14
aussi;445
vite;110
que;6157
possible;112
maintenant;665
dean;1273
va;1205
mary;86
non;1795
papa;573
est;9148
parti;103
la;4538
chasse;80
et;4559
il;4957
n;2587
pas;7091
rentré;29
maison;234
depuis;255
quelques;193
jours;128
j;3088
ai;2406
juré;18
en;3511
avais;278
fini;108
avec;1005
je;9212
ne;3918
peux;807
faire;1110
ça;3665
seul;216
on;4006
a;4316
du;1350
travail;78
c;5330
chose;1090
plus;1241
chère;6
tout;1634
ce;4293
qu;3149
connaît;32
de;8578
chaque;107
maléfique;13
là;1059
dedans;114
pense;403
veut;292
continue;45
où;909
s;1275
arrêté;58
tu;6623
sais;1593
sauver;173
des;2053
gens;338
chasser;82
choses;272
les;3243
affaires;69
famille;229
dois;361
trouver;236
le;5628
meurtrier;16
jessica;33
seule;135
laquelle;27
sam;1104
trouvera;29
ouais;1198
transcript;44
raceman;16
synchro;22
grower;11
http;25
www;91
forom;32
com;105
bonjour;83
chérie;42
tous;435
ces;531
exercices;1
soph;1
gars;271
aiment;15
filles;47
musclées;1
hé;399
bien;2010
qui;1865
vivent;12
encore;428
fais;450
attention;56
ferais;39
vous;5049
apporter;15
autre;477
juste;975
addition;2
plait;53
ok;752
peut;1120
autoriser;2
un;4886
peu;442
fun;7
une;2774
fois;338
temps;421
regarde;178
lac;28
manitoc;3
wisconsin;6
semaine;57
dernière;158
sophie;3
carlton;20
ans;206
revient;20
autorités;13
ont;511
fouillé;10
rien;822
troisième;17
être;1371
noyée;6
cette;864
année;57
aucun;145
autres;183
corps;144
été;395
retrouvé;21
ils;1139
fait;1263
enterrement;6
y;1888
oui;726
enterré;22
cercueil;3
vide;31
pour;2312
fermeture;9
ou;664
importe;197
quelle;97
disparaissent;3
arrêtent;5
chercher;110
as;1446
quelque;704
me;1540
dire;969
piste;41
refroidit;1
jour;115
supposé;34
quoi;2036
marre;28
attitude;8
crois;610
veux;1037
autant;73
toi;1121
suis;1534
celui;118
passé;224
lui;707
deux;407
dernières;26
années;90
pendant;128
es;1077
université;14
participer;2
aux;225
réunions;1
d;2832
étudiants;9
mais;1963
jusqu;158
tuer;413
mauvaise;48
entre;145
ici;915
bas;164
hein;255
loin;98
will;5
exact;76
agent;60
ford;1
voici;64
hamill;1
service;52
protection;17
américaine;2
faune;5
elle;1355
était;1350
près;73
mètres;5
emportée;1
vers;61
êtes;545
sûr;429
équipe;41
natation;1
pratiquement;13
grandi;10
sécurité;58
sa;330
propre;70
baignoire;4
donc;401
éclaboussements;1
signes;30
détresses;1
dis;374
avez;607
vu;396
ombre;8
eau;55
forme;34
sombre;12
atteindre;7
surface;3
vraiment;769
déjà;291
étranges;17
rivage;2
jamais;511
pourquoi;913
pensez;78
ait;103
nous;1755
ferons;5
savoir;209
dès;29
saura;19
votre;483
père;365
pouvons;24
parler;256
ecoutez;98
si;1545
dérange;23
moment;183
très;434
difficile;25
comprenons;5
désolé;398
interresse;2
noyade;4
accidentelle;1
accidentel;1
attraper;18
soeur;34
comme;1124
asseyez;8
